Listagem de Município e UF por Número de Salas - 2007;;;;
;;;;
UF;Município;População*;Número de Complexos;Número de Salas
PR;RIO NEGRO;29.862;1;1
PR;SANTO ANTONIO DA PLATINA;40.480;1;1
PR;SÂO JOSÉ DOS PINHAIS;263.622;1;1
PR;TOLEDO;109.857;1;1
PR;UMUARAMA;95.282;1;1
PR;UNIAO DA VITORIA;50.921;1;1
RJ;ANGRA DOS REIS;149.395;2;2
RJ;ARARUAMA;98.312;1;2
RJ;ARMAÇÃO DE BUZIOS;24.560;1;1
RJ;ARRAIAL DO CABO;25.248;1;2
RJ;BARRA MANSA;175.315;1;2
RJ;BELFORD ROXO;480.555;1;1
RJ;BOM JESUS DE ITABAPOANA;33.834;1;1
RJ;CABO FRIO;162.191;1;2
RJ;CAMPOS DOS GOYTACAZES;426.154;2;8
RJ;CARAPEBUS;10.677;1;1
RJ;CARDOSO MOREIRA;12.199;1;1
RJ;CARMO;16.690;1;1
RJ;CASIMIRO DE ABREU;27.086;1;1
RJ;DUAS BARRAS;10.386;1;1
RJ;DUQUE DE CAXIAS;842.686;3;6
RJ;ENGENHEIRO PAULO DE FRONTIN;12.597;1;1
RJ;ITAPERUNA;92.862;1;1
RJ;ITATIAIA;29.128;1;1
RJ;JAPERI;89.300;1;1
RJ;MACAÉ;169.229;1;2
RJ;MANGARATIBA;29.255;1;1
RJ;MESQUITA;182.495;1;1
RJ;NILÓPOLIS;152.223;1;3
RJ;NITERÓI;474.002;4;16
RJ;NOVA IGUAÇU;830.672;3;7
RJ;PARACAMBI;42.696;1;1
RJ;PETRÓPOLIS;306.645;6;9
RJ;RESENDE;118.529;2;8
RJ;RIO DAS FLORES;8.168;2;2
RJ;RIO DAS OSTRAS;74.789;1;2
RJ;RIO DE JANEIRO;6.093.472;50;175
RJ;SANTA MARIA MADALENA;10.428;1;1
RJ;SANTO ANTÔNIO DE PÁDUA;40.145;1;1
RJ;SÃO FIDÉLIS;37.481;1;1
RJ;SÃO GONÇALO;960.631;2;10
RJ;SÃO JOÃO DE MERITI;464.282;4;10
RJ;TERESÓPOLIS;150.268;1;2
RJ;TRES RIOS;72.865;1;1
RJ;VALENÇA;70.781;1;1
RJ;VOLTA REDONDA;255.653;3;6
RN;MOSSORO;234.392;1;1
RN;NATAL;774.205;2;14
RO;ARIQUEMES;82.388;1;1
RO;JI PARANÁ;107.638;2;2
RO;PORTO VELHO;371.791;3;3
RR;BOA VISTA;247.762;1;2
RS;ARROIO DO SAL;6.646;1;1
RS;BAGÉ;112.678;1;1
RS;BENTO GONÇALVES;100.643;3;7
RS;CACHOEIRA DO SUL;84.690;1;1
RS;CACHOEIRINHA;112.603;1;2
RS;CAMAQUÃ;60.492;1;1
RS;CANELA;38.266;1;1
RS;CANOAS;326.458;1;7
RS;CAPÃO DA CANOA;36.929;2;3
RS;CARAZINHO;58.197;1;1
RS;CARLOS BARBOSA;23.627;1;1
RS;CAXIAS DO SUL;399.038;3;8
RS;ERECHIM;92.944;1;1
RS;FARROUPILHA;59.871;1;1
RS;GRAMADO;31.654;1;1
RS;GUAPORÉ;21.421;1;1
RS;LAJEADO;67.513;1;2
RS;NOVA PETRÓPOLIS;17.778;1;2
RS;NOVO HAMBURGO;253.067;1;5
RS;OSÓRIO;39.294;1;1
RS;PASSO FUNDO;183.300;3;6
RS;PELOTAS;339.934;1;3
RS;PORTO ALEGRE;1.420.667;19;58
RS;RIO GRANDE;194.351;1;1
RS;SANTA CRUZ DO SUL;115.930;1;4
RS;SANTA MARIA;263.403;1;2
RS;SANTA ROSA;64.113;1;1
RS;SANTANA DO LIVRAMENTO;83.614;1;1
RS;SANTO ÂNGELO;73.800;1;1
RS;SÃO BORJA;61.835;1;1
RS;SÃO LEOPOLDO;207.721;1;5
RS;SÃO LUIZ GONZAGA;34.487;1;1
RS;SAPIRANGA;73.983;1;1
RS;TAQUARA;53.441;1;1
RS;TORRES;32.358;1;1
RS;TRAMANDAÍ;39.950;1;2
RS;TRÊS COROAS;22.905;1;1
RS;TRÊS PASSOS;23.467;1;1
RS;URUGUAIANA;123.781;1;1
RS;VIAMÃO;253.264;1;1
SC;ARARANGUÁ;57.162;1;1
SC;BALNEÁRIO CAMBORIÚ;94.579;1;2
SC;BLUMENAU;292.972;2;9
SC;BRUSQUE;94.962;2;4
SC;CAMBORIÚ;53.405;1;5
SC;CHAPECÓ;164.992;1;2
SC;CONCORDIA;67.257;1;1
SC;CRICIÚMA;185.506;1;2
SC;FLORIANÓPOLIS;396.723;5;19
SC;ITAJAÍ;163.298;1;2
SC;ITAPEMA;33.766;1;2
SC;JARAGUÁ DO SUL;130.060;2;6
SC;JOINVILLE;487.003;3;6
SC;LAGES;161.583;3;5
SC;RIO DO SUL;56.919;2;3
SC;SÃO BENTO DO SUL;72.536;1;1
SC;SÃO JOSÉ;196.887;2;6
SC;TUBARÃO;92.569;1;4
SC;VIDEIRA;44.480;1;2
SE;ARACAJU;520.207;2;14
SE;PROPRIÁ;27.487;1;1
SP;ADAMANTINA;33.289;1;1
SP;AGUAS DE LINDOIA;15.876;1;1
SP;AMERICANA;199.094;1;2
SP;AMPARO;62.852;2;3
SP;ANDRADINA;54.794;2;3
SP;APARECIDA;35.944;1;1
SP;ARAÇATUBA;178.839;1;3
SP;ARARAQUARA;195.815;2;7
SP;ARARAS;108.683;1;2
SP;ASSIS;92.965;1;2
SP;ATIBAIA;119.029;1;1
SP;AVARÉ;80.034;1;1
SP;BARIRI;30.995;1;1
SP;BARRA BONITA;35.090;1;1
SP;BARRETOS;107.988;1;2
SP;BARUERI;252.748;2;11
