Listagem de Complexos de Exibição por Município e UF - 2020;;;;;;;
;;;;;;;
#;UF;Município;População*;Nome Complexo;Grupo ANCINE;Registro Ancine do Complexo;Número de Salas
1;AC;CRUZEIRO DO SUL;89.072;Cine Romeu;INDEPENDENTE;14878;1
2;AC;RIO BRANCO;413.418;ARAÚJO Multiplex Via Verde;ARAÚJO;20363;6
3;AC;RIO BRANCO;413.418;Cine Teatro Recreio;INDEPENDENTE;S/REG;1
4;AM;MANAUS;2.219.580;ARAÚJO Multiplex Via Norte;ARAÚJO;28802;6
5;AM;MANAUS;2.219.580;Centerplex Grande Circular;CENTERPLEX;38235;4
6;AM;MANAUS;2.219.580;Cine Casarão;INDEPENDENTE;37902;1
7;AM;MANAUS;2.219.580;Cinépolis Manaus Plaza;CINÉPOLIS;30118;5
8;AM;MANAUS;2.219.580;Cinépolis Millennium;CINÉPOLIS;30116;5
9;AM;MANAUS;2.219.580;Cinépolis Ponta Negra;CINÉPOLIS;25193;10
10;AM;MANAUS;2.219.580;PlayArte Manauara;PLAYARTE;16356;9
11;AM;MANAUS;2.219.580;UCI Sumaúma Park Shopping;UCI;31265;8
12;AP;MACAPÁ;512.902;Cine Imperator Trem;IMPERATOR;31731;2
13;AP;MACAPÁ;512.902;Cinépolis Amapá Garden;CINÉPOLIS;30091;4
14;AP;MACAPÁ;512.902;Moviecom Macapá Shopping;MOVIECOM SÃO PAULO;22977;5
15;BA;ALAGOINHAS;152.327;Cine Laguna;INDEPENDENTE;24512;1
16;BA;AMARGOSA;37.441;GRUPOCINE AMARGOSA;GRUPO CINE;45301;3
17;BA;FEIRA DE SANTANA;619.609;Cinesercla Avenida;LB CINEMAS;44346;5
18;BA;FEIRA DE SANTANA;619.609;Cinesercla Feira de Santana;LB CINEMAS;37997;4
19;BA;FEIRA DE SANTANA;619.609;Orient Cineplace Boulevard Shopping;ORIENT;6630;2
20;BA;GUANAMBI;84.928;Cine Premier Guanambi;PREMIER;41391;2
21;BA;ILHÉUS;159.923;Cine Santa Clara;CINE FILMES;29218;1
22;BA;ITAMARAJU;64.455;Cinextreme;INDEPENDENTE;42563;1
23;BA;JEQUIÉ;156.126;Cine São José Entretenimento Ltda - ME;INDEPENDENTE;43768;2
24;BA;PORTO SEGURO;150.658;Cine Plaza;CINE FILMES;20446;1
25;BA;SALVADOR;2.886.698;Cinesercla Cajazeiras;EXIBIDORA NACIONAL;32718;3
26;BA;SALVADOR;2.886.698;Mobi Cine Salvador;MOBICINE;40731;2
27;BA;SALVADOR;2.886.698;UCI Orient Paralela;UCI ORIENT;16207;6
28;BA;SALVADOR;2.886.698;UCI Orient Shopping Barra;UCI ORIENT;26893;8
29;BA;SALVADOR;2.886.698;UCI Orient Shopping da Bahia;UCI ORIENT;6586;12
30;BA;SANTO ANTÔNIO DE JESUS;102.380;Cine Itaguari;INDEPENDENTE;6588;2
31;BA;SERRINHA;81.286;Orient Shopping Serrinha;ORIENT;30607;2
32;BA;TEIXEIRA DE FREITAS;162.438;Cine Teixeira;CINE FILMES;15243;2
33;BA;TEIXEIRA DE FREITAS;162.438;Cinesercla PátioMix Teixeira de Freitas;ADICINE;28475;3
34;BA;VITÓRIA DA CONQUISTA;341.128;Centerplex Boulevard Vitória da Conquista;CENTERPLEX;40318;6
35;BA;VITÓRIA DA CONQUISTA;341.128;Moviecom Conquista Sul;MOVIECOM SÃO PAULO;6181;3
36;CE;ACARAÚ;63.104;Cine Bom Bozinho Acaraú;PINHEIRO;44296;2
37;CE;ARACATI;74.975;Pinheiro Cinema Bom Viznho Aracati;PINHEIRO;30930;1
38;CE;CAUCAIA;365.212;Multicine Iandê Shopping;MULTICINE;43968;4
39;CE;EUSÉBIO;54.337;Grupocine Eusébio;GRUPO CINE;44457;4
40;CE;FORTALEZA;2.686.612;Centerplex Grand Shopping Messejana;CENTERPLEX;34486;4
41;CE;FORTALEZA;2.686.612;Centerplex Via Sul Shopping;CENTERPLEX;16322;6
42;CE;FORTALEZA;2.686.612;Cinema do Dragão - Fundação Joaquim Nabuco;INDEPENDENTE;25387;2
43;CE;FORTALEZA;2.686.612;Cinemas Benfica;INDEPENDENTE;15691;2
44;CE;FORTALEZA;2.686.612;Cinépolis North Shopping Jóquei;CINÉPOLIS;25960;4
45;CE;FORTALEZA;2.686.612;Cinépolis RioMar Fortaleza;CINÉPOLIS;27076;5
46;CE;FORTALEZA;2.686.612;IMPRENSA FOOD SQUARE;INDEPENDENTE;46136;1
47;CE;FORTALEZA;2.686.612;Shopping RioMar Presidente Kennedy;CINÉPOLIS;34309;6
48;CE;FORTALEZA;2.686.612;UCI Kinoplex Iguatemi Fortaleza;UCI RIBEIRO;2616;12
49;CE;FORTALEZA;2.686.612;UCI Shopping Parangaba;UCI;27591;6
50;CE;LIMOEIRO DO NORTE;59.890;Pinheiro Cinema Francisco Lucena;PINHEIRO;27568;2
51;CE;MARACANAÚ;229.458;Centerplex North Shopping Maracanaú;CENTERPLEX;16969;4
52;CE;MARANGUAPE;130.346;Grupocine Maranguape;GRUPO CINE;44288;3
53;CE;PACAJUS;73.188;GRUPOCINE PACAJUS;GRUPO CINE;47049;4
54;CE;QUIXADÁ;88.321;Pinheiro Cinema Quixadá;PINHEIRO;17606;2
55;CE;SOBRAL;210.711;Multicine North Shopping Sobral;MULTICINE;31088;5
56;CE;SOBRAL;210.711;Pinheiro Cinema Renato Aragão;PINHEIRO;34139;3
57;CE;TIANGUÁ;76.537;Movieplex Cine Ibiapaba;INDEPENDENTE;36107;1
58;DF;BRASÍLIA;3.055.149;Cine Brasília;INDEPENDENTE;36651;1
59;DF;BRASÍLIA;3.055.149;Cine Drive In;INDEPENDENTE;6715;1
60;DF;BRASÍLIA;3.055.149;Cine Premier Sobradinho;PREMIER;19457;2
61;DF;BRASÍLIA;3.055.149;Cineflix JK Shopping;CINEFLIX;24535;6
62;DF;BRASÍLIA;3.055.149;Cinemark Pier 21;CINEMARK;2535;13
63;DF;BRASÍLIA;3.055.149;Cinemark Taguatinga Shopping;CINEMARK;2534;9
64;DF;BRASÍLIA;3.055.149;Espaço Itaú de Cinema - Brasília;ESPAÇO;20590;9
65;DF;BRASÍLIA;3.055.149;KINOPLEX Cinema Terraço Shopping;KINOPLEX;2411;5
66;DF;BRASÍLIA;3.055.149;KINOPLEXBoulevard;KINOPLEX;16402;4
67;DF;BRASÍLIA;3.055.149;KINOPLEXCinema Pátio Brasil;KINOPLEX;2412;6
68;DF;BRASÍLIA;3.055.149;KINOPLEXPark Shopping;KINOPLEX;2415;8
69;DF;BRASÍLIA;3.055.149;Multicine Santa Maria Shopping;MULTICINE;30733;6
70;ES;ARACRUZ;103.101;AFA Cine Ritz Aracruz;AFA;32422;2
71;ES;CACHOEIRO DE ITAPEMIRIM;210.589;AFA Cine Ritz Perim Center;AFA;35405;3
72;ES;CACHOEIRO DE ITAPEMIRIM;210.589;AFA Cine Ritz Sul (Cachoeiro);AFA;17321;4
73;ES;CACHOEIRO DE ITAPEMIRIM;210.589;AFA Cine Unimed Sul;AFA;S/REG;4
74;ES;CARIACICA;383.917;Cinépolis Moxuara;CINÉPOLIS;25961;4
75;ES;COLATINA;123.400;Cine Gama - Colatina;INDEPENDENTE;11818;1
76;ES;LINHARES;176.688;Cinesercla PátioMix Linhares;LB CINEMAS;24667;3
77;ES;PIÚMA;22.053;AFA Cine Ritz Piúma;AFA;29419;1
