Listagem de Município e UF por Número de Salas - 2009;;;;
;;;;
UF;Município;População*;Número de Complexos;Número de Salas
RS;ERECHIM;97.916;1;1
RS;GRAMADO;33.706;1;1
RS;LAJEADO;72.208;1;2
RS;MONTENEGRO;59.557;1;1
RS;NOVA PETRÓPOLIS;18.631;1;2
RS;PASSO FUNDO;187.507;2;4
RS;PELOTAS;345.181;1;3
RS;PORTO ALEGRE;1.436.123;19;68
RS;RIO GRANDE;196.337;2;2
RS;SANTA CRUZ DO SUL;122.451;1;4
RS;SANTA MARIA;268.969;2;6
RS;SANTA ROSA;66.059;1;1
RS;SANTANA DO LIVRAMENTO;84.079;1;1
RS;SANTO ÂNGELO;75.445;1;2
RS;SÃO LEOPOLDO;211.663;1;5
RS;SÃO LUIZ GONZAGA;34.999;1;1
RS;SAPIRANGA;78.045;1;1
RS;TRÊS COROAS;24.786;1;1
RS;TRÊS PASSOS;23.911;1;1
RS;URUGUAIANA;127.045;1;1
RS;VENÂNCIO AIRES;67.682;1;1
RS;VIAMÃO;260.740;1;1
SC;ARARANGUÁ;59.537;1;1
SC;BALNEÁRIO CAMBORIÚ;102.081;2;7
SC;BLUMENAU;299.416;1;6
SC;BRUSQUE;102.280;1;3
SC;CANOINHAS;54.645;1;1
SC;CHAPECÓ;174.187;1;2
SC;CONCÓRDIA;70.393;1;1
SC;CRICIÚMA;188.557;2;4
SC;CURITIBANOS;39.045;1;1
SC;FLORIANÓPOLIS;408.161;4;16
SC;ITAJAÍ;172.081;1;2
SC;ITAPEMA;36.629;1;2
SC;JARAGUÁ DO SUL;139.017;1;3
SC;JOINVILLE;497.331;2;5
SC;LAGES;167.805;1;2
SC;MAFRA;52.933;1;1
SC;RIO DO SUL;59.962;1;2
SC;SÃO FRANCISCO DO SUL;40.030;1;2
SC;SÃO JOSÉ;201.746;1;5
SC;TUBARÃO;96.529;1;4
SC;VIDEIRA;46.585;1;2
SE;ARACAJU;544.039;2;14
SP;ADAMANTINA;34.424;1;1
SP;ALTINÓPOLIS;15.554;1;1
SP;AMPARO;65.928;1;2
SP;ANDRADINA;56.593;1;2
SP;ARAÇATUBA;182.204;1;3
SP;ARARAQUARA;200.666;2;7
SP;ASSIS;98.715;1;2
SP;ATIBAIA;126.757;1;1
SP;AVARÉ;84.416;1;1
SP;BARIRI;33.267;1;1
SP;BARUERI;270.173;1;9
SP;BATATAIS;56.476;1;1
SP;BAURU;359.429;2;9
SP;BEBEDOURO;77.630;1;1
SP;BIRIGUI;110.911;1;1
SP;BOCAINA;11.028;1;1
SP;BOITUVA;44.906;1;1
SP;BOTUCATU;130.348;1;1
SP;BROTAS;22.631;1;1
SP;CAMPINAS;1.064.669;6;46
SP;MOCOCA;68.718;1;1
SP;MOGI DAS CRUZES;375.268;1;4
SP;MOGI GUAÇU;139.836;1;1
SP;MOGI-MIRIM;88.373;1;3
SP;MONTE ALTO;45.895;1;1
SP;OLÍMPIA;50.602;1;1
SP;ORLÂNDIA;37.534;1;1
SP;OSASCO;718.646;2;11
SP;OSVALDO CRUZ;31.461;1;1
SP;OURINHOS;104.542;1;2
SP;PARAGUAÇU PAULISTA;44.685;1;1
SP;PEDERNEIRAS;43.245;1;1
SP;PEDREIRA;40.752;1;1
SP;PENAPOLIS;59.597;1;1
SP;PERUIBE;57.686;1;2
SP;PIRACICABA;368.843;1;5
SP;PIRAJU;29.398;1;1
SP;PIRAJUÍ;22.192;1;1
SP;POMPÉIA;20.168;1;1
SP;PORTO FELIZ;47.964;1;1
SP;PORTO FERREIRA;51.090;1;1
SP;PRAIA GRANDE;249.551;2;9
SP;PRESIDENTE EPITÁCIO;40.891;1;1
SP;PRESIDENTE PRUDENTE;207.725;2;7
SP;PRESIDENTE VENCESLAU;38.439;1;1
SP;REGISTRO;55.168;1;1
SP;RIBEIRÃO PRETO;563.107;3;19
SP;RIO CLARO;191.886;1;5
SP;SALTO;109.948;2;3
SP;SANTA BÁRBARA D'OESTE;189.573;1;4
SP;SANTA CRUZ DAS PALMEIRAS;33.583;1;1
SP;SANTA CRUZ DO RIO PARDO;43.483;1;1
SP;SANTA FÉ DO SUL;29.192;1;1
SP;SANTA RITA DO PASSA QUATRO;27.557;1;1
SP;CAPIVARI;46.331;1;1
SP;CARAGUATATUBA;96.125;1;1
SP;CASA BRANCA;28.189;1;1
SP;CATANDUVA;114.812;2;5
SP;CESÁRIO LANGE;14.979;1;1
SP;CRUZEIRO;79.957;1;1
SP;DESCALVADO;30.867;1;1
SP;DOIS CÓRREGOS;26.040;1;1
SP;EMBU;248.722;1;2
SP;ESPÍRITO SANTO DO PINHAL;42.260;1;1
SP;FERNANDÓPOLIS;63.539;1;2
SP;FRANCA;330.938;1;3
SP;GUAÍRA;38.676;1;1
SP;GUARATINGUETÁ;113.357;1;4
SP;GUARUJÁ;308.058;2;6
SP;GUARULHOS;1.299.283;2;21
SP;IBIÚNA;67.392;1;1
SP;IGARAPAVA;28.230;1;1
SP;IGUAPE;30.675;1;1
SP;ILHA SOLTEIRA;25.144;1;1
SP;INDAIATUBA;183.803;2;5
SP;ITANHAEM;87.338;1;2
SP;ITAPETININGA;148.808;1;2
SP;ITAPEVA;89.768;1;1
SP;ITAPEVI;205.881;1;2
SP;ITAPIRA;72.657;1;1
SP;ITÁPOLIS;40.411;1;1
SP;ITATIBA;99.047;1;2
SP;ITU;157.384;1;3
SP;ITUVERAVA;40.882;1;1
SP;JABOTICABAL;73.084;1;1
SP;JACAREÍ;212.824;1;5
SP;JAGUARIÚNA;41.107;1;1
SP;JAÚ;135.546;2;3
SP;JUNDIAÍ;349.929;1;7
SP;JUNQUEIRÓPOLIS;19.976;1;1
SP;LEME;88.995;1;1
SP;LENÇÓIS PAULISTA;63.314;1;1
SP;LIMEIRA;281.583;1;4
SP;LINS;73.183;1;1
SP;MARÍLIA;225.938;2;8
SP;MATÃO;78.222;1;2
SP;MAUÁ;417.458;1;5
SP;MIGUELÓPOLIS;21.095;1;1
SP;SANTO ANDRÉ;673.396;2;15
SP;SANTOS;417.098;5;23
SP;SÃO BERNARDO DO CAMPO;810.979;2;12
SP;SÃO CARLOS;220.463;3;5
SP;SÃO JOÃO DA BOA VISTA;83.909;1;1
SP;SÃO JOSÉ DA BELA VISTA;8.513;1;1
SP;SÃO JOSÉ DO RIO PARDO;53.281;1;1
SP;SÃO JOSÉ DO RIO PRETO;419.632;4;16
SP;SÃO JOSÉ DOS CAMPOS;615.871;3;20
SP;SÃO MANUEL;39.696;1;1
SP;SÃO PAULO;11.037.593;47;275
SP;SÃO PEDRO;31.575;1;1
SP;SÃO ROQUE;67.715;1;2
SP;SÃO SEBASTIÃO;73.631;1;2
SP;SÃO VICENTE;330.795;1;6
SP;SERRA NEGRA;25.912;1;1
SP;SERTÃOZINHO;110.999;1;2
SP;SOCORRO;34.447;1;1
SP;SOROCABA;584.313;3;15
SP;SUMARÉ;241.077;1;2
SP;SUZANO;284.356;1;5
SP;TABOÃO DA SERRA;227.343;1;5
SP;TATUÍ;109.017;1;2
SP;TAUBATÉ;273.426;1;4
SP;TUPÃ;64.098;1;1
SP;UBATUBA;81.096;1;1
SP;VALINHOS;107.481;1;3
SP;VARGEM GRANDE DO SUL;39.160;1;1
SP;VOTUPORANGA;81.279;1;1
TO;GURUPI;74.357;1;1
TO;PALMAS;188.645;2;3
;;;;
"""* Os dados são referentes as Estimativas de População publicadas pelo Instituto Brasileiro de Geografia e Estatística (IBGE) que apresenta estimativas populacionais anuais de população para os municípios e para as Unidades da Federação brasileiros, com data de referência em 1º de julho de cada ano. Disponível em https://www.ibge.gov.br/estatisticas-novoportal/sociais/populacao/9103-estimativas-de-populacao.html?=&t=o-que-e""";;;;
"""Fontes: Sistema de Registro – ANCINE, Sistema de Acompanhamento da Distribuição em Salas de Exibição (SADIS), IBGE, Filme B e outras fontes secundárias.""";;;;
"""Elaboração: Coordenação do Observatório do Cinema e do Audiovisual - COB/SAM/ANCINE. Publicado em 09/07/2018.""";;;;
