Listagem de Município e UF por Número de Salas - 2009;;;;
;;;;
UF;Município;População*;Número de Complexos;Número de Salas
AC;CRUZEIRO DO SUL;77.004;1;1
AC;RIO BRANCO;305.954;1;2
AL;MACEIÓ;936.314;3;5
AM;ITACOATIARA;89.440;1;1
AM;MANAUS;1.738.641;4;30
AP;MACAPÁ;366.484;2;3
AP;SANTANA;97.220;1;2
BA;ALAGOINHAS;137.810;1;1
BA;BARREIRAS;137.832;1;1
BA;FEIRA DE SANTANA;591.707;1;4
BA;IBICARAÍ;24.569;1;1
BA;ILHÉUS;219.266;1;2
BA;ITABUNA;213.656;1;2
BA;ITAMARAJU;67.803;1;1
BA;PORTO SEGURO;122.896;1;1
BA;SALVADOR;2.998.056;15;54
BA;SANTO ANTONIO DE JESUS;88.768;1;2
BA;SIMÕES FILHO;116.662;1;1
BA;TEIXEIRA DE FREITAS;125.430;1;2
BA;VALENÇA;89.597;1;1
BA;VITÓRIA DA CONQUISTA;318.901;1;3
CE;FORTALEZA;2.505.552;8;34
CE;JUAZEIRO DO NORTE;249.829;1;2
CE;MARACANAÚ;201.693;1;2
CE;SOBRAL;182.431;1;2
DF;BRASÍLIA;2.606.885;17;93
ES;ALEGRE;31.143;1;1
ES;ARACRUZ;78.658;1;1
ES;CACHOEIRO DE ITAPEMIRIM;201.259;2;4
ES;CASTELO;33.212;1;1
ES;COLATINA;111.365;1;2
ES;GUARAPARI;104.534;1;3
ES;LINHARES;132.664;1;3
ES;MARATAÍZES;32.502;1;1
ES;SÃO MATEUS;101.613;1;1
ES;SERRA;404.688;1;4
ES;VILA VELHA;413.548;1;7
ES;VITÓRIA;320.156;4;17
GO;ANÁPOLIS;335.960;2;7
GO;APARECIDA DE GOIÂNIA;510.770;1;6
GO;CALDAS NOVAS;67.588;1;2
GO;CATALÃO;81.109;1;3
GO;FORMOSA;96.284;1;1
GO;GOIÂNIA;1.281.975;9;43
GO;GOIATUBA;32.304;1;1
GO;ITABERAÍ;32.356;1;1
GO;ITUMBIARA;92.832;2;5
GO;LUZIÂNIA;210.064;1;1
GO;MORRINHOS;40.838;1;1
GO;RIO VERDE;163.021;1;3
GO;VALPARAÍSO DE GOIÁS;123.444;1;2
MA;IMPERATRIZ;236.691;1;1
MA;SÃO LUIZ;997.098;1;10
MG;ALÉM PARAÍBA;34.591;1;1
MG;ALFENAS;75.214;1;1
MG;ARAXÁ;92.927;1;1
MG;ARCOS;36.455;1;1
MG;BARBACENA;128.572;1;2
MG;BELO HORIZONTE;2.452.617;13;70
MG;BETIM;441.748;1;3
MG;BICAS;14.309;1;1
MG;BOA ESPERANÇA;39.254;1;1
MG;CAETÊ;41.043;1;1
MG;CAMBUÍ;26.365;1;1
MG;CAMPO BELO;53.653;1;1
MG;CATAGUASES;70.507;1;1
MG;CAXAMBU;21.431;1;1
MG;CONSELHEIRO LAFAIETE;114.579;1;1
MG;CONTAGEM;625.393;2;10
MG;DIVINÓPOLIS;216.099;1;5
MG;EXTREMA;27.155;1;1
MG;FORMIGA;67.178;1;1
MG;GOVERNADOR VALADARES;263.274;1;2
MG;GUAXUPÉ;49.719;1;1
MG;IPATINGA;244.508;1;3
MG;ITABIRA;110.419;1;2
MG;ITUIUTABA;96.759;1;1
MG;JUIZ DE FORA;526.706;4;14
MG;LAGOA SANTA;48.213;1;1
MG;LAVRAS;92.542;1;2
MG;MACHADO;39.509;2;2
MG;MANHUAÇU;78.605;1;1
MG;MARIANA;54.689;1;1
MG;MONTES CLAROS;363.227;2;7
MG ;MURIAÉ;99.628;1;1
MG ;NOVA SERRANA;67.967;1;1
MG ;OLIVEIRA;39.214;1;1
MG ;OURO PRETO;69.495;2;2
MG ;PARÁ DE MINAS;84.264;1;1
MG ;PARACATU;83.560;1;1
MG ;PASSOS;107.619;1;1
MG ;PATOS DE MINAS;139.841;1;3
MG ;POÇOS DE CALDAS;151.449;2;8
MG ;POUSO ALEGRE;127.974;1;2
MG ;SANTA BÁRBARA;27.571;1;1
MG ;SÃO JOÃO DEL REY;85.503;2;2
MG ;SÃO JOAO NEPOMUCENO;26.160;1;1
MG ;SÃO LOURENÇO;42.688;1;1
MG ;SÃO SEBASTIÃO DO PARAÍSO;64.800;1;1
MG ;SETE LAGOAS;225.358;1;2
MG ;TRÊS CORAÇÕES;75.776;1;2
MG ;UBÁ;99.708;1;1
MG ;UBERABA;296.261;2;7
MG ;UBERLÂNDIA;634.345;1;8
MG ;VARGINHA;121.785;1;2
MG ;VIÇOSA;74.171;1;1
MS;CAMPO GRANDE;755.107;3;12
MS;DOURADOS;189.762;1;3
MS;NAVIRAÍ;45.627;1;1
MS;TRÊS LAGOAS;89.493;1;1
MT;ALTA FLORESTA;51.414;1;1
MT;CACERES;87.261;1;2
MT;CUIABÁ;550.562;2;16
MT;PRIMAVERA DO LESTE;46.933;1;1
MT;RONDONÓPOLIS;181.902;1;3
MT;SINOP;114.051;1;2
MT;SORRISO;60.028;1;1
MT;TANGARÁ DA SERRA;81.960;1;2
PA;ALTAMIRA;98.750;1;1
PA;BELÉM;1.437.600;3;13
PA;CASTANHAL;161.497;1;3
PA;PARAUAPEBAS;152.777;1;1
PA;TUCURUÍ;96.010;1;3
PB;CAMPINA GRANDE;383.764;1;4
PB;JOÃO PESSOA;702.235;2;14
PB;PATOS;100.732;1;2
PE;AFOGADOS DA INGAZEIRA;35.528;1;1
PE;GARANHUNS;131.313;1;2
PE;JABOATÃO DOS GUARARAPES;687.688;1;12
PE;PETROLINA;281.851;1;2
PE;RECIFE;1.561.659;8;35
PE;SÃO LOURENÇO DA MATA;99.945;1;1
PI;PARNAÍBA;146.059;1;2
PI;TERESINA;802.537;2;8
PR;APUCARANA;121.290;1;2
PR;ARAPONGAS;103.025;1;1
PR;CAMPO LARGO;112.548;1;2
PR;CAMPO MOURÃO;85.896;1;1
PR;CASCAVEL;296.254;2;6
PR;CIANORTE;68.629;1;1
PR;CURITIBA;1.851.215;15;73
PR;FOZ DO IGUAÇU;325.137;2;8
PR;FRANCISCO BELTRÃO;76.311;1;1
PR;GUAÍRA;29.664;1;1
PR;GUARAPUAVA;172.728;1;2
PR;IBIPORÃ;47.514;1;1
PR;IRATI;56.483;1;1
PR;IVAIPORÃ;32.157;1;1
PR;JACAREZINHO;40.582;1;1
PR;LONDRINA;510.707;2;8
PR;MARINGÁ;335.511;3;13
PR;PARANAGUÁ;139.796;1;2
PR;PARANAVAÍ;82.716;1;1
PR;PATO BRANCO;70.160;1;1
PR;PONTA GROSSA;314.681;1;4
PR;RONDON;9.465;1;1
PR;SÂO JOSÉ DOS PINHAIS;279.297;1;5
PR;TOLEDO;116.774;1;2
PR;UMUARAMA;99.606;1;1
PR;UNIÃO DA VITÓRIA;53.466;1;1
RJ;ANGRA DOS REIS;168.664;1;2
RJ;ARARUAMA;109.705;1;2
RJ;ARMAÇÃO DE BUZIOS;28.653;1;1
RJ;BARRA MANSA;176.899;1;2
RJ;BOM JESUS DE ITABAPOANA;35.303;1;1
RJ;CABO FRIO;186.004;1;2
RJ;CAMPOS DOS GOYTACAZES;434.008;1;6
RJ;DUQUE DE CAXIAS;872.762;4;12
RJ;ITAPERUNA;99.454;1;1
RJ;MACAÉ;194.413;1;5
RJ;NILÓPOLIS;159.408;1;3
RJ;NITERÓI;479.384;3;12
RJ;NOVA FRIBURGO;178.653;1;3
RJ;NOVA IGUAÇU;865.089;1;3
RJ;PETRÓPOLIS;315.119;3;6
RJ;QUISSAMÃ;19.878;1;1
RJ;RESENDE;130.035;1;3
RJ;RIO DAS OSTRAS;96.622;1;2
RJ;RIO DE JANEIRO;6.186.710;36;163
RJ;SÃO GONÇALO;991.382;1;8
RJ;SÃO JOÃO DE MERITI;469.827;1;6
RJ;TERESÓPOLIS;162.075;1;2
RJ;TRES RIOS;76.075;1;1
RJ;VALENÇA;75.819;1;1
RJ;VOLTA REDONDA;261.403;3;6
RN;NATAL;806.203;2;14
RO;ARIQUEMES;85.541;1;1
RO;CACOAL;78.675;1;1
RO;JI PARANÁ;111.010;1;1
RO;PORTO VELHO;382.829;3;7
RO;ROLIM DE MOURA;50.499;1;1
RO;VILHENA;69.866;1;1
RR;BOA VISTA;266.901;1;5
RS;BAGÉ;115.745;1;1
RS;BENTO GONÇALVES;106.999;1;3
RS;CACHOEIRA DO SUL;86.557;1;1
RS;CACHOEIRINHA;118.089;1;2
RS;CAMPO BOM;59.366;1;2
RS;CANELA;41.115;1;1
RS;CANOAS;332.056;1;7
RS;CAPÃO DA CANOA;40.861;1;2
RS;CARAZINHO;60.388;1;1
RS;CARLOS BARBOSA;25.866;1;1
RS;CAXIAS DO SUL;410.166;3;8
