#;UF;Município;População*;Nome Complexo ;Grupo ANCINE;Registro Ancine do Complexo;Número de Salas
30;BA;FEIRA DE SANTANA;609.913;Cinesercla Feira de Santana;LB CINEMAS;37997;5
31;BA;FEIRA DE SANTANA;609.913;Orient Cineplace Boulevard Shopping;ORIENT;6630;4
32;BA;GUANAMBI;84.014;Cine Premier Guanambi;PREMIER;41391;1
33;BA;ILHÉUS;164.844;Cine Santa Clara;CINE FILMES;29218;2
34;BA;JUAZEIRO;215.183;Cinemark Juazeiro (Juá Garden Shopping);CINEMARK;33084;4
35;BA;LUÍS EDUARDO MAGALHÃES;84.753;Cine Premier Luís Eduardo Magalhães;PREMIER;35816;2
36;BA;PORTO SEGURO;146.625;Cine Plaza;CINE FILMES;20446;1
37;BA;SALVADOR;2.857.329;Cinemark Salvador;CINEMARK;12976;10
38;BA;SALVADOR;2.857.329;Cinépolis Bela Vista;CINÉPOLIS;21610;9
39;BA;SALVADOR;2.857.329;Cinépolis Salvador Norte;CINÉPOLIS;17729;6
40;BA;SALVADOR;2.857.329;Cinesercla Cajazeiras;EXIBIDORA NACIONAL;32718;4
41;BA;SALVADOR;2.857.329;Espaço Itaú de Cinema - Salvador;ESPAÇO;6679;4
42;BA;SALVADOR;2.857.329;Mobi Cine Salvador;MOBICINE;40731;2
43;BA;SALVADOR;2.857.329;Sala de Arte Cine Paseo;SALA DE ARTE;19661;2
44;BA;SALVADOR;2.857.329;Sala de Arte Cinema da UFBA;SALA DE ARTE;15654;1
45;BA;SALVADOR;2.857.329;Sala de Arte Cinema do Museu;SALA DE ARTE;5693;1
46;BA;SALVADOR;2.857.329;UCI Orient Paralela;UCI ORIENT;16207;6
47;BA;SALVADOR;2.857.329;UCI Orient Shopping Barra;UCI ORIENT;26893;8
48;BA;SALVADOR;2.857.329;UCI Orient Shopping da Bahia;UCI ORIENT;6586;12
49;BA;SANTO ANTÔNIO DE JESUS;100.605;Cine Itaguari;INDEPENDENTE;6588;2
50;BA;SERRINHA;80.411;Orient Shopping Serrinha;ORIENT;30607;2
51;BA;TEIXEIRA DE FREITAS;158.445;Cine Teixeira;CINE FILMES;15243;2
52;BA;TEIXEIRA DE FREITAS;158.445;Cinesercla PátioMix Teixeira de Freitas;ADICINE;28475;4
53;BA;VITÓRIA DA CONQUISTA;338.885;Centerplex Boulevard Vitória da Conquista;CENTERPLEX;40318;6
54;BA;VITÓRIA DA CONQUISTA;338.885;Moviecom Conquista Sul;MOVIECOM SÃO PAULO;6181;3
55;CE;ARACATI;74.084;Pinheiro Cinema Bom Viznho Aracati;PINHEIRO;30930;2
56;CE;CAUCAIA;363.982;Cinesercla Iandê Caucaia;EXIBIDORA NACIONAL;23479;4
57;CE;FORTALEZA;2.643.247;Arcoplex Aldeota;ARCOPLEX;24037;3
58;CE;FORTALEZA;2.643.247;Arcoplex Del Paseo;ARCOPLEX;24046;2
59;CE;FORTALEZA;2.643.247;Centerplex Grand Shopping Messejana;CENTERPLEX;34486;5
60;CE;FORTALEZA;2.643.247;Centerplex Via Sul Shopping;CENTERPLEX;16322;6
61;CE;FORTALEZA;2.643.247;Cinema do Dragão - Fundação Joaquim Nabuco;INDEPENDENTE;25387;2
62;CE;FORTALEZA;2.643.247;Cinemas Benfica;INDEPENDENTE;15691;4
63;CE;FORTALEZA;2.643.247;Cinépolis North Shopping Jóquei;CINÉPOLIS;25960;5
64;CE;FORTALEZA;2.643.247;Cinépolis RioMar Fortaleza;CINÉPOLIS;27076;10
65;CE;FORTALEZA;2.643.247;KINOPLEXNorth Shopping;KINOPLEX;2414;6
66;CE;FORTALEZA;2.643.247;Shopping RioMar Presidente Kennedy;CINÉPOLIS;34309;6
67;CE;FORTALEZA;2.643.247;UCI Kinoplex Iguatemi Fortaleza;UCI RIBEIRO;2616;12
68;CE;FORTALEZA;2.643.247;UCI Shopping Parangaba;UCI;27591;6
69;CE;JUAZEIRO DO NORTE;271.926;Orient Cariri Garden Shopping;ORIENT;27981;6
70;CE;LIMOEIRO DO NORTE;59.278;Pinheiro Cinema Francisco Lucena;PINHEIRO;27568;2
71;CE;MARACANAÚ;226.128;Centerplex North Shopping Maracanaú;CENTERPLEX;16969;4
72;CE;MARANGUAPE;127.098;Centerplex Maranguape Shopping;CENTERPLEX;35978;2
73;CE;QUIXADÁ;87.116;Pinheiro Cinema Quixadá;PINHEIRO;17606;2
74;CE;SOBRAL;206.644;Multicine North Shopping Sobral;MULTICINE;31088;5
75;CE;SOBRAL;206.644;Pinheiro Cinema Renato Aragão;PINHEIRO;34139;3
76;CE;TIANGUÁ;75.140;Movieplex Cine Ibiapaba;INDEPENDENTE;36107;2
77;DF;BRASÍLIA;2.974.703;Arcoplex Águas Claras;ARCOPLEX;24036;4
78;DF;BRASÍLIA;2.974.703;Cine Brasília;INDEPENDENTE;36651;1
79;DF;BRASÍLIA;2.974.703;Cine Cultura Liberty Mall;INDEPENDENTE;20963;4
80;DF;BRASÍLIA;2.974.703;Cine Drive In;INDEPENDENTE;6715;1
81;DF;BRASÍLIA;2.974.703;Cine Premier Sobradinho;PREMIER;19457;3
82;DF;BRASÍLIA;2.974.703;Cineflix JK Shopping;CINEFLIX;24535;6
83;DF;BRASÍLIA;2.974.703;Cinemark Iguatemi Brasília;CINEMARK;17609;6
84;DF;BRASÍLIA;2.974.703;Cinemark Pier 21;CINEMARK;2535;13
85;DF;BRASÍLIA;2.974.703;Cinemark Taguatinga Shopping;CINEMARK;2534;9
86;DF;BRASÍLIA;2.974.703;Espaço Itaú de Cinema - Brasília;ESPAÇO;20590;9
87;DF;BRASÍLIA;2.974.703;KINOPLEX Cinema Terraço Shopping;KINOPLEX;2411;5
88;DF;BRASÍLIA;2.974.703;KINOPLEXBoulevard;KINOPLEX;16402;4
89;DF;BRASÍLIA;2.974.703;KINOPLEXCinema Pátio Brasil;KINOPLEX;2412;6
90;DF;BRASÍLIA;2.974.703;KINOPLEXPark Shopping;KINOPLEX;2415;11
91;DF;BRASÍLIA;2.974.703;Multicine Santa Maria Shopping;MULTICINE;30733;6
92;ES;ARACRUZ;99.305;AFA Cine Ritz Aracruz;AFA;32422;2
93;ES;CACHOEIRO DE ITAPEMIRIM;207.324;AFA Cine Ritz Perim Center;AFA;35405;3
94;ES;CACHOEIRO DE ITAPEMIRIM;207.324;AFA Cine Ritz Sul (Cachoeiro);AFA;17321;4
95;ES;CACHOEIRO DE ITAPEMIRIM;207.324;AFA Cine Unimed Sul;AFA;S/REG;4
