"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2009""";;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)""";
"""36""";04/03/2009;"""7""";"""Surf Camp""";"""docu-reality""";"""09/03/2009 a 21/03/2009""";"""Rex Produções Audiovisuais Ltda""";"""SP""";"""Made in Prod""";"""França """;"""Estrangeira """;"""PE/RN""";
"""37""";05/03/2009;"""1""";"""Catch the Moment""";"""documentário """;"""08/03/2009 a 15/03/2009""";"""Brasileira Imagem e Conteúdo Filmes Ltda""";"""SP""";"""Eqal Visual Productions""";"""Suíça""";"""Estrangeira """;"""RJ""";
"""38""";06/03/2009;"""2""";"""Chinese Whispers""";"""publicitária """;"""28/03/2009 a 08/04/2009""";"""Paradiso Films Ltda""";"""SP""";"""Partizan Entertainment""";"""Inglaterra """;"""Estrangeira """;"""SP """;
"""39""";09/03/2009;"""2""";"""Connecting Classrooms""";"""institucional """;"""23/03/2009 a 04/04/2009""";"""Sol Entertainment Ltda. """;"""RJ""";"""Illumina Digital""";"""Inglaterra """;"""Estrangeira """;"""SP/PE""";
"""40""";10/03/2009;"""16""";"""I´m active""";"""publicitária """;"""20/03/2009 a 02/04/2009""";"""Planeta Film S.A """;"""SP""";"""Park Pictures""";"""Estados Unidos """;"""Estrangeira """;"""SP """;
"""41""";11/03/2009;"""3""";"""Superreiche in Brasilien""";"""documentário """;"""27/03/2009 a 09/04/2009""";"""Aura Filme Produções Ltda. """;"""RJ""";"""RTL Television""";"""Alemanha""";"""Estrangeira """;"""RJ/SP""";
"""42""";11/03/2009;"""3""";"""Nescau Cereal""";"""publicitária """;"""17/03/2009 a 01/04/2009""";"""Zohar Cinema e Comunicação Ltda. """;"""RJ""";"""Midi Minuit Paris""";"""França """;"""Estrangeira """;"""RJ""";
"""43""";11/03/2009;"""1""";"""P0787 BLG Brasil (BMS)""";"""institucional """;"""12/03/2009 a 27/03/2009""";"""Sol Entertainment Ltda. """;"""RJ""";"""Bockfilm GmbH""";"""Alemanha""";"""Estrangeira """;"""RJ""";
"""44""";16/03/2009;"""6""";"""Another Sky""";"""documentário """;"""09/04/2009 a 19/04/2009""";"""Town Network Produções Audiovisuais Ltda""";"""SP""";"""Nippon Television Network Corporation""";"""Japão""";"""Estrangeira """;"""PR/RJ/SP""";
"""45""";17/03/2009;"""2""";"""Unreported World: Brazil""";"""documentário """;"""30/03/2009 a 16/04/2009""";"""Brian Sewell Produções Cinematográficas""";"""RJ""";"""Quicksilver Media Ltd""";"""Inglaterra """;"""Estrangeira """;"""PE""";
"""46""";19/03/2009;"""2""";"""Através do Pampa - O ônibus distante""";"""documentário """;"""17/04/2009 a  26/04/2009""";"""Sol Entertainment Ltda. """;"""RJ""";"""Telekult Film and Media Production GmbH""";"""Alemanha""";"""Estrangeira """;"""SC/SP/RS""";
"""47""";06/03/2009;"""2""";"""ZTE fully package""";"""publicitária """;"""10/03/2009 a 30/03/2009""";"""Villa Filmes Produções Artísticas Ltda""";"""RJ""";"""STILL - Sociedade de Tratamento de Imagem Lusitana Ltda""";"""Portugal """;"""Estrangeira """;"""RJ""";
"""48""";19/03/2009;"""2""";"""The Cuinary Institute of America´s 2009 World Culinary Arts Dvd & Internet Project""";"""documentário """;"""15/04/2009 a 28/04/2009""";"""Evandro Cruz Filho""";"""MG""";"""John Austin Barkley- Culinary Institute of America""";"""Estados Unidos """;"""Estrangeira """;"""BA/SP/RJ""";
"""49""";20/03/2009;"""2""";"""Juliana Paes""";"""publicitária """;"""20/03/2009 a 10/04/2009""";"""Zohar Cinema e Comunicação Ltda. """;"""RJ""";"""xxx""";"""xxx""";"""Brasileira """;"""RJ""";
"""50""";23/03/2009;"""4""";"""It could never happen to me""";"""documentário """;"""22/04/2009 a 04/05/2009""";"""Ocean Produção de Filmes Ltda. """;"""SC""";"""Hipgnosis Ltd""";"""Inglaterra """;"""Estrangeira """;"""SP""";
"""51""";23/03/2009;"""3""";"""Human Planet""";"""documentário """;"""28/04/2009 a 17/05/2009""";"""Neon Rio Ltda """;"""RJ""";"""BBC - British Broadcasting Corporation""";"""Inglaterra """;"""Estrangeira """;"""SC""";
"""52""";24/03/2009;"""2""";"""Safety and Offshore Sailing""";"""documentário """;"""03/04/2009 a 15/04/2009""";"""Neon Rio Ltda """;"""RJ""";"""IMG Sports Media""";"""Inglaterra """;"""Estrangeira """;"""RJ""";
"""53""";01/04/2009;"""1""";"""It happened in Rio""";"""documentário """;"""02/04/2009 a 29/04/2009""";"""MW Produções Ltda""";"""RJ""";"""Sparrows Film Production""";"""Suíça""";"""Estrangeira """;"""RJ""";
"""54""";01/04/2009;"""15""";"""Preparation""";"""publicitária """;"""06/04/2009 a 06/05/2009""";"""Planeta Film S.A """;"""SP""";"""Park Pictures""";"""Estados Unidos """;"""Estrangeira """;"""SP""";
"""55""";02/04/2009;"""4""";"""Pantene - Nature Fusion""";"""publicitária """;"""20/04/2009 a 25/05/2009""";"""O2 Produções Artísticas e Cinematográficas Ltda """;"""SP""";"""Believe Media""";"""Estados Unidos """;"""Estrangeira """;"""SP""";
"""56""";03/04/2009;"""2""";"""11 Minutes""";"""ficção""";"""06/04/2009 a 04/08/2009""";"""RT2A Produções Cinematográficas Ltda""";"""RJ""";"""Eleven Minutes Productions Inc.""";"""Estados Unidos """;"""Estrangeira """;"""RJ""";
"""57""";06/04/2009;"""2""";"""Ik Vertrek""";"""documentário """;"""13/04/2009 a 18/04/2009""";"""Rex Produções Audiovisuais Ltda""";"""SP""";"""René Stokvis Producties B.V.""";"""Holanda """;"""Estrangeira """;"""CE""";
"""58""";08/04/2009;"""1""";"""Sekai No Shashoku""";"""documentário """;"""22/04/2009 a 02/05/2009""";"""XES Projetos Visuais Ltda """;"""SP""";"""NHK - Nippon Hoso Kyokai""";"""Japão""";"""Estrangeira """;"""PR/SP""";
"""59""";08/04/2009;"""2""";"""Heiseiza- Ningyo Jyohruri""";"""documentário """;"""27/04/2009 a 07/05/2009""";"""XES Projetos Visuais Ltda """;"""SP""";"""Japan Broadcasting Co.- Tokushima Station""";"""Japão""";"""Estrangeira """;"""SP""";
"""60""";09/04/2009;"""2""";"""Mico Leão Dourado""";"""documentário """;"""08/05/2009 a 20/06/2009""";"""Town Network Produções Audiovisuais Ltda""";"""SP""";"""Antas Productions Ltd.""";"""Japão""";"""Estrangeira """;"""RJ/SP""";
"""61""";09/04/2009;"""4""";"""BNN Abroad""";"""documentário """;"""05/05/2009 a 12/05/2009""";"""Associação GM de Prestadores de serviços Artísticos e Culturais""";"""RJ""";"""BNN""";"""Holanda """;"""Estrangeira """;"""RJ""";
"""62""";09/04/2009;"""4""";"""Turning 32""";"""documentário """;"""01/05/2009 a 10/05/2009""";"""Brian Sewell Produções Cinematográficas""";"""RJ""";"""Adobe Production International""";"""Canadá""";"""Estrangeira """;"""MA/RJ""";
"""63""";15/04/2009;"""4""";"""Explorer - Twins of Brazil""";"""documentário """;"""18/04/2009 a 09/05/2009""";"""Blue Eye Empreendimentos e Produções Audiovisuais Ltda""";"""RJ""";"""National Geographic Television""";"""Estados Unidos """;"""Estrangeira """;"""RS/SP""";
"""64""";14/04/2009;"""5""";"""Lazytown Extra""";"""programa de TV""";"""22/04/2009 a 01/05/2009""";"""Primo Filmes Ltda""";"""SP""";"""Promofilm US LLC""";"""Estados Unidos """;"""Estrangeira """;"""SP""";
"""65""";17/04/2009;"""3""";"""Working the Amazon""";"""documentário """;"""18/04/2009 a 18/10/2009""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM """;"""Ginger Productions""";"""Inglaterra""";"""Estrangeira """;"""AM/PA""";
"""66""";20/04/2009;"""62""";"""The Amazing Race""";"""programa de TV (reality show) """;"""25/05/2009 a 30/05/2009""";"""Farofa Filmes Ltda""";"""RS""";"""Medios y Contenidos Producciones S.A.""";"""Argentina """;"""Estrangeira """;"""PR/RS""";
"""67""";22/04/2009;"""2""";"""Brazil's Football""";"""documentário """;"""03/05/2009 a 15/05/2009""";"""Neon Rio Ltda """;"""RJ""";"""IMG Media Ltd""";"""Inglaterra """;"""Estrangeira """;"""RJ""";
"""68""";28/04/2009;"""14""";"""Last Woman Standing""";"""documentário """;"""10/05/2009 a 20/06/2008""";"""Neon Rio Ltda """;"""RJ""";"""BBC - British Brodcasting Corporation""";"""Inglaterra""";"""Estrangeira """;"""GO/MT""";
"""69""";05/05/2009;"""3""";"""Bring It""";"""publicitária """;"""06/05/2009 a 15/05/2009""";"""Zohar Cinema e Comunicação Ltda. """;"""RJ""";"""Radical Media Los Angeles""";"""Estados Unidos """;"""Estrangeira """;"""RJ""";
"""70""";07/05/2009;"""2""";"""Darwin Ga Kita""";"""documentário """;"""27/05/2009 a 29/06/2009""";"""América do Sul Produções de Documentários Ltda. """;"""SP""";"""Win-K Corporation""";"""Japão""";"""Estrangeira """;"""MT/PR""";
"""71""";07/05/2009;"""3""";"""History of Christianity""";"""documentário """;"""29/05/2009 a 02/06/2009""";"""Santo Forte Criação Cinematográfica Ltda""";"""RJ""";"""BBC-Religion & Ethics""";"""Inglaterra""";"""Estrangeira """;"""RJ""";
"""72""";08/05/2009;"""3""";"""Nycomed - Everything we do matters to someone""";"""publicitária """;"""08/05/2009 a 22/05/2009""";"""O2 Produções Artísticas e Cinematográficas Ltda """;"""SP""";"""Marvin Entholt Filmproduktion""";"""Alemanha""";"""Estrangeira """;"""SP""";
"""73""";08/05/2009;"""1""";"""A.Hak Industrial Services/ Petrobrás Corporate Video""";"""institucional """;"""20/05/2009 a 25/05/2009""";"""Utopia Filmes Produção Artística Ltda """;"""RJ""";"""Van Luyken Communicatie Adviseurs""";"""Holanda """;"""Estrangeira """;"""BA""";
"""74""";11/05/2009;"""2""";"""Beagle, o futuro das espécies""";"""documentário """;"""11/05/2009 a 24/05/2009""";"""Perin Filmes Ltda """;"""AM """;"""VPRO Television""";"""Holanda """;"""Estrangeira """;"""RR""";
"""75""";11/05/2009;"""5""";"""Child Fund""";"""institucional """;"""15/05/2009 a 03/06/2009""";"""Brasileira Imagem e Conteúdo Filmes Ltda""";"""SP""";"""Christian Children's Fund""";"""Canadá""";"""Estrangeira """;"""MG""";
"""76""";12/05/2009;"""3""";"""Transmigração: da mente e do corpo""";"""ficção""";"""09/05/2009 a 30/06/2009""";"""Social Filmes Produções Cinematográficas Ltda""";"""SP""";"""Sunshine Entertainment Group LLC""";"""Estados Unidos """;"""Coprodução""";"""MT""";
"""77""";14/05/2009;"""4""";"""Més amitiés aux Tapirapés """;"""documentário """;"""15/05/2009 a 14/07/2009""";"""Kinofilmes Produções Artísticas e Cinematográficas Ltda""";"""RJ""";"""S.A.R.L in Extremis Productions""";"""França """;"""Estrangeira """;"""MT""";
"""78""";14/05/2009;"""11""";"""Amazônia""";"""documentário """;"""10/06/2009 a 30/10/2009""";"""Neon Rio Ltda """;"""RJ""";"""MBC- Munwha Broadcasting Corporation""";"""Coréia do Sul""";"""Estrangeira """;"""AC/AM/PA/RO""";
"""79""";15/05/2009;"""2""";"""Darius Milhaud, Français de Provence, Chantre de L'universel""";"""documentário """;"""24/05/2009 a 05/06/2009""";"""Bonfilm Produção e Distribuição Audiovisual Ltda""";"""RJ""";"""Steinval Productions""";"""França """;"""Estrangeira """;"""RJ""";
"""80""";19/05/2009;"""3""";"""Goodbye Deutschland, Brasilien 2009""";"""documentário """;"""28/05/2009 a 07/06/2009""";"""Aura Filme Produções Ltda. """;"""RJ""";"""Eyeworks GmbH""";"""Alemanha""";"""Estrangeira """;"""BA""";
"""81""";20/05/2009;"""3""";"""Hot Spots""";"""documentário """;"""02/06/2009 a 07/08/2009""";"""The Amazon Touch Produções Ltda""";"""SP""";"""Japan Broadcasting Corporation""";"""Japão""";"""Estrangeira """;"""BA/GO/MS/PI/SP""";
"""82""";22/05/2009;"""8""";"""Extreme Food""";"""programa de tv""";"""25/05/2009 a 18/06/2009""";"""UNITV Produtora Ltda""";"""RJ""";"""GP Producciones S.A""";"""Argentina """;"""Estrangeira """;"""AM/BA/PA/RJ""";
"""83""";26/05/2009;"""5""";"""Nosso Lar""";"""ficção""";"""05/06/2009 a 20/09/2009""";"""Cinética Filmes e Produções Ltda""";"""RJ""";"""xxx""";"""xxx""";"""Brasileira """;"""RJ""";
"""84""";27/05/2009;"""3""";"""Expressões Orais e Gráficas dos Wajãpi""";"""documentário """;"""29/05/2009 a 05/07/2009""";"""Marca D'água Produções Ltda""";"""SP""";"""Zoo Ethnological Documentaries-ZED""";"""França """;"""Estrangeira """;"""AP""";
"""85""";27/05/2009;"""2""";"""BG Lifer Saver""";"""institucional """;"""02/07/2009 a 12/07/2009""";"""Brian M Sewell Produções Cinematográficas""";"""RJ""";"""Stonehenge Productions""";"""Estados Unidos """;"""Estrangeira """;"""RJ/SP""";
"""86""";28/05/2009;"""3""";"""Sapo 3 em 1""";"""publicitária """;"""28/05/2009 a 06/06/2009""";"""Villa Filmes Produções Artísticas Ltda""";"""RJ""";"""STILL- Sociedade de Tratamento de Imagem Lusitana Ltda""";"""Portugal """;"""Estrangeira """;"""RJ""";
"""87""";28/05/2009;"""5""";"""Adventure Capitalist""";"""documentário """;"""08/06/2009 a 30/06/2009""";"""Neon Rio Ltda """;"""RJ""";"""Tiger Aspect Productions""";"""Inglaterra""";"""Estrangeira """;"""RJ/SP""";
"""88""";01/06/2009;"""10""";"""Go Beyond """;"""publicitária """;"""04/06/2009 a 30/06/2009""";"""Ocean Produção de Filmes Ltda. """;"""SC""";"""Sandwick""";"""Estados Unidos """;"""Estrangeira """;"""SP""";
"""89""";01/06/2009;"""8""";"""Extreme Cuisine with Jeff Corwin""";"""programa de tv""";"""09/06/2009 a 30/06/2009""";"""Blue Eye Empreendimentos e Produções Audiovisuais Ltda""";"""RJ""";"""Citizen Pictures, LLC""";"""Estados Unidos """;"""Estrangeira """;"""AM/BA""";
"""90""";03/06/2009;"""1""";"""História do intercâmbio musical entre o Japão e o Brasil """;"""documentário """;"""13/06/2009 a 18/07/2009""";"""Town Network Produções Audiovisuais Ltda""";"""SP""";"""A.N. Production """;"""Japão""";"""Estrangeira """;"""RJ/SP""";
"""91""";03/06/2009;"""7""";"""Seven Wonders of the Solar System (As Sete Maravilhas do Sistema Solar) """;"""documentário """;"""14/06/2009 a 21/06/2009""";"""Neon Rio Ltda """;"""RJ""";"""British Broadcasting Corporation""";"""Inglaterra""";"""Estrangeira """;"""PR""";
"""92""";04/06/2009;"""2""";"""Unique Hotels """;"""documentário """;"""15/06/2009 a 22/06/2009""";"""Utopia Filmes Produção Artística Ltda """;"""RJ""";"""Fflic Films """;"""País de Gales""";"""Estrangeira """;"""SP""";
"""93""";04/06/2009;"""2""";"""As Vidas de Chico Xavier""";"""ficção""";"""08/06/2009 a 15/08/2009""";"""Lereby Produções Ltda""";"""RJ""";"""xxx""";"""xxx""";"""Brasileira """;"""MG/RJ/SP""";
"""94""";08/06/2009;"""2""";"""Fuga sobre Amazonas """;"""documentário """;"""15/06/2009 a 31/08/2009""";"""Sol Entertainment Ltda. """;"""RJ""";"""Filmquadrat.dok GmbH""";"""Alemanha""";"""Estrangeira """;"""AC/AM/RJ""";
"""95""";10/06/2009;"""2""";"""The Real... Rio """;"""documentário """;"""20/06/2009 a 25/06/2009""";"""Alfixit Produções Culturais e Artísticas Ltda""";"""SP""";"""Uproar Productions """;"""Inglaterra""";"""Estrangeira """;"""RJ""";
"""96""";12/06/2009;"""2""";"""Chronos""";"""publicitária """;"""15/06/2009 a 22/06/2009""";"""Produtora de Cinema e Filmes Associados Ltda """;"""RJ""";"""xxx""";"""xxx""";"""Brasileira """;"""SP""";
"""97""";15/06/2009;"""2""";"""Is it better to be mixed race?""";"""documentário """;"""27/06/2009 a 02/07/2009""";"""Rex Produções Cinematográficas Ltda""";"""SP""";"""Endemol UK Plc t/a Cheetah Television""";"""Inglaterra""";"""Estrangeira """;"""RJ""";
"""98""";16/06/2009;"""3""";"""Merck's Committment to HIV/AIDS - O Compromisso da Merck com a Prevenção da AIDS """;"""documentário """;"""21/06/2009 a 27/06/2009""";"""Polo de Imagem Ltda """;"""SP""";"""Kaplan Eduneering""";"""Estados Unidos """;"""Estrangeira """;"""SP""";
"""99""";17/06/2009;"""4""";"""Ilha Bela Sailing Week""";"""documentário """;"""01/07/2009 a 12/07/2009""";"""Neon Rio Ltda """;"""RJ""";"""IMG Media Ltd""";"""Inglaterra""";"""Estrangeira """;"""SP""";
"""100""";17/06/2009;"""2""";"""Lux-Stripperlicious """;"""documentário """;"""18/05/2009 a 20/06/2009""";"""Hungry Man Rio Produções Ltda""";"""RJ""";"""Filmgraphics Productions """;"""Austrália """;"""Estrangeira """;"""RJ""";
"""101""";17/06/2009;"""5""";"""Going South-Cycling through The Americas """;"""documentário """;"""08/07/2009 a 23/07/2009 e de 15/09/2009 a 10/10/2009""";"""Brian Sewell Produções Cinematográficas""";"""RJ""";"""Deepeei Film Productions """;"""Holanda """;"""Estrangeira """;"""AC/BA/PA/
SC/SP""";
"""102""";19/06/2009;"""7""";"""The Keeper""";"""publicitária """;"""27/06/2009 a 14/07/2009""";"""Ocean Produção de Filmes Ltda. """;"""SC""";"""Stink Ltd""";"""Inglaterra""";"""Estrangeira """;"""AM/SP""";
"""103""";23/06/2009;"""3""";"""Millennium Atlantic""";"""institucional """;"""26/06/2009 a 05/07/2009""";"""D'Bartolo Filmes e Entretenimento Ltda""";"""SP""";"""CDI Virtual Films Inc. """;"""Estados Unidos """;"""Estrangeira """;"""SP""";
"""104""";23/06/2009;"""3""";"""A Percepção do Movimento""";"""documentário """;"""27/06/2009 a 03/07/2009""";"""Bonfilm Produção e Distribuição Audiovisual Ltda""";"""RJ""";"""Euro RSCG C&O""";"""França """;"""Estrangeira """;"""RJ""";
"""105""";25/06/2009;"""1""";"""A Última Casa de Ópio""";"""ficção""";"""01/07/2009 a 08/07/2009""";"""Coevos Filmes Ltda""";"""RJ""";"""xxx""";"""xxx""";"""Brasileira """;"""RJ""";
"""106""";26/06/2009;"""3""";"""""Cooking Pot"" e ""Ballon""""";"""publicitária """;"""05/07/2009 a 12/07/2009""";"""JKR Produções Artísticas Ltda """;"""RJ""";"""HSI London Ltda """;"""Inglaterra""";"""Estrangeira """;"""RJ""";
