"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2009""";;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)""";
"""1""";05/01/2009;"""1""";"""Filhos do Jaú""";"""documentário """;"""05/01/2009 a 20/01/2009""";"""Perin Filmes Ltda """;"""AM """;"""xxx""";"""xxx""";"""Brasileira """;"""AM """;
"""2""";07/01/2009;"""6""";"""Coca-Cola - Roger Milla """;"""publicitária """;"""16/01/2009 a 09/02/2009""";"""Planeta Film S.A """;"""SP""";"""Park Pictures""";"""Estados Unidos """;"""Estrangeira """;"""RJ""";
"""3""";07/01/2009;"""3""";"""Program 48""";"""programa de TV""";"""01/02/2009 a 28/02/2009""";"""Vermelho Filmes  Produções Ltda""";"""SP""";"""Aljazeera English """;"""Inglaterra """;"""Estrangeira """;"""SP """;
"""4""";08/01/2009;"""1""";"""Madereira """;"""documentário """;"""05/02/2009 a 05/03/2009""";"""Sol Entertainment Ltda. """;"""RJ""";"""Art Doku Ferseh Produktionen """;"""Alemanha""";"""Estrangeira """;"""AM """;
"""5""";09/01/2009;"""108""";"""La Fattoria """;"""programa de TV (reality show) """;"""13/01/2009 a 22/05/2009""";"""Focus Films Ltda. """;"""RJ""";"""Endemol Itália SPA""";"""Itália """;"""Estrangeira """;"""RJ""";
"""6""";09/01/2009;"""2""";"""Yumemachibito """;"""documentário """;"""26/01/2009 a 05/02/2009""";"""América do Sul Produções de Documentários Ltda. """;"""SP""";"""Fujisankei Communications International, Inc.  """;"""Estados Unidos """;"""Estrangeira """;"""SP """;
"""7""";09/01/2009;"""11""";"""H&M - Matthew Williamson """;"""publicitária """;"""20/01/2009 a 05/02/2009""";"""Zohar Cinema e Comunicação Ltda. """;"""RJ""";"""Renck Akerlund Films """;"""Suécia """;"""Estrangeira """;"""RJ""";
"""8""";16/01/2009;"""5""";"""Carnaval Rio 2009""";"""documentário """;"""01/02/2009 a 28/02/2009""";"""D'Bartolo Filmes e Entretenimento Ltda""";"""SP""";"""CDI Virtual Films Inc. """;"""Estados Unidos """;"""Estrangeira """;"""RJ""";
"""9""";16/01/2009;"""1""";"""Tchila a vida com Super Bock """;"""publicitária """;"""17/01/2009 a 27/01/2009""";"""Utopia Filmes Produção Artística Ltda """;"""RJ""";"""Tangerina Azul Filmes """;"""Portugal """;"""Estrangeira """;"""RJ""";
"""10""";21/01/2009;"""4""";"""Xtreme Tourist""";"""documentário """;"""02/02/2009 a 24/02/2009""";"""Spotlight Filmes e Produções Ltda """;"""RJ""";"""8Fish Productions """;"""Estados Unidos """;"""Estrangeira """;"""AM/RJ """;
"""11""";21/01/2009;"""6""";"""Bi-O Femme e Bi-O Homme """;"""publicitária """;"""22/01/2009 a 10/02/2009""";"""Villa Filmes Produções Artísticas Ltda""";"""RJ""";"""Cake Films """;"""França """;"""Estrangeira """;"""RJ""";
"""12""";21/01/2009;"""2""";"""Pizza""";"""publicitária """;"""26/01/2009 a 26/02/2009""";"""Ocean Produção de Filmes Ltda. """;"""SC""";"""Paydirt""";"""Estados Unidos """;"""Estrangeira """;"""RJ/SP""";
"""012-1""";03/02/2009;"""Cancelamento da produção """;"""Pizza""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";
"""13""";22/01/2009;"""4""";"""CDI (Committee for Democracy in Information Technology)""";"""institucional """;"""05/02/2009 a 15/02/2009""";"""Neon Rio Ltda """;"""RJ""";"""Kikim Media """;"""Estados Unidos """;"""Estrangeira """;"""RJ/SP""";
"""14""";26/01/2009;"""3""";"""Enquête Exclusive Amazonie """;"""documentário """;"""02/02/2009 a 08/02/2009""";"""Aura Filme Produções Ltda. """;"""RJ""";"""C.Productions M6""";"""França """;"""Estrangeira """;"""PA """;
"""15""";27/01/2009;"""4""";"""Davidoff """;"""publicitária """;"""27/01/2009 a 30/02/2009""";"""O2 Produções Artísticas e Cinematográficas Ltda """;"""SP""";"""Identity""";"""Estados Unidos """;"""Estrangeira """;"""RJ""";
"""16""";27/01/2009;"""4""";"""Brazil's world famous Carnival """;"""documentário """;"""15/02/2009 a 28/02/2009""";"""Neon Rio Ltda """;"""RJ""";"""Nine Network Australia Pty Ltd""";"""Austrália """;"""Estrangeira """;"""RJ""";
"""17""";28/01/2009;"""2""";"""The Bigger Picture """;"""programa de TV """;"""17/02/2009 a 26/02/2009""";"""Utopia Filmes Produção Artística Ltda """;"""RJ """;"""Eyeworks BV """;"""Holanda """;"""Estrangeira """;"""RJ""";
"""18""";30/01/2009;"""4""";"""Surbúrbios do Rio """;"""documentário """;"""25/02/2009 a 15/03/2009 """;"""Neon Rio Ltda """;"""RJ""";"""Endemol Argentina S.A.""";"""Argentina """;"""Estrangeira """;"""RJ """;
"""19""";30/01/2009;"""4""";"""Mitos """;"""documentário """;"""08/03/2009 a 16/03/2009""";"""Sol Entertainment Ltda. """;"""RJ """;"""Felix Breischat Medienwerkstaat GmbH """;"""Alemanha""";"""Estrangeira """;"""AM""";
"""20""";03/02/2009;"""4""";"""Os 100 japoneses que mudaram a face da Terra""";"""documentário """;"""25/02/2009 a 07/03/2009 """;"""XES Projetos Visuais Ltda """;"""SP""";"""Imagine Inc.""";"""Japão""";"""Estrangeira """;"""BA/PR/PA/
SP""";
"""21""";05/02/2009;"""11""";"""Desfile das Escolas de Samba 2009""";"""captação de imagens""";"""19/02/2009 a 24/02/2009""";"""Globo Comunicação e Participações S/A""";"""RJ""";"""xxx""";"""xxx""";"""Brasileira """;"""RJ""";
"""22""";09/02/2009;"""3""";"""Cientistas baixo ataque""";"""documentário """;"""23/02/2009 a 02/03/2009""";"""Sol Entertainment Ltda. """;"""RJ""";"""Denkmal Film GmbH""";"""Alemanha""";"""Estrangeira """;"""RS""";
"""23""";06/02/2009;"""11""";"""Coca-Cola Incomparable """;"""publicitária """;"""11/02/2009 a 18/02/2009""";"""Zohar Cinema e Comunicação Ltda. """;"""RJ""";"""23 S.A""";"""Argentina """;"""Estrangeira """;"""RJ""";
"""24""";12/02/2009;"""5""";"""Rosa Morena""";"""ficção""";"""20/07/2009 a 20/09/2009""";"""Ginga Eleven Produções Ltda""";"""SP""";"""Fine & Mellow A/S""";"""Dinamarca""";"""Coprodução""";"""SP """;
"""25""";13/02/2009;"""4""";"""Perrier- Melting""";"""publicitária """;"""25/02/2009 a 08/03/2009""";"""Zohar Cinema e Comunicação Ltda. """;"""RJ""";"""Irenè""";"""França """;"""Estrangeira """;"""RJ""";
"""26""";16/02/2009;"""4""";"""BPA Viagem""";"""publicitária """;"""20/02/2009 a 20/03/2009""";"""Villa Filmes Produções Artísticas Ltda""";"""RJ""";"""STILL- Sociedade de Tratamento de Imagem Lusitana Ltda""";"""Portugal """;"""Estrangeira """;"""RJ""";
"""27""";16/02/2009;"""2""";"""Hello! Animal Parte II""";"""documentário """;"""04/03/2009 a 19/03/2009""";"""América do Sul Produções de Documentários Ltda. """;"""SP""";"""Win-K Corporation""";"""Japão""";"""Estrangeira """;"""MT/PR""";
"""28""";20/02/2009;"""3""";"""Filme Brasileiro #4""";"""documentário """;"""16/03/2009 a 31/03/2009""";"""Sol Entertainment Ltda. """;"""RJ""";"""Fact + Film Medienproduktions GmbH""";"""Alemanha""";"""Estrangeira """;"""RJ""";
"""29""";20/02/2009;"""1""";"""Deutsche Bank Institucional""";"""institucional """;"""02/03/2009 a 12/03/2009""";"""Utopia Filmes Produção Artística Ltda """;"""RJ""";"""United Colors Productions""";"""Estados Unidos """;"""Estrangeira """;"""SP """;
"""30""";20/02/2009;"""9""";"""Volvo Ocean Race- round the world 2008-2009""";"""documentário """;"""15/03/2009 a 14/04/2009""";"""Neon Rio Ltda """;"""RJ""";"""Sunset + Vine Productions Ltd""";"""Inglaterra """;"""Estrangeira """;"""RJ""";
"""31""";20/02/2009;"""13""";"""Good Morning America""";"""programa de tv""";"""02/03/2009 a 12/03/2009""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM """;"""ABC - American Broadcasting Companies Inc.""";"""Estados Unidos """;"""Estrangeira """;"""AM""";
"""32""";27/02/2009;"""1""";"""Fortaleza""";"""institucional """;"""08/03/2009 a 14/03/2009""";"""Utopia Filmes Produção Artística Ltda """;"""RJ""";"""Media Process Group""";"""Estados Unidos """;"""Estrangeira """;"""CE""";
"""33""";27/02/2009;"""7""";"""Deadly 60""";"""documentário """;"""18/03/2009 a 05/04/2009""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM """;"""BBC-British Broadcasting Corporation""";"""Inglaterra """;"""Estrangeira """;"""AM/RR""";
"""34""";03/03/2009;"""9""";"""Road to Manhood""";"""documentário """;"""16/03/2009 a 28/03/2009""";"""Neon Rio Ltda """;"""RJ""";"""BBC - British Broadcasting Corporation""";"""Inglaterra """;"""Estrangeira """;"""AC""";
"""35""";04/03/2009;"""2""";"""Begging""";"""publicitária """;"""05/03/2009 a 18/03/2009""";"""Hungry Man Rio Produções Ltda""";"""RJ""";"""Stillking Films""";"""República Tcheca""";"""Estrangeira """;"""RJ""";
