Listagem de Autorizações de Produções Audiovisuais no Brasil com Participação de Profissionais Estrangeiros 2017;;;;;;;;;;;
;;;;;;;;;;;
Número de Autorização de Origem;Data da Aprovação;"Número de Técnicos/
Artistas Estrangeiros";Título da Obra;Tipo de Obra;Período Produção;Empresa Brasileira;UF;Empresa Estrangeira;País;Produção;Local de Filmagem (UF)
101;31/05/2017;2;"""Crazy Journey Special""";Documentário;"""27 de junho a 10 de julho de 2017""";WaSabi JB Comunicação Ltda.;RJ;"""TBS (Tokyo Broadcasting System Television, INC.)""";"""Japão""";Produção Estrangeira;"""Cuiabá e Parque Indigena do Xingu (MT)"""
95;01/06/2017;3;"""Dunus Table Water""";Obra Publicitária;"""2 a 17 de junho de 2017""";JKR Produções Artísticas Ltda;RJ;"""Ossytafano Internacional Co. Ltd""";"""Nigeria""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
105;02/06/2017;2;"""Awesome Festivals""";Documentário;"""10 a 20 de junho de 2017""";Blue Eye Empreendimentos e Produções Audiovisuais Ltda;RJ;"""BNN Vara""";"""Países Baixos""";Produção Estrangeira;"""São Paulo (SP)"""
107;02/06/2017;1;"""Sekaino Nani Kore!? Mistery""";Documentário;"""15 a 22 de junho de 2017""";BDT Planejamento e Comunicação Ltda.;SP;"""Octagon Corporation""";"""Japão""";Produção Estrangeira;"""São Paulo e Campinas (SP); Varginha e Três Corações (MG)"""
99;05/06/2017;2;"""Kinsuma - Hitorinougyo""";Documentário;"""14 a 29 de junho de 2017""";Fundação Fórmula Cultural;SP;"""Tokyo Broadcasting System Television, INC""";"""Japão""";Produção Estrangeira;"""São Paulo, Santo Antonio do Pinhal, Pindamonhangaba, Campos do Jordão, Santos e Piraju (SP); Jacarezinho e cidades do entorno (PR); Paracatu (MG)"""
106;05/06/2017;1;"""Screens""";Obra Publicitária;"""13 a 24 de junho de 2017""";Paranoid Brasil LTDA;SP;""" -""";""" -""";Produção Brasileira;"""São Paulo (SP)"""
108;05/06/2017;3;"""The Jangadeiros, The Tamers of The Ocean""";Documentário;"""20 a 30 de julho de 2017""";Dez e Vinte Produções Cinematográficas LTDA ME;SP;"""Découpages""";"""França""";Produção Estrangeira;"""Fortaleza e Prainha do Canto Verde (CE)"""
109;05/06/2017;3;"""Lonza Salto""";Institucional;"""05 a 09 de junho de 2017""";Ricardo Gonçalves Produções Cinematográficas ME;SP;"""CDI Virtual Films, INC""";"""Estados Unidos da América""";Produção Estrangeira;"""São Paulo (SP)"""
110;08/06/2017;6;"""Amazonas Delta""";Documentário;"""20 de julho a 10 de agosto de 2017""";Sol Entertainment Ltda.;RJ;"""Apollofilm SARL""";"""Suiça""";Produção Estrangeira;"""Macapá (AP), Ilha do Marajó e Belém (PA)"""
111;08/06/2017;4;"""Nova Lenda da Vida de Animais """;Documentário;"""04 de julho a 10 de agosto de 2017""";The Amazon Touch Produções LTDA;GO;"""Nippon Hoso Kyokai (NHK) - Japan Broadcasting Corporation""";"""Japão""";Produção Estrangeira;"""Alto Rio Tapajós (Rio São Benedito) (MT)"""
112;08/06/2017;2;"""O Grande Resistência""";Documentário;"""19 de junho a 12 de julho de 2017""";Mangaba Produções Ltda - ME;BA;"""Veya Internet Media Production LLC""";"""Turquia""";Produção Estrangeira;"""Porto Seguro (BA)"""
104;12/06/2017;3;"""Age of The Big Cats: Jaguar""";Documentário;"""28 de julho a 20 de agosto de 2017""";Mauricio Copetti de Moura - ME / Copetti Produções Cinematográficas Ltda - EPP;MS;"""Ammonite Ltd""";"""Reino Unido""";Produção Estrangeira;"""Cáceres (MT)"""
113;12/06/2017;2;"""Nihon he Ikitai Hito Ouendan - Quem quer vir ao Japão""";Documentário;"""19 de junho a 03 de julho de 2017""";Xes Projetos Visuais Ltda;SP;"""TV Box Inc""";"""Japão""";Produção Estrangeira;"""São Paulo (SP); Belém e Tomé Açu (PA); Manaus e Parintins (AM)"""
117;14/06/2017;1;"""Hidro-Thermal Exploration at Saint Paul's Arquipelago""";Educacional / Pesquisa;"""15 de junho a 09 de julho de 2017""";Contén Jujubas Filmes;SP;"""Novus Select""";"""Estados Unidos da América""";Produção Estrangeira;"""Arquipelágo de São Pedro e São Paulo (SP)"""
115;20/06/2017;6;"""M/V Alucia in Brazil - 2° Part""";Documentário;"""12 a 29 de julho de 2017""";Neon Rio Ltda;RJ;"""Alucia Productions LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""Fortaleza (CE); Belém (PB)"""
118;20/06/2017;3;"""Heroes Silenciosos""";Documentário;"""21 a 26 de junho de 2017""";Nono Produções Ltda;SP;"""Plataforma LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""Amarantes (MA)"""
114;21/06/2017;6;"""Into the Wild""";Documentário;"""16 a 24 de julho de 2017""";Viva Filmes Ltda;RJ;"""Simpel Media""";"""Holanda""";Produção Estrangeira;"""Goiânia (GO); Cuiabá, Barra das Garças e  Serra do Roncador (MT)"""
120;23/06/2017;1;"""Amigos""";Obra Publicitária;"""25 e 26 de junho de 2017""";AliceFilmes Ltda;SP;""" -""";""" -""";Produção Brasileira;"""São Paulo (SP)"""
116;26/06/2017;3;"""Yara Summit 2017""";Institucional;"""04 a 08 de julho de 2017""";Yans Felippe Geckler Medina;RJ;"""Copenhagen Film Company""";"""Dinamarca""";Produção Estrangeira;"""Campinas e Sumaré (SP)"""
124;28/06/2017;1;"""A Memória É Um Músculo da Imaginação """;Ficção;"""01 de julho a 16 agosto de 2017""";Videofilmes Produções Audiovisuais e Artísticas Ltda;RJ;""" -""";""" -""";Produção Brasileira;"""Rio de Janeiro (RJ)"""
119;29/06/2017;5;"""Inside the World's Toughest Prisons Parte 2""";Documentário;"""31 de julho a 13 de agosto de 2017""";Terra Vermelha Filmes Ltda. EPP;RJ;"""Emporium Productions""";"""Reino Unido""";Produção Estrangeira;"""Porto Velho (RO)"""
122;30/06/2017;4;"""M/V Alucia in Brazil - 3º Part""";Documentário;"""03 a 15 de julho de 2017""";Neon Rio Ltda;RJ;"""Novus Select""";"""Estados Unidos da América""";Produção Estrangeira;"""Natal (RN); Fortaleza (CE)"""
123;30/06/2017;1;"""Japan Festival - Quem quer vir ao Japão""";Documentário;"""05 a 11 de julho de 2017""";Xes Projetos Visuais Ltda;SP;"""TV Box Inc""";"""Japão""";Produção Estrangeira;"""São Paulo (SP)"""
121;03/07/2017;9;"""BBC Earth's Natural Wonder: Brazil (Maravilhas Naturais da Terra: Brazil)""";Documentário;"""24 de julho a 1º de setembro de 2017""";Digitallcine Produções Cinematográficas Ltda;DF;"""BBC Natural History Unit""";"""Escócia""";Produção Estrangeira;"""Amazônia - Parque Nacional do Xingu (MT)"""
126;05/07/2017;2;"""Resistance""";Documentário;"""06 de julho a 04 de agosto de 2017""";Cassuça Benevides Produção de Conteúde Eireli ME (Quartzo Comunicações);DF;"""Co. Reality, LCC""";"""Estados Unidos da América""";Produção Estrangeira;"""São Paulo (SP), Marabá (PA); Reserva Indígena Araribóia (MA)"""
125;06/07/2017;3;"""Spying on Animal""";Documentário;"""03 a 09 de agosto de 2017""";Cristian Dimitrius Produções Ltda;SP;"""Sunday Night Entertainment Inc. - SNE""";"""Canadá""";Produção Estrangeira;"""Campo Grande (MS)"""
127;06/07/2017;8;"""Hippare! The World""";Documentário;"""13 a 28 de julho de 2017""";Urutau Filmes Ltda;SP;"""Em Network Co., Ltd""";"""Japão""";Produção Estrangeira;"""Manaus (AM)"""
128;13/07/2017;10;"""Rock In Rio 2017""";Documentário;"""12 de setembro a 03 de outubro de 2017""";BPS Produções e Serviços Eireli;RJ;"""Figura Media LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
129;18/07/2017;1;"""Tristes Monroes - Em Busca da Felicidade""";Ficção;"""20 de outubro a 10 de dezembro de 2017""";Syndrome Filmes e Produções Cinematográficas Ltda;RJ;"""Filmes do Tejo II ; Les Films du Belier""";"""Portugal / França""";Coprodução Internacional;"""São Paulo (SP)"""
130;20/07/2017;2;"""Krankenhaus in Fortaleza""";Documentário;"""22 a 26 de agosto de 2017""";Sol Entertainment Ltda.;RJ;"""Maximus Film GmbH""";"""Alemanha""";Produção Estrangeira;"""Fortaleza (CE)"""
131;21/07/2017;2;"""Next Lançamento""";Obra Publicitária;"""01 e 02 de agosto de 2017""";Barry Company Produções Audiovisuais Ltda;SP;""" -""";""" -""";Produção Brasileira;"""São Paulo (SP)"""
132;21/07/2017;1;"""The Awavena Effect""";Documentário;"""31 de agosto a 12 de setembro de 2017""";Dez e Vinte Produções Cinematográficas LTDA ME;SP;"""Coco Films""";"""Estados Unidos da América""";Produção Estrangeira;"""Cruzeiro do Sul e Rio Branco (AC)"""
133;25/07/2017;3;"""NNN Documento 17""";Documentário;"""16 de agosto a 04 de setembro de 2017""";Xes Projetos Visuais Ltda;SP;"""Yomiuri Telecasting Corporation""";"""Japão""";Produção Estrangeira;"""São Paulo, Mirandópolis, Cafelândia, Araçatuba, Santos e Bastos (SP)"""
134;26/07/2017;2;"""Great Rivers""";Documentário;"""01 de agosto a 30 de outubro de 2017""";Neon Rio Ltda;RJ;"""BBC Natural History Unit""";"""Reino Unido""";Produção Estrangeira;"""Manaus, Iranduba e Rio Negro (AM); Novo Progresso e Alter do Chão (PA); Alta Floresta (MT)"""
39;28/07/2017;1;"""As Fabulosas Aventuras de Inez""";Ficção;"""15 de setembro a 30 de outubro de 2017""";Plural Filmes ;SC;"""Raven West Films LTD; YN Films INC""";"""Canadá""";Coprodução Internacional;"""São Paulo (SP); Rio de Janeiro (RJ); Florianópolis (SC), Brasília (DF), Fortaleza e Quixadá (CE)"""
135;31/07/2017;7;"""Smirnoff""";Documentário;"""01 a 21 de agosto de 2017""";Ricardo Gonçalves Produções Cinematográficas ME;SP;"""Vagabond Films""";"""Estados Unidos da América""";Produção Estrangeira;"""São Paulo (SP)"""
136;31/07/2017;1;"""Videogame""";Obra Publicitária;"""03 a 31 de agosto 2017""";Domo Produções Ltda.;SP;"""La Doble A""";"""Argentina""";Produção Estrangeira;"""São Paulo (SP)"""
137;31/07/2017;2;"""Brazil: Where Else?""";Documentário;"""01 a 16 de agosto de 2017""";Viva Filmes Ltda;RJ;"""Contra Agency""";"""Reino Unido""";Produção Estrangeira;"""Bragança (PA); Campinas e São Paulo (SP); Itajubá e Belo Horizonte (MG)"""
140;31/07/2017;1;"""Pepsico Corporate Sustainability / Social Responsibility report""";Institucional;"""14 a 20 de agosto de 2017""";BPS Produções e Serviços Eireli;RJ;"""Figura Media LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""Petrolina (PE); São Paulo (SP)"""
139;01/08/2017;46;"""Are You te One?""";Reality Show;"""01 de agosto a 27 de outubro de 2017""";Floresta Realizações Audiovisuais Ltda;SP;"""MTV Networks Latin America, Inc.""";"""Estados Unidos da América""";Produção Estrangeira;"""Praia de Trancoso, Porto Seguro (BA)"""
141;01/08/2017;3;"""Triple Action Xtra Frescura Campaign""";Obra Publicitária;"""01 a 20 de agosto de 2017""";Ocean Produção de Filmes Ltda;SC;"""Nunchaku Cine SRL""";"""Argentina""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
142;01/08/2017;3;"""Konami Brazil""";Outro;"""21 a 27 de agosto de 2017""";Utopia Filmes Produção Artística Ltda;RJ;"""Tyo Inc. Monster Division """;"""Japão""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
143;01/08/2017;4;"""Salt Creek""";Documentário;"""12 a 27 de agosto de 2017""";Neon Rio Ltda;RJ;"""Nine Network Australia""";"""Austrália""";Produção Estrangeira;"""São Paulo (SP)"""
145;01/08/2017;2;"""Heavy Transportation in Brasil""";Documentário;"""08 a 18 de agosto de 2017""";Lucia Stephanie Coimbra ME;RJ;"""Terminal D Medienproduktion GmbH""";"""Alemanha""";Produção Estrangeira;"""Paranaita e Alta Floresta (MT)"""
146;04/08/2017;5;"""Sotheby's International Reality Houseguest Brazil""";Obra Publicitária;"""07 e 08 de agosto de 2017""";Imagem - Tempo Produções Cinematográficas LTDA - ME;RJ;"""WSJ. Custom Studios""";"""Estados Unidos da América""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
147;04/08/2017;4;"""Sekai Fushigi Hakken""";Documentário;"""14 de agosto a 10 de outubro de 2017""";Urutau Filmes Ltda;SP;"""TV Man Union INC.""";"""Japão""";Produção Estrangeira;"""Cuiabá e Nobres (MT)"""
148;04/08/2017;3;"""Animais em Movimento""";Documentário;"""10 de agosto a 10 de setembro de 2017""";Mangaba Produções Ltda - ME;BA;"""John Downer Productions""";"""Inglaterra""";Produção Estrangeira;"""Pantanal (MT)"""
144;07/08/2017;5;"""Seven Worlds""";Documentário;"""30 de agosto a 15 de setembro de 2017""";Cristian Dimitrius Produções Ltda;SP;"""BBC Natural History Factual Productions""";"""Reino Unido""";Produção Estrangeira;"""Bonito (MS)"""
149;07/08/2017;4;"""Reportagem para TV Sueca (OTW Television Sweden)""";Documentário;"""16 a 19 de agosto de 2017""";Francisco Ramalho Junior Filmes LTDA (Ramalho Filmes);SP;"""CDI Virtual Films, Inc""";"""Estados Unidos da América""";Produção Estrangeira;"""Presidente Prudente (SP)"""
150;07/08/2017;3;"""Institucional Neoenergia""";Institucional;"""13 a 18 de agosto de 2017""";Roi Roi Filmes e Produções LTDA - ME;PE;"""Final Frame Studios""";"""Estados Unidos da América""";Produção Estrangeira;"""Recife (PE)"""
151;15/08/2017;3;"""Chasing Monsters ""Episódio 2, Segunda Fase""""";Programa para TV;"""19 de setembro a 13 de outubro de 2017""";Francisco Ferreira Pinto Filho - ME;AM;"""CDI Virtual Films, INC""";"""Estados Unidos da América""";Produção Estrangeira;"""Manaus (AM)"""
153;15/08/2017;4;"""Ana und die Wilden Tiere""";Documentário;"""28 de agosto a 16 de setembro de 2017""";Aura Filme Produções Ltda.;RJ;"""Text um Bild Medienproduktion GmbH & Co. KG""";"""Alemanha""";Produção Estrangeira;"""Campo Grande (MS)"""
154;15/08/2017;1;"""Makethefuture2""";Obra Publicitária;"""17 a 22 de agosto de 2017""";Sweet Produções Ltda;SP;"""Particle3""";"""Estados Unidos da América""";Produção Estrangeira;"""São Paulo (SP)"""
152;17/08/2017;4;"""Starkey in Rio II""";Institucional;"""19 a 23 de setembro de 2017""";Davis & Luzzi LTDA - ME;SP;"""Starkey Lab Media""";"""Estados Unidos da América""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
155;17/08/2017;3;"""Walden""";Documentário;"""2 a 20 de setembro de 2017""";Tardo Filmes LTDA ME;CE;"""Beauvoir Sàrl""";"""Suiça""";Produção Estrangeira;"""Manaus e Barcelos (AM)"""
157;18/08/2017;2;"""Bloomberg JN 1560""";Documentário;"""23 e 24 de agosto de 2017""";Volt Filmes LTDA;SP;"""Mustache Agency""";"""Estados Unidos da América""";Produção Estrangeira;"""São Paulo (SP)"""
156;22/08/2017;1;"""Pacified""";Ficção;"""11 de setembro a 11 de outubro de 2017""";Reagent Media;SP;""" -""";""" -""";Produção Brasileira;"""Rio de Janeiro (RJ)"""
158;22/08/2017;2;"""Supermercado""";Obra Publicitária;"""27 de agosto de 2017""";AliceFilmes Ltda;SP;""" -""";""" -""";Produção Brasileira;"""São Paulo (SP)"""
166;25/08/2017;1;"""Man Proposes, God Dispose""";Ficção;"""27 de agosto a 21 de setembro de 2017""";Cine Latina Estúdio LTDA;SP;""" -""";""" -""";Produção Brasileira;"""São Paulo (SP)"""
159;28/08/2017;5;"""Mercedes - Veteranos em Todo o Mundo""";Documentário;"""19 de setembro a 7 de outubro de 2017""";Sol Entertainment Ltda.;RJ;"""Sudwestrundfunk""";"""Alemanha""";Produção Estrangeira;"""São Bernardo do Campo (SP); Maringá e Ponta Grossa (PR); Passo Fundo (RS); Serra do Rio Rastro e Florianópolis (SC)"""
160;28/08/2017;6;"""Konna Tokoro-Ni Nihonjin (onde se encontram os japoneses)""";Documentário;"""08 a 30 de setembro de 2017""";Fundação Fórmula Cultural;SP;"""Guild Inc""";"""Japão""";Produção Estrangeira;"""São Paulo (SP); Florianópolis, Lages, Painel e São Joaquim (SC)"""
161;28/08/2017;1;"""Sekai no Nanda Kore Mystery """;Documentário;"""09 a 22 setembro de 2017""";Griffon Visual Arts LTDA. - EPP;SP;"""Octagon, CO., LTD""";"""Japão""";Produção Estrangeira;"""Campo Grande e Bonito (MS)"""
162;28/08/2017;3;"""Wild Life - Vida Selvagem dos Tamanduás""";Documentário;"""12 de setembro a 07 de novembro de 2017""";Xes Projetos Visuais Ltda;SP;"""Win-K Corporation""";"""Japão""";Produção Estrangeira;"""Parnaibá (PI); Brasília (DF)"""
167;30/08/2017;1;"""KFW""";Obra Publicitária;"""01 a 10 de setembro de 2017 """;Utopia Filmes Produção Artística Ltda;RJ;"""Five Three Double Ninety Filmproductions GMBH""";"""Alemanha""";Produção Estrangeira;"""Parque Nacional de Anavilhanas (AM)"""
163;31/08/2017;5;"""The Tale of The Jaguar""";Documentário;"""28 de setembro a 11 de outubro de 2017""";Brian Sewell Produções Cinematográficas;RJ;"""Vice """;"""Canadá""";Produção Estrangeira;"""Cuiabá e Porto Jofre (MT)"""
164;31/08/2017;3;"""Associated British Food - Ovomaltine""";Institucional;"""04 a 08 de setembro de 2017""";Sol Entertainment Ltda.;RJ;"""Smyle LTDA""";"""Reino Unido""";Produção Estrangeira;"""São Paulo (SP)"""
165;31/08/2017;3;"""Superfoods""";Documentário;"""03 a 10 de setembro de 2017""";Viva Filmes LTDA;RJ;"""Lightbox Media LTD""";"""Reino Unido""";Produção Estrangeira;"""Manaus (AM)"""
169;31/08/2017;1;"""""Cama e Metrô""; ""Miojo e Reboque""; ""Estádio de Futebol"" e ""Resgate""""";Obra Publicitária;"""01 a 04 de setembro de 2017""";AliceFilmes Ltda;SP;""" -""";""" -""";Produção Brasileira;"""São Paulo (SP)"""
170;31/08/2017;16;"""Fightworld""";Documentário;"""21 de setembro a 02 de outubro de 2017""";BPS Produções e Serviços Eireli;RJ;"""Figura Media LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
168;01/09/2017;4;"""NHK Special ""O Corpo Humano""""";Documentário;"""25 a 30 de setembro de 2017""";BDT Planejamento e Comunicação Ltda.;SP;"""NHK Enterprises, Inc.""";"""Japão""";Produção Estrangeira;"""São Paulo (SP); Porto Alegre (RS)"""
171;01/09/2017;3;"""Hostile Planet""";Documentário;"""10 de setembro a 11 de outubro de 2017""";Neon Rio Ltda;RJ;"""Plimsoll Productions""";"""Reino Unido""";Produção Estrangeira;"""Cuiabá (MT)"""
174;04/09/2017;1;"""Book Holder""";Obra Publicitária;"""07 de setembro de 2017""";AliceFilmes Ltda;SP;""" -""";""" -""";Produção Brasileira;"""São Paulo (SP)"""
175;04/09/2017;4;"""Trippers""";Documentário;"""10 a 23 de setembro de 2017""";Connection Filmes e produções artísticas LTDA. ;RJ;"""BNN Vara""";"""Holanda""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
176;04/09/2017;2;"""Slave Routes""";Documentário;"""07 a 20 de setembro de 2017""";Connection Filmes e produções artísticas LTDA. ;RJ;"""CPB Films""";"""França""";Produção Estrangeira;"""Rio de Janeiro (RJ); São Paulo (SP)"""
178;05/09/2017;1;"""Prison Beauty Contest""";Documentário;"""08 de setembro a 22 de outubro de 2017""";HY Brazil 2001 Filmes e Livros LTDA;RJ;"""Udruzenje Novi Film""";"""Bosnia e Herzegovina""";Produção Estrangeira;"""Pirajui (SP)"""
173;06/09/2017;3;"""Keune Brand Film""";Documentário;"""09 a 16 de setembro de 2017""";JKR Produções Artísticas Ltda;RJ;"""This That & The Other""";"""Países Baixos""";Produção Estrangeira;"""São Paulo (SP)"""
177;06/09/2017;2;"""NHK Special: Aure to Aura, Hitotsu no Minzoku, Hitotsu no Gengo Ga Horobu""";Documentário;"""10 de outubro a 31 de dezembro de 2017 """;Town Network Filmagens LTDA;SP;"""NHK - Nippon Hoso Kyokai""";"""Japão""";Produção Estrangeira;"""Imperatriz, Santa Inês, Bom Jardim e Alto Alegre do Pindaré (MA); Belém e Marabá (PA)"""
179;06/09/2017;3;"""Adidas Hourglass - Present""";Documentário;"""11 a 17 de setembro de 2017""";Sol Entertainment Ltda.;RJ;"""Magna Carta Media""";"""Estados Unidos da América""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
181;11/09/2017;4;"""HHH Documentary""";Documentário;"""09 a 14 de outubro de 2017""";D+ Projetos Artísticos Ltda.;RJ;"""New Mas Film Company""";"""Holanda""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
183;11/09/2017;3;"""Swifts' & 'Manakins'""";Documentário;"""20 de setembro a 15 de dezembro de 2017""";Neon Rio Ltda;RJ;"""BBC Natural History and Factual Productions LTD""";"""Reino Unido""";Produção Estrangeira;"""Foz do Iguaçu (PR)"""
184;11/09/2017;4;"""Up Next""";Obra Publicitária;"""06 a 22 de outubro de 2017""";Domo Produções Ltda.;SP;"""Caviar""";"""Estados Unidos da América""";Produção Estrangeira;"""São Paulo (SP)"""
180;12/09/2017;5;"""Obreiro""";Ficção;"""22 de setembro a 18 de dezembro de 2017""";Desvia Produções Artísticas e Audiovisuais LTDA;PE;"""Buenaventura; Malbicho Cine; Snowglobe""";"""México / Uruguai / Dinamarca""";Coprodução Internacional;"""Recife (PE)"""
185;13/09/2017;6;"""Big Beasts""";Documentário;"""01 a 11 de outubro de 2017""";Mauricio Copetti de Moura - ME / Copetti Produções Cinematográficas Ltda - EPP;MS;"""Offspring Films LTD""";"""Inglaterra""";Produção Estrangeira;"""Miranda e Bonito (MS)"""
186;13/09/2017;1;"""Avião, Janela e Caramujo""";Obra Publicitária;"""14 a 18 de setembro de 2017""";Hungry Man Brasil Produções Ltda.;SP;""" -""";""" -""";Produção Brasileira;"""São Paulo (SP)"""
187;13/09/2017;3;"""Claudia Andujar""";Documentário;"""06 a 20 de outubro de 2017""";Aura Filme Produções Ltda.;RJ;"""OS Filme GmbH""";"""Suiça""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
189;15/09/2017;11;"""El Cartel Festival""";Documentário;"""14 a 18 de setembro de 2017""";BPS Produções e Serviços Eireli;RJ;"""Figura Media LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""Florianópolis (SC)"""
190;15/09/2017;3;"""Testando as Invenções Japonesas pelo Mundo Afora """;Documentário;"""18 de setembro a 05 de outubro de 2017""";Xes Projetos Visuais Ltda;SP;"""Television Field CO. LTD""";"""Japão""";Produção Estrangeira;"""Rio de Janeiro e Grande Rio (RJ); São Paulo (SP); São Miguel do Iguaçu (PR)"""
199;15/09/2017;1;"""""Trailer"" e ""Feitos Heroicos""""";Obra Publicitária;"""16 a 24 de setembro de 2017""";Ocean Produção de Filmes Ltda;SC;"""Nunchaku Cine SRL""";"""Argentina""";Produção Estrangeira;"""São Paulo (SP)"""
188;18/09/2017;1;"""Trabalho Escravo.doc""";Documentário;"""20 de setembro a 20 de dezembro de 2017""";Meios de Produção e Comunicação LTDA;RJ;""" -""";""" -""";Produção Brasileira;"""Rio de Janeiro (RJ); São Paulo, Campinas e Araraquara (SP); Brasília (DF); Marabá, Sapucaia e Jacundá (PA); Porto, Teresina e Barras (PI); Cuiabá (MT); Corumbá e Campo Grande (MS)"""
198;18/09/2017;3;"""The World Heritage - Pantanal Matogrossense""";Documentário;"""15 de outubro a 10 de novembro de 2017""";Sango Productions Ltda.;SP;"""TBS Vision Inc""";"""Japão""";Produção Estrangeira;"""Poconé (MT)"""
202;18/09/2017;6;"""The Atlas Man""";Institucional;"""21 a 30 de setembro de 2017""";Dez e Vinte Produções Cinematográficas LTDA ME;SP;"""Crye Precision""";"""Estados Unidos da América""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
204;18/09/2017;5;"""Rites of Passage""";Documentário;"""3 a 11 de outubro de 2017""";Viva Filmes LTDA;RJ;"""Swan Films""";"""Reino Unido""";Produção Estrangeira;"""Manaus e Tabatinga (AM)"""
191;20/09/2017;2;"""Moonstone""";Obra Publicitária;"""26 a 30 de setembro de 2017""";Hogarth Worldwide Produção LTDA;SP;"""Hogarth UK""";"""Reino Unido""";Produção Estrangeira;"""São Paulo (SP)"""
200;20/09/2017;3;"""Vermessung der Erde""";Documentário;"""27 de setembro a 6 de outubro de 2017""";Aura Filme Produções Ltda.;RJ;"""Spiegel TV GmbH""";"""Alemanha""";Produção Estrangeira;"""Manaus (AM)"""
201;20/09/2017;5;"""Escrita Íntima""";Documentário;"""23 de setembro a 17 de outubro de 2017""";Gullane Entretenimento S.A.;SP;"""Zul Filmes - Cinema; Vídeo e Distribuição, Unipessoal LDA. """;"""Portugal""";Coprodução Internacional;"""Rio de Janeiro, Niterói e Cabo Frio (RJ)"""
203;25/09/2017;2;"""A Cidade Aqui Dentro""";Ficção;"""26 de setembro a 28 de novembro de 2017""";Primo Filmes LTDA;SP;""" -""";""" -""";Produção Brasileira;"""São Paulo (SP)"""
208;25/09/2017;6;"""Dove""";Obra Publicitária;"""27 de setembro a 3 de novembro de 2017""";Videographica Serviços e Participações LTDA;SP;""" -""";""" -""";Produção Brasileira;"""São Paulo (SP)"""
211;25/09/2017;2;"""Kickstart Food program""";Obra Publicitária;"""26 a 30 de setembro de 2017""";Utopia Filmes Produção Artística Ltda;RJ;"""Hazazah Film & Photography""";"""Países Baixos""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
206;26/09/2017;2;"""Brazil Video Shoot - Trek Mining""";Institucional;"""16 a 21 de outubro de 2017""";Dez e Vinte Produções Cinematográficas LTDA ME;SP;"""Market One Media Group Inc.""";"""Canadá""";Produção Estrangeira;"""Belém (PA); Godofrado Viana (MA)"""
209;26/09/2017;4;"""Bayer-Monsanto""";Documentário;"""01 a 07 de outubro de 2017""";Sol Entertainment Ltda.;RJ;"""WDR Fernsehen""";"""Alemanha""";Produção Estrangeira;"""Rio de Janeiro (RJ); Rio Verde e Jataí (GO)"""
210;28/09/2017;13;"""Oath""";Institucional;"""16 a 21 de outubro de 2017""";BPS Produções e Serviços Eireli;RJ;"""Figura Media LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
212;28/09/2017;1;"""Kaapor""";Documentário;"""4 de outubro a 3 de novembro de 2017""";Brazil Media Base SS LTDA ME;SP;"""Ekla Production""";"""França""";Produção Estrangeira;"""Zé Doca e São Luiz (MA)"""
11-E;29/09/2017;5;"""I Dream Video Clip com Thais Macedo""";Programa para TV;"""03 a 10 de outubro de 2017""";Terra Vermelha Filmes Ltda. EPP;RJ;"""Neo Productions""";"""Egito""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
12-E;02/10/2017;4;"""Presidente Prudente - Sugar Cane Plantation and Mill Factory""";Institucional;"""02 a 05 de outubro de 2017""";Dez e Vinte Produções Cinematográficas LTDA ME;SP;"""Flag Communication LTD""";"""Reino Unido""";Produção Estrangeira;"""Presidente Prudente e Teodoro Sampaio (SP)"""
13-E;02/10/2017;11;"""Mi Obra Maestra""";Ficção;"""4 e 5 de outubro de 2017""";TX Conteúdo e Entretenimento;SP;"""Arco Libre SRL e Televisión Abierta """;"""Argentina""";Produção Estrangeira;"""Niterói (RJ)"""
14-E;02/10/2017;1;"""The Urban Jungle""";Obra Publicitária;"""3 e 4 de outubro de 2017""";Movi & Art Produções Cinematográficas LTDA;SP;"""Compañia Argentina de Peliculas SRL""";"""Argentina""";Produção Estrangeira;"""São Paulo (SP)"""
17-E;03/10/2017;2;"""Heróis""";Obra Publicitária;"""9 a 20 de outubro de 2017""";Saigon Filmes LTDA;SP;""" -""";""" -""";Produção Brasileira;"""São Paulo (SP)"""
