Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição 1995 a 2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF;Distribuidora;Máximo de Salas;Público;Renda (R$);
2009;B0901029800000;O Contador de Histórias;Luiz Villaça;Ficção;Nia Filmes/Ramalho Filmes;SP/SP;-;-;Warner;93;151.927;1.118.268,00;
2009;B0900971300000;O Diário de Sintra;Paula Gaitán;Documentário;Urca Filmes;RJ;-;-;Moviemobz/RioFilme;3;1.066;9.350,00;
2009;B0800820600000;O Fim da Picada;Christian Saghaard;Ficção;Cinegrama Filmes;SP;-;-;Cinegrama;1;941;4.901,00;
2009;B0800964000000;O Grilo Feliz e os Insetos Gigantes;Rafael Ribas/Walbercy Ribas;Animação;StartAnima;SP;-;-;Fox;122;370.466;1.952.806,17;
2009;B0900987100000;O Menino da Porteira;Jeremias Moreira Filho;Ficção;Moonshot Pictures;SP;Moracy do Val;-;Sony;280;669.287;4.567.785,00;
2009;B0901024100000;O Milagre de Santa Luzia;Sergio Roizenblit;Documentário;Miração Filmes;SP;-;-;Miração Filmes;8;6.099;42.103,75;
2009;B0901061400000;Os Normais 2;José Alvarenga Jr.;Ficção;Globo Filmes;RJ;-;-;Imagem;433;2.202.640;18.978.259,88;
2009;B0800891200000;Ouro Negro;Isa Albuquerque;Ficção;Íris Cinematográfica TV;RJ;-;-;Pandora Filmes;4;3.709;16.473,10;
2009;B0800917000000;Palavra (En)Cantada;Helena Solberg;Documentário;Marcio Debellian/Radiante Filmes; -/RJ;-;-;Filmes do Estação;12;32.464;261.289,89;
2009;B0800925600000;Patativa do Assaré - Ave Poesia;Rosemberg Cariry;Documentário;Cariri Filmes;CE;-;-;Sereia Filmes;4;2.723;15.193,15;
2009;B0800827400000;Paulo Gracindo - o Bem Amado;Gracindo Júnior;Documentário;Gracindo Filmes;RJ;Lereby/Link Digital;RJ/RJ;Filmes do Estação;8;8.968;75.275,30;
2009;B0901002100000;Praça Saens Peña;Vinícius Reis;Ficção;Limite Produções/Vinícius Reis;RJ/-;-;-;Moviemobz/RioFilme;5;5.325;49.112,55;
2009;B0901071800000;Quanto Dura o Amor?;Roberto Moreira;Ficção;Coração da Selva;SP;-;-;Pandora Filmes;9;11.015;80.765,42;
2009;B0901072300000;Salve Geral;Sergio Rezende;Ficção;Toscana Audiovisual;RJ;Globo Filmes/Lereby;RJ/RJ;Sony/Downtown;186;317.152;2.644.263,52;
2009;B0800958700000;Se Eu Fosse Você 2;Daniel Filho;Ficção;Total Entertainment;RJ;Globo Filmes/Lereby;RJ/RJ;Fox;315;5.787.244;47.624.137,00;
2009;B0901050700000;Se Nada Mais Der Certo;José Eduardo Belmonte;Ficção;34 Filmes;DF;-;-;Imovision;16;12.798;101.489,36;
2009;B0901079200000;Sem Fio;Tristan Aronovich;Ficção;La Film - Latin American Film Institute;SP;-;-;Panda Filmes;1;248;1.560,00;
2009;B0901001900000;Senhores do Vento;Isabella Nicolas;Documentário;Conteúdo Filmes;RJ;Book Filmes;RJ;Youle Filmes;1;19;186,00;
2009;B0901010000000;Simonal - Ninguém Sabe o Duro que Dei;Calvito Leal/Claudio Manoel/Micael Langer;Documentário;Claudio Manoel; -;Pontos de Fuga/Globo Filmes/TV Zero Cinema/Zohar Cinema;RJ/RJ/RJ/RJ;Moviemobz/RioFilme;24;71.056;689.003,21;
2009;B0901108200000;Som e Fúria;Fernando Meirelles;Ficção;Globo Filmes;RJ;-;-;O2 Cinema;1;591;3.034,00;
2009;B0901022100000;Tempos de Paz;Daniel Filho;Ficção;Lereby;RJ;-;-;Downtown;52;95.792;799.359,00;
2009;B0800925800000;Titãs - a Vida Até Parece uma Festa;Branco Mello/Oscar Rodrigues Alves;Documentário;Ciclope Empreendimentos Artísticos;SP;Casa 5/Ink/Anna Cristina de Vilalba Martinelli e Silva/Susi Locatelli Fromer/Rosa Celeste;SP/SP/SP/-/-/SP;Moviemobz;14;15.211;144.600,42;
2009;B0901039400000;Topografia de um Desnudo;Teresa Aguiar;Ficção;Tao Produções;SP;-;-;T.A.O. Produções Artisticas;1;1.488;6.065,00;
2009;B0901010400000;Um Homem de Moral;Ricardo Dias;Documentário;24 VPS Filmes;SP;-;-;Superfilmes;10;6.784;98.555,50;
2009;B0500444500000;Um Lobisomem na Amazônia;Ivan Cardoso;Ficção;Topazio Filmes;RJ;-;-;Polifilmes/Topázio Filmes;8;625;5.018,40;
2009;B0901019900000;Um Romance de Geração;David França Mendes;Ficção;Cabra Vadia;RJ;O Alto Comando;RJ;Filmes do Estação;2;793;6.184,50;
2009;Sem CPB;Vamos Subir, Leão;Marcos Luiz Bittencourt;Documentário;Canal 3;SC;-;-;Canal 3;ND;ND;ND;
2009;B0901006300000;Velhas Guardas;Joatan Vilela Berbel;Documentário;MP2 Produções;RJ;-;-;Pipa Produções;1;54;75,00;
2009;B0800959100000;Verônica;Maurício Farias;Ficção;Fraiha Produções/Maurício Farias;RJ/-;Andrea Beltrão/Marco Ricca/Bernardo Guilherme/Quanta-Rio/Isabella Nicolas/Eduardo Feijó/Ellen Milet/Luciane Nicolino/Brian Sewell Produções Cinematográficas/Andréa Imperatore/José Augusto Cesar Wong;-/-/-/RJ/-/-/-/-/RJ/-/-;Europa;129;103.905;740.059,02;
2009;B0800852600000;Waldick, Sempre no meu Coração;Patrícia Pillar;Documentário;Ânima I;RJ;-;-;Pequena Central;8;3.591;17.076,50;
2009;B0901096800000;Xuxa em o Mistério de Feiurinha;Tizuka Yamasaki;Ficção;Playarte Pictures;SP;Conspiração Filmes/Xuxa Produções/Globo Filmes;RJ/RJ/RJ;Playarte;215;1.307.135;8.484.823,94;
2009;B0901041400000;Zico na Rede;Paulo Roscio;Documentário;Business Telecom;RJ;-;-;Business Telecom;2;546;2.529,50;
2009;B0901015000000;À Deriva;Heitor Dhalia;Ficção;O2 Filmes;SP;-;-;Universal;41;94.588;870.171,00;
2009;B0901108700000;É Proibido Fumar;Anna Muylaert;Ficção;África Filmes/Dezenove Som e Imagens;SP/SP;-;-;Playarte;42;48.306;411.420,99;
2010;B1001259800000;400 Contra 1 – A História do Comando Vermelho;Caco Souza;Ficção;Destiny;SP;Playarte Pictures/Globo Filmes;SP/RJ;Playarte;76;127.450;1.078.111,22;
2010;B1001180900000;5X Favela – Agora Por Nós Mesmos;Cacá Diegues/Cacau Amaral/Cadu Barcelos/Luciana Bezerra/Luciano Vidigal/Manaíra Carneiro/Rodrigo Felha/Wagner Novais;Ficção;Luz Mágica Produções;RJ;-;-;Sony/RioFilme;48;160.573;1.365.197,66;
2010;B0400104300000;A Alma do Osso;Cao Guimarães;Documentário;Cinco em Ponto;MG;-;-;Filmes do Rio de Janeiro;3;453;3.955,71;
2010;B0901007400000;A Casa Verde;Paulo Nascimento;Ficção;Accorde Filmes;RS;-;-;Accorde Audiovisuais;12;42.954;128.184,94;
2010;B1001302600000;A Falta que me Faz;Marília Rocha;Documentário;Anavilhana;MG;-;-;Anavilhana;3;387;3.304,40;
2010;B1001236800000;A Guerra dos Vizinhos;Rubens Xavier;Ficção;XR2 Cinevídeo;SP;Cachuera!;SP;Polifilmes;8;22.754;85.531,45;
2010;B1001283500000;A Suprema Felicidade;Arnaldo Jabor;Ficção;Ramalho Filmes;SP;-;-;Paramount;166;219.472;2.121.215,00;
2010;B0800935800000;Acácio;Marília Rocha;Documentário;Anavilhana;MG;-;-;Anavilhana;4;431;3.375,00;
2010;B1001330500000;Amor por Acaso;Marcio Garcia;Ficção;MGP Filmes;MG;-;-;Playarte;65;52.359;459.769,41;
2010;B0901121200000;Antes que o Mundo Acabe;Ana Luiza Azevedo;Ficção;Casa de Cinema de Porto Alegre;RS;-;-;Imagem;13;32.297;218.162,12;
2010;B0500378700000;Ao Sul de Setembro;Amauri Tangará;Ficção;Cia D'Artes do Brasil;MT;-;-;Polifilmes;1;125;1.289,00;
2010;B1001319100000;Aparecida, o Milagre;Tizuka Yamasaki;Ficção;Vitória Produções;RJ;RioFilme;RJ;Paramount;275;243.336;1.830.173,00;
2010;B1001256000000;As Cartas Psicografadas por Chico Xavier;Cristiana Grumbach;Documentário;Crisis Produtivas;RJ;-;-;Ciclorama Filmes;22;7.431;60.280,74;
2010;B1001172500000;As Melhores Coisas do Mundo;Laís Bodanzky;Ficção;Gullane;SP;Buriti Filmes/Casa Redonda Produções;SP/SP;Warner/RioFilme;152;300.165;2.257.084,00;
2010;B1001164600000;B1 - Tenório em Pequim;Eduardo Hunter Moura/Felipe Braga;Documentário;Losbragas Produções/RT Features;RJ/SP;-;-;Espaço Filmes;9;679;7.002,00;
2010;B0901126600000;Bellini e o Demônio;Marcelo Galvão;Ficção;Santa Fé Filmes;RJ;-;-;Santa Fé Filmes;3;1.661;14.122,00;
2010;B1001260400000;Cabeça a Prêmio;Marco Ricca;Ficção;Academia de Filmes/Ricca Produções;SP/SP;-;-;Europa;19;11.619;93.766,12;
2010;B0901062000000;Caro Francis;Nelson Hoineff;Documentário;Comalt - Comunicação Alternativa;RJ;-;-;Imovision;2;3.770;44.117,00;
2010;B1001148600000;Chico Xavier;Daniel Filho;Ficção;Lereby;RJ;-;-;Sony/Downtown;392;3.413.231;30.279.855,27;
2010;B1001133500000;Cidade de Plástico;Yu Lik-Wai;Ficção;Gullane;SP;-;-;Paris;2;433;4.066,00;
2010;B1001237700000;Cildo;Gustavo Rosa de Moura;Documentário;Matizar;RJ;-;-;Videofilmes;3;848;7.915,00;
2010;B1001214400000;Como Esquecer;Malu de Martino;Ficção;EH! Filmes;RJ;-;-;Europa;22;42.539;339.996,14;
2010;B0901099400000;Depois de Ontem, Antes de Amanhã;Christine Liu;Documentário;Vega Filmes;SP;-;-;Vega Filmes;1;85;908,00;
2010;B1001189100000;Doce Brasil Holandês;Monica Schmiedt;Documentário;M. Schmiedt Produções;RS;-;-;M. Schmiedt Produções;1;2.115;10.253,00;
2010;B1001211600000;Dzi Croquettes;Raphael Alvarez/Tatiana Issa;Documentário;Tria Productions;RJ;Canal Brasil;RJ;Imovision;9;24.348;230.371,21;
2010;B0700747100000;Elevado 3.5;João Sodré/Maíra Bühler/Paulo Pastorelo;Documentário;Primo Filmes;SP;TV Cultura/Akron/João Sodré;SP/SP/-;Espaço Filmes;1;886;8.118,00;
2010;B0901027700000;Elza;Izabel Jaguaribe;Documentário;Pedra Corrida Produções;RJ;-;-;Gávea Filmes e Produções;9;4.394;29.704,70;
2010;B0901062900000;Em teu Nome;Paulo Nascimento;Ficção;Accorde Filmes;RS;-;-;Accorde Audiovisuais;16;47.413;203.675,61;
2010;B1001147500000;Eu e Meu Guarda-Chuva;Toni Vanzolini;Ficção;Conspiração Filmes;RJ;Teleimage Productions/Casa 5;SP/SP;Fox;75;115.466;770.620,00;
2010;B0800966100000;Federal;Erik de Castro;Ficção;Bsb Cinema;DF;RioFilme/Quanta-Rio/Limite Produções/LaboCine;RJ/RJ/RJ/RJ;Europa/RioFilme;63;114.483;992.428,16;
2010;B1001205200000;Fluidos;Alexandre Carvalho;Ficção;ASC Audiovisual;SP;-;-;Polifilmes;1;342;2.854,00;
2010;B1001311400000;Grêmio 10X0;Beto Souza;Documentário;G7 Cinema;SP;-;-;G7 Cinema;2;379;3.697,49;
2010;B1001136000000;High School Musical - o Desafio;César Rodrigues;Ficção;Total Entertainment;RJ;-;-;Sony;206;301.082;2.016.382,17;
2010;B0901099200000;Histórias de Amor Duram apenas 90 Minutos;Paulo Halm;Ficção;Tipos e Tempos Produções;RJ;-;-;Downtown/RioFilme;12;10.153;83.428,11;
2010;B1001166000000;Insolação;Daniela Thomas/Felipe Hirsch;Ficção;Cisma Produções;SP;Dezenove Som e Imagens/Teleimage;SP/SP;Europa;3;2.524;19.860,19;
2010;B0700719500000;Jards Macalé - um Morcego na Porta Principal;Marco Abujamra;Documentário;Dona Rosa Filmes/Tema Eventos Culturais;RJ/RJ;-;-;Moviemobz;4;1.588;14.321,80;
2010;B1001318000000;José e Pilar;Miguel Gonçalves Mendes;Documentário;O2 Filmes;SP;-;-;Espaço Filmes;20;39.628;350.700,61;
2010;B0901107200000;Lula, o Filho do Brasil;Fábio Barreto;Ficção;Filmes do Equador;RJ;Globo Filmes;RJ;Downtown/Europa;360;848.733;7.066.033,90;
2010;B1101395900000;Luto Como Mãe;Luis Carlos Nascimento;Documentário;TV Zero Cinema;RJ;-;-;TV Zero Cinema;ND;ND;ND;
2010;B1001182400000;Léo e Bia;Oswaldo Montenegro;Ficção;Oswaldo Montenegro Produções Artísticas;RJ;-;-;Copacabana Filmes;3;3.622;20.445,40;
2010;B1001312200000;Meu Mundo em Perigo;José Eduardo Belmonte;Ficção;Anhangabau Produções;SP;José Eduardo Belmonte;-;Vitrine Filmes;6;1.389;8.146,74;
2010;B0901023600000;Morgue Story - Sangue, Baiacu e Quadrinhos;Paulo Biscaia Filho;Ficção;Vigor Mortis;PR;-;-;Moro Comunicação;2;1.205;6.908,00;
2010;B1001282000000;Muita Calma Nessa Hora;Felipe Joffily;Ficção;Casé Filmes/Idéias Ideais;RJ/RJ;-;-;Europa/RioFilme;178;1.485.498;12.832.975,18;
2010;B0600623600000;Netto e o Domador de Cavalos;Tabajara Ruas;Ficção;Walper Ruas Produções;RS;-;-;Walper Ruas;2;2.822;21.042,50;
2010;B1001259400000;Nosso Lar;Wagner de Assis;Ficção;Cinética Filmes;RJ;Migdal Filmes;RJ;Fox;444;4.060.971;36.128.751,00;
2010;B1001203400000;O Abraço Corporativo;Ricardo Kauffman;Documentário;Idéia Forte Comunicações;SP;-;-;Idéia Forte;1;929;8.588,00;
2010;B0901126500000;O Amor Segundo B. Schianberg;Beto Brant;Ficção;Drama Filmes;SP;-;-;Espaço Filmes;9;4.273;37.731,20;
2010;B1001236300000;O Bem Amado;Guel Arraes;Ficção;Uns Produções e Filmes;RJ;-;-;Sony;157;955.393;8.393.618,86;
2010;B0700799200000;O Grão;Petrus Cariry;Ficção;Iluminura Filmes;CE;-;-;Usina Digital;5;1.805;12.227,75;
2010;B0901113900000;O Homem que Engarrafava Nuvens;Lírio Ferreira;Documentário;Good Ju-Ju;RJ;Total Entertainment/Lereby;RJ/RJ;Espaço Filmes;15;19.247;150.684,50;
2010;B1001282200000;O Sol do Meio-Dia;Eliane Caffé;Ficção;Politheama Filmes;SP;-;-;Pandora Filmes;5;3.889;27.540,09;
2010;B0901121700000;Olhos Azuis;José Joffily;Ficção;Coevo Filmes;RJ;-;-;Imagem;20;15.499;133.821,87;
2010;B1001143200000;Os Famosos e os Duendes da Morte;Esmir Filho;Ficção;Dezenove Som e Imagens;SP;Warner;SP;Warner;10;8.328;67.637,00;
2010;B0901090500000;Os Inquilinos;Sérgio Bianchi;Ficção;Agravo Produções Cinematográficas;SP;-;-;Pandora Filmes;9;8.662;64.784,34;
2010;B0901059800000;Pachamama;Eryk Rocha;Documentário;Urca Filmes;RJ;-;-;Videofilmes;6;4.257;33.585,00;
2010;B1001257100000;Programa Casé – o que a Gente não Inventa, não Existe;Estevão Ciavatta;Documentário;Pindorama Filmes;RJ;-;-;Espaço Filmes;11;2.346;17.017,00;
2010;B1001188500000;Quincas Berro D'Água;Sérgio Machado;Ficção;Videofilmes;RJ;-;-;Sony;110;273.031;2.125.919,72;
2010;B1001172900000;Reflexões de um Liquidificador;André Klotzel;Ficção;Brás Filmes;SP;Aurora Filmes/Electrica Cinema e Video/Secretaria Municipal de Cultura de São Paulo;SP/SP/SP;Bras Filmes;7;25.479;179.521,29;
2010;B0700745800000;Rita Cadillac, a Lady do Povo;Toni Venturi;Documentário;Olhar Imaginário;SP;-;-;Espaço Filmes;13;2.891;26.515,10;
2010;B1001182000000;Segurança Nacional;Roberto Carminati;Ficção;Influência Filmes;SC;-;-;Europa;37;37.410;285.368,77;
2010;B1001271700000;Soberano – Seis Vezes São Paulo;Carlos Nader/Mauricio Arruda;Documentário;G7 Cinema;SP;-;-;G7 Cinema;50;35.212;346.702,85;
2010;B0901120600000;Solo;Ugo Giorgetti;Ficção;SP Filmes de São Paulo;SP;-;-;Espaço Filmes;1;986;8.970,00;
2010;B1001160300000;Sonhos Roubados;Sandra Werneck;Ficção;Cineluz Produções;RJ;-;-;Europa;29;28.594;199.563,08;
2010;B1001311300000;Supremacia Vermelha;Fabiano de Souza;Documentário;G7 Cinema;SP;-;-;G7 Cinema;2;547;5.401,14;
2010;B0901101600000;Só Dez por Cento É Mentira;Pedro Cezar;Documentário;Artezanato Eletrônico;RJ;Vite Produções/Pedro Cezar;RJ/-;Downtown;5;5.919;52.032,00;
2010;B1001298600000;Terra Deu, Terra Come;Rodrigo Siqueira;Documentário;7 Estrelo Filmes/Tango Zulu Filmes;SP/SP;-;-;Videofilmes;3;1.897;16.878,40;
2010;B1001162900000;Terras;Maya Da-Rin;Documentário;Cineluz Produções;RJ;-;-;Vitrine Filmes;6;875;6.678,21;
2010;B1001251100000;Todo Poderoso: o Filme - 100 Anos de Timão;André Garolli/Ricardo Aidar;Documentário;Canal Azul;SP;-;-;Fox;1;1.437;16.505,00;
2010;B1001296000000;Tropa de Elite 2;José Padilha;Ficção;Zazen Produções;RJ;Feijão Filmes/Globo Filmes;SP/RJ;Zazen;763;11.146.723;103.461.153,74;
2010;B1001165300000;Um Lugar ao Sol;Gabriel Mascaro;Documentário;Símio Filmes;PE;-;-;Símio Filmes;6;2.357;12.990,25;
2010;B1001229000000;Uma Noite em 67;Renato Terra/Ricardo Calil;Documentário;Videofilmes;RJ;-;-;Videofilmes;26;82.258;760.684,91;
2010;B1001187000000;Utopia e Barbárie;Silvio Tendler;Documentário;Caliban Produções Cinematográficas;RJ;-;-;Caliban;19;9.626;75.475,23;
2010;B0901083500000;Viajo porque Preciso, Volto porque te Amo;Karim Aïnouz/Marcelo Gomes;Ficção;Rec Produtores Associados;PE;-;-;Espaço Filmes;18;26.623;243.332,20;
2010;B1001311200000;Vida sobre Rodas;Daniel Baccaro;Documentário;Goma Filmes;SP;-;-;Sony;17;3.572;35.633,90;
2011;B1001247700000;180º;Eduardo Vaisman;Ficção;Limite Produções;RJ;Humaita Produções/Moviola Filmes;RJ/RJ;Pandora Filmes;8;2.182;20.437,89;
2011;B1101416000000;4 X Timão - a Conquista do Tetra;Di Moretti;Documentário;Canal Azul;SP;Band;SP;Fox;1;131;1.829,00;
2011;B1101441600000;A Alegria;Felipe Bragança/Marina Meliande;Ficção;Duas Mariola Filmes;RJ;Arissas Multimídia;RJ;Espaço Filmes;8;3.108;28.519,15;
2011;B1101377300000;A Antropóloga;Zeca Pires;Ficção;Mundo Imaginário Produções Cinematográficas;SC;-;-;Imagem;3;5.584;63.794,46;
2011;B1101379600000;A Casa de Sandro;Gustavo Beck;Documentário;Enquadramento Produções/Yes Filmes;SP/RJ;-;-;Enquadramento Produções;2;56;353,00;
2011;B1101396800000;A Falta que Nos Move;Christiane Jatahy;Ficção;Tambellini Filmes;RJ;Axis Produções Artísticas;RJ;Espaço Filmes;12;7.509;81.849,00;
2011;B1001327400000;A Fuga da Mulher Gorila;Felipe Bragança;Ficção;Duas Mariola Filmes;RJ;-;-;Vitrine Filmes;5;353;1.788,50;
2011;B1101383500000;A Última Estrada da Praia;Fabiano de Souza;Ficção;Rainer Cine/RBS Participações;RS/RS;Okna Produções;RS;Okna Produções;ND;ND;ND;
2011;B1001308900000;Além da Estrada;Charly Braun;Ficção;Casablanca Content/Guinle Produções;SP/SP;-;-;Vitrine Filmes;15;16.125;143.806,29;
2011;B1101460800000;Amanhã Nunca Mais;Tadeu Jungle;Ficção;Academia de Filmes;SP;-;-;Fox;17;20.557;213.440,76;
2011;B1101362100000;Amor?;João Jardim;Ficção;Copacabana Filmes e Produções/Fogo Azul Filmes;RJ/RJ;Globosat;RJ;Copacabana Filmes;14;19.079;173.145,27;
2011;B1101520600000;As Canções;Eduardo Coutinho;Documentário;Videofilmes;RJ;-;-;Espaço Filmes;10;22.437;229.714,74;
2011;B1101385900000;As Doze Estrelas;Luiz Alberto Pereira;Ficção;Lapfilme;SP;-;-;Polifilmes/Lapfilme;27;3.469;32.011,56;
2011;B1101377100000;As Mães de Chico Xavier;Glauber Filho/Halder Gomes;Ficção;ATC Entretenimentos/Estação Luz Filmes;CE/CE;-;-;Paris;441;517.330;4.598.470,13;
2011;B1101449600000;Assalto ao Banco Central;Marcos Paulo;Ficção;Total Entertainment;RJ;-;-;Fox;325;1.966.736;18.657.595,20;
2011;B1101371900000;Avenida Brasília Formosa;Gabriel Mascaro;Documentário;Gabriel Mascaro/Plano 9 Produções; -/PE;Abepec/Universidade Federal de Pernambuco;SP/PE;Vitrine Filmes;4;955;4.160,50;
2011;B1101483300000;Bahêa Minha Vida;Marcio Cavalcante;Documentário;Movimento Filmes;BA;-;-;Paris;15;74.857;597.579,00;
2011;B1001191000000;Belair;Bruno Safadi/Noa Bressane;Documentário;TB Produções;RJ;Artesanato Digital Produções;RJ;Pipa Produções;10;1.282;9.357,70;
2011;B1001319200000;Bollywood Dream – o Sonho Bollywoodiano;Beatriz Seigner;Ficção;Miríade Filmes;SP;-;-;Espaço Filmes;13;6.105;60.561,00;
2011;B1101348300000;Brasil Animado;Mariana Caltabiano;Animação;Mariana Caltabiano Criações;SP;Globo Filmes/Teleimage;RJ/SP;Imagem;188;141.733;1.014.270,67;
2011;B1001298800000;Broder;Jeferson De;Ficção;Glaz Entretenimento;RJ;Globo Filmes/Lereby;RJ/RJ;Sony;35;37.468;372.802,28;
2011;B1101347100000;Bruna Surfistinha;Marcus Baldini;Ficção;Damasco Filmes/TV Zero Cinema;SP/RJ;-;-;Imagem/RioFilme;347;2.177.018;20.038.457,43;
2011;B1101496800000;Capitães da Areia;Cecília Amado;Ficção;Lagoa Cultural;RJ;Maga Filmes;RJ;Imagem;119;170.607;1.488.886,73;
2011;B1001293100000;Chantal Akerman, de Cá;Gustavo Beck/Leonardo Luiz Ferreira;Documentário;Enquadramento Produções;SP;-;-;Vitrine Filmes;6;237;1.440,50;
2011;B1101406900000;Cilada.com;José Alvarenga Jr.;Ficção;Casé Filmes;RJ;Globo Filmes;RJ;Downtown/Paris/RioFilme;389;2.959.460;28.030.183,67;
2011;B0901102500000;Corpos Celestes;Fernando Severo/Marcos Jorge;Ficção;Zencrane Filmes;SP;Loc All Cinema e Televisão/Dalton Vigh;PR/-;Panda Filmes;8;1.980;17.631,68;
2011;B1001292600000;Cortina de Fumaça;Rodrigo Mac Niven;Documentário;TVa2 Produções;RJ;-;-;TVA2 Produções;2;251;1.745,05;
2011;B0901050500000;Corumbiara;Vincent Carelli;Documentário;Vídeo nas Aldeias;PE;-;-;Panda Filmes;1;280;1.476,00;
2011;B0800963900000;Crítico;Kleber Mendonça Filho;Documentário;CinemaScópio;PE;-;-;Vitrine Filmes;4;473;3.171,82;
2011;B1001303400000;Dawson Isla 10;Miguel Littin;Ficção;VPC Cinemavídeo;BA;-;-;Imagem;11;3.545;31.921,67;
2011;B1001305900000;De Pernas pro Ar;Roberto Santucci;Ficção;Morena Filmes;RJ;-;-;Downtown/Paris;346;3.506.552;31.033.778,76;
2011;B1101515400000;Desaparecidos;David Schurman;Ficção;Schurmann Filmes;SP;-;-;Schürmann;21;9.821;101.249,85;
2011;B1101459300000;Desassossego;Felipe Bragança;Ficção;Duas Mariola Filmes;RJ;-;-;Vitrine Filmes;5;358;1.535,00;
2011;B1001315900000;Desenrola;Rosane Svartman;Ficção;Raccord Produções;RJ;Globo Filmes;RJ;Downtown/RioFilme;138;331.423;2.673.784,14;
2011;B1101413800000;Diário de uma Busca;Flavia Castro;Documentário;Flavia Castro/Tambellini Filmes; -/RJ;-;-;Videofilmes;6;3.658;34.061,00;
2011;B1001205900000;Domingos;Maria Ribeiro;Documentário;Forte Filmes/Prole de Adão Produção Artísticas;RJ/RJ;-;-;Gávea Filmes e Produções;4;735;5.221,50;
2011;B1001192900000;Duas Mulheres;João Mário Grilo;Ficção;Taiga Filmes e Vídeo;RJ;-;-;Pipa Produções;2;232;1.725,00;
2011;B1101442800000;E Aí Hendrix?;Pedro Paulo Carneiro/Roberto Lamounier;Documentário;TVC Produções/TVGD Produções;RJ/RJ;-;-;Polifilmes;1;141;1.184,72;
2011;B1001187800000;Elvis e Madona;Marcelo Laffitte;Ficção;Focus Films/Laffilmes;RJ/RJ;Mariana Bezerra Cavalcanti;-;Pipa Produções;38;11.340;87.287,23;
2011;B1101365800000;Embargo;António Ferreira;Ficção;Diler & Associados;RJ;-;-;Raiz Distribuidora;1;344;3.242,05;
2011;B1101415000000;Estamos Juntos;Toni Venturi;Ficção;Aurora Filmes/Olhar Imaginário;SP/SP;Aurora Filmes;SP;Imagem;43;33.187;266.545,55;
2011;B1001340200000;Estrada para Ythaca;Guto Parente/Luiz Pretti/Pedro Diógenes/Ricardo Pretti;Ficção;Alumbramento;CE;Guto Parente/Luiz Pretti/Pedro Diógenes/Ricardo Pretti;-;Vitrine Filmes;7;841;5.402,50;
2011;B1101389300000;Estrada Real da Cachaça;Pedro Urano;Documentário;Grupo Novo de Cinema e TV;RJ;-;-;Vitrine Filmes;6;1.083;6.788,50;
2011;B0800959600000;Eu Eu Eu José Lewgoy;Cláudio Kahns;Documentário;Tatu Filmes;SP;-;-;Polifilmes;1;236;2.168,50;
2011;B1101422700000;Família Braz – Dois Tempos;Dorrit Harazim;Documentário;Conspiração Filmes;RJ;Videofilmes;RJ;Videofilmes;10;2.907;30.090,50;
2011;B1101413400000;Família Vende Tudo;Alain Fresnot;Ficção;A.F. Cinema;SP;-;-;Playarte;154;112.116;1.009.124,29;
2011;B1001284500000;Filhos de João, Admirável Mundo Novo Baiano;Henrique Dantas;Documentário;Hamaca Filmes;BA;DocDoma Filmes;BA;Pipa Produções;22;20.559;155.523,08;
2011;B1001190900000;Inversão;Edu Felistoque;Ficção;Olympus Filme;SP;-;-;Califórnia;3;136;885,00;
2011;B1101457300000;Jardim das Folhas Sagradas;Pola Ribeiro;Ficção;Studio Brasil Cinema e Televisão;BA;-;-;Polifilmes;16;16.831;129.699,44;
2011;B1001317800000;Leite e Ferro;Claudia Priscilla;Documentário;Paleo TV/Válvula Produções;SP/SP;-;-;Polifilmes;3;364;3.359,00;
2011;B1001276700000;Lixo Extraordinário;Karen Harley/João Jardim/Lucy Walker;Documentário;O2 Filmes;SP;-;-;Downtown;28;52.472;405.917,34;
2011;B1001321100000;Lope;Andrucha Waddington;Ficção;Conspiração Filmes;RJ;Teleimage;SP;Warner;25;32.790;337.065,00;
2011;B1001259500000;Malu de Bicicleta;Flávio Ramos Tambellini;Ficção;Tambellini Filmes;RJ;-;-;Downtown/RioFilme;33;19.083;161.823,59;
2011;B0901034700000;Mamonas para Sempre;Cláudio Kahns;Documentário;Tatu Filmes;SP;-;-;Europa;34;20.344;162.100,25;
2011;B1001294000000;Marcha da Vida;Jessica Sanders;Documentário;Conspiração Filmes/Filmland Internacional;RJ/SP;-;-;Europa;21;4.089;37.245,51;
2011;B1101490400000;Meu País;André Ristum;Ficção;Gullane/Sombumbo Filmes;SP/SP;Imovision;SP;Imovision;43;39.841;450.479,50;
2011;B1201546800000;Morro do Céu;Gustavo Spolidoro;Documentário;GusGus Cinema;RS;Abepec/Fundação Piratini - TVE RS/Gustavo Spolidoro;SP/RS/-;Vitrine Filmes;5;367;1.692,00;
2011;B1101368000000;Mulatas! Um Tufão nos Quadris;Walmor Pamplona;Documentário;Carioca Filmes;RJ;-;-;Carioca;3;233;1.605,75;
2011;B1101378300000;Natimorto;Paulo Machline;Ficção;Academia de Filmes/Camisa Treze Cultural;SP/SP;-;-;Camisa Treze;5;3.194;33.071,50;
