Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição 1995 a 2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF;Distribuidora;Máximo de Salas;Público;Renda (R$);
1997;B0500321300000;Lua de Outubro;Henrique de Freitas Lima;Ficção;Cinematográfica Pampeana;RS;-;-;Paris;17;33.894;114.351,00;
1997;B1101390800000;Miramar;Julio Bressane;Ficção;Julio Bressane;RJ;-;-;RioFilme;2;7.616;39.451,00;
1997;-;Navalha na Carne;Neville D'Almeida;Ficção;Terra Brasilis;RJ;-;-;S. Ribeiro;101;170.929;784.214,00;
1997;B0800853700000;O Amor Está no Ar;Amylton de Oliveira;Ficção;LCA Produções;ES;-;-;RioFilme;3;5.877;31.816,00;
1997;B0800842700000;O Cangaceiro;Anibal Massaini Neto;Ficção;Cinearte Produções Cinematográficas;SP;-;-;S. Ribeiro;10;140.932;618.692,00;
1997;B0400076600000;O Homem Nu;Hugo Carvana;Ficção;Mac Comunicacão;RJ;-;-;RioFilme;14;74.188;450.321,00;
1997;B0500336500000;O Noviço Rebelde;Tizuka Yamasaki;Ficção;Renato Aragão Produções;RJ;-;-;Columbia/Art Filmes;174;1.501.035;6.019.150,00;
1997;B0500261400000;O Que É Isso Companheiro?;Bruno Barreto;Ficção;Filmes do Equador;RJ;-;-;Columbia;48;321.450;1.787.262,00;
1997;B1001308600000;O Sertão das Memórias;José Araújo;Documentário;Ganesh Produções;CE;-;-;RioFilme;ND;3.110;15.000,00;
1997;B0500239200000;O Velho - A História de Luiz Carlos Prestes;Toni Venturi;Documentário;Olhar Imaginário;SP;-;-;RioFilme;2;11.874;44.290,00;
1997;B0500420200000;Os Matadores;Beto Brant;Ficção;Casa de Produção;SP;-;-;RioFilme;6;27.014;128.998,00;
1997;B0500311000000;Pequeno Dicionário Amoroso;Sandra Werneck;Ficção;Cineluz Produções;RJ;-;-;Lumière/RioFilme;23;402.430;2.100.685,00;
1997;B0500311300000;Silvino Santos - o Cineasta da Selva;Aurélio Michelis;Documentário;Superfilmes;SP;-;-;RioFilme;2;4.560;21.386,00;
1997;B0600478000000;Um Céu de Estrelas;Tata Amaral;Ficção;Tata Amaral;SP;-;-;RioFilme;1;13.307;72.390,00;
1998;B0500262300000;A Grande Noitada;Denoy de Oliveira;Ficção;Palmares;SP;-;-;RioFilme;1;1.587;7.594,00;
