"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2010""";;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)""";
"""96""";19/05/2010;"""3""";"""""Feel more"" e ""Chase""""";"""Publicitária""";"""26/05/2010 a 02/06/2010""";"""JKR Produções Artísticas Ltda""";"""RJ""";"""Believe Media""";"""Inglaterra""";"""Estrangeira""";"""RJ""";
"""97""";19/05/2010;"""12""";"""Dual survivor""";"""Programa de TV (reality show)""";"""27/05/2010 a 20/06/2010""";"""Terra Vermelha Filmes Ltda.""";"""RJ""";"""CCCM Projects LLC""";"""Estados Unidos""";"""Estrangeira""";"""MT""";
"""98""";24/05/2010;"""7""";"""São Paulo""";"""Documentário""";"""28/05/2010 a 31/05/2010""";"""Neon Rio Ltda.""";"""RJ""";"""British Broadcasting Corporation""";"""Inglaterra""";"""Estrangeira""";"""SP""";
"""99""";25/05/2010;"""2""";"""Jovens que sonham pela Copa de 2014""";"""Documentário""";"""08/06/2010 a 25/07/2010""";"""Urutau Filmes Ltda.""";"""SP""";"""NHK - Japan Broadcasting Corporation""";"""Japão""";"""Estrangeira""";"""RJ""";
"""100""";25/05/2010;"""1""";"""Taxi Drivers - Rio""";"""Documentário""";"""02/06/2010 a 18/06/2010""";"""Modo Operante Produções Culturais Ltda.""";"""RJ""";"""Les Protagonistes Producions""";"""França""";"""Estrangeira""";"""RJ""";
"""101""";26/05/2010;"""3""";"""Os altos preços do minério de ferro abalam o Japão""";"""Documentário""";"""13/06/2010 a 29/06/2010""";"""Urutau Filmes Ltda.""";"""SP""";"""NHK - Japan Broadcasting Corporation""";"""Japão""";"""Estrangeira""";"""ES/MG/RJ""";
"""102""";27/05/2010;"""61""";"""The Amazing Race""";"""Programa de TV (reality show)""";"""26/05/2010 a 05/06/2010""";"""Casablanca Service Provider Ltda""";"""SP""";"""Cinemat Inc.""";"""Estados Unidos""";"""Estrangeira""";"""AM/RJ""";
"""103""";27/05/2010;"""4""";"""Ivo Pitanguy, o papa da cirurgia da beleza""";"""Documentário""";"""09/06/2010 a 17/06/2010""";"""Aura Filme Produções Ltda.""";"""RJ""";"""ZDF - Zweites Deutsches Fernsehen""";"""Alemanha""";"""Estrangeira""";"""RJ""";
"""104""";01/06/2010;"""33""";"""Billete de ida""";"""Programa de TV (reality show)""";"""16/06/2010 a 11/09/2010""";"""Eyeworks Cuatro Cabezas do Brasil - Produtora de Programas Televisivos e Filmes Publicitários Ltda. """;"""SP""";"""Eyeworks Cuatro Cabezas Espanha S.A.""";"""Espanha""";"""Estrangeira""";"""BA""";
"""105""";02/06/2010;"""1""";"""Milf""";"""Publicitária""";"""03/06/2010 a 03/07/2010""";"""Bossa Nova Films Criações e Produções Ltda.""";"""SP""";""" - """;""" - """;"""Brasileira""";"""SP""";
"""106""";02/06/2010;"""36""";"""Roots (Raízes)""";"""Documentário""";"""11/06/2010 a 28/07/2010""";"""Neon Rio Ltda.""";"""RJ""";"""Kanakna Productions""";"""Bélgica""";"""Estrangeira""";"""AM/PA""";
"""107""";08/06/2010;"""5""";"""Já chegamos? Aventura mundial""";"""Documentário""";"""30/06/2010 a 15/07/2010""";"""Neon Rio Ltda.""";"""RJ""";"""Ricardo Preve Films LLC""";"""Estados Unidos""";"""Estrangeira""";"""AM/RJ""";
"""108""";08/06/2010;"""2""";"""Who called""";"""Publicitária""";"""14/06/2010 a 18/06/2010""";"""Prodigital Latina Estúdio Filmes Ltda.""";"""SP""";"""Vagabond Films LLC""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";
"""109""";08/06/2010;"""3""";"""Convite para o Patrimônio Mundial""";"""Documentário""";"""10/07/2010 a 10/08/2010""";"""Urutau Filmes Ltda.""";"""SP""";"""NHK - Japan Broadcasting Corporation""";"""Japão""";"""Estrangeira""";"""MT/PR/SP""";
"""110""";10/06/2010;"""2""";"""Sacred beasts""";"""Documentário""";"""03/07/2010 a 15/07/2010""";"""Blue Eye Empreendimentos e Produções Audiovisuais Ltda""";"""RJ""";"""Ping Pong Productions""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";
"""111""";10/06/2010;"""5""";"""Rabobank food chain film 2010""";"""Institucional""";"""04/07/2010 a 12/07/2010""";"""Alfixit Produções Culturais e Artísticas Ltda.""";"""SP""";"""Story Fountain Ltd.""";"""Holanda""";"""Estrangeira""";"""MG/RJ""";
"""112""";14/06/2010;"""6""";"""Filme brasileiro 6""";"""Institucional""";"""11/07/2010 a 10/10/2010""";"""Sol Entertainment Ltda""";"""RJ""";"""Fact+Film Medienproduktion GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ""";
"""113""";29/06/2010;"""4""";"""Sekai no hate made itte Q""";"""Documentário""";"""08/07/2010 a 22/07/2010""";"""Town Network Filmagens Ltda.""";"""SP""";"""NTV - Nippon Television Network Corporation""";"""Japão""";"""Estrangeira""";"""AM/MT/MS/SP""";
"""114""";14/06/2010;"""2""";"""Hoola""";"""Publicitária""";"""19/06/2010 a 02/07/2010""";"""Sweet Produções Ltda.""";"""SP""";"""Viral Factory""";"""Inglaterra""";"""Estrangeira""";"""RJ""";
"""115""";14/06/2010;"""2""";"""Butterfly revolution""";"""Documentário""";"""19/06/2010 a 22/06/2010""";"""Perin Filmes Ltda.""";"""AM""";"""IDTV BV""";"""Holanda""";"""Estrangeira""";"""AM""";
"""116""";16/06/2010;"""11""";"""Osuofia in Brazil""";"""Ficção""";"""30/06/2010 a 20/07/2010""";"""Cometa Filmes Ltda.""";"""SP""";"""African Oasis Production""";"""Nigéria""";"""Estrangeira""";"""MG/SP""";
"""117""";17/06/2010;"""4""";"""Panasonic""";"""Publicitária""";"""13/07/2010 a 09/10/2010""";"""XES Projetos Visuais Ltda.""";"""SP""";""" - """;""" - """;"""Brasileira""";"""SP""";
"""118""";17/06/2010;"""7""";"""Wonders of the Universe""";"""Documentário""";"""28/06/2010 a 07/07/2010""";"""Neon Rio Ltda.""";"""RJ""";"""BBC - British Broadcasting Corporation""";"""Inglaterra""";"""Estrangeira""";"""RJ""";
"""119""";18/06/2010;"""4""";"""O Acordeão""";"""Documentário""";"""10/07/2010 a 15/07/2010""";"""Neon Rio Ltda.""";"""RJ""";"""British Broadcasting Corporation - BBC Scotland""";"""Escócia""";"""Estrangeira""";"""PE""";
"""120""";29/06/2010;"""4""";"""Caminhando pela cidade""";"""Documentário""";"""09/08/2010 a 31/08/2010""";"""Urutau Filmes Ltda.""";"""SP""";"""TV Man Union Inc.""";"""Japão""";"""Estrangeira""";"""AM/MG""";
"""121""";29/06/2010;"""6""";"""Nature´s miracle babies""";"""Documentário""";"""13/07/2010 a 19/07/2010""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM""";"""British Broadcasting Corporation""";"""Inglaterra""";"""Estrangeira""";"""AM""";
"""122""";30/06/2010;"""3""";"""Citröen""";"""Publicitária""";"""30/06/2010 a 07/07/2010""";"""Sweet Produções Ltda.""";"""SP""";"""The Gang Films""";"""França""";"""Estrangeira""";"""RJ""";
"""123""";30/06/2010;"""4""";"""Patrimônio Mundial da Humanidade - Unesco""";"""Documentário""";"""10/08/2010 a 25/08/2010""";"""Fundação Fórmula Cultural""";"""SP""";"""TV Man Union Inc.""";"""Japão""";"""Estrangeira""";"""PI""";
"""124""";01/07/2010;"""3""";"""Fonte Nova""";"""Documentário""";"""26/07/2010 a 15/09/2010""";"""Sister Entretenimento Ltda.""";"""SP""";"""CDI Virtual Films, Inc.""";"""Estados Unidos""";"""Estrangeira""";"""BA/SP""";
"""125""";09/07/2010;"""2""";"""Amazônia """;"""Documentário""";"""01/09/2010 a 11/10/2010""";"""Neon Rio Ltda.""";"""RJ""";"""Ceská Televise """;"""República Tcheca""";"""Estrangeira""";"""AC/AM""";
"""126""";12/07/2010;"""3""";"""Canned Dreams """;"""Documentário""";"""02/08/2010 a 24/08/2010""";"""Lagoa Cultural e Esportiva Ltda.""";"""RJ""";"""Oktober Ou""";"""Finlândia""";"""Estrangeira""";"""RO""";
"""127""";14/07/2010;"""5""";"""Panorama Sobre a Amazônia""";"""Documentário""";"""20/07/2010 a 26/07/2010""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM""";"""Berenice Production""";"""Guiana Francesa """;"""Estrangeira""";"""AM""";
"""128""";16/07/2010;"""3""";"""Wordrobe""";"""Documentário""";"""01/08/2010 a 13/08/2010""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""U-Rock Inc.""";"""Japão""";"""Estrangeira""";"""MG/PA/SP""";
"""129""";19/07/2010;"""98""";"""Fear Factor """;"""Programa de TV (reality show)""";"""01/08/2010 a 10/09/2010""";"""Utopia Filmes Produção Artística Ltda""";"""RJ""";"""Endemol India """;"""Índia """;"""Estrangeira""";"""RJ""";
"""130""";19/07/2010;"""7""";"""Voestalpine""";"""Institucional""";"""07/08/2010 a 15/08/2010""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""The Brainstormclub GmbH & Co KG""";"""Alemanha""";"""Estrangeira""";"""SP""";
"""131""";20/07/2010;"""1""";"""Vídeo Corporativo Advent International """;"""Institucional""";"""26/07/2010 a 30/07/2010""";"""Terra Vermelha Filmes Ltda.""";"""RJ""";"""The Edge Picture Co. Ltd.""";"""Inglaterra""";"""Estrangeira""";"""SP""";
"""132""";21/07/2010;"""1""";"""""Liberdade Angélica"" e ""Liberdade Cláudia Leite Cor e Ton""""";"""Publicitária""";"""25/07/2010 a 01/08/2010 """;"""INK Geração e Produção de Conteúdo Ltda""";"""SP""";""" - """;""" - """;"""Brasileira""";"""RJ""";
"""133""";22/07/2010;"""2""";"""Guto Chikyu Bin""";"""Documentário""";"""19/08/2010 a 26/08/2010""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""Dmark Co., Ltd. """;"""Japão""";"""Estrangeira""";"""SP""";
"""134""";22/07/2010;"""7""";"""Store""";"""Publicitária""";"""10/08/2010 a 30/08/2010""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""Creative Bubble """;"""Estados Unidos""";"""Estrangeira""";"""RJ/SP""";
"""135""";23/07/2010;"""5""";"""Wild Thing""";"""Documentário""";"""21/08/2010 a 05/09/2010""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM""";"""Icon Films""";"""Inglaterra""";"""Estrangeira""";"""AM/RO""";
"""136""";26/07/2010;"""1""";"""""Samba"" /  ""Bastidor/Camarim"" / ""Ampolas""""";"""Publicitária""";"""04/08/2010 a 19/08/2010""";"""Paranoid Brasil Ltda""";"""SP""";""" - """;""" - """;"""Brasileira""";"""SP""";
"""137""";29/07/2010;"""4""";"""O Gringo - Parte 2""";"""Documentário""";"""01/08/2010 a 30/09/2010""";"""Urca Filmes Ltda""";"""RJ""";"""Magicna Linija""";"""Sérvia""";"""Estrangeira""";"""RJ""";
"""138""";30/07/2010;"""5""";"""Mega Piranha""";"""Documentário""";"""15/08/2010 a 05/09/2010""";"""Blue Eye Empreendimentos e Produções Audiovisuais Ltda""";"""RJ""";"""NGHT, LLC""";"""Estados Unidos""";"""Estrangeira""";"""AM/PA""";
"""139""";04/08/2010;"""8""";"""Fight Club""";"""Série para TV""";"""16/08/2010 a 24/08/2010""";"""Caledoscópio Produções e Projetos Ltda.""";"""BA""";"""Cineflix (FC) Inc.""";"""Canadá""";"""Estrangeira""";"""BA""";
"""140""";04/08/2010;"""2""";"""Life Boy""";"""Publicitária""";"""15/08/2010 a 15/09/2010""";"""Sister Entretenimento Ltda.""";"""SP""";"""CDI Virtual Films, Inc.""";"""Estados Unidos""";"""Estrangeira""";"""SP""";
"""141""";05/08/2010;"""1""";"""Flash Mob""";"""Publicitária""";"""09/08/2010 a 09/09/2010""";"""Bossa Nova Films Criações e Produções Ltda.""";"""SP""";""" - """;""" - """;"""Brasileira""";"""SP""";
"""142""";09/08/2010;"""4""";"""Home""";"""Publicitária""";"""10/08/2010 a 29/08/2010""";"""Zohar Cinema e Comunicação Ltda""";"""RJ""";"""MJZ Limited""";"""Inglaterra""";"""Estrangeira""";"""RJ""";
"""143""";18/08/2010;"""1""";"""""Omo"" / ""Comfort"" / ""Dove"" / ""Lifebuoy"" / ""Becel""""";"""Publicitária""";"""27/08/2010 a 20/09/2010""";"""Paranoid Brasil Ltda""";"""SP""";""" - """;""" - """;"""Brasileira""";"""SP""";
"""144""";19/08/2010;"""2""";"""Anderson Silva 117""";"""Documentário""";"""02/09/2010 a 11/09/2010""";"""Joia Entertainment Ltda.""";"""RJ""";"""Tough Media Corp""";"""Estados Unidos""";"""Estrangeira""";"""PR/RJ""";
"""145""";20/08/2010;"""4""";"""Aguresibu Desu Kedo Nanika""";"""Documentário""";"""13/09/2010 a 27/09/2010""";"""Town Network Filmagens Ltda.""";"""SP""";"""EZM Home TV Production Co. Ltd. """;"""Japão""";"""Estrangeira""";"""AM/RJ/SP""";
"""146""";20/08/2010;"""2""";"""Amazon Ni Hisomu Saigo No Tami, Xikrin""";"""Documentário""";"""10/09/2010 a 18/10/2010""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""TV Tokyo Production, Inc. """;"""Japão""";"""Estrangeira""";"""PA""";
"""147""";20/08/2010;"""2""";"""Brand-new Station""";"""Documentário""";"""09/09/20010 a 21/09/2010""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""Kajimavision Productions Co., Ltd.""";"""Japão""";"""Estrangeira""";"""MG/RJ/RS/SP""";
"""148""";20/08/2010;"""2""";"""BG Group """;"""Institucional""";"""17/09/2010 a 27/09/2010""";"""Neon Rio Ltda.""";"""RJ""";"""Jacaranda Productions Ltd.""";"""Inglaterra""";"""Estrangeira""";"""RJ/SP""";
"""149""";30/08/2010;"""4""";"""O Tamanduá Bandeira""";"""Documentário""";"""18/09/2010 a 20/11/2010 
Parte 2: 01/05/2011 a 31/05/2011""";"""Tambke Filmes Ltda.""";"""RJ""";"""Bayerischer Rundfunk""";"""Alemanha""";"""Estrangeira""";"""AM/SP""";
"""150""";30/08/2010;"""3""";"""Vontade de pintar a cara """;"""Publicitária""";"""06/09/2010 a 12/09/2010""";"""Produtora de Cinema e Filmes Associados Ltda""";"""SP""";""" - """;""" - """;"""Brasileira""";"""SP""";
"""151""";31/08/2010;"""3""";"""Global Ring""";"""Publicitária""";"""13/09/2010 a 18/09/2010""";"""JKR Produções Artísticas Ltda""";"""RJ""";"""HSI Productions """;"""Estados Unidos""";"""Estrangeira""";"""RJ""";
"""152""";01/09/2010;"""2""";"""Insensato Coração""";"""Novela""";"""13/10/2010 a 06/11/2010 
2º etapa: 08/11/2010 a 26/11/2010""";"""Globo Comunicação e Participações S/A""";"""RJ""";""" - """;""" - """;"""Brasileira""";"""RJ""";
"""153""";01/09/2010;"""3""";"""Lost in the Amazon""";"""Documentário""";"""22/09/2010 a 12/10/2010""";"""Schurmann Desenvolvimento e Pesquisa Ltda""";"""SP""";"""Lost World Films Ltd.""";"""Canadá""";"""Estrangeira""";"""AC/MT/MS/RJ""";
"""154""";01/09/2010;"""2""";"""The Secluded Swamp""";"""Documentário""";"""20/09/2010 a 20/102010""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM""";"""Earth-Touch (Pyt) Ltd""";"""África do Sul""";"""Estrangeira""";"""GO/TO""";
"""155""";09/09/2010;"""5""";"""River Monster""";"""Documentário""";"""20/09/2010 a 15/10/2010""";"""Neon Rio Ltda.""";"""RJ""";"""Icon Films""";"""Inglaterra""";"""Estrangeira""";"""PA""";
"""156""";10/09/2010;"""3""";"""Smile Spots""";"""Publicitária""";"""12/09/2010 a 29/09/2010""";"""Sweet Produções Ltda.""";"""SP""";"""HLA""";"""Inglaterra""";"""Estrangeira""";"""SP""";
"""157""";13/09/2010;"""3""";"""Carnets du Brésil""";"""Documentário""";"""18/09/2010 a 17/10/2010""";"""Focus Films Ltda.""";"""RJ""";"""Crescendo Films""";"""França""";"""Estrangeira""";"""BA/RJ/SP""";
"""158""";14/09/2010;"""3""";"""29. Bienal de São Paulo""";"""Documentário""";"""18/09/2010 a 26/09/2010""";"""Aura Filme Produções Ltda.""";"""RJ""";"""Schweizer Fernsehen""";"""Suíça""";"""Estrangeira""";"""SP""";
"""159""";14/09/2010;"""1""";"""B.E.P. in Concert""";"""Documentário""";"""16/09/2010 a 26/102010""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""DNA""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";
"""160""";14/09/2010;"""2""";"""Brazil Amazing Tour - Nordeste""";"""Série para TV""";"""13/09/2010 a 05/11/2010""";"""Circus Films Ltda""";"""SP""";""" - """;""" - """;"""Brasileira""";"""AL/BA/CE/MA/PB/PI/RN/SE""";
"""161""";28/09/2010;"""3""";"""Oba SS11""";"""Publicitária""";"""18/09/2010 a 10/10/2010""";"""Zohar Cinema e Comunicação Ltda""";"""RJ""";"""Soixante Quinze""";"""França""";"""Estrangeira""";"""RJ/SP""";
"""162""";15/09/2010;"""101""";"""Amazing Race""";"""Programa de TV (reality show)""";"""01/10/2010 a 20/12/2010""";"""Content Realizações e Produções Audiovisuais Ltda""";"""SP""";"""WorldRace Porductions Inc.""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";
"""163""";22/09/2010;"""3""";"""Sporlos""";"""Documentário""";"""06/10/2010 a 30/11/2010""";"""Parábola Produções Ltda.""";"""SP""";"""To The Moon AS""";"""Noruega""";"""Estrangeira""";"""SP""";
"""164""";23/09/2010;"""4""";"""Conspiraciones""";"""Documentário""";"""13/10/2010 a 10/11/2010""";"""Elevate Produção e Criação Ltda.""";"""SP""";"""Cru Films SRL""";"""Argentina""";"""Estrangeira""";"""AM/DF/MT/PA/RJ/SP""";
"""165""";29/09/2010;"""5""";"""Man vs. Monsters""";"""Documentário""";"""11/10/2010 a 23/10/2010""";"""Brian Sewell Produções Cinematográficas""";"""RJ""";"""Optomen Productions""";"""Estados Unidos""";"""Estrangeira""";"""AM""";
"""166""";01/10/2010;"""4""";"""Reezig """;"""Publicitária""";"""20/10/2010 a 10/11/2010""";"""Planeta Film Ltda.""";"""SP""";"""Smuggler Inc.""";"""Estados Unidos""";"""Estrangeira""";"""SP""";
"""167""";01/10/2010;"""8""";"""Hot Spots""";"""Documentário""";"""19/10/2010 a 28/10/2010""";"""The Amazon Touch Produções Ltda.""";"""SP""";"""Japan Broadcasting Corporation - NHK""";"""Japão""";"""Estrangeira""";"""GO/RJ""";
"""168""";01/10/2010;"""50""";"""Fast and Furious 5""";"""Ficção""";"""08/10/2010 a 08/11/2010""";"""Conspiração Filmes S/A""";"""RJ""";"""FF5 Productions LLC""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";
"""169""";01/10/2010;"""1""";"""Paraísos Artificiais""";"""Ficção""";"""11/10/2010 a 11/12/2010""";"""Zazen Produções Audiovisuais Ltda.""";"""RJ""";""" - """;""" - """;"""Brasileira""";"""AL/PE/RJ""";
"""170""";06/10/2010;"""3""";"""Matheus Moraes""";"""Documentário""";"""12/10/2010 a 19/10/2010""";"""Neon Rio Ltda.""";"""RJ""";"""Wild Dream Films""";"""Inglaterra""";"""Estrangeira""";"""RJ/SP""";
"""172""";08/10/2010;"""40""";"""TSDB Brazil""";"""Ficção""";"""18/10/2010 a 20/11/2010""";"""Zohar Cinema e Comunicação Ltda""";"""RJ""";"""TSDB Louisiana, L.L.C. """;"""Estados Unidos""";"""Estrangeira""";"""RJ""";
"""173""";14/10/2010;"""4""";"""""Volkpoeten"" / ""Poetas de Cordel""""";"""Documentário""";"""07/11/2010 a 24/11/2010""";"""Jorge Barbosa Guedes Produções - ME (Cinegrama Filmes)""";"""SP""";"""Dirk Manthey Film""";"""Alemanha""";"""Estrangeira""";"""PE/CE""";
"""174""";13/10/2010;"""3""";"""Goodbye Deutschland - Die Auswanderer""";"""Documentário""";"""22/10/2010 a 27/10/2010""";"""Aura Filme Produções Ltda.""";"""RJ""";"""InfoNetwork Gmbh""";"""Alemanha""";"""Estrangeira""";"""BA""";
"""175""";19/10/2010;"""3""";"""Clipe do Rapper FLO RIDA""";"""Videoclipe""";"""20/10/2010 a 29/10/2010""";"""Terra Vermelha Filmes Ltda.""";"""RJ""";"""Lut! Med!a""";"""Inglaterra""";"""Estrangeira""";"""RJ""";
"""176""";18/10/2010;"""3""";"""Saudade - Realidade do Carnaval do samba carioca""";"""Documentário""";"""13/11/2010 a 30/11/2010
2º etapa: 19/02/2011 a 18/03/2011""";"""Wasabi JB Comunicação Ltda.""";"""RJ""";"""Bunkakobo Inc.""";"""Japão""";"""Estrangeira""";"""RJ/SP""";
"""176-3""";10/01/2011;"""3""";"""Saudade - Realidade do Carnaval do samba carioca - Parte 2""";"""Documentário""";"""19/02/2011 a 18/03/2011""";"""Wasabi JB Comunicação Ltda.""";"""RJ""";"""Bunkakobo Inc.""";"""Japão""";"""Estrangeira""";"""RJ""";
"""177""";18/10/2010;"""2""";"""Perfume""";"""Documentário""";"""24/10/2010 a 31/10/2010""";"""Alfixit Produções Culturais e Artísticas Ltda.""";"""SP""";"""The Garden Productions Ltd.""";"""Inglaterra""";"""Estrangeira""";"""SP""";
"""178""";20/10/2010;"""6""";"""Ryuho Okawa in Brazil""";"""Documentário""";"""05/11/2010 a 20/11/2010""";"""Town Network Filmagens Ltda.""";"""SP""";"""Kofuku no Kagaku""";"""Japão""";"""Estrangeira""";"""SP""";
"""179""";20/10/2010;"""4""";"""Discovery of the world´s mysteries""";"""Documentário""";"""11/11/2010 a 30/11/2010""";"""Urutau Filmes Ltda.""";"""SP""";"""TV Man Union, Inc.""";"""Japão""";"""Estrangeira""";"""DF/GO/PI""";
"""180""";21/10/2010;"""5""";"""To promise a clean future - Bio Ethanol""";"""Documentário""";"""19/11/2010 a 05/12/2010""";"""Urutau Filmes Ltda.""";"""SP""";"""Sun Arts & Production""";"""China""";"""Estrangeira""";"""SP""";
"""181""";21/10/2010;"""3""";"""Duas vidas unidas pela música""";"""Documentário""";"""27/10/2010 a 20/11/2010""";"""N. Sra. Casting's Produções Artísticas Ltda.""";"""SP""";"""Gabriella Weininger""";"""Hungria""";"""Estrangeira""";"""SP""";
"""182""";25/10/2010;"""1""";"""Planete Surf""";"""Documentário""";"""09/11/2010 a 12/11/2010""";"""Bonfilm Produção e Distribuição Audiovisual Ltda. """;"""RJ""";"""Program 33""";"""França""";"""Estrangeira""";"""RJ""";
"""183""";25/10/2010;"""2""";"""Learning Center Brazil""";"""Institucional""";"""03/11/2010 a 15/11/2010""";"""Blue Eye Empreendimentos e Produções Audiovisuais Ltda""";"""RJ""";"""The Biscuit Factory LLC""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";
"""184""";26/10/2010;"""1""";"""Projeto Lente do Sonho""";"""Documentário""";"""03/11/2010 a 08/11/2010""";"""XES Projetos Visuais Ltda.""";"""SP""";"""East Entertainment Inc.""";"""Japão""";"""Estrangeira""";"""RJ""";
"""185""";29/10/2010;"""3""";"""Rope Jump Ex 2011""";"""Programa de TV""";"""26/11/2010 a 10/12/2010""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""TFC - Tohokushinsha Film Corporation""";"""Japão""";"""Estrangeira""";"""SP""";
"""186""";29/10/2010;"""1""";"""The Roots Expedition - Alex Flemming""";"""Documentário""";"""07/11/2010 a 11/12/2010""";"""Sol Entertainment Ltda""";"""RJ""";"""Deutsche Welle""";"""Alemanha""";"""Estrangeira""";"""AL/AM/DF/MS/MG/PA/RJ/SP""";
"""187""";29/10/2010;"""62""";"""Roadies 8""";"""Programa de TV (reality show)""";"""16/11 a 02/12/2010 e 04/01/2011 a 29/01/2011 """;"""Ocean Produção de Filmes Ltda.""";"""SC""";"""Colosceum Private Media Ltd""";"""Índia """;"""Estrangeira""";"""MG/RJ/SP""";
"""188""";29/10/2010;"""4""";"""Cinemax Late Night""";"""Ficção""";"""05/11/2010 a 14/11/2010""";"""Terra Vermelha Filmes Ltda.""";"""RJ""";"""Stickfigure Productions""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";
"""189""";29/10/2010;"""4""";"""China in The Americas""";"""Documentário""";"""01/11/2010 a 12/11/2010""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM""";"""The British Broadcasting Corporation - BBC""";"""Inglaterra""";"""Estrangeira""";"""AM/DF/MA/PA/RJ""";
"""190""";03/11/2010;"""4""";"""Twins Sensitivity""";"""Publicitária""";"""08/11/2010 a 29/11/2010""";"""O2 Produções Artísticas e Cinematográficas Ltda""";"""SP""";""" - """;""" - """;"""Brasileira""";"""SP""";
"""191""";04/11/2010;"""3""";"""Abducted""";"""Série para TV""";"""25/11/2010 a 21/12/2010""";"""Terra Vermelha Filmes Ltda.""";"""RJ""";"""Cineflix (Wartime) Inc.""";"""Canadá""";"""Estrangeira""";"""RJ""";
"""192""";04/11/2010;"""3""";"""Açai - Dei wunderbeere aus dem regenwald""";"""Documentário""";"""16/11/2010 a 02/12/2010 """;"""Aura Filme Produções Ltda.""";"""RJ""";"""ProSiebenSat 1 TV GmbH""";"""Alemanha""";"""Estrangeira""";"""PA""";
"""193""";09/11/2010;"""4""";"""Travel Magazine Programme""";"""Documentário""";"""06/12/2010 a 17/12/2010""";"""Aura Filme Produções Ltda.""";"""RJ""";"""Schweizer Fernsehen""";"""Suíça""";"""Estrangeira""";"""RJ/SP""";
"""194""";09/11/2010;"""2""";"""Quality for Life-Movie""";"""Institucional""";"""17/11/2010 a 20/11/2010""";"""Sweet Produções Ltda.""";"""SP""";"""Mhoch4 Gmbh & Co KG""";"""Alemanha""";"""Estrangeira""";"""SP""";
"""195""";12/11/2010;"""3""";"""Toshi Densetsu""";"""Programa de TV""";"""30/11/2010 a 06/12/2010""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""TV Tokyo Digital 7""";"""Japão""";"""Estrangeira""";"""RJ""";
"""196""";12/11/2010;"""4""";"""Reservas Naturais para o Futuro""";"""Documentário""";"""22/11/2010 a 02/12/2010""";"""Sol Entertainment Ltda""";"""RJ""";"""ZDF - Zweites Deutsche Fernsehen""";"""Alemanha""";"""Estrangeira""";"""DF/MT/PA/RJ/SP""";
"""197""";18/11/2010;"""2""";"""Waratekoraete!""";"""Documentário""";"""26/11/2010 a 17/12/2010""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""Nichiki Co., Inc.""";"""Japão""";"""Estrangeira""";"""BA/PR/RJ/RS/SP""";
"""198""";19/11/2010;"""1""";"""May Day""";"""Documentário""";"""28/11/2010 a 07/12/2010""";"""Nation & Nação Produções Artísticas Ltda. """;"""SP""";"""Cineflix (May Day 11) Inc.""";"""Canadá""";"""Estrangeira""";"""SP""";
"""199""";23/11/2010;"""1""";"""Unnatural Histories""";"""Documentário""";"""03/12/2010 a 06/12/2010""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM""";"""The British Broadcasting Corporation - BBC NHU""";"""Inglaterra""";"""Estrangeira""";"""RJ/SP""";
"""200""";22/11/2010;"""6""";"""The Grammar of Happiness / A Gramática da Felicidade""";"""Documentário""";"""19/01/2011 a 09/02/2011""";"""Sertão Produções Artísticas e Cinematográficas Ltda.""";"""GO""";"""Essential Media and Entertainment Pty Ltd""";"""Austrália""";"""Estrangeira""";"""AM""";
"""201""";24/11/2010;"""5""";"""Bizarre foods with Andrew Zimmern""";"""Documentário""";"""03/01/2011 a 19/01/2011""";"""Terra Vermelha Filmes Ltda.""";"""RJ""";"""Tremendous! Entertainment, Inc.""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";
