"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2010""";;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)""";
"""25""";10/02/2010;"""8""";"""Kite""";"""Publicitária""";"""01/03/2010 a 26/03/2010""";"""Zohar Cinema e Comunicação Ltda""";"""RJ""";"""Gorgeous Enterprises""";"""Inglaterra""";"""Estrangeira""";"""RJ""";
"""26""";10/02/2010;"""3""";"""Tabú""";"""Documentário""";"""16/02/2010 a 25/02/2010""";"""Bossa Nova Films Criações e Produções Ltda.""";"""SP""";"""Fox Telecolombia""";"""Colômbia""";"""Estrangeira""";"""SP""";
"""27""";11/02/2010;"""11""";"""Moving walls""";"""Publicitária""";"""08/03/2010 a 18/03/2010""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""Stink""";"""Inglaterra""";"""Estrangeira""";"""RJ""";
"""28""";11/02/2010;"""1""";"""Nat Geo´s most amazing photos""";"""Documentário""";"""11/02/2010 a 24/02/2010""";"""Primitivo Produção de Vídeo e Filmes Ltda""";"""SP""";"""National Geographic Society""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";
"""29""";11/02/2010;"""7""";"""Kaiapo""";"""Documentário""";"""01/03/2010 a 30/03/2010
2ª etapa: 01/07/2010 a 05/08/2010        """;"""Marca D´água Produções Ltda""";"""SP""";"""ZED - Zoo Ethnological Documentaries""";"""França""";"""Estrangeira""";"""PA""";
"""30""";12/02/2010;"""5""";"""Wonder, Wonder!""";"""Documentário""";"""01/04/2010 a 10/05/2010""";"""Aquamarine Produções de Vídeo Ltda.""";"""SP""";"""NHK - Nippon Hoso Kyokai""";"""Japão""";"""Estrangeira""";"""AP""";
"""31""";18/02/2010;"""3""";"""Nöldi Forrer in Rio de Janeiro""";"""Documentário""";"""01/03/2010 a 05/03/2010""";"""Aura Filme Produções Ltda.""";"""RJ""";"""SF Schweizer Fernsehen""";"""Suíça""";"""Estrangeira""";"""RJ""";
"""32""";18/02/2010;"""6""";"""Big Mac world chant""";"""Publicitária""";"""12/03/2010 a 22/03/2010""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""Biscuit Filmworks""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";
"""33""";19/02/2010;"""3""";"""Petrobras""";"""Institucional""";"""21/02/2010 a 25/02/2010""";"""Utopia Filmes Produção Artística Ltda""";"""RJ""";"""Concentrated""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";
"""34""";19/02/2010;"""1""";"""Ruffles""";"""Publicitária""";"""22/02/2010 a 05/03/2010""";"""Hungry Man Rio Produções Ltda.""";"""RJ""";""" - """;""" - """;"""Brasileira""";"""RJ""";
"""35""";23/02/2010;"""2""";"""A noiva / Diálogo""";"""Publicitária""";"""26/02/2010 a 25/03/2010""";"""Paranoid Brasil Ltda""";"""SP""";""" - """;""" - """;"""Brasileira""";"""SP""";
"""36""";23/02/2010;"""2""";"""Touristic destinations in South Africa""";"""Publicitária""";"""23/03/2010 a 13/04/2010""";"""Aura Filme Produções Ltda.""";"""RJ""";"""Aida Cruises""";"""Alemanha""";"""Estrangeira""";"""RJ/SC/SP""";
"""37""";24/02/2010;"""4""";"""One wild nigths""";"""Documentário""";"""10/03/2010 a 30/03/2010""";"""Blue Eye Empreendimentos e Produções Audiovisuais Ltda""";"""RJ""";"""National Geographic Television""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";
"""38""";24/02/2010;"""6""";"""Spix araras""";"""Documentário""";"""22/03/2010 a 09/04/2010""";"""Sol Entertainment Ltda""";"""RJ""";"""Suedwestrundfunk""";"""Alemanha""";"""Estrangeira""";"""BA/MT/PI/SP""";
"""39""";25/02/2010;"""4""";"""Coyote""";"""Ficção""";"""04/03/2010 a 12/03/2010""";"""Casa de Cinema de Porto Alegre Ltda""";"""RS""";"""Zazou Productions""";"""Estados Unidos""";"""Estrangeira""";"""RS""";
