Listagem de Município e UF por Número de Salas - 2010;;;;
;;;;
UF;Município;População*;Número de Complexos;Número de Salas
SP;BARUERI;240.749;1;9
SP;BATATAIS;56.476;1;1
SP;BAURU;343.937;2;9
SP;BEBEDOURO;75.035;1;1
SP;BIRIGUI;108.728;1;1
SP;BOCAINA;10.859;1;1
SP;BOITUVA;48.314;1;1
SP;BOTUCATU;127.328;1;1
SP;BROTAS;21.580;1;1
SP;CAJATI;28.372;1;1
SP;CAMPINAS;1.080.113;6;46
SP;CAPIVARI;48.576;1;1
SP;CARAGUATATUBA;100.840;1;1
SP;CASA BRANCA;28.307;1;1
SP;CATANDUVA;112.820;2;5
SP;CESÁRIO LANGE;15.540;1;1
SP;COTIA;201.150;1;5
SP;CRUZEIRO;77.039;1;1
SP;DESCALVADO;31.056;1;1
SP;DIADEMA;386.089;1;7
SP;DOIS CÓRREGOS;24.761;1;1
SP;EMBU;240.230;1;2
SP;ESPÍRITO SANTO DO PINHAL;41.907;1;1
SP;FERNANDÓPOLIS;64.696;1;2
SP;FRANCA;318.640;1;4
SP;GUAÍRA;37.404;1;1
SP;GUARATINGUETÁ;112.072;1;4
SP;GUARUJÁ;290.752;2;6
SP;GUARULHOS;1.221.979;2;21
SP;IBIÚNA;71.217;1;1
SP;IGARAPAVA;27.952;1;1
SP;IGUAPE;28.841;1;1
SP;ILHA SOLTEIRA;25.064;1;1
SP;INDAIATUBA;201.619;1;4
SP;ITANHAÉM;87.057;1;2
SP;ITAPETININGA;144.377;1;2
SP;ITAPEVA;87.753;1;1
SP;ITAPEVI;200.769;1;2
SP;ITAPIRA;68.537;1;1
SP;ITÁPOLIS;40.051;1;1
SP;ITATIBA;101.471;1;2
SP;ITU;154.147;1;3
SP;ITUVERAVA;38.695;1;1
SP;JABOTICABAL;71.662;1;1
SP;JACAREÍ;211.214;1;5
SP;JAGUARIÚNA;44.311;1;1
SP;JANDIRA;108.344;1;1
SP;JAÚ;131.040;2;3
SP;JUNDIAÍ;370.126;1;7
SP;JUNQUEIRÓPOLIS;18.726;1;1
SP;LEME;91.756;2;2
SP;LENÇÓIS PAULISTA;61.428;1;2
SP;LIMEIRA;276.022;1;4
SP;LINS;71.432;1;1
SP;MARÍLIA;216.745;2;8
SP;MATÃO;76.786;1;2
SP;MAUÁ;417.064;1;5
SP;MIGUELÓPOLIS;20.451;1;1
SP;MOCOCA;66.290;1;1
SP;MOGI DAS CRUZES;387.779;1;4
SP;MOGI GUAÇU;137.245;1;1
SP;MOGI MIRIM;86.505;1;3
SP;MONTE ALTO;46.642;1;1
SP;OLÍMPIA;50.024;1;1
SP;ORLÂNDIA;39.781;1;1
SP;OSASCO;666.740;3;21
SP;OSVALDO CRUZ;30.917;1;1
SP;OURINHOS;103.035;1;2
SP;PARAGUAÇU PAULISTA;42.278;1;1
SP;PAULÍNIA;82.146;1;2
SP;PEDERNEIRAS;41.497;1;1
SP;PEDREIRA;41.558;1;1
SP;PENÁPOLIS;58.510;1;1
SP;PERUÍBE;59.773;1;2
SP;PIRACICABA;364.571;1;5
SP;PIRAJU;28.475;1;1
SP;PIRAJUÍ;22.704;1;1
SP;PIRASSUNUNGA;70.081;1;1
SP;POMPÉIA;19.964;1;1
SP;PORTO FELIZ;48.893;1;1
SP;PORTO FERREIRA;51.400;1;1
SP;PRAIA GRANDE;262.051;1;6
SP;PRESIDENTE EPITÁCIO;41.318;1;1
SP;PRESIDENTE PRUDENTE;207.610;2;7
SP;PRESIDENTE VENCESLAU;37.910;1;1
SP;REGISTRO;54.261;1;1
SP;RIBEIRÃO PRETO;604.682;4;27
SP;RIO CLARO;186.253;1;5
SP;SALTO;105.516;1;1
SP;SANTA BÁRBARA D'OESTE;180.009;1;4
SP;SANTA CRUZ DAS PALMEIRAS;29.932;1;1
SP;SANTA CRUZ DO RIO PARDO;43.921;1;1
SP;SANTA FÉ DO SUL;29.239;1;1
SP;SANTO ANDRÉ;676.407;2;15
SP;SANTOS;419.400;5;23
SP;SÃO BERNARDO DO CAMPO;765.463;2;12
SP;SÃO CARLOS;221.950;3;5
SP;SÃO JOÃO DA BOA VISTA;83.639;1;1
SP;SÃO JOSÉ DO RIO PARDO;51.900;1;1
SP;SÃO JOSÉ DO RIO PRETO;408.258;5;16
SP;SÃO JOSÉ DOS CAMPOS;629.921;3;20
SP;SÃO MANUEL;38.342;1;1
SP;SÃO PAULO;11.253.503;45;282
SP;SÃO PEDRO;31.662;1;1
SP;SÃO ROQUE;78.821;1;2
SP;SÃO SEBASTIÃO;73.942;1;2
SP;SÃO VICENTE;332.445;1;6
SP;SERRA NEGRA;26.387;1;1
SP;SERTÃOZINHO;110.074;1;2
SP;SOCORRO;36.686;1;1
SP;SOROCABA;586.625;4;19
SP;SUMARÉ;241.311;1;2
SP;SUZANO;262.480;1;5
SP;TABOÃO DA SERRA;244.528;1;5
SP;TATUÍ;107.326;1;2
SP;TAUBATÉ;278.686;1;4
SP;TUPÃ;63.476;1;1
SP;UBATUBA;78.801;1;1
SP;VALINHOS;106.793;1;3
SP;VARGEM GRANDE DO SUL;39.266;1;1
SP;VOTUPORANGA;84.692;1;1
TO;ARAGUAÍNA;150.484;1;2
TO;PALMAS;228.332;1;1
;;;;
"""* Os dados são referentes as Estimativas de População publicadas pelo Instituto Brasileiro de Geografia e Estatística (IBGE) que apresenta estimativas populacionais anuais de população para os municípios e para ""as Unidades da Federação brasileiros, com data de referência em 1º de julho de cada ano. Disponível em https://www.ibge.gov.br/estatisticas-novoportal/sociais/populacao/9103-estimativas-de-populacao.html?=&t=o-que-e";;;;
"""Fontes: Sistema de Registro – ANCINE, Sistema de Acompanhamento da Distribuição em Salas de Exibição (SADIS), IBGE, Filme B e outras fontes secundárias.""";;;;
"""Elaboração: Coordenação do Observatório do Cinema e do Audiovisual - COB/SAM/ANCINE. Publicado em 09/07/2018.""";;;;
