"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2012""";;;;;;;;;;;
;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)"""
"""23""";07/02/2012;"""4""";"""Sekai No Hate Made Itte Q""";"""Documentário""";"""17/02/2012 a 02/03/2012""";"""Town Network Filmagens Ltda.""";"""SP""";"""NTV - Nippon Television Network Corporation""";"""Japão""";"""Estrangeira""";"""AM/BA/CE/MG/PR/SC/SP"""
"""24""";07/02/2012;"""3""";"""Wo Lebt Es Sich Besser?""";"""Documentário""";"""21/02/2012 a 02/03/2012""";"""Aura Filmes Produções Ltda.""";"""RJ""";"""InfoNetwork GmbH""";"""Alemanha""";"""Estrangeira""";"""BA"""
"""25""";07/02/2012;"""3""";"""Rendezvous""";"""Documentário""";"""16/02/2012 a 23/02/2012""";"""Francisco Ferreira Pinto Filho""";"""AM""";"""Wealth TV""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
"""26""";07/02/2012;"""1""";"""Nourin No Chikara""";"""Documentário""";"""29/02/2012 a 06/03/2012""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""Re-Mix Produce Limited Company""";"""Japão""";"""Estrangeira""";"""AM"""
"""27""";07/02/2012;"""4""";"""World Kitchen In Brazil""";"""Documentário""";"""25/03/2012 a 03/04/2012""";"""Apus Filmes e Eventos Ltda.""";"""BA""";"""Zoomslide Media Limited""";"""Nova Zelândia""";"""Estrangeira""";"""BA/RJ"""
"""28""";07/02/2012;"""2""";"""Meikyoku Album""";"""Programa de TV""";"""07/03/2012 a 20/03/2012""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""NHK - Japan Broadcasting Co.""";"""Japão""";"""Estrangeira""";"""RJ"""
"""29""";08/02/2012;"""3""";"""Sekai Banzuke - Mundo Ranking""";"""Programa de TV""";"""27/02/2012 a 07/03/2012""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""Acro Inc.""";"""Japão""";"""Estrangeira""";"""SP"""
"""30""";09/02/2012;"""9""";"""Melody Gardot Music Video""";"""Videoclipe""";"""15/02/2012 a 10/03/2012""";"""Zohar Cinema e Comunicação Ltda.""";"""RJ""";"""Good Company Pictures LLC""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
"""31""";10/02/2012;"""5""";"""Macrocosmo Amazônico""";"""Documentário""";"""01/03/2012 a 25/03/2012""";"""Alfixit Produções Culturais e Artísticas Ltda.""";"""SP""";"""Taiga Production Co., Ltd""";"""Japão""";"""Estrangeira""";"""AM/PA"""
"""32""";10/02/2012;"""5""";"""O Velho Marinheiro""";"""Ficção""";"""22/02/2012 a 15/05/2012""";"""Total Entertainment Ltda.""";"""RJ""";"""Stopline Films, Lda""";"""Portugal""";"""Coprodução""";"""RJ"""
"""33""";10/02/2012;"""5""";"""Mixed Drinks""";"""Publicitária""";"""23/02/2012 a 08/03/2012""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""Anonymous Content""";"""Estados Unidos""";"""Estrangeira""";"""SP"""
"""34""";14/02/2012;"""19""";"""Dynamo: Magician Impossible""";"""Documentário""";"""17/03/2012 a 30/04/2012""";"""Neon Rio Ltda.""";"""RJ""";"""Phil MacIntyre Entertainment""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""35""";14/02/2012;"""2""";"""Carnaval E Futebol""";"""Documentário""";"""16/02/2012 a 23/02/2012""";"""Neon Rio Ltda.""";"""RJ""";"""IMG Media Ltd.""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""36""";16/02/2012;"""5""";"""Osaka Rouwaka Terebi""";"""Documentário""";"""10/03/2012 a 17/03/2012""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""Yomiuri Telecasting Corporation""";"""Japão""";"""Estrangeira""";"""AM"""
