"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2012""";;;;;;;;;;;
;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)"""
"""91""";03/05/2012;"""2""";"""Natural World: Jaguar Man - Parte 3""";"""Documentário""";"""10/06/2012 a 05/07/2012""";"""Neon Rio Ltda.""";"""RJ""";"""British Broadcasting Corporation - Bristol""";"""Reino Unido""";"""Estrangeira""";"""GO"""
"""92""";03/05/2012;"""1""";"""Flores Raras E Banalíssimas""";"""Ficção""";"""14/05/2012 a 05/08/2012""";"""Produções Cinematográficas LC Barreto Ltda.""";"""RJ""";"""xxx""";"""xxx""";"""Brasileira""";"""RJ"""
"""092-1""";11/05/2012;"""Cancelamento do projeto""";"""Flores Raras E Banalíssimas""";"""Ficção""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""Brasileira""";"""xxx"""
"""93""";07/05/2012;"""25""";"""Carnival""";"""Publicitária""";"""13/05/2012 a 31/05/2012""";"""Paradiso Films Ltda.""";"""SP""";"""Tyo Productions""";"""Japão""";"""Estrangeira""";"""RJ"""
"""94""";07/05/2012;"""6""";"""O Maravilhoso Mundo De Nakashira""";"""Documentário""";"""18/05/2012 a 02/06/2012""";"""Alfixit Produções Culturais e Artísticas Ltda.""";"""SP""";"""Kyodo Television Inc.,Ltd""";"""Japão""";"""Estrangeira""";"""MT/MG/SP"""
"""95""";11/05/2012;"""1""";"""Paparazzi E Foto""";"""Publicitária""";"""13/05/2012 a 19/05/2012""";"""Paranoid Brasil Ltda.""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""SP"""
"""96""";11/05/2012;"""1""";"""South Bank Show""";"""Documentário""";"""14/05/2012 a 22/05/2012""";"""JKR Produções Artísticas Ltda.""";"""RJ""";"""Directors Cut Productions Ltd""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""97""";11/05/2012;"""5""";"""Flores Raras E Banalíssimas""";"""Ficção""";"""18/05/2012 a 07/08/2012""";"""Filmes do Equador Ltda.""";"""RJ""";"""The Art of Losing, LLC""";"""Estados Unidos""";"""Coprodução""";"""RJ"""
"""98""";14/05/2012;"""31""";"""Terra Roxa""";"""Ficção""";"""20/05/2012 a 30/09/2012""";"""Raiz Produções Cinematográficas Ltda.""";"""SP""";"""Minoria Absoluta S.L.""";"""Espanha""";"""Coprodução""";"""MT"""
"""99""";14/05/2012;"""8""";"""Amazônia Planeta Verde - Parte 2""";"""Ficção""";"""02/07/2012 a 28/09/2012""";"""Gullane Entretenimento S.A.""";"""SP""";"""Gedeon Programmes e Biloba Films""";"""França""";"""Coprodução""";"""AM"""
"""100""";14/05/2012;"""2""";"""Zoom In!! Saturday""";"""Documentário""";"""25/05/2012 a 05/06/2012""";"""Urutau Filmes Ltda.""";"""SP""";"""Tohan Kikaku Co., Ltd.""";"""Japão""";"""Estrangeira""";"""RJ/SP"""
"""101""";15/05/2012;"""9""";"""Man V Monster""";"""Documentário""";"""03/06/2012 a 02/07/2012""";"""Brian M. Sewell Produções Cinematográficas.""";"""RJ""";"""Optomen Productions, Inc.""";"""Estados Unidos""";"""Estrangeira""";"""AC/AM/MS/RO"""
"""102""";15/05/2012;"""3""";"""Bounce""";"""Documentário""";"""25/05/2012 a 31/05/2012""";"""Blue Eye Empreendimentos e Produções Audiovisuais Ltda.""";"""RJ""";"""Merge LLC""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
"""103""";16/05/2012;"""2""";"""4 Etoiles""";"""Videoclipe""";"""17/05/2012 a 23/05/2012""";"""France-Latina Produções Audiovisuais Ltda.""";"""SP""";"""C4 Productions""";"""França""";"""Estrangeira""";"""RJ"""
"""104""";16/05/2012;"""4""";"""Bing""";"""Publicitária""";"""19/05/2012 a 23/05/2012""";"""Nation & Nação Produções Artísticas Ltda.""";"""SP""";"""Colour TV Limited""";"""Reino Unido""";"""Estrangeira""";"""AM"""
"""105""";16/05/2012;"""15""";"""Job Swap""";"""Documentário""";"""29/05/2012 a 23/07/2012""";"""Sol Entertainment Ltda.""";"""RJ""";"""Constantin Entertainment GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ"""
"""106""";17/05/2012;"""3""";"""Brazil Culture Documentary Film""";"""Documentário""";"""29/05/2012 a 12/06/2012""";"""Utopia Films Produção Artística Ltda.""";"""RJ""";"""Promax Media""";"""Arábia Saudita""";"""Estrangeira""";"""RJ/SP"""
"""107""";18/05/2012;"""2""";"""Institucional Michelin""";"""Institucional""";"""22/05/2012 a 28/05/2012""";"""Ricardo Gonçalves Produções Cinematograficas """;"""SP""";"""Evimages""";"""França""";"""Estrangeira""";"""RJ"""
"""108""";21/05/2012;"""8""";"""Pororoca""";"""Documentário""";"""25/05/2012 a 12/06/2012""";"""Neon Rio Ltda.""";"""RJ""";"""Spitfire Films""";"""África do Sul""";"""Estrangeira""";"""PA/AM"""
"""109""";22/05/2012;"""2""";"""Jfm -  Touch Of Grey""";"""Publicitária""";"""22/05/2012 a 15/06/2012""";"""Zohar Cinema e Comunicação Ltda.""";"""RJ""";"""Lost Highway Films""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
"""110""";22/05/2012;"""2""";"""J-Melo""";"""Programa de TV""";"""07/07/2012 a 08/08/2012""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""Japan International Broadcasting Inc.""";"""Japão""";"""Estrangeira""";"""RJ/SP"""
"""111""";25/05/2012;"""1""";"""Dhl""";"""Institucional""";"""30/05/2012 a 02/06/2012""";"""Utopia Films Produção Artística Ltda.""";"""RJ""";"""Maverick Advertising & Design""";"""Reino Unido""";"""Estrangeira""";"""SP"""
"""112""";29/05/2012;"""38""";"""The Amazing Race""";"""Programa de TV""";"""04/07/2012 a 25/07/2012""";"""Neon Rio Ltda.""";"""RJ""";"""Shine France""";"""França""";"""Estrangeira""";"""PR/RJ"""
"""113""";29/05/2012;"""2""";"""Gaia No Yoake""";"""Documentário""";"""13/06/2012 a 28/06/2012""";"""Urutau Filmes Ltda.""";"""SP""";"""TV Tokyo Corporation""";"""Japão""";"""Estrangeira""";"""PA/RJ/SP"""
"""114""";29/05/2012;"""4""";"""Sekai No Hateno Nihonjin""";"""Documentário""";"""10/06/2012 a 24/06/2012""";"""Urutau Filmes Ltda.""";"""SP""";"""Wholeman Co., Ltd.""";"""Japão""";"""Estrangeira""";"""AM/RO/SP"""
"""115""";29/05/2012;"""4""";"""Ações Ambientais E Projetos Sustentáveis Da Organização Sgi No Brasil""";"""Institucional""";"""12/06/2012 a 03/07/2012""";"""Town Network Filmagens Ltda.""";"""SP""";"""Artstech Co. Ltd.""";"""Japão""";"""Estrangeira""";"""AM/RJ/SP"""
"""116""";01/06/2012;"""5""";"""Ufc Primetime Silva Vs Sonnen""";"""Documentário""";"""06/06/2012 a 20/06/2012""";"""Focus Films Ltda""";"""RJ""";"""Positive Image Vídeo, Inc.""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
"""117""";05/06/2012;"""2""";"""Mining For Development""";"""Documentário""";"""12/06/2012 a 18/06/2012""";"""Kino Filmes Produções Artísticas e Cinematográficas Ltda.""";"""RJ""";"""Uhuru Productions (Pty) Ltd.""";"""África do Sul""";"""Estrangeira""";"""RJ"""
"""118""";05/06/2012;"""3""";"""Landfill Harmonic""";"""Documentário""";"""14/06/2012 a 18/06/2012""";"""Coevos Filmes Ltda.""";"""RJ""";"""Meetai LLC""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
"""119""";06/06/2012;"""4""";"""The Tipping Point""";"""Documentário""";"""18/06/2012 a 10/07/2012""";"""Brian M. Sewell Produções Cinematográficas.""";"""RJ""";"""Unboxed Media""";"""Austrália""";"""Estrangeira""";"""MS/PA"""
"""120""";06/06/2012;"""2""";"""The Aluminium Age""";"""Documentário""";"""17/06/2012 a 01/07/2012""";"""Utopia Films Produção Artística Ltda.""";"""RJ""";"""Langbein & Partner Media GmbH & Co KG""";"""Áustria""";"""Estrangeira""";"""PA"""
"""121""";12/06/2012;"""2""";"""Image Film Marquard&Bahls""";"""Institucional""";"""24/06/2012 a 30/06/2012""";"""Sol Entertainment Ltda.""";"""RJ""";"""Image Building""";"""Alemanha""";"""Estrangeira""";"""ES"""
"""122""";12/06/2012;"""2""";"""Bertelsmann""";"""Institucional""";"""24/06/2012 a 28/06/2012""";"""Aura Filmes Produções Ltda.""";"""RJ""";"""Joker Productions GmbH""";"""Alemanha""";"""Estrangeira""";"""SP"""
"""123""";12/06/2012;"""2""";"""Ergodic Cinema Project""";"""Ficção""";"""09/09/2012 a 08/11/2012""";"""Nosso Clan Audiovisual""";"""RJ""";"""Pulsion Productions""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
"""124""";13/06/2012;"""3""";"""Crazy Planet Brazil""";"""Documentário""";"""26/06/2012 a 09/07/2012""";"""Tria Productions e Produções Artisticas Ltda""";"""RJ""";"""Vice Deutschland GmbH""";"""Alemanha""";"""Estrangeira""";"""AM/SP/SE"""
"""125""";13/06/2012;"""2""";"""O Crescimento Econômico No Brasil""";"""Documentário""";"""18/06/2012 a 30/06/2012""";"""Neon Rio Ltda.""";"""RJ""";"""Manoto1 - Marjan Television Network""";"""Reino Unido""";"""Estrangeira""";"""RJ/SP"""
"""126""";13/06/2012;"""3""";"""Kaffee - Das Schwarze Gold Aus Brasilien""";"""Documentário""";"""04/07/2012 a 15/07/2012""";"""Aura Filmes Produções Ltda.""";"""RJ""";"""HTTV Produktion""";"""Alemanha""";"""Estrangeira""";"""MG"""
"""127""";13/06/2012;"""5""";"""Another Sky""";"""Documentário""";"""24/06/2012 a 03/07/2012""";"""Town Network Filmagens Ltda.""";"""SP""";"""Nippon Television Network Co.""";"""Japão""";"""Estrangeira""";"""PR/SP"""
"""128""";19/06/2012;"""4""";"""Garnier Nutrisse Renovação""";"""Publicitária""";"""21/06/2012 a 06/07/2012""";"""Zohar Cinema e Comunicação Ltda.""";"""RJ""";"""xxx""";"""xxx""";"""Brasileira""";"""RJ"""
"""129""";19/06/2012;"""4""";"""Luiza Yasmim E Completo""";"""Publicitária""";"""25/06/2012 a 30/06/2012""";"""Paranoid Brasil Ltda.""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""RJ"""
"""130""";19/06/2012;"""3""";"""Renault Marcas""";"""Publicitária""";"""19/06/2012 a 19/07/2012""";"""Zohar Cinema e Comunicação Ltda.""";"""RJ""";"""xxx""";"""xxx""";"""Brasileira""";"""SP"""
"""131""";19/06/2012;"""17""";"""Bartender""";"""Programa de TV""";"""01/07/2012 a 20/07/2012""";"""Neon Rio Ltda.""";"""RJ""";"""Shine TV Production""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""132""";19/06/2012;"""1""";"""American Airlines""";"""Documentário""";"""09/07/2012 a 12/07/2012""";"""Sol Entertainment Ltda.""";"""RJ""";"""Burrell Communications Group""";"""Estados Unidos""";"""Estrangeira""";"""RJ/SP"""
"""133""";26/06/2012;"""3""";"""Be A Creator""";"""Publicitária""";"""24/06/2012 a 04/07/2012""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""Pulse Films""";"""Reino Unido""";"""Estrangeira""";"""SP"""
"""134""";26/06/2012;"""1""";"""In Conversation With The Kayapo""";"""Documentário""";"""14/07/2012 a 03/08/2012""";"""Francisco Ferreira Pinto Filho""";"""AM""";"""Blake Productions""";"""Austrália""";"""Estrangeira""";"""MT"""
"""135""";27/06/2012;"""6""";"""What Boundaries?""";"""Publicitária""";"""06/08/2012 a 20/08/2012""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""Rabbit Content""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
"""136""";29/06/2012;"""2""";"""O Recorde""";"""Documentário""";"""12/07/2012 a 27/07/2012""";"""Terra Vermelha Filmes Ltda.""";"""RJ""";"""Very Much SO Ltd.""";"""Reino Unido""";"""Coprodução""";"""RJ"""
"""137""";04/07/2012;"""2""";"""Natural World: Attenborough's Ark""";"""Documentário""";"""08/07/2012 a 20/07/2012""";"""Neon Rio Ltda.""";"""RJ""";"""British Broadcasting Corporation - Bristol""";"""Reino Unido""";"""Estrangeira""";"""SP"""
"""138""";04/07/2012;"""5""";"""Saudade""";"""Ficção""";"""07/08/2012 a 25/08/2012""";"""Neon Rio Ltda.""";"""RJ""";"""MisFilms""";"""Espanha""";"""Estrangeira""";"""RJ"""
"""139""";05/07/2012;"""3""";"""Genome""";"""Documentário""";"""24/07/2012 a 28/07/2012""";"""Marca D'Água Produções Ltda.""";"""SP""";"""Story House Productions, Inc. """;"""Estados Unidos""";"""Estrangeira""";"""AM"""
"""140""";06/07/2012;"""1""";"""Debaixo De Nossos Pés""";"""Institucional""";"""05/07/2012 a 23/07/2012""";"""Brian M. Sewell Produções Cinematográficas.""";"""RJ""";"""ON Communication""";"""Reino Unido""";"""Estrangeira""";"""AM/MA"""
"""141""";06/07/2012;"""10""";"""Another Sky""";"""Documentário""";"""23/08/2012 a 11/09/2012""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""Boom UP Inc.""";"""Japão""";"""Estrangeira""";"""RJ"""
"""142""";09/07/2012;"""4""";"""Rio, Dez Faces, Uma Cidade""";"""Documentário""";"""20/07/2012 a 06/08/2012""";"""Brian M. Sewell Produções Cinematográficas.""";"""RJ""";"""HijisGijs BV""";"""Holanda""";"""Estrangeira""";"""RJ"""
"""143""";11/07/2012;"""2""";"""Vermist""";"""Documentário""";"""19/07/2012 a 28/07/2012""";"""Mares Produções Ltda.""";"""RJ""";"""Tros Broadcasting Company""";"""Holanda""";"""Estrangeira""";"""MG/SP"""
"""144""";11/07/2012;"""2""";"""Rise From Poverty""";"""Documentário""";"""18/07/2012 a 05/08/2012""";"""Cinemauro Produções Ltda.""";"""RJ""";"""Skylight Pictures""";"""Estados Unidos""";"""Estrangeira""";"""CE/RJ"""
"""145""";11/07/2012;"""38""";"""The Amazing Race""";"""Programa de TV""";"""23/07/2012 a 23/10/2012""";"""Zodiak Media Brasil Ltda.""";"""SP""";"""Cinemat Inc.""";"""Estados Unidos""";"""Estrangeira""";"""AM/CE/DF/MG/RJ/SP"""
"""146""";17/07/2012;"""5""";"""One Day In """;"""Documentário""";"""17/08/2012 a 25/08/2012""";"""Neon Rio Ltda.""";"""RJ""";"""Tern Television Productions""";"""Reino Unido""";"""Estrangeira""";"""SP"""
"""147""";17/07/2012;"""5""";"""Earth Fish""";"""Documentário""";"""12/08/2012 a 20/08/2012""";"""Urutau Filmes Ltda.""";"""SP""";"""Yomiuri Telecasting Corporation""";"""Japão""";"""Estrangeira""";"""SP/TO"""
"""148""";17/07/2012;"""2""";"""Be My Guest""";"""Documentário""";"""08/08/2012 a 15/08/2012""";"""Coevos Filmes Ltda.""";"""RJ""";"""Zodiak Active""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""149""";17/07/2012;"""3""";"""Zekkei Sekai Shizen, Brazil - Amazon""";"""Documentário""";"""01/08/2012 a 25/08/2012""";"""Wasabi JB Comunicação Ltda.""";"""RJ""";"""D-Project Co., Ltd.""";"""Japão""";"""Estrangeira""";"""AM/PA"""
"""150""";19/07/2012;"""1""";"""Anglo American Internal Communication Film""";"""Institucional""";"""09/08/2012 a 15/08/2012""";"""Utopia Films Produção Artística Ltda.""";"""RJ""";"""Merchant Cantos""";"""Reino Unido""";"""Estrangeira""";"""GO/RJ/SP"""
"""151""";19/07/2012;"""3""";"""Vida Animal Nas Ilhas""";"""Documentário""";"""13/08/2012 a 03/09/2012""";"""Neon Rio Ltda.""";"""RJ""";"""Off The Fence Productions""";"""Reino Unido""";"""Estrangeira""";"""AM"""
"""152""";20/07/2012;"""4""";"""Todo Tiene Valor""";"""Documentário""";"""24/07/2012 a 29/07/2012""";"""Coevos Filmes Ltda.""";"""RJ""";"""FoxTelecolombia""";"""Colômbia""";"""Estrangeira""";"""RJ"""
"""153""";20/07/2012;"""5""";"""Netflix Tv""";"""Publicitária""";"""25/07/2012 a 30/08/2012""";"""Content Realizações e Produções Audiovisuais Ltda.""";"""SP""";"""Central Planning, LLC""";"""Estados Unidos""";"""Estrangeira""";"""SP"""
"""154""";20/07/2012;"""2""";"""Transpantaneira""";"""Documentário""";"""17/09/2012 a 24/10/2012""";"""Tambke Filmes Ltda.""";"""RJ""";"""Bayerischer Rundfunk""";"""Alemanha""";"""Estrangeira""";"""MT/RJ"""
"""155""";20/07/2012;"""2""";"""Fisherman""";"""Publicitária""";"""31/07/2012 a 19/08/2012""";"""Zohar Cinema e Comunicação Ltda.""";"""RJ""";"""xxx""";"""xxx""";"""Brasileira""";"""RJ"""
"""156""";24/07/2012;"""3""";"""2111 - Parte 2""";"""Documentário""";"""02/08/2012 a 08/08/2012""";"""Sol Entertainment Ltda.""";"""RJ""";"""Griyo SRL""";"""Argentina""";"""Estrangeira""";"""RJ/SP"""
"""157""";25/07/2012;"""4""";"""60 Minutes""";"""Documentário""";"""20/08/2012 a 05/09/2012""";"""Neon Rio Ltda.""";"""RJ""";"""Nine Network Australia""";"""Austrália""";"""Estrangeira""";"""SP"""
"""158""";25/07/2012;"""1""";"""Se Puder Não Dirija""";"""Ficção""";"""01/08/2012 a 10/09/2012""";"""Total Entertainment Ltda.""";"""RJ""";"""Buena Vista International Inc,""";"""Estados Unidos""";"""Coprodução""";"""RJ"""
"""159""";26/07/2012;"""7""";"""Hino""";"""Publicitária""";"""30/07/2012 a 24/08/2012""";"""Content Realizações e Produções Audiovisuais Ltda.""";"""SP""";"""Chelsea""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
"""160""";30/07/2012;"""2""";"""Raffaello""";"""Publicitária""";"""10/08/2012 a 23/08/2012""";"""Utopia Films Produção Artística Ltda.""";"""RJ""";"""Anastagio""";"""Itália""";"""Estrangeira""";"""RJ"""
"""161""";31/07/2012;"""5""";"""The Work Of Childfund""";"""Publicitária""";"""05/08/2012 a 16/08/2012""";"""Casca de Noz Comunicação Áudio Visual Ltda.""";"""MG""";"""Childfund International""";"""Estados Unidos""";"""Estrangeira""";"""MG"""
"""162""";01/08/2012;"""1""";"""Virus Hunter""";"""Documentário""";"""15/08/2012 a 19/08/2012""";"""Perin Filmes Ltda.""";"""AM""";"""Global Television Network""";"""Canadá""";"""Estrangeira""";"""AM"""
"""163""";03/08/2012;"""4""";"""Bbc: Fast Track""";"""Ficção""";"""24/08/2012 a 09/09/2012""";"""Tacacá Filmes Ltda.""";"""RJ""";"""BBC World News""";"""Reino Unido""";"""Estrangeira""";"""DF/MT/RJ"""
"""164""";03/08/2012;"""3""";"""Brasilien: Mit Dem Zug Belo Horizonte Nach Vitoria""";"""Documentário""";"""14/09/2012 a 02/10/2012""";"""Sol Entertainment Ltda.""";"""RJ""";"""Norddeutscher RundFunk""";"""Alemanha""";"""Estrangeira""";"""ES/MG"""
"""165""";06/08/2012;"""1""";"""Um Clube De Cegos""";"""Ficção""";"""15/08/2012 a 01/04/2013""";"""Urca Filmes Ltda.""";"""RJ""";"""Telepathic Pictures Inc.""";"""Estados Unidos""";"""Coprodução""";"""RJ"""
"""166""";08/08/2012;"""3""";"""L'ombre Et La Lumiere""";"""Documentário""";"""18/08/2012 a 27/08/2012""";"""Julia de Abreu Produções Ltda.""";"""RJ""";"""Decia Films""";"""França""";"""Estrangeira""";"""ES/MG"""
"""167""";08/08/2012;"""10""";"""Osuofia In Brazil""";"""Ficção""";"""20/08/2012 a 24/09/2012""";"""Cometa Filmes Ltda.""";"""SP""";"""African Oasis Entertainment Ltd""";"""Nigéria""";"""Coprodução""";"""MG/SP"""
"""168""";08/08/2012;"""3""";"""Pump""";"""Documentário""";"""18/08/2012 a 29/08/2012""";"""Nation & Nação Produções Artísticas Ltda.""";"""SP""";"""Green Planet Productions""";"""Estados Unidos""";"""Estrangeira""";"""SP"""
"""169""";09/08/2012;"""1""";"""Mistério, Revelação, Revelação Sustain, Carver E Pós-Química """;"""Publicitária""";"""14/08/2012 a 24/08/2012""";"""Paranoid Brasil Ltda.""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""SP"""
"""170""";13/08/2012;"""4""";"""Mistery In Paradise""";"""Documentário""";"""19/08/2012 a 27/08/2012""";"""Caledoscópio Produções e Projetos Ltda.""";"""BA""";"""Cineflix Inc.""";"""Canadá""";"""Estrangeira""";"""PE"""
"""171""";21/08/2012;"""3""";"""The Human Face Of Big Data""";"""Documentário""";"""26/08/2012 a 08/09/2012""";"""JKR Produções Artísticas Ltda.""";"""RJ""";"""EMC Information Systems International Ltd.""";"""Irlanda""";"""Estrangeira""";"""RJ"""
"""172""";23/08/2012;"""3""";"""O Canto Do Sine De Eliza Lynch""";"""Documentário""";"""11/09/2012 a 13/09/2012""";"""Tacacá Filmes Ltda.""";"""RJ""";"""Eliza The Film Ltd""";"""Irlanda""";"""Estrangeira""";"""RJ"""
"""173""";21/08/2012;"""1""";"""Esprit""";"""Publicitária""";"""26/08/2012 a 30/08/2012""";"""Utopia Films Produção Artística Ltda.""";"""RJ""";"""7 Films""";"""África do Sul""";"""Estrangeira""";"""RJ"""
"""174""";22/08/2012;"""1""";"""Princesa E Cor""";"""Publicitária""";"""24/08/2012 a 28/08/2012""";"""Conspiração Filmes S/A""";"""RJ""";"""xxx""";"""xxx""";"""Brasileira""";"""RJ"""
"""175""";24/08/2012;"""1""";"""Rio De Janeiro Na Hora Da Decisão""";"""Documentário""";"""01/09/2012 a 10/10/2012""";"""Aura Filmes Produções Ltda.""";"""RJ""";"""HFF Munchen""";"""Alemanha""";"""Estrangeira""";"""RJ"""
"""176""";29/08/2012;"""2""";"""Natural World: Jaguar Man - Part 4""";"""Documentário""";"""01/09/2012 a 05/10/2012""";"""Neon Rio Ltda.""";"""RJ""";"""British Broadcasting Corporation - Bristol""";"""Reino Unido""";"""Estrangeira""";"""GO"""
"""177""";31/08/2012;"""4""";"""Programa Sukkiri""";"""Registro de evento""";"""25/09/2012 a 02/10/2012""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""AX-ON Inc""";"""Japão""";"""Estrangeira""";"""RS/SP"""
"""178""";05/09/2012;"""2""";"""Darwin Ga Kita""";"""Documentário""";"""26/09/2012 a 30/11/2012""";"""Town Network Filmagens Ltda.""";"""SP""";"""Antas Productions Ltd.""";"""Japão""";"""Estrangeira""";"""TO"""
"""179""";05/09/2012;"""5""";"""Encounters""";"""Documentário""";"""25/09/2012 a 10/10/2012""";"""Neon Rio Ltda.""";"""RJ""";"""Spun Gold TV""";"""Reino Unido""";"""Estrangeira""";"""MS"""
"""180""";06/09/2012;"""4""";"""Toughest Place To Be""";"""Documentário""";"""13/09/2012 a 05/10/2012""";"""Sol Entertainment Ltda.""";"""RJ""";"""British Broadcasting Corporation - BBC""";"""Reino Unido""";"""Estrangeira""";"""MT"""
"""181""";13/09/2012;"""6""";"""The Final""";"""Publicitária""";"""28/09/2012 a 23/10/2012""";"""Sweet Produções Ltda""";"""SP""";"""Sonny London Ltd""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""182""";13/09/2012;"""5""";"""De Baard Van Bartel""";"""Documentário""";"""13/11/2012 a 24/11/2012""";"""Perin Filmes Ltda.""";"""AM""";"""VRT /een""";"""Bélgica""";"""Estrangeira""";"""AM"""
"""183""";13/09/2012;"""3""";"""Survival""";"""Documentário""";"""14/10/2012 a 05/11/2012""";"""Neon Rio Ltda.""";"""RJ""";"""British Broadcasting Corporation""";"""Reino Unido""";"""Estrangeira""";"""MG"""
"""184""";14/09/2012;"""6""";"""Mato Sem Cachorro""";"""Ficção""";"""19/09/2012 a 18/12/2012""";"""RT2A Produções Cinematográficas Ltda.""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""RJ"""
"""185""";18/09/2012;"""1""";"""Beneath The Parnaiba - Part 2""";"""Documentário""";"""21/09/2012 a 26/09/2012""";"""Brian M. Sewell Produções Cinematográficas.""";"""RJ""";"""ON Communication The Media Lab""";"""Reino Unido""";"""Estrangeira""";"""PI"""
"""186""";19/09/2012;"""1""";"""Identidade Cotidiana""";"""Documentário""";"""25/09/2012 a 28/10/2012""";"""Índigo Produções Ltda""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""SP"""
"""187""";19/09/2012;"""2""";"""Seminis Customer Interviews Videos""";"""Publicitária""";"""24/09/2012 a 28/09/2012""";"""Cinemauro Produções Ltda.""";"""RJ""";"""Monsoy Ltda""";"""Brasil""";"""Estrangeira""";"""MG/SP"""
"""188""";20/09/2012;"""9""";"""Traumfrau Gesucht""";"""Documentário""";"""04/10/2012 a 12/10/2012""";"""Aura Filmes Produções Ltda.""";"""RJ""";"""Eyeworks Entertainment GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ"""
"""189""";21/09/2012;"""1""";"""Sessão Fotos/Praia""";"""Publicitária""";"""05/10/2012 a 24/10/2012""";"""Zohar Cinema e Comunicação Ltda.""";"""RJ""";"""xxx""";"""xxx""";"""Brasileira""";"""RJ"""
"""189-1""";02/10/2012;"""Cancelamento do projeto""";"""Sessão Fotos/Praia""";"""Publicitária""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""Brasileira""";"""xxx"""
"""190""";21/09/2012;"""8""";"""Father And Daughter""";"""Documentário""";"""14/10/2012 a 23/10/2012""";"""Brian M. Sewell Produções Cinematográficas.""";"""RJ""";"""Blu A/S """;"""Dinamarca""";"""Estrangeira""";"""RJ"""
"""191""";26/09/2012;"""6""";"""Gem Hunt - Brasil""";"""Documentário""";"""01/10/2012 a 16/10/2012""";"""Alô Vídeo Ltda""";"""RJ""";"""NHNZ """;"""Nova Zelândia""";"""Estrangeira""";"""MG/RJ"""
"""192""";26/09/2012;"""1""";"""Vivo Cidades""";"""Publicitária""";"""29/09/2012 a 17/10/2012""";"""Paranoid Brasil Ltda.""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""SP"""
"""193""";27/09/2012;"""37""";"""Perdidos Na Floresta""";"""Ficção""";"""20/10/2012 a 13/11/2012""";"""Optomagic Flimesom Produções Cinematográficas Ltda""";"""RJ""";"""Schiwago Film GmbH""";"""Alemanha""";"""Estrangeira""";"""PA"""
"""194""";27/09/2012;"""3""";"""Ricardo Semler Dream's City""";"""Documentário""";"""19/10/2012 a 01/11/2012""";"""Brian M. Sewell Produções Cinematográficas.""";"""RJ""";"""VPRO Media Park""";"""Holanda""";"""Estrangeira""";"""SP"""
"""195""";27/09/2012;"""11""";"""Scenic Lookout E The Discovery""";"""Publicitária""";"""04/10/2012 a 17/10/2012""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""Tool of North America""";"""Estados Unidos""";"""Estrangeira""";"""AM/RS"""
"""196""";01/10/2012;"""4""";"""Party Within A Party""";"""Publicitária""";"""03/10/2012 a 18/10/2012""";"""Utopia Films Produção Artística Ltda.""";"""RJ""";"""The Film House Group""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
"""197""";02/10/2012;"""3""";"""Fiestas Sandalias E Blusas Conqueteos""";"""Publicitária""";"""05/10/2012 a 11/10/2012""";"""JKR Produções Artísticas Ltda.""";"""RJ""";"""Pro Cine""";"""Chile""";"""Estrangeira""";"""RJ"""
"""198""";03/10/2012;"""2""";"""Kick Out Your Boss""";"""Documentário""";"""10/10/2012 a 31/10/2012""";"""Nation & Nação Produções Artísticas Ltda.""";"""SP""";"""KGP Kranzelbinder Gabriele Production GmbH""";"""Áustria""";"""Estrangeira""";"""SP"""
