Listagem de Distribuidoras 2009 a 2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ano de exibição;Distribuidora;Número de Registro Ancine;Origem da empresa distribuidora;Público;Público Filmes Brasileiros;Renda (R$);Renda Filmes Brasileiros (R$);Títulos Exibidos;Títulos Brasileiros Exibidos;Títulos Lançados;Títulos Brasileiros Lançados;;
2009;Usina Digital;4591;Distribuição Nacional;2.487;2.487;13.227,50;13.227,50;3;3;0;0;;
2009;Videofilmes;276;Distribuição Nacional;38.980;38.794;307.378,51;306.338,01;10;8;3;3;;
2009;Warner;265;Distribuição Internacional;13.202.890;2.514.362;112.711.984,00;21.645.428,00;20;4;12;2;;
2009;Youle Filmes;306;Distribuição Nacional;19;19;186,00;186,00;1;1;1;1;;
2010;Ab Filmes;136;Distribuição Nacional;50.788;0;481.645,78;0,00;4;0;4;0;;
2010;Accorde Audiovisuais;1403;Distribuição Nacional;73.756;73.756;285.684,55;285.684,55;2;2;2;2;;
2010;Anavilhana;5313;Distribuição Nacional;818;818;6.679,40;6.679,40;2;2;2;2;;
2010;Bonfilm;14462;Distribuição Nacional;4.703;0;42.963,90;0,00;1;0;1;0;;
2010;Bras Filmes;319;Distribuição Nacional;24.149;24.149;176.323,29;176.323,29;1;1;1;1;;
2010;Caliban;854;Distribuição Nacional;9.572;9.572;74.824,88;74.824,88;1;1;1;1;;
2010;Califórnia;532;Distribuição Nacional;1.739.932;0;16.422.619,15;0,00;16;0;10;0;;
2010;Casa Azul;2260;Distribuição Nacional;49;49;236,00;236,00;1;1;0;0;;
2010;Ciclorama Filmes;17471;Distribuição Nacional;7.431;7.431;60.280,74;60.280,74;1;1;1;1;;
2010;Cinegrama;4965;Distribuição Nacional;34;34;183,50;183,50;1;1;0;0;;
2010;Copacabana Filmes;506;Distribuição Nacional;1.496;1.496;13.908,00;13.908,00;1;1;1;1;;
2010;Downtown;4904;Distribuição Nacional;14.823;14.823;79.075,00;79.075,00;5;5;1;1;;
2010;Downtown/Europa;4904/2250;Distribuição Nacional;848.494;848.494;7.065.555,90;7.065.555,90;1;1;1;1;;
2010;Downtown/Paris;4904/11922;Distribuição Nacional;447.822;447.822;3.711.269,20;3.711.269,20;1;1;0;0;;
2010;Downtown/RioFilme;4904/105;Distribuição Nacional;27.382;27.382;218.374,42;218.374,42;3;3;1;1;;
2010;Downtown/Videofilmes;4904/276;Distribuição Nacional;1.328;1.328;6.567,00;6.567,00;1;1;0;0;;
2010;Espaço Filmes;1083;Distribuição Nacional;86.964;86.964;763.358,01;763.358,01;9;9;9;9;;
2010;Espaço Itaú de Cinema;14006;Distribuição Nacional;8.601;0;165.283,50;0,00;1;0;1;0;;
2010;Europa;2250;Distribuição Nacional;637.851;112.320;6.083.130,16;877.595,95;24;7;13;5;;
2010;Europa/RioFilme;2250/105;Distribuição Nacional;1.459.323;1.459.323;12.671.167,31;12.671.167,31;3;3;2;2;;
2010;Filmes da Mostra;1797/29957;Distribuição Nacional;116.134;0;1.075.885,32;0,00;13;0;5;0;;
2010;Filmes do Estação;592;Distribuição Nacional;26.266;293;233.472,65;2.486,00;7;2;0;0;;
2010;Filmes do Rio de Janeiro;1517;Distribuição Nacional;453;453;3.955,71;3.955,71;1;1;1;1;;
2010;Fox;256;Distribuição Internacional;25.081.393;4.171.459;232.613.226,00;36.906.484,00;32;7;18;3;;
2010;G7 Cinema;5341;Distribuição Nacional;36.138;36.138;355.801,48;355.801,48;3;3;3;3;;
2010;Gávea Filmes e Produções;7128;Distribuição Nacional;1.036;1.036;5.304,50;5.304,50;1;1;1;1;;
2010;Idéia Forte;15995;Distribuição Nacional;929;929;8.588,00;8.588,00;1;1;1;1;;
2010;Imagem;1935;Distribuição Nacional;4.318.689;43.505;41.399.022,73;340.245,04;40;4;30;2;;
2010;Imovision;11868/173;Distribuição Nacional;714.197;32.077;6.780.813,44;310.010,61;54;7;28;2;;
2010;M. Schmiedt Produções;983;Distribuição Nacional;2.115;2.115;10.253,00;10.253,00;1;1;1;1;;
2010;Miração Filmes;1860;Distribuição Nacional;73;73;276,00;276,00;1;1;0;0;;
2010;Moro Comunicação;5224;Distribuição Nacional;1.205;1.205;6.908,00;6.908,00;1;1;1;1;;
2010;Moviemobz;13613;Distribuição Nacional;10.741;1.589;178.735,60;14.321,80;9;2;3;1;;
2010;Moviemobz/RioFilme;13613/105;Distribuição Nacional;2.667;2.667;23.410,00;23.410,00;3;3;0;0;;
2010;Panda Filmes;941;Distribuição Nacional;16.843;12.806;64.633,02;33.089,72;4;1;0;0;;
2010;Pandora Filmes;12443/333;Distribuição Nacional;126.478;14.740;1.084.352,72;107.209,91;32;5;9;2;;
2010;Paramount;169;Distribuição Internacional;19.343.121;390.346;185.576.728,00;3.483.041,00;13;2;13;2;;
2010;Paris;11922;Distribuição Nacional;8.938.884;433;77.483.672,51;4.066,00;34;1;24;1;;
2010;Pipa Produções;5467;Distribuição Nacional;2.679;1.489;9.833,50;3.734,00;4;3;1;0;;
2010;Playarte;443;Distribuição Nacional;4.499.544;1.248.097;39.394.612,94;8.337.523,98;35;4;25;2;;
2010;Polifilmes;2550;Distribuição Nacional;4.233;4.063;32.207,45;30.934,45;5;4;3;3;;
2010;Raiz Distribuidora;11792;Distribuição Nacional;57.443;57.443;172.111,70;172.111,70;5;5;0;0;;
2010;Santa Fé Filmes;782;Distribuição Nacional;1.661;1.661;14.122,00;14.122,00;1;1;1;1;;
2010;Sereia Filmes;13753;Distribuição Nacional;73;73;171,00;171,00;1;1;0;0;;
2010;Serendip;4626;Distribuição Nacional;39.226;0;345.126,52;0,00;6;0;6;0;;
2010;Símio Filmes;14208;Distribuição Nacional;1.809;1.809;9.312,00;9.312,00;1;1;1;1;;
2010;Sony;84;Distribuição Internacional;26.984.602;1.548.962;257.809.217,66;12.620.518,34;63;13;33;4;;
2010;Sony/Downtown;84/4904;Codistribuição Internacional-Nacional;3.414.241;3.414.241;30.283.798,77;30.283.798,77;2;2;1;1;;
2010;Sony/RioFilme;84/105;Codistribuição Internacional-Nacional;155.744;155.744;1.350.474,16;1.350.474,16;1;1;1;1;;
2010;T.A.O. Produções Artisticas;1049;Distribuição Nacional;879;879;2.178,00;2.178,00;1;1;0;0;;
2010;TV Zero Cinema;4586;Distribuição Nacional;ND;ND;ND;ND;1;1;1;1;;
2010;Universal;169/84/33787;Distribuição Internacional;7.002.618;0;65.781.012,00;0,00;17;0;12;0;;
2010;Usina Digital;4591;Distribuição Nacional;1.805;1.805;12.227,75;12.227,75;1;1;1;1;;
2010;Vega Filmes;11995;Distribuição Nacional;85;85;908,00;908,00;1;1;1;1;;
2010;Videofilmes;276;Distribuição Nacional;89.087;89.087;817.308,91;817.308,91;5;5;4;4;;
2010;Vitrine Filmes;16713;Distribuição Nacional;2.368;2.368;14.778,71;14.778,71;3;3;2;2;;
2010;Walper Ruas;1572;Distribuição Nacional;2.822;2.822;21.042,50;21.042,50;1;1;1;1;;
2010;Warner;265;Distribuição Internacional;17.072.980;8.971;164.502.240,37;73.412,00;25;4;18;1;;
2010;Warner/RioFilme;265/105;Codistribuição Internacional-Nacional;296.739;296.739;2.246.886,00;2.246.886,00;1;1;1;1;;
2010;Zazen;611;Distribuição Nacional;11.023.475;11.023.475;102.320.114,16;102.320.114,16;1;1;1;1;;
2011;Ab Filmes;136;Distribuição Nacional;35.255;0;353.514,15;0,00;6;0;3;0;;
2011;Ab Filmes/Festival Filmes;136/16538;Distribuição Nacional;4.268;4.268;43.090,91;43.090,91;1;1;1;1;;
2011;Accorde Audiovisuais;1403;Distribuição Nacional;16.611;16.611;46.176,00;46.176,00;1;1;0;0;;
2011;Activity Filmes;309;Distribuição Nacional;2.070;0;16.135,79;0,00;1;0;1;0;;
2011;Art Films;98;Distribuição Nacional;237;0;1.435,00;0,00;1;0;0;0;;
2011;Bonfilm;14462;Distribuição Nacional;10.110;0;93.444,58;0,00;2;0;1;0;;
