Listagem de Distribuidoras 2009 a 2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ano de exibição;Distribuidora;Número de Registro Ancine;Origem da empresa distribuidora;Público;Público Filmes Brasileiros;Renda (R$);Renda Filmes Brasileiros (R$);Títulos Exibidos;Títulos Brasileiros Exibidos;Títulos Lançados;Títulos Brasileiros Lançados;;
2012;Polifilmes/Asacine;2550/79;Distribuição Nacional;499;499;4.723,27;4.723,27;1;1;1;1;;
2012;Prana Filmes;1226;Distribuição Nacional;1.546;1.546;10.961,90;10.961,90;1;1;1;1;;
2012;Quimera Filmes;459;Distribuição Nacional;14;14;225,00;225,00;1;1;0;0;;
2012;Raiz Distribuidora;11792;Distribuição Nacional;322;322;3.053,53;3.053,53;3;3;0;0;;
2012;Refinaria Produções;4223;Distribuição Nacional;145;145;1.012,00;1.012,00;1;1;1;1;;
2012;RioFilme;105;Distribuição Nacional;3.546;3.546;33.765,50;33.765,50;1;1;1;1;;
2012;Serendip;4626;Distribuição Nacional;33.692;0;318.864,11;0,00;7;0;3;0;;
2012;Signopus;1494;Distribuição Nacional;7.916;7.916;71.505,59;71.505,59;1;1;1;1;;
2012;Sony;84;Distribuição Internacional;21.791.110;75.217;254.267.016,35;864.400,25;29;2;19;1;;
2012;Sony/Downtown;84/4904;Codistribuição Internacional-Nacional;377.887;377.887;3.898.283,67;3.898.283,67;1;1;1;1;;
2012;Sony/RioFilme;84/105;Codistribuição Internacional-Nacional;46.735;46.735;537.896,75;537.896,75;2;2;1;1;;
2012;Terra Firme;13354;Distribuição Nacional;548;548;5.776,00;5.776,00;1;1;1;1;;
2012;Tigre Produções Cinematográficas;2234;Distribuição Nacional;19.674;19.674;47.125,51;47.125,51;1;1;1;1;;
2012;Tucumán;16132;Distribuição Nacional;5.638;2.184;47.473,98;12.777,68;3;1;3;1;;
2012;Universal;169/84/33787;Distribuição Internacional;9.162.708;5.147;95.915.553,00;50.074,00;17;1;14;1;;
2012;Usina Digital;4591;Distribuição Nacional;ND;ND;ND;ND;1;1;1;1;;
2012;Videofilmes;276;Distribuição Nacional;92;92;411,00;411,00;2;2;0;0;;
2012;Vinny Filmes;17810;Distribuição Nacional;648.161;218.938;6.689.303,24;1.913.570,08;26;2;20;2;;
2012;Vitrine Filmes;16713;Distribuição Nacional;36.285;36.285;311.116,22;311.116,22;14;14;6;6;;
2012;VPC Cinemavídeo;2273;Distribuição Nacional;1.856;1.856;14.074,50;14.074,50;1;1;1;1;;
2012;Warner;265;Distribuição Internacional;17.716.110;2.357.104;197.348.198,00;23.603.078,00;28;4;17;2;;
2012;Werinton Kermes;21960;Distribuição Nacional;ND;ND;ND;ND;1;1;1;1;;
2012;Zazen;611;Distribuição Nacional;402.852;402.852;3.963.582,33;3.963.582,33;1;1;1;1;;
2013;Ab Filmes/Polifilmes;136/2550;Distribuição Nacional;1.200;1.200;11.586,13;11.586,13;2;2;1;1;;
2013;Alphaville Filmes;6418;Distribuição Nacional;182.445;0;2.186.898,81;0,00;10;0;10;0;;
2013;ArtHouse;22808;Distribuição Nacional;767;767;10.025,35;10.025,35;2;2;2;2;;
2013;Bela Filmes;18625;Distribuição Nacional;553;553;3.939,68;3.939,68;1;1;1;1;;
2013;Bonfilm;14462;Distribuição Nacional;23;0;281,95;0,00;1;0;0;0;;
2013;Brazukah Produções Culturais;12061;Distribuição Nacional;153;153;1.300,19;1.300,19;1;1;1;1;;
2013;Bretz Filmes/RioFilme;19243/105;Distribuição Nacional;8.831;8.831;94.502,95;94.502,95;1;1;1;1;;
2013;Busca Vida Filmes;18932;Distribuição Nacional;1.334;1.334;17.278,01;17.278,01;1;1;1;1;;
2013;Cafco Filmes;24886;Distribuição Nacional;17.480;0;210.423,51;0,00;2;0;2;0;;
2013;Califórnia;532;Distribuição Nacional;799.791;18.175;9.878.915,60;185.132,62;25;3;20;3;;
2013;Canal Brasil;1500;Distribuição Nacional;8.097;8.097;96.523,98;96.523,98;1;1;1;1;;
2013;Cesar Augusto Gananian;3833;Distribuição Nacional;867;867;13.260,91;13.260,91;1;1;1;1;;
2013;Cicatrix Filmes;23272;Distribuição Nacional;4.032;4.032;31.674,35;31.674,35;1;1;1;1;;
2013;Ciclorama Filmes;17471;Distribuição Nacional;1.262;1.262;11.903,08;11.903,08;1;1;0;0;;
2013;Cine Santa Teresa;14200;Distribuição Nacional;2.285;2.285;17.781,50;17.781,50;1;1;1;1;;
2013;Cinema Cinema Produções;21101;Distribuição Nacional;496;496;4.752,93;4.752,93;1;1;1;1;;
2013;Cinevideo Produções;21161;Distribuição Nacional;521;521;6.178,50;6.178,50;1;1;1;1;;
2013;Copacabana Filmes;506;Distribuição Nacional;1.591;1.591;14.828,67;14.828,67;1;1;1;1;;
2013;Cultura Maior;22903;Distribuição Nacional;1.676;1.676;21.519,41;21.519,41;1;1;1;1;;
2013;Diamond Films;22724;Distribuição Nacional;1.156.042;0;13.841.235,06;0,00;10;0;10;0;;
2013;Disney;18398;Distribuição Internacional;24.312.178;818.828;296.349.213,00;8.954.177,00;21;3;10;3;;
2013;Docdoma Filmes;5421;Distribuição Nacional;750;750;5.938,50;5.938,50;1;1;1;1;;
2013;Downtown;4904;Distribuição Nacional;15;15;232,00;232,00;1;1;1;1;;
2013;Downtown/Paris;4904/11922;Distribuição Nacional;12.955.183;12.955.183;141.436.440,89;141.436.440,89;7;7;7;7;;
2013;Downtown/Paris/RioFilme;4904/11922/105;Distribuição Nacional;4.147.267;4.147.267;43.099.264,29;43.099.264,29;4;4;1;1;;
2013;Downtown/Sony/RioFilme;4904/84/105;Codistribuição Internacional-Nacional;353.690;353.690;3.099.476,47;3.099.476,47;1;1;1;1;;
2013;Drama Filmes;610;Distribuição Nacional;365;365;1.104,00;1.104,00;1;1;1;1;;
2013;E.H. Produções;461;Distribuição Nacional;6.678;6.678;75.982,23;75.982,23;3;3;3;3;;
2013;Elo Company;5672;Distribuição Nacional;2.658;2.658;35.428,62;35.428,62;2;2;2;2;;
2013;Em Foco Multimídia;1134;Distribuição Nacional;747;747;6.899,22;6.899,22;1;1;1;1;;
2013;Esfera Produções;18039;Distribuição Nacional;308.216;0;3.919.775,39;0,00;23;0;14;0;;
2013;Espaço Filmes;1083;Distribuição Nacional;122.559;118.561;1.430.203,62;1.382.123,34;10;8;7;6;;
2013;Espaço Filmes/Videofilmes;1083/276;Distribuição Nacional;2.585;2.585;31.043,54;31.043,54;1;1;1;1;;
2013;Espaço Itaú de Cinema;14006;Distribuição Nacional;1.667;0;31.115,99;0,00;3;0;0;0;;
2013;Estação Elétrica Produções;1897;Distribuição Nacional;183;183;1.414,00;1.414,00;1;1;1;1;;
2013;Europa;2250;Distribuição Nacional;442.369;197.788;5.197.744,47;2.059.408,15;11;3;10;3;;
2013;Europa/RioFilme;2250/105;Distribuição Nacional;1.622.046;1.622.046;17.208.325,26;17.208.325,26;2;2;2;2;;
2013;F. J. Cines;310;Distribuição Nacional;5.079;0;35.314,50;0,00;1;0;0;0;;
2013;Festival Filmes;16538;Distribuição Nacional;248;248;3.591,06;3.591,06;1;1;1;1;;
2013;Filmes da Mostra;1797/29957;Distribuição Nacional;21.683;0;199.460,74;0,00;15;0;7;0;;
2013;FM Produções;21461;Distribuição Nacional;120;120;1.276,99;1.276,99;1;1;1;1;;
2013;Formosa Filmes;16462;Distribuição Nacional;769;769;10.007,06;10.007,06;1;1;1;1;;
2013;Forte Filmes;12699;Distribuição Nacional;2.002;2.002;25.387,81;25.387,81;2;2;2;2;;
2013;Fox;256;Distribuição Internacional;18.486.428;125.502;222.002.175,00;1.302.369,00;22;1;19;1;;
2013;Graça Filmes;16514;Distribuição Nacional;1.170;0;6.456,50;0,00;1;0;0;0;;
2013;Grafo Audiovisual;13715;Distribuição Nacional;98;98;280,00;280,00;1;1;0;0;;
2013;Grupo Storm;25676;Distribuição Nacional;325;325;3.178,00;3.178,00;1;1;1;1;;
2013;Gullane Entretenimento;848;Distribuição Nacional;527;527;6.479,84;6.479,84;1;1;1;1;;
2013;H2O Films;24619/21541;Distribuição Nacional;99.257;18.135;1.268.177,62;197.858,87;8;3;7;2;;
2013;H2O Films/RioFilme;24619/21541/105;Distribuição Nacional;13.151;13.151;115.473,14;115.473,14;3;3;1;1;;
2013;Imagem;1935;Distribuição Nacional;9.822.007;4.293.576;109.536.811,26;45.596.917,54;37;7;30;5;;
2013;Imagem/Fox;1935/256;Codistribuição Internacional-Nacional;1.715.763;1.715.763;18.253.649,24;18.253.649,24;1;1;1;1;;
2013;Imovision;11868/173;Distribuição Nacional;893.313;146.688;10.487.861,54;1.522.848,98;66;9;37;6;;
2013;Instituto Via BR;24513;Distribuição Nacional;1.486;1.486;17.938,90;17.938,90;1;1;1;1;;
2013;Jura Filmes;4946;Distribuição Nacional;1.102;1.102;4.554,35;4.554,35;1;1;1;1;;
2013;Kino Filmes;762;Distribuição Nacional;444;444;2.162,72;2.162,72;1;1;1;1;;
2013;Lança Filmes;25115;Distribuição Nacional;351;351;2.449,33;2.449,33;1;1;1;1;;
2013;Lume Produções Cinematográficas;11990;Distribuição Nacional;10.354;10.216;95.366,98;94.422,98;8;4;4;4;;
2013;Maff Representação e Participação;21823;Distribuição Nacional;2.557;2.557;32.997,93;32.997,93;1;1;1;1;;
2013;Mapa Filmes do Brasil;647;Distribuição Nacional;518;518;3.361,27;3.361,27;1;1;0;0;;
2013;Moviola Filmes;18147;Distribuição Nacional;67;67;153,00;153,00;1;1;0;0;;
2013;NGM Produções;891;Distribuição Nacional;ND;ND;ND;ND;1;1;1;1;;
2013;Oswaldo Montenegro Produções Artísticas;6707;Distribuição Nacional;1.971;1.971;29.109,04;29.109,04;1;1;1;1;;
2013;Paleotv;4958;Distribuição Nacional;1.431;1.431;6.025,70;6.025,70;1;1;1;1;;
2013;Panda Filmes;941;Distribuição Nacional;2.674;2.662;26.381,74;26.315,74;4;3;4;3;;
2013;Pandora Filmes;12443/333;Distribuição Nacional;181.889;12.833;2.006.380,57;111.942,69;19;6;12;5;;
2013;Paramount;169;Distribuição Internacional;10.865.786;0;139.958.652,00;0,00;12;0;10;0;;
2013;Paris;11922;Distribuição Nacional;12.782.887;218;145.078.311,38;1.090,00;53;1;32;0;;
2013;Pequi Filmes;5446;Distribuição Nacional;25.085;25.085;262.474,40;262.474,40;1;1;1;1;;
2013;Petrini;18028;Distribuição Nacional;199;ND;1.396,80;ND;4;1;3;1;;
2013;Pipa Produções;5467;Distribuição Nacional;1.991;1.991;16.213,53;16.213,53;1;1;1;1;;
2013;Playarte;443;Distribuição Nacional;2.137.509;669;24.318.750,69;9.608,42;16;1;10;0;;
2013;Polifilmes;2550;Distribuição Nacional;16.803;15.876;96.147,38;85.622,78;5;4;3;2;;
2013;Prana Filmes;1226;Distribuição Nacional;55;55;192,00;192,00;1;1;0;0;;
2013;Raconto Produções Artísticas;13044;Distribuição Nacional;207;207;1.630,00;1.630,00;1;1;1;1;;
2013;Raiz Distribuidora;11792;Distribuição Nacional;1.219;1.219;15.310,15;15.310,15;2;2;2;2;;
2013;RioFilme;105;Distribuição Nacional;103;103;615,00;615,00;1;1;0;0;;
2013;Serendip;4626;Distribuição Nacional;100.922;4.550;1.200.226,17;51.515,22;5;1;2;1;;
2013;Signopus;1494;Distribuição Nacional;8.600;8.600;62.408,52;62.408,52;1;1;0;0;;
2013;Sony;84;Distribuição Internacional;14.131.074;18.749;162.044.228,12;213.112,75;20;1;14;0;;
2013;Sony/Downtown;84/4904;Codistribuição Internacional-Nacional;200;200;266,00;266,00;1;1;0;0;;
2013;Sony/RioFilme;84/105;Codistribuição Internacional-Nacional;189.113;189.113;1.965.050,95;1.965.050,95;2;2;1;1;;
2013;TGD Filmes;68;Distribuição Nacional;4.326;4.326;40.853,73;40.853,73;1;1;1;1;;
2013;Tigre Produções Cinematográficas;2234;Distribuição Nacional;16.908;16.908;76.447,52;76.447,52;1;1;1;1;;
2013;Tucumán;16132;Distribuição Nacional;25.603;1.857;268.985,95;14.469,52;9;3;7;2;;
2013;TV Zero Cinema;4586;Distribuição Nacional;797;797;6.332,82;6.332,82;1;1;1;1;;
2013;Universal;169/84/33787;Distribuição Internacional;15.118.609;0;172.077.728,75;0,00;16;0;12;0;;
2013;Videofilmes;276;Distribuição Nacional;11.023;11.023;127.590,80;127.590,80;4;4;3;3;;
2013;Vilacine;18499;Distribuição Nacional;4.224;4.224;49.805,34;49.805,34;1;1;1;1;;
2013;Vinny Filmes;17810;Distribuição Nacional;139.376;12;1.603.927,53;60,00;8;1;2;0;;
2013;Vitrine Filmes;16713;Distribuição Nacional;199.892;125.789;2.138.357,74;1.283.590,67;20;18;15;13;;
2013;Warner;265;Distribuição Internacional;15.955.979;725.732;198.782.553,63;7.471.327,00;19;2;12;1;;
2013;Zazen;611;Distribuição Nacional;775;775;6.272,00;6.272,00;1;1;1;1;;
2013;Zeta Filmes;22936;Distribuição Nacional;43.537;0;412.150,04;0,00;4;0;4;0;;
2014;Ab Filmes;136;Distribuição Nacional;740;740;9.678,40;9.678,40;1;1;1;1;;
2014;Ab Filmes/Polifilmes;136/2550;Distribuição Nacional;90;90;1.110,30;1.110,30;2;2;0;0;;
2014;Activity Filmes;309;Distribuição Nacional;94.812;0;1.284.203,10;0,00;1;0;1;0;;
2014;Aiuê Filmes;18678;Distribuição Nacional;2.192;2.192;21.416,16;21.416,16;1;1;1;1;;
2014;Alphaville Filmes;6418;Distribuição Nacional;366.439;0;4.555.119,60;0,00;14;0;8;0;;
2014;ArtHouse;22808;Distribuição Nacional;1.516;1.516;19.711,55;19.711,55;3;3;2;2;;
2014;Bela Filmes;18625;Distribuição Nacional;192;192;1.598,34;1.598,34;1;1;0;0;;
2014;Biscoito Fino;28161;Distribuição Nacional;2.563;2.563;33.877,00;33.877,00;1;1;1;1;;
2014;Boulevard Filmes;17484;Distribuição Nacional;1.071;1.071;5.941,00;5.941,00;1;1;1;1;;
2014;Bretz Filmes;19243;Distribuição Nacional;2.356;0;17.274,00;0,00;1;0;1;0;;
2014;Busca Vida Filmes;18932;Distribuição Nacional;243;243;3.099,43;3.099,43;1;1;0;0;;
2014;Cafco Filmes;24886;Distribuição Nacional;3.430;0;43.372,39;0,00;3;0;1;0;;
2014;Caliban;854;Distribuição Nacional;301;301;3.516,04;3.516,04;1;1;1;1;;
2014;Califórnia;532;Distribuição Nacional;3.528.794;136.992;41.578.948,14;1.778.906,83;26;2;19;2;;
2014;Cavideo Produções;11893;Distribuição Nacional;970;970;4.875,00;4.875,00;1;1;1;1;;
2014;Cine Group;2647;Distribuição Nacional;1.514;1.514;21.688,27;21.688,27;1;1;1;1;;
2014;Cine Santa Teresa;14200;Distribuição Nacional;355;355;0,00;0,00;1;1;0;0;;
2014;Cinemark Brasil;1843;Distribuição Nacional;132.074;0;1.168.269,44;0,00;24;0;0;0;;
2014;Copacabana Filmes;506;Distribuição Nacional;508.901;508.901;6.447.968,11;6.447.968,11;1;1;1;1;;
2014;Diamond Films;22724;Distribuição Nacional;2.213.504;0;27.377.218,02;0,00;17;0;12;0;;
2014;Disney;18398;Distribuição Internacional;23.255.762;1.776.579;297.043.224,00;20.732.500,00;29;1;18;1;;
2014;Downtown;4904;Distribuição Nacional;1.372;1.372;17.486,66;17.486,66;1;1;1;1;;
2014;Downtown/Paris;4904/11922;Distribuição Nacional;11.302.757;11.302.757;130.899.741,17;130.899.741,17;21;21;16;16;;
2014;E.H. Produções;461;Distribuição Nacional;1.754;1.754;21.364,82;21.364,82;2;2;1;1;;
2014;Elo Company;5672;Distribuição Nacional;15.038;15.038;198.519,85;198.519,85;7;7;7;7;;
2014;Esfera Produções;18039;Distribuição Nacional;193.002;0;2.291.324,06;0,00;31;0;13;0;;
2014;Espaço Filmes;1083;Distribuição Nacional;150.812;115.236;1.745.963,14;1.295.551,67;27;20;16;13;;
2014;Espaço Filmes/Videofilmes;1083/276;Distribuição Nacional;18;18;83,50;83,50;1;1;0;0;;
2014;Espaço Itaú de Cinema;14006;Distribuição Nacional;620;0;12.844,93;0,00;1;0;1;0;;
2014;Europa;2250;Distribuição Nacional;241.591;93.287;2.887.315,15;1.014.063,11;16;2;11;2;;
2014;Europa/RioFilme;2250/105;Distribuição Nacional;29;29;160,27;160,27;1;1;0;0;;
2014;F. J. Cines;310;Distribuição Nacional;10.326;0;88.022,00;0,00;3;0;1;0;;
2014;Filmes da Mostra;1797/29957;Distribuição Nacional;14.662;0;169.528,88;0,00;9;0;6;0;;
2014;Fox;256;Distribuição Internacional;35.615.652;705.300;443.380.702,00;8.389.625,00;32;3;19;2;;
2014;Graça Filmes;16514;Distribuição Nacional;325.588;0;3.122.035,74;0,00;2;0;2;0;;
2014;Grafo Audiovisual;13715;Distribuição Nacional;86;86;334,00;334,00;1;1;0;0;;
2014;H2O Films;24619/21541;Distribuição Nacional;930.680;409.122;10.897.229,15;4.558.996,69;13;5;12;4;;
2014;Hype101;25754;Distribuição Nacional;2.120;0;28.318,96;0,00;1;0;1;0;;
2014;Ideias Ideais/Nossa Distribuidora;1027;Distribuição Nacional;4.849;4.849;59.878,11;59.878,11;1;1;1;1;;
2014;Ideias Maria Farinha;15848;Distribuição Nacional;14.892;14.892;193.057,40;193.057,40;1;1;1;1;;
2014;Imagem;1935;Distribuição Nacional;10.268.141;2.280.037;129.219.219,58;27.383.881,63;38;7;29;6;;
2014;Imovision;11868/173;Distribuição Nacional;513.466;104.083;6.451.705,83;1.190.490,79;61;14;29;4;;
2014;Instituto Via BR;24513;Distribuição Nacional;84;84;586,00;586,00;1;1;0;0;;
2014;Jura Filmes;4946;Distribuição Nacional;120;120;1.021,50;1.021,50;1;1;0;0;;
2014;Kinofilmes Produções;232;Distribuição Nacional;12;12;42,00;42,00;1;1;0;0;;
2014;Kinoscópio;2320;Distribuição Nacional;7.563;7.563;80.229,75;80.229,75;1;1;1;1;;
2014;Laurence Produções;22511;Distribuição Nacional;2.462;2.462;14.091,52;14.091,52;1;1;1;1;;
2014;Livres Filmes;21870;Distribuição Nacional;1.449;1.449;18.590,87;18.590,87;2;2;2;2;;
2014;Lotado Filmes;22667;Distribuição Nacional;10.865;10.865;142.564,19;142.564,19;1;1;1;1;;
2014;Lume Produções Cinematográficas;11990;Distribuição Nacional;10.614;1.274;110.537,71;5.798,00;11;2;6;1;;
2014;Maria Gorda Filmes;14771;Distribuição Nacional;20;20;150,00;150,00;1;1;1;1;;
2014;Nossa Distribuidora;20772;Distribuição Nacional;5.759;5.759;70.112,29;70.112,29;2;2;2;2;;
2014;O2 Play;63;Distribuição Nacional;5.211;5.211;66.206,88;66.206,88;2;2;2;2;;
2014;Okna Produções;11871;Distribuição Nacional;3.667;3.667;37.165,79;37.165,79;1;1;1;1;;
2014;Panda Filmes;941;Distribuição Nacional;1.108;919;12.216,14;10.586,14;3;2;2;2;;
2014;Pandora Filmes;12443/333;Distribuição Nacional;88.855;8.484;1.066.351,53;73.325,51;37;9;12;4;;
2014;Paramount;169;Distribuição Internacional;16.851.754;0;226.022.810,00;0,00;10;0;9;0;;
2014;Paris;11922;Distribuição Nacional;9.817.903;0;119.468.817,52;0,00;43;0;26;0;;
2014;Petrini;18028;Distribuição Nacional;ND;ND;ND;ND;1;1;1;1;;
2014;Pipa Produções;5467;Distribuição Nacional;1.591;1.591;10.167,77;10.167,77;2;2;1;1;;
2014;Playarte;443;Distribuição Nacional;2.005.610;0;26.112.526,73;0,00;12;0;9;0;;
2014;Polifilmes;2550;Distribuição Nacional;4.954;3.426;61.027,30;43.420,10;7;4;4;2;;
2014;Prana Filmes;1226;Distribuição Nacional;39;39;100,00;100,00;1;1;0;0;;
2014;Raconto Produções Artísticas;13044;Distribuição Nacional;91;91;903,00;903,00;1;1;1;1;;
2014;Raiz Distribuidora;11792;Distribuição Nacional;1.526;1.526;18.357,86;18.357,86;4;4;2;2;;
2014;Sam Rádio Pictures;16852;Distribuição Nacional;ND;ND;ND;ND;1;1;1;1;;
2014;Santa Rita Filmes;21756;Distribuição Nacional;25.999;25.999;327.317,11;327.317,11;1;1;1;1;;
2014;Signopus;1494;Distribuição Nacional;77;77;184,30;184,30;1;1;0;0;;
2014;Sony;84;Distribuição Internacional;11.456.457;892.367;143.481.276,40;9.534.966,69;21;2;13;2;;
2014;Tucumán;16132;Distribuição Nacional;100.681;1.028;1.222.759,78;9.044,50;15;3;9;2;;
2014;TV Zero Cinema;4586;Distribuição Nacional;1.274;1.274;17.983,50;17.983,50;1;1;1;1;;
2014;UCI;749;Distribuição Nacional;4.899;0;129.872,00;0,00;6;0;6;0;;
2014;Universal;169/84/33787;Distribuição Internacional;6.033.413;259.247;74.008.635,40;3.040.736,35;11;1;7;1;;
2014;Videofilmes;276;Distribuição Nacional;44;44;212,00;212,00;2;2;0;0;;
2014;Vitrine Filmes;16713;Distribuição Nacional;255.282;244.593;2.953.019,51;2.809.753,88;22;19;9;8;;
2014;Warner;265;Distribuição Internacional;19.168.700;99.069;248.926.440,00;1.240.111,00;37;2;18;1;;
2014;Ze's Produções;22810;Distribuição Nacional;366;366;4.156,00;4.156,00;1;1;1;1;;
2014;Zeta Filmes;22936;Distribuição Nacional;19.252;0;230.107,15;0,00;10;0;6;0;;
2015;7Estrelo Filmes;1772;Distribuição Nacional;2.721;2.721;33.158,32;33.158,32;1;1;1;1;;
2015;ABR Cine Vídeo;15440;Distribuição Nacional;169;169;1.328,08;1.328,08;1;1;1;1;;
2015;Agência Observatório;26345;Distribuição Nacional;722;722;11.879,24;11.879,24;1;1;1;1;;
2015;Alpha Filmes;5963;Distribuição Nacional;121.075;0;1.648.814,47;0,00;8;0;8;0;;
2015;Alphaville Filmes;6418;Distribuição Nacional;399.824;0;5.631.925,87;0,00;31;0;19;0;;
2015;Araçá Azul;4701;Distribuição Nacional;427;427;5.338,50;5.338,50;1;1;1;1;;
2015;ArtHouse;22808;Distribuição Nacional;16.521;16.521;150.698,29;150.698,29;3;3;3;3;;
2015;Bela Filmes;18625;Distribuição Nacional;307;307;3.771,00;3.771,00;1;1;1;1;;
2015;Biscoito Fino;28161;Distribuição Nacional;777;777;9.461,00;9.461,00;1;1;0;0;;
2015;Bodhgaya Films;17583;Distribuição Nacional;7.680;7.680;114.746,33;114.746,33;1;1;1;1;;
2015;Boulevard Filmes;17484;Distribuição Nacional;10.800;10.800;79.344,37;79.344,37;3;3;3;3;;
2015;Bretz Filmes;19243;Distribuição Nacional;27.437;0;357.582,77;0,00;6;0;5;0;;
2015;Califórnia;532;Distribuição Nacional;1.522.461;0;20.326.905,31;0,00;36;0;28;0;;
2015;Camisa Treze;4369;Distribuição Nacional;1.401;1.401;17.391,89;17.391,89;1;1;1;1;;
2015;Cazion Films Brasil;31096;Distribuição Nacional;384.735;0;5.014.816,03;0,00;1;0;1;0;;
2015;Cine Group;2647;Distribuição Nacional;750;750;9.234,11;9.234,11;1;1;0;0;;
2015;Cine Santa Teresa;14200;Distribuição Nacional;5.344;948;67.784,35;12.223,50;2;1;2;1;;
2015;Cinemark Brasil;1843;Distribuição Nacional;137.904;359;1.864.673,53;3.245,50;24;1;6;0;;
2015;Cinépolis;17266;Distribuição Nacional;7.199;0;88.087,60;0,00;1;0;1;0;;
2015;Clarissa Appelt Baptista San Roman;23664;Distribuição Nacional;111;111;1.368,55;1.368,55;1;1;1;1;;
2015;Comalt;380;Distribuição Nacional;7.352;7.352;86.229,49;86.229,49;1;1;1;1;;
2015;Copacabana Filmes;506;Distribuição Nacional;10.332;10.332;210.134,28;210.134,28;1;1;1;1;;
2015;Cultura;1125;Distribuição Nacional;308;308;4.164,00;4.164,00;1;1;1;1;;
2015;Daza Filmes;17547;Distribuição Nacional;718;718;6.933,14;6.933,14;3;3;3;3;;
2015;Delícia Filmes;18156;Distribuição Nacional;30.141;30.141;362.537,74;362.537,74;1;1;1;1;;
2015;Diamond Films;22724;Distribuição Nacional;2.468.321;0;35.371.157,73;0,00;22;0;15;0;;
2015;Disney;18398;Distribuição Internacional;29.974.466;0;417.335.567,62;0,00;37;0;9;0;;
2015;Downtown;4904;Distribuição Nacional;3.098;3.098;38.837,43;38.837,43;2;2;2;2;;
2015;Downtown/Paris;4904/11922;Distribuição Nacional;12.209.393;12.209.393;147.349.606,57;147.349.606,57;22;22;15;15;;
2015;Downtown/Paris/RioFilme;4904/11922/105;Distribuição Nacional;47;47;156,00;156,00;1;1;0;0;;
2015;Dunamys Films;21494;Distribuição Nacional;5.112;0;55.335,34;0,00;1;0;1;0;;
2015;E.H. Produções;461;Distribuição Nacional;1.574;1.574;13.712,25;13.712,25;1;1;0;0;;
2015;Elite Filmes;22364;Distribuição Nacional;6.262;523;90.412,79;6.695,92;3;1;3;1;;
2015;Elo Company;5672;Distribuição Nacional;17.710;17.710;225.136,77;225.136,77;8;8;6;6;;
2015;Esfera Produções;18039;Distribuição Nacional;109.879;0;1.356.611,60;0,00;33;0;7;0;;
2015;Espaço Filmes;1083;Distribuição Nacional;99.465;25.369;1.355.379,59;281.077,09;25;15;7;2;;
2015;Espaço Filmes/Videofilmes;1083/276;Distribuição Nacional;14.498;14.498;187.626,54;187.626,54;1;1;1;1;;
2015;Espaço Itaú de Cinema;14006;Distribuição Nacional;197;0;4.436,50;0,00;1;0;0;0;;
2015;Estrangeira Filmes;21082;Distribuição Nacional;491;491;5.809,00;5.809,00;1;1;1;1;;
2015;Europa;2250;Distribuição Nacional;364.680;236.077;4.889.011,56;3.011.378,69;13;5;8;4;;
2015;F. J. Cines;310;Distribuição Nacional;18.073;0;227.527,71;0,00;5;0;0;0;;
2015;Film Connection/Imovision;5587/11868/173;Distribuição Nacional;38.073;38.073;524.238,74;524.238,74;1;1;1;1;;
2015;Filmes da Mostra;1797/29957;Distribuição Nacional;5.106;0;62.396,81;0,00;5;0;2;0;;
2015;Filmikka Produções;23256;Distribuição Nacional;243;243;3.301,00;3.301,00;1;1;1;1;;
2015;Forte Filmes;12699;Distribuição Nacional;3.517;3.517;49.818,28;49.818,28;1;1;1;1;;
2015;Fox;256;Distribuição Internacional;27.476.565;973.744;362.333.813,10;12.484.846,00;48;3;26;2;;
2015;Fundação Maurício Grabois;22073;Distribuição Nacional;260;260;4.167,46;4.167,46;1;1;1;1;;
2015;Gullane Entretenimento;848;Distribuição Nacional;153;153;2.161,00;2.161,00;1;1;1;1;;
2015;H2O Films;24619/21541;Distribuição Nacional;3.585.321;3.422.625;45.402.326,01;43.271.320,28;9;4;5;3;;
2015;Imagem;1935;Distribuição Nacional;3.960.151;2.444.370;51.346.333,77;30.115.262,72;26;9;13;3;;
2015;Imagem/Conspiração;1935/10;Distribuição Nacional;80.335;80.335;1.026.924,65;1.026.924,65;1;1;1;1;;
2015;Imovision;11868/173;Distribuição Nacional;697.928;30.303;10.038.723,63;348.036,74;85;19;43;5;;
2015;Internacional Produções de Cinema e Vídeo;4758;Distribuição Nacional;22;22;245,66;245,66;1;1;1;1;;
2015;Lagoa Filmes;18072;Distribuição Nacional;3.119;3.119;43.810,37;43.810,37;1;1;1;1;;
2015;Lança Filmes;25115;Distribuição Nacional;5.527;3.455;65.980,68;38.562,69;3;2;3;2;;
2015;Livres Filmes;21870;Distribuição Nacional;3.275;3.275;32.904,11;32.904,11;3;3;3;3;;
2015;Lotado Filmes;22667;Distribuição Nacional;3.478;3.478;36.280,99;36.280,99;1;1;0;0;;
2015;Lume Produções Cinematográficas;11990;Distribuição Nacional;725;50;8.582,12;300,00;4;2;2;1;;
2015;MA7 Filmes;16758;Distribuição Nacional;385;385;6.253,61;6.253,61;1;1;1;1;;
2015;Maria Farinha Filmes;18069;Distribuição Nacional;6.868;5.519;92.160,12;73.782,88;2;1;2;1;;
2015;Milocos Entretenimento;21106;Distribuição Nacional;62.250;62.250;951.307,58;951.307,58;1;1;1;1;;
