Listagem dos Agentes Econômicos Registrados na Ancine;;;;;;;;;
;;;;;;;;;
Registro Ancine;CNPJ;Razão Social;Atividade Econômica Principal;Natureza Jurídica;Munícipio;UF;Data do Primeiro Registro na Ancine;Data de Abertura da Empresa;Agente Econômico Brasileiro Independente
47642;28.227.780/0001-26;CLAUDIA CRISTINA CIRILO ARAUJO 00340857773;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;RIO DE JANEIRO;RJ;29/01/2021;20/07/2017;SIM
38757;28.773.421/0001-74;CLÁUDIA DE ARAUJO PEREIRA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;SÃO PAULO;SP;14/02/2018;02/10/2017;SIM
48316;26.872.628/0001-70;CLAUDIA DOS SANTOS COELHO DE CASTRO 41123703850;Comércio varejista de artigos fotográficos e para filmagem;Empresário (Individual) ;ROSEIRA;SP;04/05/2021;16/01/2017;SIM
46058;37.459.323/0001-58;CLAUDIA PEREIRA DIAS PINCELLI 14834067840;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;MOGI DAS CRUZES;SP;09/07/2020;18/06/2020;NÃO
47661;15.684.587/0001-72;CLAUDIA REGINA DA SILVA CAVALHEIRO;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;CURITIBA;PR;02/02/2021;11/06/2012;SIM
34960;17.023.073/0001-00;CLAUDIA SENEME DO CANTO;Filmagem de festas e eventos;Empresário (Individual) ;RIO CLARO;SP;28/12/2016;18/10/2012;SIM
44061;15.018.842/0001-48;CLAUDIA SOLANGE AVILA DE LIMA 92119026068;Ensino de arte e cultura não especificado anteriormente;Empresário (Individual) ;CANOAS;RS;17/09/2019;08/02/2012;SIM
35975;27.342.283/0001-06;CLAUDINE PETRONI SANETI - ME;Estúdios cinematográficos;Empresário (Individual) ;BAURU;SP;28/03/2017;20/03/2017;SIM
29898;09.237.319/0001-00;CLAUDIO ADRIANO BARBOSA SCHENBERGER & CIA LTDA;Agências de publicidade;Sociedade Empresária Limitada;PONTA GROSSA;PR;12/05/2015;29/11/2007;SIM
41728;30.031.177/0001-16;CLAUDIO ANTONINO DA SILVA;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;BROTAS;SP;03/12/2018;26/03/2018;NÃO
35922;25.967.756/0001-35;CLAUDIO ANTONIO SOUZA DE AVILA - ME;Suporte técnico, manutenção e outros serviços em tecnologia da informação;Empresário (Individual) ;RIO GRANDE;RS;23/03/2017;16/08/2016;SIM
25064;11.157.228/0001-06;CLAUDIO ANTONIO SOUZA DE JESUS ¿ ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;SALVADOR;BA;03/09/2013;14/08/2009;SIM
45674;34.462.012/0001-50;CLAUDIO APARECIDO CESTARE JUNIOR 33151149808;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;AMERICANA;SP;11/05/2020;07/08/2019;SIM
49252;13.759.581/0001-91;CLAUDIO AUGUSTO PINTO CAMARGO 83286705004;Atividades de produção de fotografias, exceto aérea e submarina;Empresário (Individual) ;LAGES;SC;11/08/2021;06/06/2011;SIM
19531;13.125.139/0001-03;CLAUDIO BUENO DA SILVA 79598455149;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;GOIÂNIA;GO;25/08/2011;18/01/2011;SIM
22375;12.551.454/0001-30;CLAUDIO CHAVES LAVOR 53381165291;Comércio varejista de discos, CDs, DVDs e fitas;Empresário (Individual) ;BOA VISTA;RR;14/09/2012;20/09/2010;SIM
45473;11.084.848/0001-62;CLAUDIO CINELLI GOMES DE ALMEIDA;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;SÃO PAULO;SP;07/04/2020;17/08/2009;SIM
15806;10.729.657/0001-48;CLAUDIO DE CARVALHO MONTEIRO - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;SALVADOR;BA;24/07/2009;30/03/2009;SIM
49416;27.801.955/0001-02;CLAUDIO DE MORAES MARQUES 55232248715;Agências de viagens;Empresário (Individual) ;RIO DE JANEIRO;RJ;01/09/2021;23/05/2017;NÃO
36300;14.764.359/0001-40;CLAUDIO HENRIQUE DE VILELA BRAGA 05455055500;Filmagem de festas e eventos;Empresário (Individual) ;BRASÍLIA;DF;09/05/2017;14/12/2011;SIM
49442;18.699.416/0001-05;CLAUDIO INFANTE VIEIRA 80441556787;Produção musical;Empresário (Individual) ;NITERÓI;RJ;06/09/2021;18/08/2013;SIM
39307;18.388.898/0001-82;CLAUDIO RAFFAELLO SERZEDELLO CORREA SANTORO 48033294191;Atividades de sonorização e de iluminação;Empresário (Individual) ;BRASÍLIA;DF;06/04/2018;29/06/2013;SIM
47550;12.611.229/0001-41;CLAUDIO ROBERTO MASCARENHAS DE SA FILHO 00946237328;Filmagem de festas e eventos;Empresário (Individual) ;FORTALEZA;CE;15/01/2021;30/09/2010;SIM
47331;39.959.471/0001-67;CLAUDIO SEIKI YOSHIAGA 81612176615;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;BETIM;MG;04/12/2020;30/11/2020;SIM
47183;02.632.991/0001-50;CLAUDIO TAFARELLO UMBELINO-SERVIÇOS;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;CURITIBA;PR;16/11/2020;24/06/1998;SIM
49322;27.059.481/0001-67;CLAUS E VANESSA EVENTOS E COMÉRCIO DE ALIMENTOS LTDA;Produção musical;Sociedade Empresária Limitada;PORTO ALEGRE;RS;20/08/2021;07/02/2017;SIM
37733;22.277.967/0001-58;CLAUS STELLFELD ME;Atividades de produção de fotografias, exceto aérea e submarina;Empresário (Individual) ;SÃO PAULO;SP;19/09/2017;16/04/2015;SIM
34972;19.840.269/0001-04;CLAVA PRODUTORA DE FOTOGRAFIA E VIDEO LTDA;Atividades de produção de fotografias, exceto aérea e submarina;Sociedade Empresária Limitada;PORTO ALEGRE;RS;30/12/2016;09/03/2014;SIM
48054;25.359.085/0001-20;CLAYTON SOUSA OLIVEIRA PRODUCOES;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;BRASÍLIA;DF;31/03/2021;03/08/2016;SIM
42335;31.489.712/0001-40;CLEAN MIDIA DIGITAL EIRELI;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);RIO DE JANEIRO;RJ;25/02/2019;12/09/2018;SIM
1166;03.609.296/0001-30;CLEAR LIGHT COMUNICAÇÃO LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;01/04/2003;25/01/2000;SIM
47461;35.610.218/0001-42;CLÉCIL HAILTON JORGE LOPES LIMA;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;FORTALEZA;CE;17/12/2020;25/11/2019;NÃO
39010;29.569.655/0001-67;CLEIDIO ANTONIO FELIX DA CRUZ JUNIOR 02908817578;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;LUÍS EDUARDO MAGALHÃES;BA;08/03/2018;30/01/2018;SIM
24726;14.848.482/0001-49;CLEITON SILVA FERNANDES 31389956830;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;SÃO JOSÉ DO RIO PRETO;SP;24/07/2013;09/01/2012;NÃO
49691;40.163.072/0001-74;CLEITON SILVA SANTOS 05498941528;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;GUARULHOS;SP;01/10/2021;19/12/2020;NÃO
22345;05.944.930/0001-17;CLEMENTINA FILMES LTDA - ME;Filmagem de festas e eventos;Sociedade Empresária Limitada;SÃO PAULO;SP;12/09/2012;14/10/2003;SIM
18430;12.049.893/0001-49;CLEMENTINA PRODUCAO CULTURAL EIRELI;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);SÃO PAULO;SP;16/03/2011;19/05/2010;SIM
48765;16.966.235/0001-72;CLEMESHA EDUCACAO E CULTURA LTDA;Outras atividades de prestação de serviços de informação não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;24/06/2021;17/08/2012;SIM
42543;06.555.267/0001-21;CLEMIR SCHMITT ME;Outras atividades de publicidade não especificadas anteriormente;Empresário (Individual) ;JOAÇABA;SC;21/03/2019;19/07/2004;SIM
46967;35.249.413/0001-99;CLENIO LEITE GUIMARAES 05726008448;Agências de viagens;Empresário (Individual) ;PETROLINA;PE;16/10/2020;21/10/2019;SIM
18136;05.662.806/0001-69;CLEUSA GUGEL MOHR-ME;Artes cênicas, espetáculos e atividades complementares não especificados anteriormente;Empresário (Individual) ;XAXIM;SC;30/12/2010;22/05/2003;SIM
40983;19.243.323/0001-34;CLEVER ASCENCAO FREITAS DE SOUZA 02921066106;Atividades de produção de fotografias, exceto aérea e submarina;Empresário (Individual) ;RONDONÓPOLIS;MT;03/09/2018;12/11/2013;NÃO
49400;43.175.238/0001-60;CLEVERSON CREPALDI 00814859992;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;LONDRINA;PR;31/08/2021;18/08/2021;SIM
26348;16.959.513/0001-64;CLG CARVALHO LAGO E GONDOMAR PROMOÇÕES LTDA.;Artes cênicas, espetáculos e atividades complementares não especificados anteriormente;Sociedade Simples Limitada;RIO DE JANEIRO;RJ;18/03/2014;17/09/2012;SIM
45104;05.465.722/0001-35;CLICK DE GENTE IMAGENS E SERVIÇOS EIRELI;Atividades de produção de fotografias, exceto aérea e submarina;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);SÃO PAULO;SP;12/02/2020;03/10/2002;SIM
45090;04.483.690/0001-38;CLICK TECNOLOGIA E TELECOMUNICACAO LTDA;Serviços de comunicação multimídia - SCM;Sociedade Empresária Limitada;ARAXÁ;MG;12/02/2020;05/06/2001;NÃO
42480;16.911.389/0001-67;CLICKNET TELECOMUNICAÇÕES PROVEDOR DE INTERNET LTDA;Provedores de acesso às redes de comunicações;Sociedade Empresária Limitada;HORTOLÂNDIA;SP;18/03/2019;17/09/2012;NÃO
35981;14.808.118/0001-55;C-LIGUE TELECOMUNICAÇÕES S.A.;Provedores de acesso às redes de comunicações;Sociedade Anônima Fechada;SÃO CARLOS;SP;29/03/2017;22/12/2011;NÃO
28841;12.594.399/0001-65;CLINT STUDIO LTDA ME;Desenvolvimento de programas de computador sob encomenda;Sociedade Empresária Limitada;FLORIANÓPOLIS;SC;30/01/2015;27/09/2010;NÃO
16018;05.557.413/0001-95;CLIP PRODUÇÕES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;NATAL;RN;16/09/2009;21/02/2003;SIM
1985;01.246.684/0001-79;CLIP PRODUTORA DE CINEMA E VÍDEO LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;PORTO ALEGRE;RS;04/05/2004;05/06/1996;SIM
6414;06.305.943/0001-09;CLOSE AUDIOVISUAL LTDA;Produção de filmes para publicidade;Sociedade Empresária Limitada;TERESINA;PI;12/09/2006;15/06/2004;SIM
591;65.275.851/0001-92;CLOSE COMUNICAÇÃO LTDA;Produção de filmes para publicidade;Sociedade Empresária Limitada;UBERLÂNDIA;MG;19/09/2002;25/03/1991;SIM
38447;13.286.073/0001-33;CLOSEMOTION STUDIO E COMERCIO DE MIDIAS LTDA - ME;Comércio varejista de artigos do vestuário e acessórios;Sociedade Empresária Limitada;SÃO PAULO;SP;18/12/2017;14/02/2011;SIM
44784;31.999.793/0001-28;CLOSER PRODUÇÃO AUDIOVISUAL E FOTOGRAFIA LTDA;Produção de filmes para publicidade;Sociedade Empresária Limitada;CHAPECÓ;SC;13/12/2019;12/11/2018;SIM
47777;35.913.512/0001-23;CLOVIS DE ALMEIDA LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;ARAÇATUBA;SP;22/02/2021;07/01/2020;SIM
35907;14.033.481/0001-46;CLOVIS PRODUCAO CINEMATOGRAFICA LTDA - ME;Estúdios cinematográficos;Sociedade Empresária Limitada;NOVA FRIBURGO;RJ;22/03/2017;29/07/2011;SIM
16339;01.273.426/0001-81;CLOVIS ROSKE;Filmagem de festas e eventos;Empresário (Individual) ;MARECHAL CÂNDIDO RONDON;PR;18/12/2009;25/06/1996;SIM
38327;29.025.156/0001-09;CLUB AGENCIA DIGITAL LTDA - ME;Agências de publicidade;Sociedade Empresária Limitada;ARACAJU;SE;30/11/2017;08/11/2017;SIM
46486;36.601.843/0001-90;CLUBCAMPING CRIACAO E PRODUCAO DE VIDEOS DE DESENHOS ANIMADOS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;BRASÍLIA;DF;31/08/2020;09/03/2020;SIM
36428;26.929.597/0001-47;CLUBE DE CRIADORES SOLUCOES DIGITAIS ­ EIRELI;Portais, provedores de conteúdo e outros serviços de informação na internet;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);SÃO BERNARDO DO CAMPO;SP;18/05/2017;23/01/2017;SIM
31879;18.980.141/0001-83;CLUBE MIDIA PRODUCOES ARTISTICAS LTDA - ME;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;19/01/2016;30/09/2013;SIM
43314;18.966.642/0001-05;CLUBE PIAUIENSE DE CINEMA LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;TERESINA;PI;27/06/2019;27/09/2013;SIM
25150;13.694.309/0001-70;CLUBSODA PRODUCAO AUDIOVISUAL LTDA M.E.;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Simples Limitada;RIO DE JANEIRO;RJ;13/09/2013;23/05/2011;SIM
6126;07.276.440/0001-15;CLUBTV PRODUÇÕES E ENTRETENIMENTO EIRELI;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);SÃO PAULO;SP;01/08/2006;14/03/2005;SIM
43313;16.757.647/0001-00;CLUXTER TECNOLOGIA LTDA;Serviços de telefonia fixa comutada - STFC;Sociedade Empresária Limitada;DOIS IRMÃOS;RS;26/06/2019;24/08/2012;NÃO
50500;05.836.134/0001-60;CM PRESS PRODUCOES ARTISTICAS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;11/02/2022;30/07/2003;SIM
36587;02.445.652/0001-65;CMC TELECOMUNICAÇÕES LDTA ME;Operadoras de televisão por assinatura por cabo;Sociedade Empresária Limitada;NOVA FRIBURGO;RJ;01/06/2017;12/03/1998;NÃO
42872;04.113.919/0001-42;CMEIRELLES PSICOLOGIA E PRODUÇÕES ARTÍSTICA LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;06/05/2019;23/10/2000;SIM
48787;36.705.738/0001-00;CMKT PUBLICIDADE COMERCIO E PRODUCAO DE VIDEOS LTDA;Agências de publicidade;Sociedade Empresária Limitada;TREMEMBÉ;SP;25/06/2021;17/03/2020;SIM
44958;08.083.568/0001-25;CMM TECNOLOGIA LTDA;Reparação e manutenção de computadores e de equipamentos periféricos;Sociedade Empresária Limitada;BRASÍLIA;DF;17/01/2020;21/06/2006;SIM
41228;30.178.699/0001-45;CMV FILMS;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;03/10/2018;12/04/2018;SIM
47853;29.337.850/0001-61;CN&M PRODUCOES LTDA;Produção musical;Sociedade Empresária Limitada;MARINGÁ;PR;03/03/2021;02/01/2018;SIM
3182;06.034.348/0001-86;CNG JORNAL E TELEVISÃO LTDA;Produção de filmes para publicidade;Sociedade Empresária Limitada;PASSO FUNDO;RS;16/02/2005;03/12/2003;SIM
1579;03.746.956/0001-25;COALA PRODUÇÕES AUDIOVISUAIS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;26/09/2003;28/03/2000;SIM
13768;04.493.123/0001-62;COART PRODUCOES EIRELI;Agências de publicidade;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);SANTANA DE PARNAÍBA;SP;30/04/2008;20/04/2001;SIM
45328;33.613.994/0001-70;COBALTO PRODUÇÕES AUDIOVISUAIS LTDA.;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;18/03/2020;14/05/2019;SIM
46611;05.972.043/0001-52;COBALTO PRODUÇÕES, PROJETOS, EDITORA E COMUNICAÇÃO ME;Artes cênicas, espetáculos e atividades complementares não especificados anteriormente;Sociedade Empresária Limitada;CAMPINAS;SP;16/09/2020;21/10/2003;SIM
45267;58.252.966/0001-04;COCRIAÇÃO EDITORA EIRELI;Edição de livros;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);ARAÇATUBA;SP;06/03/2020;11/11/1987;SIM
22340;15.571.863/0001-96;COCRIATIVA CONTEÚDOS AUDIOVISUAIS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;BELO HORIZONTE;MG;11/09/2012;21/05/2012;SIM
47588;16.435.371/0001-36;CODA PRODUCOES ARTISTICAS LTDA;Produção musical;Sociedade Empresária Limitada;OLINDA;PE;21/01/2021;12/07/2012;SIM
2365;05.504.987/0001-03;CÓDIGO SOLAR PRODUÇÕES LTDA;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;15/10/2004;01/10/2002;SIM
26401;18.512.421/0001-67;CODORNA FILMES LTDA-ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;25/03/2014;18/07/2013;SIM
16145;09.652.513/0001-51;COELHO BRANCO PRODUÇÕES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;CURITIBA;PR;29/10/2009;06/06/2008;SIM
2928;05.382.048/0001-25;COELHO PRODUÇÕES ARTÍSTICAS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;CURITIBA;PR;21/12/2004;06/11/2002;SIM
43467;29.587.659/0001-78;COERANA PRODUÇÕES EIRELI;Atividades de gravação de som e de edição de música;Empresa Individual de Responsabilidade Limitada (de Natureza Simples);SÃO PAULO;SP;12/07/2019;01/02/2018;SIM
216;27.527.464/0001-07;COEVOS FILMES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;20/10/2003;13/07/1981;SIM
42441;29.016.079/0001-20;COFFEE & COFFEE INTERACTIVE DESENVOLVIMENTO DE JOGOS LTDA - ME;Desenvolvimento e licenciamento de programas de computador não-customizáveis;Sociedade Empresária Limitada;LONDRINA;PR;14/03/2019;07/11/2017;NÃO
34850;22.380.321/0001-00;COFFEE ADDICT STUDIO DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR LTDA - ME;Desenvolvimento de programas de computador sob encomenda;Sociedade Empresária Limitada;ARARANGUÁ;SC;13/12/2016;05/05/2015;SIM
39427;19.029.262/0001-07;COFFEENAUTS EIRELI;Desenvolvimento e licenciamento de programas de computador não-customizáveis;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);SÃO PAULO;SP;16/04/2018;08/10/2013;SIM
34604;02.253.034/0001-13;COGROSSI PRODUÇÃO AUDIOVISUAL LTDA - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;07/11/2016;27/11/1997;SIM
36480;16.751.358/0001-96;COIOTE PRODUÇOES CINEMATOGRAFICAS LTDA-ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;23/05/2017;15/08/2012;SIM
14531;00.845.658/0001-02;COISA DE CINEMA - CINEMA E VÍDEO LTDA ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SALVADOR;BA;28/10/2008;04/10/1995;SIM
13031;09.059.127/0001-50;COLATERAL FILMES LTDA.;Estúdios cinematográficos;Sociedade Empresária Limitada;PORTO ALEGRE;RS;10/10/2007;03/08/2007;SIM
44043;34.263.476/0001-37;COLCHETE MARKETING DIGITAL LTDA;Marketing direto;Sociedade Empresária Limitada;BELO HORIZONTE;MG;13/09/2019;19/07/2019;SIM
48476;20.194.792/0001-90;COLETIVA DELAS PRODUCOES ARTISTICAS LTDA;Produção teatral;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;24/05/2021;06/05/2014;SIM
20840;11.937.451/0001-76;COLETIVA PROJETOS CULTURAIS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;09/02/2012;13/05/2010;SIM
42946;27.233.685/0001-72;COLETIVA SETE PRODUTORA DE SOM E IMAGEM LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;14/05/2019;06/03/2017;SIM
37984;27.469.723/0001-90;COLETIVO 141 CINEMATOGRAFIA LTDA;Estúdios cinematográficos;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;23/10/2017;05/04/2017;SIM
14240;09.043.474/0001-95;COLETIVO FULIGEM DE COMUNICAÇÃO E ARTE LTDA;Produção teatral;Sociedade Empresária Limitada;RIBEIRÃO PRETO;SP;20/08/2008;20/08/2007;SIM
20881;14.123.268/0001-25;COLETIVO IMAGINÁRIO COMUNICAÇÃO SOCIAL LTDA;Produção de filmes para publicidade;Sociedade Simples Limitada;BELO HORIZONTE;MG;15/02/2012;02/08/2011;SIM
18665;13.274.522/0001-23;COLETIVO MALDITA LTDA;Produção de filmes para publicidade;Sociedade Empresária Limitada;JOINVILLE;SC;26/04/2011;18/02/2011;SIM
23362;11.196.194/0001-69;COLETIVO NAVEGANTES PRODUÇÕES ARTISTICAS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;28/02/2013;30/09/2009;SIM
27250;20.343.300/0001-80;COLETIVO PÉ DE COELHO;Estúdios cinematográficos;Sociedade Empresária Limitada;SANTA CRUZ DO SUL;RS;22/07/2014;29/05/2014;SIM
34646;20.317.758/0001-65;COLIBRI PRODUÇÕES CULTURAIS LTDA;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;10/11/2016;23/05/2014;NÃO
42234;32.223.852/0001-34;COLMEIA VÍDEOS LTDA;Produção de filmes para publicidade;Sociedade Empresária Limitada;TOLEDO;PR;13/02/2019;10/12/2018;SIM
44028;32.320.387/0001-50;COLONIA FILMES PRODUCOES CINEMATOGRAFICAS LTDA;Estúdios cinematográficos;Sociedade Empresária Limitada;CAXIAS DO SUL;RS;12/09/2019;27/12/2018;SIM
14157;56.589.773/0001-00;COLOR BARS VIDEO E PRODUÇÕES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;08/08/2008;24/10/1986;SIM
23695;17.608.659/0001-28;COLORCINE PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Simples Limitada;RIO DE JANEIRO;RJ;11/04/2013;20/02/2013;SIM
84;00.979.601/0001-98;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;Distribuição cinematográfica, de vídeo e de programas de televisão;Sociedade Empresária Limitada;SÃO PAULO;SP;29/11/2002;26/12/1995;NÃO
48420;18.928.157/0001-47;COM ACESSIBILIDADE COMUNICACIONAL LTDA-ME;Estúdios cinematográficos;Sociedade Empresária Limitada;RECIFE;PE;17/05/2021;23/09/2013;SIM
16431;09.324.313/0001-70;COM DOMÍNIO PRODUÇÕES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Simples Limitada;RIO DE JANEIRO;RJ;15/01/2010;05/11/2007;SIM
35732;26.245.023/0001-50;COM TEXTOS ROTEIROS LTDA ME;Artes cênicas, espetáculos e atividades complementares não especificados anteriormente;Sociedade Empresária Limitada;BELO HORIZONTE;MG;08/03/2017;27/09/2016;SIM
21005;02.420.128/0001-30;COM4 DATA CENTER EIRELI;Serviços de comunicação multimídia - SCM;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);FRANCA;SP;01/03/2012;09/03/1998;NÃO
24337;06.938.803/0001-78;COMANDO S AUDIO PRODUCOES LTDA - ME;Atividades de gravação de som e de edição de música;Sociedade Empresária Limitada;SÃO PAULO;SP;11/06/2013;30/07/2004;NÃO
1882;06.131.852/0001-02;COMBINADO FILMES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;26/04/2004;18/02/2004;SIM
13882;09.337.867/0001-01;COMBO COMUNICAÇÃO E MARKETING LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;04/06/2008;02/01/2008;SIM
30261;22.637.845/0001-25;COMBO ESTUDIO ANIMACOES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Simples Limitada;RIO DE JANEIRO;RJ;22/06/2015;11/06/2015;SIM
832;01.206.414/0001-34;COMBOIO PRODUÇÕES ARTISTICAS E EVENTOS LTDA;Artes cênicas, espetáculos e atividades complementares não especificados anteriormente;Sociedade Simples Limitada;RIO DE JANEIRO;RJ;05/05/2004;29/04/1996;SIM
17271;51.733.459/0001-35;COMERCIAL FONOGRÁFICA RGE LTDA.;Atividades de gravação de som e de edição de música;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;23/06/2010;18/10/1979;NÃO
18260;09.412.731/0001-19;COMERCIAL TALKING LTDA-ME;Produção de filmes para publicidade;Sociedade Empresária Limitada;BARRETOS;SP;01/02/2011;27/02/2008;SIM
23071;14.973.425/0001-91;COMEX PRODUTORA - EIRELI - ME;Estúdios cinematográficos;Empresa Individual de Responsabilidade Limitada (de Natureza Simples);SANTOS;SP;11/01/2013;11/01/2012;SIM
36979;34.117.366/0001-67;COMITE OLIMPICO BRASILEIRO;Produção e promoção de eventos esportivos;Associação Privada;RIO DE JANEIRO;RJ;07/07/2017;02/10/1970;SIM
