Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros 2019;;;;;;;;;;;;
;;;;;;;;;;;;
Data de Solicitação;Tipo de Ofício;"Número de Técnicos/
Artistas Estrangeiros";Título da Obra;Tipo de Obra;Período Produção;Empresa Brasileira;UF;Empresa Estrangeira;País;Nacionalidade da Produção;Local de Filmagem (UF);""""
24/04/2019;Comunicação filmagem estrangeira;4;SWAP KERJA SEASON 3;Documentário;12/05/2019 a 26/05/2019;N S Jayanetti Produções e Eventos;RJ;"""Xtreme Media PTE LTD""";Singapura;Estrangeira;"""Salvador (BA), Rio de Janeiro (RJ)""";
25/04/2019;Comunicação filmagem estrangeira;2;FILM FARMERS;Institucional;12/05/2019 a 18/05/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""FIGURA MEDIA LLC""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
25/04/2019;Comunicação filmagem estrangeira;2;NHNZ Wild Brazil;Documentário;12/07/2019 a 15/09/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""FIGURA MEDIA LLC""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ), Silva Jardim (RJ), Mineiros (GO), Poconé (MT)""";
26/04/2019;Comunicação filmagem estrangeira;2;SAP &Social Enterprise;Documentário;06/05/2019 a 10/05/2019;Davies & Luzzi Ltda - ME;SP;"""Parable Venture""";Reino Unido;Estrangeira;"""Brumadinho (MG)""";
26/04/2019;Comunicação filmagem estrangeira;5;Unidentified: In search for contact;Documentário;29/04/2019 a 09/05/2019;Camelô Produções / Igor de Miranda Olszowski - ME;RJ;"""Karga7""";Estados Unidos;Estrangeira;"""Belém (PA), Colares (PA)""";
29/04/2019;Comunicação filmagem estrangeira;1;Busca Ativa Escolar UNICEF Brasil;Institucional;30/04/2019;PLURAL COMUNICAÇÃO ÁUDIO VISUAL EIRELI;DF;"""UNICEF""";Reino Unido;Estrangeira;"""Itabaianinha (SE)""";
29/04/2019;Comunicação filmagem estrangeira;3;Busca Ativa Escolar UNICEF Brasil;Institucional;30/04/2019;PLURAL COMUNICAÇÃO ÁUDIO VISUAL EIRELI;DF;"""UNICEF""";Reino Unido;Estrangeira;"""Itabaianinha (SE)""";
03/05/2019;Alteração e inclusão de profissionais;5;GoalStar Season 08 ? Brazil;Outro;23/06/2019;TvZERO CINEMA LTDA;RJ;"""ADD Content Ltd""";Israel;Estrangeira;"""Rio de Janeiro (RJ), Niterói (RJ)""";
03/05/2019;Alteração e inclusão de profissionais;1;SWAP KERJA SEASON 3;Documentário;12/05/2019 a 26/05/2019;N S Jayanetti Produções e Eventos;RJ;"""Xtreme Media PTE LTD""";Singapura;Estrangeira;"""Salvador (BA), Rio de Janeiro (RJ)""";
08/05/2019;Comunicação filmagem estrangeira;2;Mubadala International TVC;Obra Publicitária;10/06/2019 a 14/06/2019;Dez e Vinte Produções Cinematográficas LTDA ME;SP;"""Action Impact Media FZE""";Emirados Arabes Unidos;Estrangeira;"""Rio de Janeiro (RJ)""";
08/05/2019;Comunicação filmagem estrangeira;1;Mubadala International TVC;Obra Publicitária;10/06/2019 a 14/06/2019;Dez e Vinte Produções Cinematográficas LTDA ME;SP;"""Action Impact Media FZE""";Emirados Arabes Unidos;Estrangeira;"""Rio de Janeiro (RJ)""";
08/05/2019;Comunicação filmagem estrangeira;1;Mubadala International TVC;Obra Publicitária;10/06/2019 a 14/06/2019;Dez e Vinte Produções Cinematográficas LTDA ME;SP;"""Action Impact Media FZE""";Emirados Arabes Unidos;Estrangeira;"""Rio de Janeiro (RJ)""";
08/05/2019;Comunicação filmagem estrangeira;1;Mubadala International TVC;Obra Publicitária;10/06/2019 a 14/06/2019;Dez e Vinte Produções Cinematográficas LTDA ME;SP;"""Action Impact Media FZE""";Emirados Arabes Unidos;Estrangeira;"""Rio de Janeiro (RJ)""";
10/05/2019;Comunicação filmagem estrangeira;2;World's Most Secret Homes;Documentário;21/05/2019 a 28/05/2019;Cristian Dimitrius Produções Ltda;SP;"""Windfall Films""";Reino Unido;Estrangeira;"""Guarulhos (SP), São Paulo (SP), Guarujá (SP), São José dos Campos (SP)""";
16/05/2019;Comunicação filmagem estrangeira;2;"""Rio, Cité Merveilleuse (Rio, Cidade Maravilhosa)""";Documentário;15/06/2019 a 05/07/2019;TR Somogyi Produções;RJ;"""Commune Image Media""";França;Estrangeira;"""Rio de Janeiro (RJ)""";
16/05/2019;Comunicação filmagem estrangeira;2;Segunda Feira Cultural;Documentário;24/05/2019 a 25/05/2019;Aura Filme Produções Ltda;RJ;"""wrfilm e.U.""";Áustria;Estrangeira;"""Rio de Janeiro (RJ)""";
17/05/2019;Alteração e inclusão de profissionais;2;GoalStar Season 08 ? Brazil;Outro;23/06/2019;TvZERO CINEMA LTDA;RJ;"""ADD Content Ltd""";Israel;Estrangeira;"""Rio de Janeiro (RJ), Niterói (RJ)""";
17/05/2019;Comunicação filmagem estrangeira;1;Planeta Verde;Documentário;21/05/2019 a 10/06/2019;Cristian Dimitrius Produções Ltda;SP;"""BBC Broadcasting House""";Reino Unido;Estrangeira;"""São Paulo (SP), Porto Velho (RO), Jacareacanga (PA), Cuiabá (MT), Alta Floresta (MT), Guarulhos (SP)""";
20/05/2019;Comunicação filmagem estrangeira;4;Modern Day Gladiators;Documentário;04/06/2019 a 12/06/2019;TERRA PURA CRIACAO E CONTEUDO AUDIOVISUAL LTDA;RJ;"""VICE STUDIOS""";Países Baixos;Estrangeira;"""São Paulo (SP)""";
24/05/2019;Comunicação filmagem estrangeira;4;Pelé - 3a fase;Documentário;05/05/2019 a 06/06/2019;Saraguina Filmes e Produções Eireli;RJ;"""Pitch International LLC""";Reino Unido;Estrangeira;"""Santos (SP), São Paulo (SP), Guarujá (SP)""";
27/05/2019;Inclusão profissionais estrangeiros;2;GoalStar Season 08 ? Brazil;Outro;23/06/2019;TvZERO CINEMA LTDA;RJ;"""ADD Content Ltd""";Israel;Estrangeira;"""Rio de Janeiro (RJ), Niterói (RJ)""";
27/05/2019;Inclusão profissionais estrangeiros;1;GoalStar Season 08 ? Brazil;Outro;23/06/2019;TvZERO CINEMA LTDA;RJ;"""ADD Content Ltd""";Israel;Estrangeira;"""Rio de Janeiro (RJ), Niterói (RJ)""";
29/05/2019;Comunicação filmagem estrangeira;2;WWF Pantanal;Documentário;13/06/2019 a 24/06/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""Figura Media LLC""";Estados Unidos;Estrangeira;"""Corumbá (MS), Brasília (DF)""";
29/05/2019;Comunicação filmagem estrangeira;2;WWF Pantanal;Documentário;13/06/2019 a 24/06/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""Figura Media LLC""";Estados Unidos;Estrangeira;"""Corumbá (MS), Brasília (DF)""";
03/06/2019;Comunicação filmagem estrangeira;2;All Change;Documentário;07/06/2019 a 10/06/2019;IGOR DE MIRANDA OLSZOWSKI - ME;RJ;"""TAOS FILM""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ)""";
03/06/2019;Comunicação filmagem estrangeira;1;All Change;Documentário;07/06/2019 a 10/06/2019;IGOR DE MIRANDA OLSZOWSKI - ME;RJ;"""TAOS FILM""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ)""";
03/06/2019;Comunicação filmagem estrangeira;1;All Change;Documentário;07/06/2019 a 10/06/2019;IGOR DE MIRANDA OLSZOWSKI - ME;RJ;"""TAOS FILM""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ)""";
03/06/2019;Comunicação filmagem estrangeira;3;CORPORATE SHOOT MINAS GERAIS;Institucional;11/06/2019 a 14/06/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""FIGURA MEDIA LLC""";Estados Unidos;Estrangeira;"""Belo Horizonte (MG)""";
03/06/2019;Comunicação filmagem estrangeira;8;Lunar - Jaguar Jangle Parte 2;Documentário;11/06/2019 a 17/07/2019;Tacacá Filmes Ltda;RJ;"""Offspring Films Ltd""";Reino Unido;Estrangeira;"""Miranda (MS), Porto Jofre (MT), Aquidauana (MS)""";
03/06/2019;Inclusão profissionais estrangeiros e alteração cronograma;1;Pelé - 3a fase;Documentário;05/06/2019 a 12/06/2019;Saraguina Filmes e Produções Eireli;RJ;"""Pitch International LLC""";Reino Unido;Estrangeira;"""Santos (SP), Guarujá (SP)""";
04/06/2019;Comunicação filmagem estrangeira;5;Facebook Community Voices;Documentário;14/06/2019 a 17/06/2019;IGOR DE MIRANDA OLSZOWSKI - ME;RJ;"""WORLD FIXER""";Reino Unido;Estrangeira;"""Guarulhos (SP), São Paulo (SP)""";
04/06/2019;Comunicação filmagem estrangeira;3;HOUSE HUNTERS INTERNATIONAL -EP SALVADOR;Documentário;26/06/2019 a 29/06/2019;STORY PRODUÇÕES LTDA - ME;SP;"""LEOPARD USA LLC""";Estados Unidos;Estrangeira;"""Salvador (BA)""";
06/06/2019;Comunicação filmagem estrangeira;2;BBC 360;Documentário;05/07/2019 a 09/07/2019;Cristian Dimitrius Produções Ltda;SP;"""BBC Natural History""";Reino Unido;Estrangeira;"""Guarulhos (SP), Bonito (MS), São Paulo (SP)""";
06/06/2019;Comunicação filmagem estrangeira;4;"""Carne, o Planeta e Eu""";Documentário;15/06/2019 a 30/06/2019;Neon Rio Ltda;RJ;"""Raw Factual Ltd""";Reino Unido;Estrangeira;"""Alta Floresta (MT)""";
07/06/2019;Inclusão profissionais estrangeiros;1;GoalStar Season 08 ? Brazil;Outro;23/06/2019;TvZERO CINEMA LTDA;RJ;"""ADD Content Ltd""";Israel;Estrangeira;"""Rio de Janeiro (RJ), Niterói (RJ)""";
10/06/2019;Comunicação filmagem estrangeira;3;Goodbye Deutschland - Michael Leonhardi;Documentário;26/06/2019 a 01/07/2019;Aura Filme Produções Ltda;RJ;"""Norddeich TV Produktionsgeselleschaft mbH""";Alemanha;Estrangeira;"""São Paulo (SP)""";
16/06/2019;Comunicação filmagem estrangeira;4;Bitte Melde Dich- Staffel 09;Outro;30/07/2019 a 09/08/2019;Aura Filme Produções Ltda;RJ;"""Endemol Shine Germany GmbH""";Alemanha;Estrangeira;"""Vitória (ES), Linhares (ES), Serra (ES), Vila Velha (ES), Rio de Janeiro (RJ), Lambari (MG)""";
16/06/2019;Alteração e inclusão de profissionais estrangeiros;1;White Horse;Ficção;08/08/2019 a 03/09/2019;O2 Produções Artísticas e Cinematográficas Ltda;SP;"""Home VFX""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
16/06/2019;Comunicação filmagem estrangeira;17;White Horse;Ficção;08/08/2019 a 03/09/2019;O2 Produções Artísticas e Cinematográficas Ltda;SP;"""Home VFX""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
16/06/2019;Comunicação filmagem estrangeira;3;White Horse;Ficção;08/08/2019 a 03/09/2019;O2 Produções Artísticas e Cinematográficas Ltda;SP;"""Home VFX""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
16/06/2019;Comunicação filmagem estrangeira;8;White Horse;Ficção;08/08/2019 a 03/09/2019;O2 Produções Artísticas e Cinematográficas Ltda;SP;"""Home VFX""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
16/06/2019;Comunicação filmagem estrangeira;1;White Horse;Ficção;08/08/2019 a 03/09/2019;O2 Produções Artísticas e Cinematográficas Ltda;SP;"""Home VFX""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
16/06/2019;Comunicação filmagem estrangeira;1;White Horse;Ficção;08/08/2019 a 03/09/2019;O2 Produções Artísticas e Cinematográficas Ltda;SP;"""Home VFX""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
16/06/2019;Comunicação filmagem estrangeira;1;White Horse;Ficção;08/08/2019 a 03/09/2019;O2 Produções Artísticas e Cinematográficas Ltda;SP;"""Home VFX""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
16/06/2019;Comunicação filmagem estrangeira;1;White Horse;Ficção;08/08/2019 a 03/09/2019;O2 Produções Artísticas e Cinematográficas Ltda;SP;"""Home VFX""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
16/06/2019;Comunicação filmagem estrangeira;1;White Horse;Ficção;08/08/2019 a 03/09/2019;O2 Produções Artísticas e Cinematográficas Ltda;SP;"""Home VFX""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
17/06/2019;Comunicação filmagem estrangeira;2;7.65;Outro;19/06/2019 a 22/06/2019;IGOR DE MIRANDA OLSZOWSKI - ME;RJ;"""NVZ PRODUCTION""";França;Estrangeira;"""Rio de Janeiro (RJ)""";
19/06/2019;Comunicação filmagem estrangeira;7;Off the Map;Documentário;07/07/2019 a 20/07/2019;Davies & Luzzi Ltda - ME;SP;"""Circle the Globe Productions LLC""";Estados Unidos;Estrangeira;"""Manaus (AM), Barcelos (AM)""";
19/06/2019;Comunicação filmagem estrangeira;34;Showing the world;Ficção;06/07/2019 a 31/07/2019;Connection Filmes e Produções Artísticas LTDA;RJ;"""Manmeet Film Production""";Índia;Estrangeira;"""Rio de Janeiro (RJ)""";
24/06/2019;Comunicação filmagem estrangeira;2;BEAUTY PROJECT;Documentário;06/07/2019 a 13/07/2019;Francisco Ramalho Junior Filmes Ltda;SP;"""CDI Virtual Films, INC""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ), São Paulo (SP)""";
24/06/2019;Comunicação filmagem estrangeira;2;Imagination São José;Institucional;01/07/2019 a 05/07/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""FIGURA MEDIA, LLC""";Estados Unidos;Estrangeira;"""São José dos Campos (SP), São Paulo (SP)""";
24/06/2019;Comunicação filmagem estrangeira;10;NOMAD;Ficção;05/07/2019 a 07/07/2019;STORY PRODUÇÕES LTDA - ME;SP;"""NOMAD THE FILM, LLC""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ)""";
24/06/2019;Inclusão profissionais estrangeiros;1;Off the Map;Documentário;07/07/2019 a 20/07/2019;Davies & Luzzi Ltda - ME;SP;"""Circle the Globe Productions LLC""";Estados Unidos;Estrangeira;"""Manaus (AM), Barcelos (AM)""";
25/06/2019;Comunicação filmagem estrangeira;2;FIVB Volleyball Nations League;Documentário;26/06/2019 a 01/07/2019;Viva Filmes Ltda;RJ;"""IMG Media Limited""";Reino Unido;Estrangeira;"""Brasília (DF)""";
26/06/2019;Comunicação filmagem estrangeira;13;World's greatest Kids;Documentário;18/07/2019 a 23/07/2019;Viva Filmes Ltda;RJ;"""Rumpus Kids Ltd""";Reino Unido;Estrangeira;"""Salvador (BA)""";
27/06/2019;Comunicação filmagem estrangeira;10;Legends of Wild;Documentário;07/07/2019 a 19/07/2019;Amazon Film Productions;AM;"""CDI Virtual Films INC""";Estados Unidos;Estrangeira;"""Poconé (MT), Cuiabá (MT)""";
02/07/2019;Comunicação filmagem estrangeira;3;Sekai wa Tokyo wo mezasu;Documentário;14/07/2019 a 01/08/2019;WASABI JB COMUNICAÇÃO;RJ;"""DOCUMENTARY JAPAN, INC""";Japão;Estrangeira;"""São Paulo (SP), Rio de Janeiro (RJ), Porto Alegre (RS)""";
05/07/2019;Comunicação filmagem estrangeira;3;All or Nothing - Brazil;Documentário;11/07/2019 a 15/11/2019;R B ARAUJO PRODUÇÃO CINEMATOGRAFICA - ME;RJ;"""Pitch International LLP""";Reino Unido;Estrangeira;"""São Paulo (SP), Rio de Janeiro (RJ), Salvador (BA), Porto Alegre (RS), Teresópolis (RJ), Brasília (DF)""";
05/07/2019;Comunicação filmagem estrangeira;1;All or Nothing - Brazil;Documentário;11/07/2019 a 15/11/2019;R B ARAUJO PRODUÇÃO CINEMATOGRAFICA - ME;RJ;"""Pitch International LLP""";Reino Unido;Estrangeira;"""São Paulo (SP), Rio de Janeiro (RJ), Salvador (BA), Porto Alegre (RS), Teresópolis (RJ), Brasília (DF)""";
08/07/2019;Comunicação filmagem estrangeira;5;BIGGER THAN US;Documentário;18/08/2019 a 24/08/2019;BONFILM PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL;RJ;"""ELZEVIR FILMS""";França;Estrangeira;"""Rio de Janeiro (RJ)""";
11/07/2019;Comunicação filmagem estrangeira;8;Beyond Brave;Documentário;18/08/2019 a 31/08/2019;Cristian Dimitrius Produções Ltda;SP;"""Wilderness Productions LLC""";Estados Unidos;Estrangeira;"""Guarulhos (SP), Miranda (MS), Bonito (MS)""";
19/07/2019;Alteração de passaporte;0;White Horse;Ficção;08/08/2019 a 03/09/2019;O2 Produções Artísticas e Cinematográficas Ltda;SP;"""Home VFX""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
19/07/2019;Alteração e inclusão de profissionais estrangeiros;3;White Horse;Ficção;08/08/2019 a 03/09/2019;O2 Produções Artísticas e Cinematográficas Ltda;SP;"""Home VFX""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
19/07/2019;Alteração e inclusão de profissionais estrangeiros;3;White Horse;Ficção;08/08/2019 a 03/09/2019;O2 Produções Artísticas e Cinematográficas Ltda;SP;"""Home VFX""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
19/07/2019;Comunicação filmagem estrangeira;1;White Horse;Ficção;08/08/2019 a 03/09/2019;O2 Produções Artísticas e Cinematográficas Ltda;SP;"""Home VFX""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
22/07/2019;Comunicação filmagem estrangeira;4;Canal Livre e Wallace Souza;Documentário;10/08/2019 a 14/08/2019;Maruti Blue Produções e Eventos Eireli;RJ;"""Nine Network PTY, Ltd.""";Austrália;Estrangeira;"""Manaus (AM)""";
23/07/2019;Comunicação filmagem estrangeira;4;SEKAI FUSHIGI HAKKEN;Documentário;10/09/2019 a 25/09/2019;URUTAU FILMES LTDA;SP;"""TV MAN UNION INC.""";Japão;Estrangeira;"""São Paulo (SP), Cacoal (RO), Aldeia Lapetanha (RO), Belém (PA), Ilha de Marajó (PA)""";
23/07/2019;Comunicação filmagem estrangeira;4;Sons of Eden;Documentário;15/08/2019 a 14/09/2019;Big Bonsai Brasilis Produções A. C. e C. LTDA;SP;"""GARIZA PRODUKZIOAK S.L""";Espanha;Estrangeira;"""São Paulo (SP), São Luiz (MA), Santa Inês (MA), Território Caru/Awá (MA), Arame (MA)""";
26/07/2019;Comunicação filmagem estrangeira;2;Love Marriage;Ficção;"01/09/2019 a 30/09/2019; 01/11/2019 a 14/01/2020; 15/01/2020 a 25/03/2020";Hungry Man Brasil Produções;RJ;"""Diamond World Production""";Paquistão;Estrangeira;"""Rio de Janeiro (RJ), São Paulo (SP)""";
26/07/2019;Alteração e inclusão de profissionais;1;SEKAI FUSHIGI HAKKEN;Documentário;10/09/2019 a 25/09/2019;URUTAU FILMES LTDA;SP;"""TV MAN UNION INC.""";Japão;Estrangeira;"""São Paulo (SP), Cacoal (RO), Aldeia Lapetanha (RO), Belém (PA), Ilha de Marajó (PA)""";
29/07/2019;Comunicação filmagem estrangeira;4;The Sun Never Sets on We;Institucional;03/08/2019 a 07/08/2019;Fixer Inc Produção Cinematográfica Ltda ME;SP;"""Glass and Marker""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
01/08/2019;Comunicação filmagem estrangeira;6;90 Day Fiancé: Happily Ever After;Outro;09/08/2019 a 16/08/2019;TRAPEZIO PRODUCOES CULTURAIS;SP;"""Sharp Entertainment""";Estados Unidos;Estrangeira;"""São Paulo (SP), Barra Velha (SC)""";
05/08/2019;Comunicação filmagem estrangeira;2;Bayer - Human Invention;Obra Publicitária;13/08/2019 a 25/08/2019;QUARTETO EVENTOS E PRODUÇÕES EIRELI - ME;RJ;"""JOJAX, LCC""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ), Teresópolis (RJ)""";
05/08/2019;Comunicação filmagem estrangeira;3;CMD Maresias;Documentário;10/08/2019 a 14/08/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""Figura Media, LLC""";Estados Unidos;Estrangeira;"""São Paulo (SP), São Sebastião (SP)""";
05/08/2019;Comunicação filmagem estrangeira;3;DESCOBERTA DO CARDUME DE PIRANHAS-VERMELHAS;Documentário;06/09/2019 a 28/09/2019;THE AMAZON TOUCH PRODUÇÕES LTDA;GO;"""NHK ENTERPRISES, INC""";Japão;Estrangeira;"""Goiânia (GO), São Miguel do Araguaia (GO)""";
05/08/2019;Comunicação filmagem estrangeira;5;IBM/Bradesco Z Activation;Obra Publicitária;13/08/2019 a 15/08/2019;ENCICLOPÉDIA DE LUGARES IMAGINÁRIOS PRODUÇÕES CINEMATOGRÁFICAS LTDA;SP;"""Motive""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
06/08/2019;Comunicação filmagem estrangeira;5;Farewell Netherlands;Documentário;27/09/2019 a 13/10/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""Figura Media, LLC""";Estados Unidos;Estrangeira;"""São Paulo (SP), Holambra (SP), Castro (PR), Carambeí (PR), Não-Me-Toque (RS), Porto Alegre (RS)""";
06/08/2019;Alteração e inclusão de profissionais estrangeiros;2;IBM/Bradesco Z Activation;Obra Publicitária;13/08/2019 a 15/08/2019;ENCICLOPÉDIA DE LUGARES IMAGINÁRIOS PRODUÇÕES CINEMATOGRÁFICAS LTDA;SP;"""Motive""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
07/08/2019;Comunicação filmagem estrangeira;1;CAMPANHA ANUAL GM;Obra Publicitária;26/08/2019 a 08/09/2019;MOVI&ARTPRODUÇÕES CINEMATOGRÁFICAS LTDA;SP;"""RED CREEK PRODUCTIONS LLC""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
07/08/2019;Comunicação filmagem estrangeira;1;Corteva Brand Films;Institucional;18/08/2019 a 23/08/2019;TERRA PURA CRIACAO E CONTEUDO AUDIOVISUAL LTDA;RJ;"""The Moment Content Company Ltd""";Reino Unido;Estrangeira;"""Maceió (AL), Chã Preta (AL)""";
07/08/2019;Comunicação filmagem estrangeira;1;extreme - e 2019;Documentário;13/08/2019 a 25/08/2019;Ocean Produção de Filmes Ltda;SC;"""extreme e limited""";Reino Unido;Estrangeira;"""Santarém (PA)""";
08/08/2019;Comunicação filmagem estrangeira;2;Amazon Armageddon (Armagedom da Amazonia);Documentário;19/08/2019 a 26/08/2019;TR Somogyi Produções;RJ;"""Wild Blue Media""";Reino Unido;Estrangeira;"""Manaus (AM), Tefé (AM), Bom Jesus da Ponta da Castanha (AM)""";
09/08/2019;Alteração e inclusão de profissionais estrangeiros;1;Corteva Brand Films;Institucional;18/08/2019 a 23/08/2019;TERRA PURA CRIACAO E CONTEUDO AUDIOVISUAL LTDA;RJ;"""The Moment Content Company Ltd""";Reino Unido;Estrangeira;"""Maceió (AL), Chã Preta (AL)""";
09/08/2019;Comunicação filmagem estrangeira;4;Perfect Planet (Planeta Perfeito);Documentário;07/09/2019 a 21/09/2019;TR Somogyi Produções;RJ;"""Silverback Films Ltd""";Reino Unido;Estrangeira;"""Guarulhos (SP), Manaus (AM), São Sebastião do Uatumã (AM), Cuiabá (MT), Canarana (MT)""";
12/08/2019;Comunicação filmagem estrangeira;2;ACCESS TO HEALTH - GLOBAL CHALLENGES - FOR THE ROY;Institucional;15/08/2019 a 16/08/2019;STORY PRODUÇÕES LTDA - ME;SP;"""ITN PRODUCTIONS""";Reino Unido;Estrangeira;"""São Paulo (SP), Manaus (AM)""";
12/08/2019;Comunicação filmagem estrangeira;2;Rotary International - Brazil;Institucional;18/08/2019 a 22/08/2019;UTOPIA FILMES PRODUÇÃO ARTÍSTICA LTDA;RJ;"""Tomorrow Pictures""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
15/08/2019;Comunicação filmagem estrangeira;4;Eu Sou Ronaldinho;Documentário;16/08/2019 a 31/08/2019;Matilha Filmes LTDA;RS;"""LAMF Ronaldinho LLC""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ), Porto Alegre (RS), São Paulo (SP)""";
16/08/2019;Comunicação filmagem estrangeira;4;Vodka Ketel One;Obra Publicitária;19/08/2019 a 20/08/2019;Davies & Luzzi Ltda - ME;SP;"""Something Media""";Reino Unido;Estrangeira;"""São Paulo (SP)""";
20/08/2019;Comunicação filmagem estrangeira;2;Amazon;Documentário;19/09/2019 a 29/09/2019;Perin Filmes Eireli EPP;AM;"""DE HAAIEN""";Holanda;Estrangeira;"""São Paulo (SP), Santarém (PA), Manaus (AM)""";
20/08/2019;Comunicação filmagem estrangeira;5;BRASIL RIDE;Outro;07/09/2019 a 31/10/2019;TOWN NETWORK FILMAGENS LTDA.;SP;"""TERRA Co. Ltd.""";Japão;Estrangeira;"""Guarulhos (SP), São Paulo (SP), Porto Seguro (BA), Arraial D'Ajuda (BA), Guaratinga (BA), Eunápolis (BA)""";
20/08/2019;Comunicação filmagem estrangeira;2;BRASIL RIDE;Outro;07/09/2019 a 31/10/2019;TOWN NETWORK FILMAGENS LTDA.;SP;"""TERRA Co. Ltd.""";Japão;Estrangeira;"""Guarulhos (SP), São Paulo (SP), Porto Seguro (BA), Arraial D'Ajuda (BA), Guaratinga (BA), Eunápolis (BA)""";
20/08/2019;Comunicação filmagem estrangeira;3;Chasing Monsters;Documentário;05/09/2019 a 17/09/2019;Amazon Film Productions;AM;"""CDI Virtual Films INC""";Estados Unidos;Estrangeira;"""Alta Floresta (MT)""";
20/08/2019;Comunicação filmagem estrangeira;3;Tech TV;Institucional;31/08/2019 a 05/09/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""Figura Media, LLC""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ), Duque de Caxias (RJ)""";
26/08/2019;Comunicação filmagem estrangeira;9;Free to Create;Obra Publicitária;25/08/2019 a 06/09/2019;Ocean Produção de Filmes Ltda;SC;"""Kamp Grizzly Inc""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
26/08/2019;Comunicação filmagem estrangeira;0;The Circle Brazil;Outro;07/10/2019 a 13/10/2019;R B ARAUJO PRODUÇÃO CINEMATOGRAFICA - ME;RJ;"""Studio Lambert Associates Limited""";Reino Unido;Estrangeira;"""São Paulo (SP), Rio de Janeiro (RJ)""";
27/08/2019;Comunicação filmagem estrangeira;12;Dancing Bollywood;Outro;26/08/2019 a 25/09/2019;Connection Filmes e Produções Artísticas LTDA;RJ;"""Manmeet Film Production PVT LTD""";Índia;Estrangeira;"""Rio de Janeiro (RJ)""";
28/08/2019;Comunicação filmagem estrangeira;3;Saving Wildlife;Documentário;28/09/2019 a 05/10/2019;Cristian Dimitrius Produções Ltda;SP;"""KPRC-TV""";Estados Unidos;Estrangeira;"""Guarulhos (SP), Campo Grande (MS), Aquidauana (MS), Poconé (MT), Cuiabá (MT)""";
29/08/2019;Alteração e inclusão de profissionais;1;Free to Create;Obra Publicitária;25/08/2019 a 06/09/2019;Ocean Produção de Filmes Ltda;SC;"""Kamp Grizzly Inc""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
29/08/2019;Comunicação filmagem estrangeira;1;Sunday Sport;Documentário;03/09/2018 a 20/09/2019;TOWN NETWORK FILMAGENS LTDA.;SP;"""NHK - Nippon Hoso Kyokai""";Japão;Estrangeira;"""Guarulhos (SP), São Paulo (SP)""";
29/08/2019;Alteração e inclusão de profissionais;1;The Circle Brazil;Outro;07/10/2019 a 13/10/2019;R B ARAUJO PRODUÇÃO CINEMATOGRAFICA - ME;RJ;"""Studio Lambert Associates Limited""";Reino Unido;Estrangeira;"""São Paulo (SP), Rio de Janeiro (RJ)""";
30/08/2019;Comunicação filmagem estrangeira;3;A Amazônia e o Homem;Documentário;03/09/2019 a 10/09/2019;Amazon Film Productions;AM;"""CDI Virtual Films INC""";Estados Unidos;Estrangeira;"""Porto Velho (RO)""";
