Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros 2019;;;;;;;;;;;;
;;;;;;;;;;;;
Data de Solicitação;Tipo de Ofício;"Número de Técnicos/
Artistas Estrangeiros";Título da Obra;Tipo de Obra;Período Produção;Empresa Brasileira;UF;Empresa Estrangeira;País;Nacionalidade da Produção;Local de Filmagem (UF);""""
22/01/2019;Comunicação filmagem estrangeira;9;Primates;Documentário;"25/01/2019 a 22/02/2019; 01/03/2019 a 16/04/2019; 01/05/2019 a 31/05/2019";Cristian Dimitrius Produções Ltda;SP;"""BBC - Broadcasting House""";Reino Unido/Inglaterra;Estrangeira;"""Ilhéus (BA), Alta Floresta (MT), Cabaceiras (PB), Tefé (AM)""";
22/01/2019;Alteração e inclusão de profissionais;1;Primates;Documentário;"25/01/2019 a 22/02/2019; 01/03/2019 a 16/04/2019; 01/05/2019 a 31/05/2019";Cristian Dimitrius Produções Ltda;SP;"""CDI Virtual Films INC""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ)""";
30/01/2019;Comunicação filmagem estrangeira;3;Ipanema;Institucional;17/02/2019 a 22/02/2019;Aura Filme Produções Ltda;RJ;"""FIGURA MEDIA LLC""";Estados Unidos;Estrangeira;"""Serra Grande (BA), Parque Estadual Serra do Condurú (BA), Uruçuca (BA), Serra Grande (BA), Ilhéus (BA)""";
30/01/2019;Comunicação filmagem estrangeira;2;The Bowmaker's Wood;Documentário;22/04/2019 a 27/04/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""Spoon""";Suécia;Estrangeira;"""Florianópolis (SC), Lages (SC)""";
04/02/2019;Comunicação filmagem estrangeira;4;Drives World;Institucional;17/02/2019 a 23/02/2019;Dez e Vinte Produções Cinematográficas LTDA ME;SP;"""So World Media LLC""";Estados Unidos;Estrangeira;"""Manaus (AM), Brasília (DF), São Paulo (SP), Rio de Janeiro (RJ)""";
04/02/2019;Comunicação filmagem estrangeira;4;Rare;Documentário;02/02/2019 a 17/02/2019;Viva Filmes Ltda;RJ;"""Knickerbockerglory TV""";Reino Unido;Estrangeira;"""Rio de Janeiro (RJ)""";
05/02/2019;Comunicação filmagem estrangeira;8;Dance around the World;Documentário;09/02/2019 a 22/02/2019;Viva Filmes Ltda;RJ;"""Elephant Adventure""";França;Estrangeira;"""Rio de Janeiro (RJ)""";
11/02/2019;Comunicação filmagem estrangeira;1;Fous de Carnaval;Documentário;21/02/2019 a 05/03/2019;La Vista;SP;"""FIGURA MEDIA LLC""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ)""";
12/02/2019;Comunicação filmagem estrangeira;3;HOUSE HUNTERS INTERNATIONAL - EP CAMPINAS;Documentário;21/02/2019 a 24/02/2019;STORY PRODUÇÕES LTDA - ME;SP;"""CDI Virtual Films Inc""";Estados Unidos;Estrangeira;"""Manaus (AM), São Paulo (SP)""";
12/02/2019;Comunicação filmagem estrangeira;1;Norway Trip;Obra Publicitária;20/02/2019 a 24/02/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""LEOPARD USA, LTD.""";Estados Unidos;Estrangeira;"""Campinas (SP)""";
13/02/2019;Comunicação filmagem estrangeira;26;Professor Shanku - 2a Parte;Ficção;16/02/2019 a 28/02/2019;Amazon Film Productions;AM;"""Lion TV""";Inglaterra;Estrangeira;"""Patrocínio (MG)""";
14/02/2019;Comunicação filmagem estrangeira;2;"""Pulso do Planeta, Série sobre Café no Brasil""";Documentário;20/02/2019 a 01/03/2019;Neon Rio Ltda;RJ;"""TV MAN UNION INC.""";Japão;Estrangeira;"""São Paulo (SP), Bragança Paulista (SP), Camanducaia (MG), Guarujá (SP)""";
18/02/2019;Comunicação filmagem estrangeira;7;As escolhas e as transformações na vida de um atleta paralímpico;Documentário;08/03/2019 a 17/03/2019;URUTAU FILMES LTDA;SP;"""Hunan Broadcasting System""";China;Estrangeira;"""Rio de Janeiro (RJ)""";
19/02/2019;Comunicação filmagem estrangeira;5;Sepco 1;Documentário;28/02/2019 a 22/03/2019;TR Somogyi Produções;RJ;"""Pretty Bird""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ)""";
21/02/2019;Comunicação filmagem estrangeira;4;Green Leaf;Institucional;07/03/2019 a 15/03/2019;Domo Produções Ltda;SP;"""FIGURA MEDIA, LLC.""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
21/02/2019;Comunicação filmagem estrangeira;1;História do Rugby;Documentário;28/02/2019 a 03/03/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""FIGURA MEDIA, LLC.""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
21/02/2019;Comunicação filmagem estrangeira;3;História do Rugby;Documentário;28/02/2019 a 03/03/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""FIGURA MEDIA, LLC.""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
22/02/2019;Comunicação filmagem estrangeira;1;A Series;Obra Publicitária;20/02/2019 a 21/02/2019;Delicatessen Produção de Filmes Ltda. ;SP;"""Stink Limited""";Reino Unido/Inglaterra;Estrangeira;"""Rio de Janeiro (RJ)""";
27/02/2019;Comunicação filmagem estrangeira;2;Follow the Food;Documentário;"09/03/2019 a 18/03/2019; 08/04/2019 a 16/04/2019";R B ARAUJO PRODUÇÃO CINEMATOGRAFICA - ME;RJ;"""TWOFOUR BROADCAST LIMITED""";Reino Unido;Estrangeira;"""Alto Alegre do Maranhão (MA), Brasília (DF), Não-Me-Toque (RS), Uberlândia (MG), Fartura (SP), Piracicaba (SP), Cruz das Almas (BA), Patrocínio (MG), Petrolina (PE)""";
