Listagem de Filmes Brasileiros e Estrangeiros Exibidos - 2009 a 2019;;;;;;;;;;
;;;;;;;;;;
Ano de exibição;Título da obra;CPB/ROE;Gênero;País(es) produtor(es) da obra;Nacionalidade da obra;Data de lançamento;Empresa distribuidora;Origem da empresa distribuidora;Público no ano de exibição;Renda (R$) no ano de exibição
2019;A Mulher Do Meu Marido;B1800089700000;Ficção;Argentina, Brasil;Brasileira;29/08/2019;Bretz Filmes;Distribuição Nacional;3.018;50.248,00
2019;A Música Da Minha Vida;E1900234900000;Ficção;Reino Unido;Estrangeira;19/09/2019;Warner;Distribuição Internacional;17.464;380.002,00
2019;A Música Do Tempo - Do Sonho Do Império Ao Império Do Sonho;B1800423800000;Documentário;Brasil;Brasileira;12/09/2019;Espaço Filmes;Distribuição Nacional;317;5.222,00
2019;A Noite Amarela;B1900249100000;Ficção;Brasil;Brasileira;10/10/2019;Vitrine Filmes;Distribuição Nacional;1.798;12.920,00
2019;A Noite De 12 Anos;E1800361600000;Ficção;Argentina, Espanha, Uruguai;Estrangeira;27/09/2018;Vitrine Filmes;Distribuição Nacional;1.426;23.535,00
2019;A Nossa Espera;E1800555600000;Ficção;Bélgica, França;Estrangeira;03/01/2019;Vitrine Filmes;Distribuição Nacional;10.020;155.360,00
2019;A Número Um;E1800060200000;Ficção;França;Estrangeira;08/03/2018;Imovision;Distribuição Nacional;6;54
2019;A Odisseia Dos Tontos;E1900471400000;Ficção;Argentina, Espanha;Estrangeira;31/10/2019;Warner;Distribuição Internacional;124.934;2.420.806,00
2019;A Outra Mulher;E1800332000000;Ficção;França;Estrangeira;16/08/2018;Imovision;Distribuição Nacional;9;63
2019;A Parte Do Mundo Que Me Pertence;B1800091200000;Documentário;Brasil;Brasileira;09/05/2019;Olhar Distribuição;Distribuição Nacional;571;6.299,00
2019;A Pedra Da Serpente;B1800440300000;Ficção;Brasil;Brasileira;14/02/2019;Elo Company;Distribuição Nacional;507;4.346,00
2019;A Pequena Travessa;E1800602700000;Ficção;Alemanha;Estrangeira;11/07/2019;Paris;Distribuição Nacional;9.298;135.533,00
2019;A Prece;E1800483800000;Ficção;França;Estrangeira;08/11/2018;Imovision;Distribuição Nacional;322;3.178,00
2019;A Pé Ele Não Vai Longe;E1800486100000;Ficção;Estados Unidos;Estrangeira;27/12/2018;Diamond Films;Distribuição Nacional;10.961;183.761,00
2019;A Quarta Parede;B1900164100000;Ficção;Brasil;Brasileira;09/05/2019;Elo Company;Distribuição Nacional;1.455;12.327,00
2019;A Rebelião;E1900056700000;Ficção;Estados Unidos;Estrangeira;28/03/2019;Diamond Films;Distribuição Nacional;22.732;366.619,00
2019;A Resistência De Inga;E1900510200000;Ficção;Alemanha, Dinamarca, França, Islândia;Estrangeira;28/11/2019;Imovision;Distribuição Nacional;1.078;16.652,00
2019;A Rosa Azul De Novalis;B1900042100000;Documentário;Brasil;Brasileira;19/12/2019;Vitrine Filmes;Distribuição Nacional;704;4.923,00
2019;A Rota Selvagem;E1800455800000;Ficção;Estados Unidos;Estrangeira;15/11/2018;Califórnia/Diamond Films;Distribuição Nacional;64;1.570,00
2019;A Sereia: Lago Dos Mortos;E1800603000000;Ficção;Rússia;Estrangeira;31/01/2019;Paris;Distribuição Nacional;235.011;3.304.494,00
2019;A Serpente;B1700499100000;Ficção;Brasil;Brasileira;25/07/2019;Jura Filmes;Distribuição Nacional;527;5.591,00
2019;A Sombra Do Pai;B1700307900000;Ficção;Brasil;Brasileira;02/05/2019;Pandora Filmes;Distribuição Nacional;2.908;43.183,00
2019;A Tabacaria;E1900346400000;Ficção;Alemanha, Áustria;Estrangeira;05/09/2019;A2 Filmes;Distribuição Nacional;58.901;1.021.174,00
2019;A Turma Do Pererê.Doc;B1800547100000;Documentário;Brasil;Brasileira;03/10/2019;O2 Play;Distribuição Nacional;472;4.332,00
2019;A Vida De Diane;E1900046000000;Ficção;Estados Unidos;Estrangeira;09/05/2019;Supo Mungam Films;Distribuição Nacional;73;532
2019;A Vida Em Si;E1800434400000;Ficção;Estados Unidos;Estrangeira;06/12/2018;Paris;Distribuição Nacional;2.028;28.519,00
2019;A Vida Invisível;B1900366600000;Ficção;Alemanha, Brasil;Brasileira;31/10/2019;Sony/Vitrine Filmes;Codistribuição Internacional-Nacional;117.222;2.010.086,00
2019;A Voz Do Silêncio;B1800262800000;Ficção;Argentina, Brasil;Brasileira;22/11/2018;Imovision;Distribuição Nacional;263;2.275,00
2019;A Árvore  Dos Frutos Selvagens;E1900266600000;Ficção;Alemanha, Bulgária, França, Suécia, Turquia;Estrangeira;04/07/2019;Fênix Filmes;Distribuição Nacional;4.705;73.825,00
2019;A Última Chance;B1700329300000;Ficção;Brasil;Brasileira;30/11/2018;Europa;Distribuição Nacional;45;484
2019;A Última Loucura De Claire Darling;E1900183800000;Ficção;França;Estrangeira;01/08/2019;A2 Filmes;Distribuição Nacional;23.355;400.230,00
2019;Abaixo A Gravidade;B1700222300000;Ficção;Brasil;Brasileira;01/08/2019;Fênix Filmes;Distribuição Nacional;851;11.263,00
2019;Abigail E A Cidade Proibida;E1900348700000;Ficção;Rússia;Estrangeira;12/09/2019;Playarte;Distribuição Nacional;66.775;998.015,00
2019;Abominável;E1900349400000;Animação;China, Estados Unidos;Estrangeira;26/09/2019;Universal;Distribuição Internacional;1.026.553;15.115.285,00
2019;Aconteceu Na Quarta-Feira (Doppelganger);B1900198800000;Ficção;Brasil;Brasileira;26/09/2019;Forte Filmes;Distribuição Nacional;130;2.451,00
2019;Acossado;E1500675600000;Ficção;França;Estrangeira;08/02/2018;Zeta Filmes;Distribuição Nacional;29;252
2019;Ad Astra;E1900252000000;Ficção;Brasil, Estados Unidos;Estrangeira;26/09/2019;Disney;Distribuição Internacional;360.557;6.839.419,00
2019;Adam;E1900498900000;Ficção;Bélgica, França, Marrocos;Estrangeira;14/11/2019;Arteplex;Distribuição Nacional;16.212;288.790,00
2019;Adeus À Noite;E1900376000000;Ficção;Alemanha, França;Estrangeira;12/09/2019;Pandora Filmes;Distribuição Nacional;12.802;202.967,00
2019;After;E1900076500000;Ficção;Estados Unidos;Estrangeira;11/04/2019;Diamond Films;Distribuição Nacional;263.616;3.902.213,00
2019;Ainda Temos A Imensidão Da Noite;B1900027100000;Ficção;Brasil;Brasileira;05/12/2019;Pandora Filmes;Distribuição Nacional;ND;ND
2019;Aladdin;E1900188100000;Ficção;Estados Unidos;Estrangeira;23/05/2019;Disney;Distribuição Internacional;4.788.803;80.060.751,00
2019;Alaska;B1900034500000;Ficção;Brasil;Brasileira;21/03/2019;Elo Company;Distribuição Nacional;2.143;17.500,00
2019;Albatroz;B1900019800000;Ficção;Brasil;Brasileira;07/03/2019;Paris;Distribuição Nacional;6.387;112.633,00
2019;Alex Camera 10;B1700332800000;Documentário;Brasil;Brasileira;24/10/2019;Moro Comunicação;Distribuição Nacional;358;4.686,00
2019;Alita: Anjo De Combate;E1800002600000;Ficção;Argentina, Canadá, Estados Unidos;Estrangeira;14/02/2019;Fox;Distribuição Internacional;1.028.151;16.823.123,00
2019;Alma Imoral;B1900314100000;Documentário;Brasil;Brasileira;08/08/2019;Elo Company;Distribuição Nacional;3.143;54.483,00
2019;Amanda;E1800494300000;Ficção;França;Estrangeira;02/05/2019;Imovision;Distribuição Nacional;13.131;213.785,00
2019;Amanhã Chegou;B1800470600000;Documentário;Brasil;Brasileira;11/10/2018;Elo Company;Distribuição Nacional;23;306
2019;Ama-San;E1900000900000;Documentário;Japão, Portugal;Estrangeira;10/01/2019;Bretz Filmes;Distribuição Nacional;1.717;23.330,00
2019;Amazônia Groove;B1800459400000;Documentário;Brasil;Brasileira;06/06/2019;Pagu Pictures;Distribuição Nacional;1.483;23.661,00
2019;Amazônia, O Despertar Da Florestania;B1800598100000;Documentário;Brasil;Brasileira;09/05/2019;Descoloniza Filmes;Distribuição Nacional;3.843;49.989,00
2019;Ambiente Familiar;B1900347600000;Ficção;Brasil;Brasileira;26/09/2019;Elo Company;Distribuição Nacional;728;6.111,00
2019;Amigos Alienígenas;E1800401600000;Animação;Alemanha, Dinamarca, Luxemburgo;Estrangeira;25/10/2018;Playarte;Distribuição Nacional;79;1.068,00
2019;Amigos Para Sempre;E1800567400000;Ficção;Estados Unidos;Estrangeira;17/01/2019;Califórnia;Distribuição Nacional;19.084;439.896,00
2019;Amor Até Às Cinzas;E1800494500000;Ficção;China, França, Japão;Estrangeira;18/04/2019;Imovision;Distribuição Nacional;8.116;136.608,00
2019;Amor Em Jogo;E1900368800000;Ficção;Israel;Estrangeira;31/10/2019;Elite Filmes;Distribuição Nacional;294;4.880,00
2019;Amor À Segunda Vista;E1900271500000;Ficção;Bélgica, França;Estrangeira;11/07/2019;Bonfilm;Distribuição Nacional;18.505;286.175,00
2019;Amores De Chumbo;B1800089800000;Ficção;Brasil;Brasileira;31/05/2018;Elo Company;Distribuição Nacional;73;425
2019;Angry Birds 2 - O Filme;E1900271800000;Animação;Estados Unidos, Finlândia;Estrangeira;03/10/2019;Sony;Distribuição Internacional;891.264;12.436.382,00
2019;Animais Fantásticos: Os Crimes De Grindelwald;E1800432900000;Ficção;Estados Unidos, Reino Unido;Estrangeira;15/11/2018;Warner;Distribuição Internacional;1.071;16.148,00
2019;Anna - O Perigo Tem Nome;E1900223800000;Ficção;França;Estrangeira;22/08/2019;Paris;Distribuição Nacional;100.442;1.704.122,00
2019;Annabelle 3: De Volta Para Casa;E1900234800000;Ficção;Estados Unidos;Estrangeira;27/06/2019;Warner;Distribuição Internacional;1.782.048;26.401.779,00
2019;Anos 90;E1900079700000;Ficção;Estados Unidos;Estrangeira;30/05/2019;Diamond Films;Distribuição Nacional;3.854;60.885,00
2019;Antes Que Tudo Desapareça;E1800139000000;Ficção;Japão;Estrangeira;12/04/2018;Zeta Filmes;Distribuição Nacional;4;28
2019;Antártica Por Um Ano;B1700602000000;Documentário;Brasil;Brasileira;16/05/2019;E.H. Produções;Distribuição Nacional;484;7.712,00
2019;Antônio Um Dois Três;B1700513900000;Ficção;Brasil;Brasileira;28/03/2019;Olhar Distribuição;Distribuição Nacional;742;7.984,00
2019;Aquaman;E1800433400000;Ficção;Estados Unidos;Estrangeira;13/12/2018;Warner;Distribuição Internacional;2.919.358;46.807.467,00
2019;Aquarius;B1600478600000;Ficção;Brasil, França;Brasileira;01/09/2016;Vitrine Filmes;Distribuição Nacional;158;1.366,00
2019;Arranha-Céu : Coragem Sem Limite;E1800176100000;Ficção;Estados Unidos;Estrangeira;12/07/2018;Universal;Distribuição Internacional;64;512
2019;Arábia;B1700085300000;Ficção;Brasil;Brasileira;05/04/2018;Embaúba Filmes/Pique-Bandeira Filmes;Distribuição Nacional;31;252
2019;As Boas Maneiras;B1700450500000;Ficção;França, Brasil;Brasileira;07/06/2018;Imovision;Distribuição Nacional;26;232
2019;As Filhas Do Fogo;E1900037000000;Ficção;Argentina;Estrangeira;14/03/2019;Vitrine Filmes;Distribuição Nacional;6.089;73.723,00
2019;As Golpistas;E1900418400000;Ficção;Estados Unidos;Estrangeira;05/12/2019;Diamond Films;Distribuição Nacional;216.825;3.358.896,00
2019;As Hiper Mulheres;B1101473600000;Documentário;Brasil;Brasileira;07/06/2013;Vitrine Filmes;Distribuição Nacional;15;166
