"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2011""";;;;;;;;;;;
;;;;;;;;;;;
"""Número de Autorização de Origem""";"""Data da Aprovação""";"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)"""
99;17/06/2011;5;"""Witness""";"""Documentário""";"""01/07/2011 a 23/07/2011""";"""Terra Vermelha Filmes Ltda.""";"""RJ""";"""Photomojo Productions LLC""";"""Estados Unidos""";"""Estrangeira""";"""RJ/ SP"""
100;20/06/2011;2;"""Mixed""";"""Documentário""";"""23/06/2011 a 29/06/2011""";"""Terra Vermelha Filmes Ltda.""";"""RJ""";"""BBC Broadcasting House""";"""Inglaterra""";"""Estrangeira""";"""RJ"""
101;21/06/2011;1;"""Estereoensaios """;"""Documentário""";"""22/06/2011 a 20/07/2011""";"""Jane M.P. de Almeida Audiovisual  (Witz Cultural)""";"""SP""";""" - """;""" - """;"""Brasileira""";"""RJ"""
102;22/06/2011;6;"""Como a Vida Floresce""";"""Documentário""";"""1º etapa: 05/07/2011 a 15/07/2011  
2º etapa: 13/08/2011 a 05/09/2011""";"""Neon Rio Ltda.""";"""RJ""";"""British Broadcasting Corporation - Bristol""";"""Inglaterra""";"""Estrangeira""";"""GO/ MT"""
103;22/06/2011;4;"""Naoya Kawata e a Volta ao Mundo em 60 Dias""";"""Documentário""";"""04/08/2011 a 15/08/2011 """;"""Town Network Filmagens Ltda.""";"""SP""";"""MBS - Mainichi Broadcasting System Inc.""";"""Japão""";"""Estrangeira""";"""AM / PA"""
104;27/06/2011;3;"""Terra Preta """;"""Documentário""";"""13/07/2011 a 21/07/2011 """;"""Aura Filme Produções Ltda.""";"""RJ""";"""ZDF - Zweites Deutsches Fernsehen - Mainz""";"""Alemanha""";"""Estrangeira""";"""AM/ SP"""
105;29/06/2011;7;"""Johnnie Walker - Rock Giant""";"""Publicitária""";"""02/07/2011 a 05/08/2011""";"""Zohar Cinema e Comunicção Ltda""";"""RJ""";""" - """;""" - """;"""Brasileira""";"""RJ"""
106;30/06/2011;4;"""Samba, Jusquu' Au Bout Du Monde""";"""Ficção""";"""04/07/2011 a 30/07/2011 """;"""French Connection Brasil Empreendimentos Culturais Ltda""";"""RJ""";"""Mai Juin Productions""";"""França""";"""Estrangeira""";"""AM/ MT/ RJ"""
107;30/06/2011;5;"""Viagem de Jonathan Dimbleby na América do Sul: Brasil""";"""Documentário""";"""09/07/2011 a 30/07/2011""";"""Neon Rio Ltda.""";"""RJ""";"""Fresh One Productions Ltd""";"""Inglaterra""";"""Estrangeira""";"""AM/ DF/ MA/ SP/ MT/RJ"""
108;01/07/2011;3;"""Interview""";"""Institucional""";"""05/07/2011 a 08/07/2011""";"""Sweet Produções Ltda.""";"""SP""";"""Old Harbor Productions, Inc.""";"""Estados Unidos""";"""Estrangeira""";"""SP"""
109;06/07/2011;30;"""Caminhoneiros do Mundo""";"""Programa de TV (reality show)""";"""15/08/2011 a 15/09/2011""";"""Neon Rio Ltda.""";"""RJ""";"""Dragonfly Film and Television Production Ltd""";"""Inglaterra""";"""Estrangeira""";"""RO/PA/AL/CE"""
110;07/07/2011;1;"""A Floresta de Jonathas""";"""Ficção""";"""25/07/2011 a 30/09/2011""";"""Sérgio de J. Andrade""";"""AM""";""" - """;""" - """;"""Brasileira""";"""AM"""
111;08/07/2011;4;"""Sekai no Hate Made Itte Q""";"""Programa de TV""";"""25/07/2011 a 28/07/2011""";"""XES Projetos Visuais Ltda.""";"""SP""";"""NTV - Nippon Television Network Corporation""";"""Japão""";"""Estrangeira""";"""AM/MA"""
112;08/07/2011;3;"""Biopirateria Corsarios de Cuello Blanco""";"""Documentário""";"""25/07/2011 a 01/08/2011""";"""Polo de Inagem Ltda.""";"""SP""";"""Trampolin Impulso Creativo, C.A.""";"""Venezuela""";"""Estrangeira""";"""AC/SP"""
113;12/07/2011;5;"""Covert Affair""";"""Série de TV""";"""19/07/2011 a 26/07/2011""";"""Cassio E. de Oliveira Pardini Produções - ME""";"""SP""";"""CDI Virtual Films, Inc. """;"""Estados Unidos""";"""Estrangeira""";"""RJ"""
114;14/07/2011;5;"""Destino 2111""";"""Documentário""";"""22/07/2011 a 28/07/2011 e 18/08/2011 a 24/08/2011""";"""Sol Entertainment Ltda.""";"""RJ""";"""GP Media S.A.""";"""Argentina""";"""Estrangeira""";"""RJ/SP"""
115;15/07/2011;6;"""The Grammar of Happiness / A Gramática da Felicidade - parte 2""";"""Documentário""";"""01/08/2011 a 29/08/2011""";"""Sertão Produções Artisticas e Cinematográficas""";"""GO""";"""Essential Media and Entertainmente Pty Ltd""";"""Austrália""";"""Estrangeira""";"""AM/DF/RO/SP"""
116;15/07/2011;4;"""30 Jahre Traumschiff - Das Geburtstagsspezial""";"""Documentário""";"""04/08/2011 a 10/08/2011""";"""Aura Filme Produções Ltda.""";"""RJ""";"""ZDF - Zweites Deutsches Fernsehen - Mainz""";"""Alemanha""";"""Estrangeira""";"""BA"""
117;15/07/2011;3;"""Dream Train Around the World""";"""Documentário""";"""01/08/2011 a 31/08/2011""";"""Town Network Filmagens Ltda.""";"""SP""";"""TBS Vision, Inc.""";"""Japão""";"""Estrangeira""";"""ES/MG/RS/SP"""
118;18/07/2011;6;"""Anhanga - Espírito da Amazônia""";"""Ficção""";"""22/07/2011 a 13/08/2011""";"""Samauma Produções de Filmes Ltda.""";"""AM""";"""Amazon Spirit LLC""";"""Estados Unidos""";"""Coprodução""";"""AM"""
119;20/07/2011;6;"""Belvita - Preguiças Nunca Mais""";"""Publicitária""";"""21/07/2011 a 05/08/2011""";"""Zohar Cinema e Comunicção Ltda""";"""RJ""";""" - """;""" - """;"""Brasileira""";"""RJ"""
120;22/07/2011;19;"""The Amazing Race""";"""Programa de TV (reality show)""";"""29/07/2011 a 03/08/2011""";"""Dogs Can Fly Produções Cinematográficas  Ltda""";"""SP""";"""Cinemat US Inc.""";"""Estados Unidos""";"""Estrangeira""";"""BA/SP"""
121;26/07/2011;3;"""Le Sexe""";"""Documentário""";"""23/08/2011 a 27/08/2011""";"""Utopia Films Produção Artística Ltda.""";"""RJ""";"""Eureka Productions""";"""Canadá""";"""Estrangeira""";"""RJ"""
122;27/07/2011;3;"""The Canvasconnection""";"""Documentário""";"""05/08/2011 a 13/08/2011""";"""Neon Rio Ltda.""";"""RJ""";"""VRT - Vlaamse Radio - em Televisieomroeporganisatie""";"""Bélgica""";"""Estrangeira""";"""SP"""
123;05/08/2011;5;"""Sekai Fureai Machiaruki""";"""Documentário""";"""10/09/2011 a 15/11/2011""";"""Town Network Filmagens Ltda.""";"""SP""";"""Go West""";"""Japão""";"""Estrangeira""";"""MA/RJ/RS"""
124;09/08/2011;1;"""Power of Face""";"""Publicitária""";"""03/09/2011 a 23/09/2011""";"""Planeta Film Ltda.""";"""SP""";"""Supply & Demand""";"""Estados Unidos""";"""Estrangeira""";"""SP"""
125;11/08/2011;4;"""Shinsuke no Shiranai Sekai""";"""Documentário""";"""23/08/2011 a 31/08/2011""";"""BDT Planejamento e Comunicação Ltda.""";"""SP""";"""Hi- Starndard Co., Ltd.""";"""Japão""";"""Estrangeira""";"""MA/SP"""
126;12/08/2011;9;"""Traumhotel - Brazil""";"""Ficção""";"""15/08/2011 a 29/09/2011""";"""Utopia Films Produção Artística Ltda.""";"""RJ""";"""Lisa Film Produktion GmbH""";"""Áustria""";"""Estrangeira""";"""BA/RJ"""
127;15/08/2011;1;"""""Cor"",""Reparação"" e ""Botão""""";"""Publicitária""";"""20/08/2011 a 31/08/2011""";"""Paranoid Brasil Ltda.""";"""SP""";""" - """;""" - """;"""Brasileira""";"""SP"""
128;16/08/2011;1;"""Clipper Round the World 2011-2012""";"""Documentário""";"""22/08/2011 a 19/09/2011""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""North One Television Ltd""";"""Inglaterra""";"""Estrangeira""";"""RJ"""
129;18/08/2011;3;"""Anthem""";"""Documentário""";"""04/10/2011 a 13/10/2011""";"""Zohar Cinema e Comunicção Ltda""";"""RJ""";"""Academy Productions""";"""Inglaterra""";"""Estrangeira""";"""RJ"""
130;18/08/2011;5;"""The World Heritage""";"""Documentário""";"""29/08/2011 a 30/09/2011""";"""Town Network Filmagens Ltda.""";"""SP""";"""TBS Vision, Inc.""";"""Japão""";"""Estrangeira""";"""PR"""
131;18/08/2011;2;"""Niji Iro Jean""";"""Programa de TV""";"""09/09/2011 a 22/09/2011""";"""XES Projetos Visuais Ltda.""";"""SP""";"""Nouveau, Inc.""";"""Japão""";"""Estrangeira""";"""SP"""
132;22/08/2011;3;"""Ñam Ñam""";"""Documentário""";"""03/09/2011 a 11/09/2011""";"""Neon Rio Ltda.""";"""RJ""";"""Produtora Prointel""";"""Espanha""";"""Estrangeira""";"""AM"""
133;22/08/2011;3;"""Wildest Latin America: Brazil""";"""Documentário""";"""04/09/2011 a 25/09/2011""";"""Neon Rio Ltda.""";"""RJ""";"""Off The Fence Productions """;"""Inglaterra""";"""Estrangeira""";"""MT/PR"""
134;25/08/2011;4;"""Concrete Jungle""";"""Publicitária""";"""28/08/2011 a 10/09/2011""";"""Zohar Cinema e Comunicção Ltda""";"""RJ""";"""HSI Productions""";"""Estados Unidos""";"""Estrangeira""";"""SP"""
135;25/08/2011;3;"""Dupont Videos""";"""Documentário""";"""10/10/2011 a 19/10/2011""";"""Blue Eye Empreendimentos e Produções Audiovisuais Ltda.""";"""RJ""";"""NGHT, LLC""";"""Estados Unidos""";"""Estrangeira""";"""MG/SP"""
136;25/08/2011;3;"""Sekaini Hirogaru Nihon To Burajiru No Renkei Kyoroku""";"""Documentário""";"""15/09/2011 a 29/09/2011""";"""BDT Planejamento e Comunicação Ltda.""";"""SP""";"""TV Asahi Productions, Co., Ltd.""";"""Japão""";"""Estrangeira""";"""DF/PA/SP"""
137;25/08/2011;5;"""Waratekoraete!""";"""Documentário""";"""08/09/2011 a 05/03/2012""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""Nichiki Co., Inc.""";"""Japão""";"""Estrangeira""";"""BA/MT/MG/PA/PR/RJ/SP"""
138;26/08/2011;2;"""Embedded Manifest""";"""Institucional""";"""31/08/2011 a 06/09/2011""";"""T-5 Filmes Produções Ltda.""";"""SP""";"""MiresBall, Inc""";"""Estados Unidos""";"""Estrangeira""";"""AM/DF"""
139;26/08/2011;4;"""Sekai Isan""";"""Documentário""";"""19/09/2011 a 07/10/2011""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""TFC - Tohokushinsha Film Corporation""";"""Japão""";"""Estrangeira""";"""PR/SP"""
140;26/08/2011;5;"""The Magic of Heineken""";"""Institucional""";"""01/10/2011 a 15/10/2011""";"""Caradecão Produção Ltda.""";"""RJ""";"""Manifesto NYC""";"""Estados Unidos""";"""Estrangeira""";"""SP"""
141;29/08/2011;2;"""Kodomo Eco Niki""";"""Documentário""";"""21/09/2011 a 02/10/2011""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""Panasonic Visuals, Inc.""";"""Japão""";"""Estrangeira""";"""PR/SP"""
142;29/08/2011;3;"""Código X """;"""Publicitária""";"""01/09/2011 a 20/09/2011""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""Stink""";"""Inglaterra""";"""Estrangeira""";"""SP"""
143;30/08/2011;2;"""Itaú Cisco Corporativo""";"""Institucional""";"""10/09/2011 a 25/09/2011""";"""Latina Studio Produções Ltda.""";"""SP""";"""Pedersen Media Group""";"""Estados Unidos""";"""Estrangeira""";"""SP"""
144;01/09/2011;1;"""""Cora"" e ""Carnaval""""";"""Publicitária""";"""10/09/2011 a 20/09/2011""";"""Paranoid Brasil Ltda.""";"""SP""";""" - """;""" - """;"""Brasileira""";"""SP"""
145;01/09/2011;2;"""Natural Wrold: Jaguar Man - Parte 1""";"""Documentário""";"""12/09/2011 a 26/09/2011""";"""Neon Rio Ltda.""";"""RJ""";"""British Broadcasting Corporation - Bristol""";"""Inglaterra""";"""Estrangeira""";"""GO"""
146;02/09/2011;5;"""Boys Don't Cry""";"""Publicitária""";"""10/09/2011 a 30/09/2011""";"""Zohar Cinema e Comunicção Ltda""";"""RJ""";"""Les Télécréateurs""";"""França""";"""Estrangeira""";"""RJ"""
147;06/09/2011;4;"""""Brisa"" e ""Paola Oliveira""""";"""Publicitária""";"""07/09/2011 a 13/09/2011""";"""Paranoid Brasil Ltda.""";"""SP""";""" - """;""" - """;"""Brasileira""";"""SP"""
148;06/09/2011;1;"""Sobre Ruínas""";"""Ficção""";"""26/09/2011 a 30/10/2011""";"""El Desierto Filmes Ltda.""";"""RJ""";""" - """;""" - """;"""Brasileira""";"""RJ"""
149;06/09/2011;18;"""""Verrueckt Nach Meer""""";"""Documentário""";"""17/10/2011 a 29/10/2011""";"""Aura Filme Produções Ltda.""";"""RJ""";"""Bewegte Zeiten Filmproduktion Gmbh""";"""Alemanha""";"""Estrangeira""";"""AM/AP/PA"""
150;08/09/2011;4;"""""Japanese Around The World - Here Is My Utopia""   """;"""Documentário""";"""16/09/2011 a 30/09/2011""";"""Alfixit Produções Culturais e Artísticas Ltda.""";"""SP""";"""Wholeman Co., Ltd""";"""Japão""";"""Estrangeira""";"""MG"""
151;09/09/2011;2;"""A Pacificação das Favelas no Rio de Janeiro""";"""Documentário""";"""29/09/2011 a 10/10/2011""";"""KMC - Estrategias em Produção e Comunicação""";"""RJ""";"""Danish Broadcasting Company (DR)""";"""Dinamarca""";"""Coprodução""";"""RJ"""
152;08/09/2011;1;"""""Baby Tyrant""""";"""Publicitária""";"""12/09/2011 a 12/10/2011""";"""Hungry Man Rio Produções Ltda.""";"""RJ""";"""Hungry Man Inc.""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
153;09/09/2011;3;"""The California Dreams""";"""Documentário""";"""20/09/2011 a 26/09/2011""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""Pulse Filmes """;"""Inglaterra""";"""Estrangeira""";"""RJ/SP"""
154;09/09/2011;2;"""""Como A Vida Floresce"" parte 3""";"""Documentário""";"""18/09/2011 a 11/10/2011""";"""Neon Rio Ltda.""";"""RJ""";"""British Broadcasting Corporation - Bristol""";"""Inglaterra""";"""Estrangeira""";"""GO/MT"""
155;13/09/2011;4;"""UFC Estados Unidos""";"""Documentário""";"""21/09/2011 a 05/10/2011""";"""Latina Studio Produções Ltda.""";"""SP""";"""Positive Image Video""";"""Estados Unidos""";"""Estrangeira""";"""BA"""
156;16/09/2011;2;"""IL faut pás rever""";"""Documentário""";"""03/10/2011 a 28/10/2011""";"""Neon Rio Ltda.""";"""RJ""";"""SARL - Société de Production Audiovisualle de Films Documentaires""";"""França""";"""Estrangeira""";"""AM/MA/MT/PA"""
157;22/09/2011;7;"""Will.I.Am ""Bud""""";"""Videoclipe""";"""12/10/2011 a 23/10/2011""";"""Conspiração Filmes S/A""";"""RJ""";"""Black Dog Films""";"""Estados Unidos""";"""Estrangeira""";"""RJ/SP"""
158;23/09/2011;3;"""Wildest Latin America: Brazil - Parte 2""";"""Documentário""";"""25/10/2011 a 20/11/2011""";"""Neon Rio Ltda.""";"""RJ""";"""Off The Fence Productions """;"""Inglaterra""";"""Estrangeira""";"""AM"""
159;23/09/2011;6;"""Brasil com Michael Palin - Parte 2""";"""Documentário""";"""08/10/2011 a 30/10/2011""";"""Neon Rio Ltda.""";"""RJ""";"""Prominent Palin Productions Ltd.""";"""Inglaterra""";"""Estrangeira""";"""MG/RJ"""
160;23/09/2011;3;"""The World Heritage - Cerrado Protected Area""";"""Documentário""";"""30/10/2011 a 20/11/2011""";"""The Amazon Touch Produções Ltda.""";"""SP""";"""TBS Vision, Inc.""";"""Japão""";"""Estrangeira""";"""GO"""
161;28/09/2011;13;"""Vanitá delle Vanitá""";"""Ficção""";"""1º etapa: 05/10/2011 a 22/12/2011  
2º etapa: 05/01/2012 a 15/02/2012""";"""Faganello Comunicações Ltda.""";"""SC""";"""Lumiére & Co. S.R.L.""";"""Itália""";"""Estrangeira""";"""AM"""
162;28/09/2011;3;"""Azulejos. Une utopie céramique""";"""Documentário""";"""19/11/2011 a 28/11/2011""";"""Neon Rio Ltda.""";"""RJ""";"""Université de Montréal""";"""Canadá""";"""Estrangeira""";"""BA/RJ"""
163;29/09/2011;2;"""Purple""";"""Publicitária""";"""29/09/2011 a 15/10/2011""";"""Zohar Cinema e Comunicção Ltda""";"""RJ""";""" - """;""" - """;"""Brasileira""";"""RJ"""
164;04/10/2011;3;"""Fight for Peace""";"""Institucional""";"""08/10/2011 a 17/10/2011""";"""Neon Rio Ltda.""";"""RJ""";"""Comic Relief""";"""Inglaterra""";"""Estrangeira""";"""RJ"""
165;04/10/2011;2;"""Vermist""";"""Documentário""";"""30/10/2011 a 06/11/2011""";"""Mares Produções Ltda""";"""RJ""";"""Tros Broadcasting Company""";"""Holanda""";"""Estrangeira""";"""PR/SP"""
166;05/10/2011;6;"""Faut pas rever""";"""Documentário""";"""14/10/2011 a 06/11/2011""";"""Meios de Produção e Comunicação Ltda.""";"""RJ""";"""France Télévisions""";"""França""";"""Estrangeira""";"""AM"""
167;06/10/2011;10;"""Water""";"""Publicitária""";"""20/10/2011 a 28/10/2011""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""Bandito Brothers""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
168;06/10/2011;4;"""2050""";"""Documentário""";"""17/10/2011 a 24/10/2011""";"""Terra Vermelha Filmes Ltda.""";"""RJ""";"""Leroy & Morton Productions, LLC""";"""Estados Unidos""";"""Estrangeira""";"""MG/RJ/SP"""
169;13/10/2011;1;"""Livreiro""";"""Publicitária""";"""14/10/2011 a 28/10/2011""";"""Paranoid Brasil Ltda.""";"""SP""";""" - """;""" - """;"""Brasileira""";"""SP"""
170;14/10/2011;3;"""Fish TV""";"""Documentário""";"""08/12/2011 a 16/12/2011""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM""";"""Fish on Productions Inc.""";"""Canadá""";"""Estrangeira""";"""AM"""
171;14/10/2011;3;"""Begin in Brazil""";"""Documentário""";"""07/11/2011 a 16/11/2011""";"""Town Network Filmagens Ltda.""";"""SP""";"""Amuse Inc.""";"""Japão""";"""Estrangeira""";"""SP"""
172;14/10/2011;8;"""Burajiru de hibike, Okinawa no utagoe""";"""Documentário""";"""05/11/2011 a 15/11/2011""";"""Town Network Filmagens Ltda.""";"""SP""";"""Top Scene Inc.""";"""Japão""";"""Estrangeira""";"""MS/SP"""
173;14/10/2011;6;"""O maravilhoso mundo de Nakashira""";"""Documentário""";"""24/10/2011 a 07/11/2011""";"""Alfixit Produções Culturais e Artísticas Ltda.""";"""SP""";"""Kyodo Television Ltd.""";"""Japão""";"""Estrangeira""";"""AM"""
174;18/10/2011;28;"""Q´Viva! The Chosen""";"""Programa de TV (reality show)""";"""01/11/2011 a 20/12/2011""";"""Paranoid Brasil Ltda.""";"""SP""";"""Endemol Argentina S/A""";"""Argentina""";"""Estrangeira""";"""RJ"""
175;19/10/2011;7;"""Burajiru de saigo no rakugo wo tsukuru""";"""Documentário""";"""07/11/2011 a 20/11/2011""";"""Town Network Filmagens Ltda.""";"""SP""";"""AX-ON Inc.""";"""Japão""";"""Estrangeira""";"""SP"""
176;19/10/2011;2;"""Imagine - Alan Ayckbourn""";"""Documentário""";"""25/10/2011 a 28/10/2011""";"""Maria Gorda Produções Artísticas Ltda.""";"""SP""";"""BBC Vision Knowledge""";"""Inglaterra""";"""Estrangeira""";"""SP"""
177;25/10/2011;3;"""German - Brazilian business cooperations""";"""Documentário""";"""10/11/2011 a 17/11/2011""";"""Aura Filme Produções Ltda.""";"""RJ""";"""HTTV Produktion""";"""Alemanha""";"""Estrangeira""";"""RJ"""
178;28/10/2011;5;"""Face of wireless""";"""Institucional""";"""28/11/2011 a 15/12/2011""";"""Parábola Produções Ltda.""";"""SP""";"""Sean M Hunter Productions Services""";"""Estados Unidos""";"""Estrangeira""";"""SP"""
179;28/10/2011;2;"""Viajando pelo mundo de ônibus""";"""Documentário""";"""13/12/2011 a 25/12/2011""";"""Urutau Filmes Ltda""";"""SP""";"""TV Man Union, Inc.""";"""Japão""";"""Estrangeira""";"""RJ/SP"""
180;03/11/2011;3;"""Heroes of the Amazon""";"""Documentário""";"""08/11/2011 a 21/11/2011""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM""";"""British Broadcasting Corporation """;"""Inglaterra""";"""Estrangeira""";"""DF/GO"""
181;03/11/2011;4;"""Okgo pop up gigs""";"""Documentário""";"""10/11/2011 a 28/11/2011""";"""Terra Vermelha Filmes Ltda.""";"""RJ""";"""Mind´s Eye Media""";"""Inglaterra""";"""Estrangeira""";"""RJ/SP"""
182;03/11/2011;3;"""Hubertusjagd""";"""Documentário""";"""25/11/2011 a 03/12/2011""";"""Sol Entertainment Ltda.""";"""RJ""";"""Interspot Film GmbH""";"""Áustria""";"""Estrangeira""";"""RJ"""
183;04/11/2011;4;"""Erva mate""";"""Institucional""";"""19/11/2011 a 30/11/2011""";"""XES Projetos Visuais Ltda.""";"""SP""";"""Hakuhodo Product´s Inc.""";"""Japão""";"""Estrangeira""";"""RJ/RS/SP"""
184;10/11/2011;3;"""The world great TV - 2011 Winter special""";"""Documentário""";"""20/11/2011 a 28/11/2011""";"""Wasabi JB Comunicação Ltda.""";"""RJ""";"""NTV - Nippon Television Network Corporation""";"""Japão""";"""Estrangeira""";"""RJ/SP"""
185;10/11/2011;1;"""Vídeo educativo / Material didático""";"""Documentário""";"""27/11/2011 a 12/12/2011""";"""XES Projetos Visuais Ltda.""";"""SP""";"""Mainichi Productions""";"""Japão""";"""Estrangeira""";"""AM/SP"""
186;11/11/2011;1;"""Chikyu terebi el mundo""";"""Documentário""";"""01/12/2011 a 25/12/2011""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""Tokyo Video Center, Inc.""";"""Japão""";"""Estrangeira""";"""SP"""
187;16/11/2011;4;"""Crazy road trip - South America""";"""Documentário""";"""30/11/2011 a 11/12/2011""";"""Trítono Produções Ltda.""";"""RJ""";"""Vice Deustchland GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ/SP"""
188;16/11/2011;4;"""Amazon Rainforest""";"""Documentário""";"""02/12/2011 a 10/12/2011""";"""Neon Rio Ltda.""";"""RJ""";"""Kikim Media""";"""Estados Unidos""";"""Estrangeira""";"""PA"""
189;17/11/2011;4;"""Sky""";"""Publicitária""";"""24/11/2011 a 29/11/2011""";"""Antares Comércio e Serviços Ltda.""";"""SP""";"""Rattling Stick""";"""Inglaterra""";"""Estrangeira""";"""SP"""
190;17/11/2011;5;"""F1 - Rocks""";"""Institucional""";"""18/11/2011 a 30/11/2011""";"""João Daniel Filmes Ltda.""";"""SP""";"""The Bigfoot Project""";"""Inglaterra""";"""Estrangeira""";"""SP"""
191;17/11/2011;2;"""BP Group""";"""Institucional""";"""18/11/2011 a 25/11/2011""";"""Neon Rio Ltda.""";"""RJ""";"""Jacaranda Productions Ltd.""";"""Inglaterra""";"""Estrangeira""";"""RJ"""
192;17/11/2011;2;"""Die sendung mit der maus in Brasilien""";"""Documentário""";"""06/12/2011 a 15/12/2011""";"""Sol Entertainment Ltda.""";"""RJ""";"""Tvision GmbH""";"""Alemanha""";"""Estrangeira""";"""DF"""
193;23/11/2011;5;"""Sustainable forests""";"""Institucional""";"""06/12/2011 a 14/12/2011""";"""3 Times 1 Produções Ltda.""";"""SP""";"""Thirdman Films Limited""";"""Inglaterra""";"""Estrangeira""";"""PA"""
194;23/11/2011;5;"""Ther Dark (O Escuro)""";"""Documentário""";"""03/12/2011 a 20/12/2011""";"""Neon Rio Ltda.""";"""RJ""";"""BBC - Natural History Dpto.""";"""Inglaterra""";"""Estrangeira""";"""MS"""
195;23/11/2011;4;"""Rising relay""";"""Documentário""";"""08/12/2011 a 20/12/2011""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""Panasonic Visuals, Inc.""";"""Japão""";"""Estrangeira""";"""AM/RJ/SP"""
196;24/11/2011;3;"""Defend the defenders""";"""Documentário""";"""26/11/2011 a 06/12/2011""";"""Neon Rio Ltda.""";"""RJ""";"""World Organisation Against Torture (OMCT)""";"""Suíça""";"""Estrangeira""";"""DF/MT/RR"""
197;25/11/2011;4;"""Floating production storage and offloading""";"""Institucional""";"""11/12/2011 a 21/12/2011""";"""Neon Rio Ltda.""";"""RJ""";"""BMC - Broadcasting Mediacom""";"""Inglaterra""";"""Estrangeira""";"""RJ/RS"""
198;25/11/2011;1;"""Cerimônia de abertura""";"""Publicitária""";"""03/12/2011 a 23/12/2011""";"""Paranoid Brasil Ltda.""";"""SP""";""" - """;""" - """;"""Brasileira""";"""SP"""
199;28/11/2011;5;"""Momentum - What drives you""";"""Documentário""";"""04/12/2011 a 08/12/2011""";"""Aura Filme Produções Ltda.""";"""RJ""";"""Golden Girls Filmproduktion & Filmservice GmbH""";"""Áustria""";"""Estrangeira""";"""RJ"""
200;30/11/2011;3;"""Journeys to the end of the night""";"""Documentário""";"""27/12/2011 a 09/01/2012""";"""Utopia Films Produção Artística Ltda.""";"""RJ""";"""Informaction Productions Inc.""";"""Canadá""";"""Estrangeira""";"""RJ"""
201;30/11/2011;2;"""Umino Mukou no Taisetsuna Hitoe""";"""Documentário""";"""10/12/2011 a 20/12/2011""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""Dmark Co., Ltd.""";"""Japão""";"""Estrangeira""";"""RJ"""
202;02/12/2011;2;"""Peugeot A9 Rio Event""";"""Publicitária""";"""05/12/2011 a 09/12/2011""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""Rokkit""";"""Inglaterra""";"""Estrangeira""";"""RJ"""
203;07/12/2011;4;"""Meine Heimat""";"""Documentário""";"""26/12/2011 a 02/01/2012""";"""Aura Filme Produções Ltda.""";"""RJ""";"""FFP New Media GmbH""";"""Alemanha""";"""Estrangeira""";"""SP"""
204;07/12/2011;5;"""Brazil with Michael Palin - Part 3""";"""Documentário""";"""08/01/2012 a 29/01/2012""";"""Manga Rosa Filmes Ltda.""";"""RS""";"""Prominent Palin Productions Ltd.""";"""Inglaterra""";"""Estrangeira""";"""AM/DF/GO/MT/PA/RR"""
205;08/12/2011;3;"""Fishing Adventurer""";"""Documentário""";"""03/01/2012 a 15/01/2012""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM""";"""Fishing Adventurer Productions Inc.""";"""Canadá""";"""Estrangeira""";"""AM"""
206;09/12/2011;1;"""Rainforest""";"""Publicitária""";"""14/12/2011 a 22/12/2011""";"""Paradiso Filmes Ltda """;"""SP""";""" TwinFilm GmbH""";"""Alemanha""";"""Estrangeira""";"""SP"""
207;09/12/2011;1;"""Responsability Project""";"""Documentário""";"""15/12/2011 a 24/12/2011""";"""Planeta Film Ltda.""";"""SP""";"""Supply and Demand Integrated""";"""Estados Unidos""";"""Estrangeira""";"""AM/RJ"""
208;13/12/2011;3;"""Hummigbirds""";"""Documentário""";"""02/01/2012 a 22/01/2012""";"""Dez e Vinte Produções Cinematográficas Ltda.""";"""SP""";"""Free Spirit Films""";"""Inglaterra""";"""Estrangeira""";"""BA/ES/SP"""
209;14/12/2011;2;"""System Critical""";"""Documentário""";"""15/01/2012 a 28/01/2012""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""Windfall Films Ltd.""";"""Inglaterra""";"""Estrangeira""";"""PR/SP"""
