"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2011""";;;;;;;;;;;
;;;;;;;;;;;
"""Número de Autorização de Origem""";"""Data da Aprovação""";"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)"""
25;14/02/2011;3;"""Reiseleiter""";"""Documentário""";"""05/03/2011 a 13/03/2011""";"""Aura Filme Produções Ltda.""";"""RJ""";"""Schweizer Fernsehen""";"""Suíça""";"""Estrangeira""";"""MT/PR"""
26;14/02/2011;4;"""Real sekai kun""";"""Documentário""";"""02/03/2011 a 12/03/2011""";"""Town Network Filmagens Ltda.""";"""SP""";"""MBS - Mainichi Broadcasting System Inc.""";"""Japão""";"""Estrangeira""";"""RJ"""
27;15/02/2011;6;"""Children´s Hospital""";"""Série de TV""";"""19/02/2011 a 22/02/2011""";"""Carioca Filmes Ltda.""";"""RJ""";"""Abominable Pictures Inc.""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
28;16/02/2011;6;"""Pororoca surfing on sunday night""";"""Documentário""";"""13/03/2011 a 24/03/2011""";"""Blue Eye Empreendimentos e Produções Audiovisuais Ltda.""";"""RJ""";"""Channel Seven""";"""Austrália""";"""Estrangeira""";"""AP"""
29;17/02/2011;9;"""Carnivale""";"""Publicitária""";"""01/03/2011 a 15/03/2011 e 20/04/2011 a 05/05/2011""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""Thomas Thomas Films""";"""Inglaterra""";"""Estrangeira""";"""RJ"""
30;18/02/2011;3;"""Pop up art show""";"""Documentário""";"""20/02/2011 a 26/02/2011""";"""Prodigital Latina Estúdio Filmes Ltda.""";"""SP""";"""Raw Television Ltd.""";"""Inglaterra""";"""Estrangeira""";"""RJ"""
31;21/02/2011;6;"""Lauren Verslaat""";"""Documentário""";"""02/03/2011 a 06/03/2011""";"""JKR Produções Artísticas Ltda.""";"""RJ""";"""Noordkaap TV Producties BV""";"""Holanda""";"""Estrangeira""";"""SP"""
32;21/02/2011;4;"""Caffe latte""";"""Documentário""";"""25/02/2011 a 09/03/2011""";"""Sol Entertainment Ltda.""";"""RJ""";"""Mackat GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ/SP"""
33;23/02/2011;4;"""Christian spiritual leaders""";"""Documentário""";"""07/03/2011 a 13/03/2011""";"""Neon Rio Ltda.""";"""RJ""";"""Sylvester Productions NV""";"""Bélgica""";"""Estrangeira""";"""PE"""
34;25/02/2011;3;"""Rio""";"""Documentário""";"""04/03/2011 a 20/03/2011""";"""Luz Mágica Produções Audiovisuais Ltda.""";"""RJ""";"""Parallax Inc.""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
