Listagem de Complexos de Exibição por Município e UF - 2019;;;;;;;
;;;;;;;
#;UF;Município;População*;Nome Complexo;Grupo ANCINE;Registro Ancine do Complexo;Número de Salas
67;CE;FORTALEZA;2.669.342;Cinema do Dragão - Fundação Joaquim Nabuco;INDEPENDENTE;25387;2
68;CE;FORTALEZA;2.669.342;Cinemas Benfica;INDEPENDENTE;15691;4
69;CE;FORTALEZA;2.669.342;Cinépolis North Shopping Jóquei;CINÉPOLIS;25960;5
70;CE;FORTALEZA;2.669.342;Cinépolis RioMar Fortaleza;CINÉPOLIS;27076;10
71;CE;FORTALEZA;2.669.342;KINOPLEXNorth Shopping;KINOPLEX;2414;6
72;CE;FORTALEZA;2.669.342;Shopping RioMar Presidente Kennedy;CINÉPOLIS;34309;6
73;CE;FORTALEZA;2.669.342;UCI Kinoplex Iguatemi Fortaleza;UCI RIBEIRO;2616;12
74;CE;FORTALEZA;2.669.342;UCI Shopping Parangaba;UCI;27591;6
75;CE;JUAZEIRO DO NORTE;274.207;Orient Cariri Garden Shopping;ORIENT;27981;6
76;CE;LIMOEIRO DO NORTE;59.540;Pinheiro Cinema Francisco Lucena;PINHEIRO;27568;2
77;CE;MARACANAÚ;227.886;Centerplex North Shopping Maracanaú;CENTERPLEX;16969;4
78;CE;QUIXADÁ;87.728;Pinheiro Cinema Quixadá;PINHEIRO;17606;2
79;CE;SOBRAL;208.935;Multicine North Shopping Sobral;MULTICINE;31088;5
80;CE;SOBRAL;208.935;Pinheiro Cinema Renato Aragão;PINHEIRO;34139;3
81;CE;TIANGUÁ;75.946;Movieplex Cine Ibiapaba;INDEPENDENTE;36107;2
82;CE;EUSÉBIO;53.618;Grupocine Eusébio;GRUPO CINE;44457;5
83;CE;ACARAÚ;62.641;Cine Bom Bozinho Acaraú;PINHEIRO;44296;2
84;CE;MARANGUAPE;128.978;Grupocine Maranguape;GRUPO CINE;44288;3
85;CE;CAUCAIA;361.400;Multicine Iandê Shopping;MULTICINE;43968;4
86;DF;BRASÍLIA;3.015.268;Arcoplex Águas Claras;ARCOPLEX;24036;4
87;DF;BRASÍLIA;3.015.268;Cine Brasília;INDEPENDENTE;36651;1
88;DF;BRASÍLIA;3.015.268;Cine Cultura Liberty Mall;INDEPENDENTE;20963;4
89;DF;BRASÍLIA;3.015.268;Cine Drive In;INDEPENDENTE;6715;1
90;DF;BRASÍLIA;3.015.268;Cine Premier Sobradinho;PREMIER;19457;3
91;DF;BRASÍLIA;3.015.268;Cineflix JK Shopping;CINEFLIX;24535;6
92;DF;BRASÍLIA;3.015.268;Cinemark Iguatemi Brasília;CINEMARK;17609;6
93;DF;BRASÍLIA;3.015.268;Cinemark Pier 21;CINEMARK;2535;13
94;DF;BRASÍLIA;3.015.268;Cinemark Taguatinga Shopping;CINEMARK;2534;9
95;DF;BRASÍLIA;3.015.268;Espaço Itaú de Cinema - Brasília;ESPAÇO;20590;9
96;DF;BRASÍLIA;3.015.268;KINOPLEX Cinema Terraço Shopping;KINOPLEX;2411;5
97;DF;BRASÍLIA;3.015.268;KINOPLEXBoulevard;KINOPLEX;16402;4
98;DF;BRASÍLIA;3.015.268;KINOPLEXCinema Pátio Brasil;KINOPLEX;2412;6
99;DF;BRASÍLIA;3.015.268;KINOPLEXPark Shopping;KINOPLEX;2415;11
100;DF;BRASÍLIA;3.015.268;Multicine Santa Maria Shopping;MULTICINE;30733;6
101;ES;ARACRUZ;101.220;AFA Cine Ritz Aracruz;AFA;32422;2
102;ES;CACHOEIRO DE ITAPEMIRIM;208.972;AFA Cine Ritz Perim Center;AFA;35405;3
103;ES;CACHOEIRO DE ITAPEMIRIM;208.972;AFA Cine Ritz Sul (Cachoeiro);AFA;17321;4
104;ES;CACHOEIRO DE ITAPEMIRIM;208.972;AFA Cine Unimed Sul;AFA;S/REG;4
105;ES;CARIACICA;381.285;Cinépolis Moxuara;CINÉPOLIS;25961;5
106;ES;COLATINA;122.499;Cine Gama - Colatina;INDEPENDENTE;11818;2
107;ES;GUARAPARI;124.859;AFA Cine Ritz Guarapari;AFA;6638;3
108;ES;LINHARES;173.555;AFA Cine Ritz Conceição;INDEPENDENTE;19579;3
109;ES;LINHARES;173.555;Cinesercla PátioMix Linhares;LB CINEMAS;24667;4
110;ES;MARATAÍZES;38.499;AFA Cine Via Sul (Marataízes);INDEPENDENTE;27043;1
111;ES;PIÚMA;21.711;AFA Cine Ritz Piúma;AFA;29419;1
112;ES;SÃO MATEUS;130.611;AFA Cine São Mateus;AFA;24026;1
113;ES;SERRA;517.510;ARAÚJO Multiplex Shopping Mestre Álvaro;ARAÚJO;20405;5
114;ES;SERRA;517.510;Cinesercla Shopping Montserrat;ADICINE;27434;5
115;ES;VILA VELHA;493.838;Cinemark Shopping Vila Velha;CINEMARK;30577;8
116;ES;VILA VELHA;493.838;Cinesystem Boulevard Shopping;CINESYSTEM;22547;6
117;ES;VILA VELHA;493.838;KINOPLEXPraia da Costa;KINOPLEX;27854;7
118;ES;VITÓRIA;362.097;Cine Jardins;INDEPENDENTE;12477;2
119;ES;VITÓRIA;362.097;Cinemagic Norte Sul;CINEMAGIC;24232;4
120;ES;VITÓRIA;362.097;Cinemark Shopping Vitória;CINEMARK;12975;8
121;GO;ÁGUAS LINDAS DE GOIÁS;212.440;Multicine Águas Lindas;MULTICINE;30737;4
122;GO;ANÁPOLIS;386.923;Cine Prime;INDEPENDENTE;14814;4
123;GO;ANÁPOLIS;386.923;Cinemais Anápolis;CINEMAIS;22800;5
124;GO;APARECIDA DE GOIÂNIA;578.179;Cineflix Aparecida Shopping;CINEFLIX;36838;5
125;GO;APARECIDA DE GOIÂNIA;578.179;Lumière Shopping Portal Sul;LUMIÈRE;37196;4
126;GO;APARECIDA DE GOIÂNIA;578.179;Moviecom Buriti;MOVIECOM SÃO PAULO;2893;6
127;GO;CALDAS NOVAS;91.162;Sétima Arte Cine Stadium Caldas;INDEPENDENTE;16521;2
128;GO;CATALÃO;108.823;Lumière Catalão Shopping;MAJESTIC;16701;3
129;GO;FORMOSA;121.617;Cine Premier Formosa;PREMIER;23500;2
130;GO;GOIÂNIA;1.516.113;Cine Cultura – Sala Eduardo Benfica;INDEPENDENTE;22867;1
131;GO;GOIÂNIA;1.516.113;Cinemark Flamboyant;CINEMARK;40181;8
132;GO;GOIÂNIA;1.516.113;Cinemark Passeio das Águas;CINEMARK;26040;7
133;GO;GOIÂNIA;1.516.113;Cinépolis Shopping Cerrado;CINÉPOLIS;32323;7
134;GO;GOIÂNIA;1.516.113;KINOPLEXGoiânia Shopping;KINOPLEX;2408;6
135;GO;GOIÂNIA;1.516.113;Lumière Araguaia Shopping;MAJESTIC;2654;5
136;GO;GOIÂNIA;1.516.113;Lumière Banana;LUMIÈRE;40889;5
137;GO;GOIÂNIA;1.516.113;Lumière Portal Shopping;LUMIÈRE;37198;3
138;GO;GOIÂNIA;1.516.113;Multicine Shopping Cidade Jardim;MULTICINE;30736;3
139;GO;GOIATUBA;34.095;Sétima Arte Cine Goiatuba;INDEPENDENTE;16523;1
