"""Listagem de Autorizações de Produções Audiovisuais no Brasil com Participação de Profissionais Estrangeiros - 2013""";;;;;;;;;;;
;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)"""
"""19""";18/01/2013;"""15""";"""CARNAVAL RIO 2013""";"""Documentário""";"""31/01/2013 a 20/02/2013""";"""Globo Comunicação e Participações S.A.""";"""RJ""";"""Nippon Hoso Kyokai""";"""Japão""";"""Estrangeira""";"""RJ"""
"""20""";23/01/2013;"""4""";"""JAPONESES QUE VIVEM EM TERRAS DISTANTES""";"""Documentário""";"""09/02/2013 a 25/02/2013""";"""Urutau Filmes Ltda.""";"""SP""";"""Wave Inc.""";"""Japão""";"""Estrangeira""";"""PA/SP"""
"""21""";25/01/2013;"""6""";"""KJELLES SMAKRESA""";"""Reality show""";"""05/02/2013 a 22/02/2013""";"""Francisco Ferreira Pinto Filho""";"""AM""";"""Art 89 Television""";"""Suécia""";"""Estrangeira""";"""AM/RJ/SP"""
"""22""";28/01/2013;"""2""";"""SEKAI NAZE SOKONI NIHONJIN""";"""Documentário""";"""06/02/2013 a 23/02/2013""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""TV Tokyo Co.""";"""Japão""";"""Estrangeira""";"""PA"""
"""23""";29/01/2013;"""1""";"""A TRAJETÓRIA DO BRASIL PARA SE TRANSFORMAR NUMA POTÊNCIA MUNDIAL""";"""Documentário""";"""24/02/2013 a 04/06/2013""";"""Aura Filme Produções Ltda.""";"""RJ""";"""Bildersturm Filmproduktion GmbH""";"""Alemanha""";"""Estrangeira""";"""DF/RJ/SP"""
"""24""";30/01/2013;"""1""";"""16º NEKKETSU OYAJI BATTLE""";"""Documentário""";"""14/02/2013 a 22/02/2013""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""NHK - Japan Broadcasting""";"""Japão""";"""Estrangeira""";"""SP"""
"""25""";INUTILIZADO;"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";""""""
"""26""";31/01/2013;"""4""";"""GO BRAZIL GO""";"""Documentário""";"""06/02/2013 a 13/02/2013""";"""Paranoid Brasil Ltda.""";"""SP""";"""Single Carioca, LLC""";"""EUA""";"""Estrangeira""";"""BA/RJ"""
"""27""";31/01/2013;"""1""";"""PROJEKT CHACHAPOYA""";"""Documentário""";"""28/02/2013 a 10/03/2013""";"""Aura Filme Produções Ltda.""";"""RJ""";"""doc.station GmbH""";"""Alemanha""";"""Estrangeira""";"""PA/PE/SP"""
"""028*""";31/01/2013;"""15""";"""GO GO""";"""Ficção""";"""09/02/2013 a 21/02/2013""";"""Utopia Films Produção Artística Ltda.""";"""RJ""";"""Ozzy Production Ltd.""";"""Nigéria""";"""Estrangeira""";"""RJ"""
"""29""";31/01/2013;"""18""";"""MALABI EXPRESS""";"""Ficção""";"""17/02/2013 a 10/04/2013""";"""Jaguatirica Cinema e Fotografia Ltda.""";"""BA""";"""Sumayoko Ltd.""";"""Israel""";"""Estrangeira""";"""BA"""
"""30""";01/02/2013;"""3""";"""DINA EL WEDIDI""";"""Documentário""";"""11/02/2013 a 16/02/2013""";"""Maso Image Concept""";"""BA""";"""The Proudfoot Company LLP""";"""Reino Unido""";"""Estrangeira""";"""BA"""
"""31""";01/02/2013;"""6""";"""NEW WORLD""";"""Documentário""";"""07/03/2013 a 21/03/2013""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""Sultan Sushi TV""";"""Bélgica""";"""Estrangeira""";"""SP"""
"""32""";04/02/2013;"""2""";"""SHELL ECO CAR""";"""Documentário""";"""10/02/2013 a 20/03/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Darlow Smithson Productions Ltd.""";"""Reino Unido""";"""Estrangeira""";"""SC"""
"""33""";05/02/2013;"""4""";"""A TRANSFORMAÇÃO ATRAVÉS DO ESPORTE""";"""Documentário""";"""26/02/2013 a 18/03/2013""";"""Urutau Filmes Ltda.""";"""SP""";"""Kibouhou Inc.""";"""Japão""";"""Estrangeira""";"""RJ"""
"""34""";08/02/2013;"""3""";"""SAUDI ARAMCO CDZ KIDZ VIDZ""";"""Documentário""";"""05/03/2013 a 10/03/2013""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""The Edge Picture Company""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""35""";08/02/2013;"""1""";"""COOPERATIVE BANKING""";"""Publicitária""";"""09/02/2013 a 21/02/2013""";"""Matrec Produções Cinematográficas""";"""SP""";"""Bonkers BV""";"""Holanda""";"""Estrangeira""";"""RJ"""
"""36""";INUTILIZADO;"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";""""""
"""37""";08/02/2013;"""1""";"""IMAGENS DE CIDADES BRASILEIRAS""";"""Institucional""";"""22/05/2013 a 28/06/2013""";"""Aura Filme Produções Ltda.""";"""RJ""";"""White Balance Productions Ltda.""";"""Reino Unido""";"""Estrangeira""";"""DF/MG/RJ/RN/RS/ SP"""
"""38""";15/02/2013;"""22""";"""CAMEL ARTISTS 2014""";"""Publicitária""";"""22/02/2013 a 22/03/2013""";"""Planeta Film Ltda.""";"""SP""";"""GOLDTEETH""";"""EUA""";"""Estrangeira""";"""RJ"""
"""39""";INUTILIZADO;"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";""""""
"""40""";INUTILIZADO;"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";""""""
"""41""";INUTILIZADO;"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";"""""";""""""
"""42""";21/02/2013;"""2""";"""SEKAI NAZE SOKONI NIHONJIN""";"""Documentário""";"""01/03/2013 a 08/03/2013""";"""BDT Planejamento e Comunicação Ltda.""";"""SP""";"""Wholeman Co. Ltd.""";"""Japão""";"""Estrangeira""";"""SP"""
"""43""";21/02/2013;"""3""";"""NATUROPOLIS""";"""Documentário""";"""15/03/2013 a 10/04/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Doc Side Production""";"""França""";"""Estrangeira""";"""RJ"""
"""44""";21/02/2013;"""3""";"""HIDDEN KINGDOMS""";"""Documentário""";"""06/03/2013 a 30/03/2013""";"""Neon Rio Ltda.""";"""RJ""";"""British Broadcasting Corporation (BBC)""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""45""";22/02/2013;"""2""";"""CET ÉTÉ À RIO, DIEU SERA JEUNE ET BRÉSILIEN""";"""Documentário""";"""04/03/2013 a 21/03/2013""";"""Sol Entertainment Ltda.""";"""RJ""";"""C.F.R.T. (Comité Français de Radio-Télévision)""";"""França""";"""Estrangeira""";"""BA/MA/PA/RJ/SP"""
"""46""";22/02/2013;"""4""";"""BRAZIL WELCOMES THE WORLD""";"""Documentário""";"""01/03/2013 a 22/03/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Freshwater Films""";"""Reino Unido""";"""Estrangeira""";"""AM/RJ/SP"""
"""47""";22/02/2013;"""4""";"""PRA QUEM""";"""Publicitária""";"""23/02/2013 a 07/03/2013""";"""Produtora de Cinema e Filmes Associados Ltda.""";"""SP""";""" -""";""" -""";"""Brasileira""";"""SP"""
"""48""";25/02/2013;"""4""";"""GETAWAY""";"""Documentário""";"""25/03/2013 a 02/04/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Nine Network Australia""";"""Austrália""";"""Estrangeira""";"""RJ"""
"""49""";25/02/2013;"""2""";"""FIFA CAMPAIGN SPOTS BRAZIL: TOTAL FOOTBALL""";"""Documentário institucional""";"""05/03/2013 a 13/03/2013""";"""Neon Rio Ltda.""";"""RJ""";"""IMG Media Ltd.""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""50""";26/02/2013;"""8""";"""PROJETO LUTA PELA PAZ""";"""Institucional""";"""03/03/2013 a 13/03/2013""";"""Fernanda Rizzo Eventos e produções Artísticas Ltda.""";"""SP""";"""Done and Dusted Productions Ltd.""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""51""";26/02/2013;"""7""";"""GALILEO""";"""Documentário""";"""14/03/2013 a 29/03/2013""";"""Aura Filme Produções Ltda.""";"""RJ""";"""Maximus Film GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ"""
"""52""";28/02/2013;"""1""";"""GETÚLIO, ÚLTIMOS DIAS""";"""Ficção""";"""04/04/2013 a 16/04/2013""";"""Elimar Produções Artísticas Ltda.""";"""RJ""";""" -""";""" -""";"""Brasileira""";"""RJ"""
"""53""";01/03/2013;"""1""";"""THE KICKING OF THE MOON""";"""Publicitária""";"""01/03/2013 a 10/03/2013""";"""JKR Produções Artísticas Ltda.""";"""RJ""";"""ONESIX7 Productions""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""54""";01/03/2013;"""1""";"""BUILDING BRAZIL PART 3""";"""Documentário""";"""03/03/2013 a 31/05/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Blink Entertainment Limited""";"""Reino Unido""";"""Estrangeira""";"""AM/RJ/SP"""
"""55""";05/03/2013;"""2""";"""WORLD'S TOP 5""";"""Documentário""";"""07/03/2013 a 31/03/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Blink Films""";"""Reino Unido""";"""Estrangeira""";"""MA/SP"""
"""56""";06/03/2013;"""5""";"""FOREIGN LOVE""";"""Ficção""";"""10/03/2013 a 10/05/2013""";"""Sister Entretenimento Ltda.""";"""SP""";"""Him Fame Film Production""";"""Índia""";"""Estrangeira""";"""SP"""
"""57""";06/03/2013;"""1""";"""CARTÃO""";"""Publicitária""";"""20/03/2013 a 20/04/2013""";"""O2 Produções Artísticas e Cinematográficas Ltda.""";"""SP""";""" -""";""" -""";"""Brasileira""";"""SP"""
"""58""";06/03/2013;"""4""";"""URBAN LEGENDS""";"""Documentário""";"""23/05/2013 a 28/05/2013""";"""Ricardo Gonçalves Produções Cinematográficas""";"""SP""";"""CDI Virtual Films Inc.""";"""EUA""";"""Estrangeira""";"""RJ"""
"""59""";08/03/2013;"""1""";"""PALESTRA HAPPY SCIENCE""";"""Documentário""";"""18/03/2013 a 26/03/2013""";"""Town Network Filmagens Ltda""";"""SP""";"""Kofuku no Kagaku""";"""Japão""";"""Estrangeira""";"""SP"""
"""60""";12/03/2013;"""12""";"""GATORADE GLOBAL FOOTBALL""";"""Publicitária""";"""22/03/2013 a 30/03/2013""";"""Ocean Produção de Filmes Ltda""";"""SC""";"""Rabbit Content""";"""EUA""";"""Estrangeira""";"""RJ/SP"""
"""61""";12/03/2013;"""2""";"""PROGRAMA BANKISHA - BIOCOMBUSTÍVEL""";"""Documentário""";"""17/03/2013 a 31/03/2013""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""NTV - International Co.""";"""EUA""";"""Estrangeira""";"""MG/MS"""
"""62""";12/03/2013;"""1""";"""ALWAYS PLATINUM: LAUNCH, NIGHT, LINERS & TAMPONS""";"""Publicitária""";"""17/03/2013 a 14/05/2013""";"""Bossa Nova Films Criações e Produções Ltda.""";"""SP""";""" -""";""" -""";"""Brasileira""";"""SP"""
"""63""";13/03/2013;"""4""";"""NEXT STEP SHOW""";"""Documentário""";"""16/04/2013 a 27/04/2013""";"""Francisco Ferreira Pinto Filho""";"""AM""";"""CDI Virtual Films Inc.""";"""EUA""";"""Estrangeira""";"""AM"""
"""64""";14/03/2013;"""2""";"""MESAMASHI TV (DESPERTANDO COM A TV)""";"""Documentário""";"""20/03/2013 a 26/03/2013""";"""Alfixit Produções Culturais e Artísticas Ltda.""";"""SP""";"""Fuji Television Network Inc.""";"""Japão""";"""Estrangeira""";"""AM"""
"""65""";15/03/2013;"""2""";"""JUSTIZSCHIFF BARCO TRIBUNA""";"""Documentário""";"""09/04/2013 a 26/04/2013""";"""Sol Entertainment Ltda.""";"""RJ""";"""Schweizer Radio und Fernsehen""";"""Suíça""";"""Estrangeira""";"""AM"""
"""66""";15/03/2013;"""3""";"""SHINKAI 6500 - PESQUISAS EM ÁGUAS PROFUNDAS DO ATLÂNTICO SUL""";"""Documentário""";"""08/04/2013 a 31/05/2013""";"""Town Network Filmagens Ltda""";"""SP""";"""NHK - Nippon Hoso Kyokai - Science Division""";"""Japão""";"""Estrangeira""";"""RJ/SP"""
"""67""";20/03/2013;"""6""";"""WELCOME TO RIO PART 3""";"""Documentário""";"""22/03/2013 a 30/09/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Keo Films""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""68""";27/03/2013;"""3""";"""A DAY IN THE LIFE""";"""Documentário""";"""20/04/2013 a 27/04/2013""";"""Fulano Filmes Ltda""";"""SP""";""" -""";""" -""";"""Brasileira""";"""RJ"""
"""69""";27/03/2013;"""2""";"""CHANGE FOR GOOD - UNICEF""";"""Documentário""";"""10/04/2013 a 13/04/2013""";"""InCartaz Filmes e Eventos Ltda""";"""CE""";"""Mia Brandt""";"""EUA""";"""Estrangeira""";"""RJ"""
"""70""";27/03/2013;"""3""";"""DOCUMENTÁRIO""";"""Documentário""";"""04/04/2013 a 14/04/2013""";"""Caipirinha Filmes e Produções Ltda """;"""RJ""";"""Blind Spot Pictures AS""";"""México""";"""Estrangeira""";"""RS/SP"""
"""71""";27/03/2013;"""1""";"""UNREPORTED WORLD""";"""Documentário""";"""12/04/2013 a 10/05/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Quicksilver Media""";"""Reino Unido""";"""Estrangeira""";"""RJ/SP"""
"""72""";27/02/2013;"""4""";"""TRAVESSIA FRANCISCO EN BRASIL""";"""Documentário""";"""08/04/2013 a 13/05/2013""";"""Sol Entertainment Ltda.""";"""RJ""";"""Monosabios |deas Desarrollos S.R.L.""";"""Argentina""";"""Estrangeira""";"""BA/MG/PA/RJ/RS/SC/SP"""
"""73""";28/03/2013;"""3""";"""KIBON""";"""Publicitária""";"""10/04/2013 a 15/05/2013""";"""O2 Produções Artísticas e Cinematográficas Ltda.""";"""SP""";""" -""";""" -""";"""Brasileira""";"""SP"""
"""74""";28/03/2013;"""1""";"""QUERIDINHA""";"""Publicitária""";"""05/04/2013 a 25/04/2013""";"""Paranoid Brasil Ltda.""";"""SP""";""" -""";""" -""";"""Brasileira""";"""SP"""
"""75""";28/03/2013;"""12""";"""CORAÇÃO DE LEÃO""";"""Ficção""";"""06/04/2013 a 12/04/2013""";"""Unfinished Business Produções Artísticas, Cinematográficas e Audiovisuais Ltda""";"""RJ""";"""Aleph Media AS""";"""Argentina""";"""Coprodução""";"""RJ"""
"""76""";28/03/2013;"""1""";"""CITRIX SP""";"""Institucional""";"""13/04/2013 a 23/04/2013""";"""Sister Entretenimento Ltda.""";"""SP""";"""Best Image Productions""";"""EUA""";"""Estrangeira""";"""SP"""
"""77""";01/04/2013;"""6""";"""SAGRES - RIO DE JANEIRO""";"""Publicitária""";"""06/04/2013 a 10/04/2013""";"""Cinco Ponto Seis Filmes Ltda""";"""SP""";"""Kripton Lda""";"""Portugal""";"""Estrangeira""";"""RJ"""
"""78""";04/04/2013;"""4""";"""ANOTHER SKY""";"""Documentário""";"""22/04/2013 a 02/05/2013""";"""Town Network Filmagens Ltda""";"""SP""";"""NTV - Nippon Television Network Co""";"""Japão""";"""Estrangeira""";"""RJ"""
"""79""";04/04/2013;"""4""";"""MILAGROS DECODIFICADOS""";"""Documentário""";"""07/04/2013 a 20/04/2013""";"""Endemol Brasil Produções Ltda""";"""SP""";"""Endemol Argentina S/A""";"""Argentina""";"""Coprodução""";"""DF/MG/RS/SP"""
"""80""";08/04/2013;"""16""";"""HYPER VENOM""";"""Publicitária""";"""22/04/2013 a 30/04/2013""";"""Zohar Cinema e Comunicação Ltda.""";"""RJ""";"""Reset Content""";"""EUA""";"""Estrangeira""";"""RJ"""
"""81""";08/04/2013;"""10""";"""CUBBOSA""";"""Videoclipe""";"""19/04/2013 a 30/04/2013""";"""Alfixit Produções Culturais e Artísticas Ltda.""";"""SP""";"""AVEX Entertainment Inc.""";"""Japão""";"""Estrangeira""";"""RJ/SP"""
"""82""";08/04/2013;"""3""";"""BRAZIL ON THE MOVE / ENERGIZING BRAZIL""";"""Documentário""";"""12/04/2013 a 15/05/2013""";"""Têm Dênde Produções""";"""BA""";"""Copenhague Film Company""";"""Dinamarca""";"""Estrangeira""";"""RJ/SP"""
"""83""";09/04/2013;"""4""";"""BEHIND METTANT EM VEDETTE""";"""Documentário""";"""04/05/2013 a 14/05/2013""";"""FSR Produções Artísticas Ltda.""";"""RJ""";"""Tri Orange Productions Inc.""";"""Canadá""";"""Estrangeira""";"""RJ"""
"""84""";10/04/2013;"""3""";"""O FUTURO DA BIOMETRIA FACIAL""";"""Documentário""";"""25/04/2013 a 04/05/2013""";"""Urutau Filmes Ltda.""";"""SP""";"""NHK - Japan Broadcasting Corporation""";"""Japão""";"""Estrangeira""";"""SP"""
"""085*""";11/04/2013;"""3""";"""CONTRIBUIÇÃO DO JAPÃO PARA O DESENVOLVIMENTO DO CERRADO""";"""Documentário""";"""08/05/2013 a 25/05/2013""";"""Town Network Filmagens Ltda""";"""SP""";"""TBS - Tokyo Broadcasting System Television Inc.""";"""Japão""";"""Estrangeira""";"""DF/MT/MS/RJ"""
"""86""";11/04/2013;"""4""";"""FILEMON WITH BNN ABROAD""";"""Documentário""";"""07/05/2013 a 17/05/2013""";"""Blue Eye Empreendimentos e Produções Audiovisuais Ltda.""";"""RJ""";"""BNN""";"""Holanda""";"""Estrangeira""";"""AC/RJ"""
"""87""";12/04/2013;"""6""";"""TRAVEL HAPPY""";"""Publicitária""";"""20/04/2013 a 14/05/2013""";"""Matrec Produções Cinematográficas""";"""SP""";"""Goodoil Films""";"""Austrália""";"""Estrangeira""";"""RJ"""
"""88""";15/04/2013;"""3""";"""TRANSFORM TODAY""";"""Publicitária""";"""22/04/2013 a 02/05/2013""";"""Ocean Produção de Filmes Ltda""";"""SC""";"""Sonny London""";"""Reino Unido""";"""Estrangeira""";"""SP"""
"""89""";16/04/2013;"""3""";"""C SQUARE PROJECT""";"""Documentário""";"""12/04/2013 a 19/04/2013""";"""Ricardo Gonçalves Produções Cinematográficas""";"""SP""";"""CDI Virtual Films Inc.""";"""EUA""";"""Estrangeira""";"""RJ"""
"""90""";18/04/2013;"""1""";"""QUANTO MAIS A GENTE COLORE""";"""Publicitária""";"""22/04/2013 a 30/04/2013""";"""Paranoid Brasil Ltda.""";"""SP""";""" -""";""" -""";"""Brasileira""";"""SP"""
"""91""";18/04/2013;"""2""";"""POKERSTARS RONALDO""";"""Publicitária""";"""20/04/2013 a 01/05/2013""";"""Nation & Nação Produção Atística Ltda.""";"""SP""";"""AP Production Service Inc.""";"""EUA""";"""Estrangeira""";"""SP"""
"""92""";19/04/2013;"""2""";"""O PEREGRINO: A MELHOR HISTÓRIA DE PAULO COELHO""";"""Ficção""";"""24/03/2013 a 15/06/2013""";"""Cuatro Dama Filmes Ltda.""";"""SP""";"""Babel Films S.L.""";"""Espanha""";"""Coprodução""";"""RJ"""
"""93""";19/04/2013;"""7""";"""REPORTERS DE JACOBO ZABLUDOVSKY Y HERIBIERTO MURRIETA EN RIO, PARA LA COPA""";"""Documentário""";"""03/05/2013 a 12/05/2013""";"""ESPN do Brasil Eventos Esportivos Ltda.""";"""SP""";"""ESPN Internacional México S.A.""";"""México""";"""Estrangeira""";"""RJ"""
"""94""";19/04/2013;"""12""";"""7 DAYS CHALLENGE""";"""Documentário""";"""28/04/2013 a 15/06/2013""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""Est. Co. Ltd.""";"""Japão""";"""Estrangeira""";"""AM"""
"""95""";19/04/2013;"""1""";"""SUPER CRÔ""";"""Ficção""";"""07/05/2013 a 27/05/2013""";"""Filmes do Equador""";"""RJ""";""" -""";""" -""";"""Brasileira""";"""SP"""
"""96""";19/04/2013;"""4""";"""SCIENCE CLUB""";"""Documentário""";"""20/04/2013 a 28/04/2013""";"""Neon Rio Ltda.""";"""RJ""";"""British Braidcasting Corporation (BBC Vision)""";"""Reino Unido""";"""Estrangeira""";"""BA/PE/RJ"""
"""97""";19/04/2013;"""6""";"""UM DIA NA VIDA DE NEYMAR""";"""Publicitária""";"""13/05/2013 a 29/05/2013""";"""Ocean Produção de Filmes Ltda""";"""SC""";"""AOI PRO.INC.""";"""Japão""";"""Estrangeira""";"""SP"""
"""98""";19/04/2013;"""5""";"""FROM THE FUTURE""";"""Publicitária""";"""22/05/2013 a 07/06/2013""";"""Ocean Produção de Filmes Ltda""";"""SC""";"""Sonny London""";"""Reino Unido""";"""Estrangeira""";"""SP"""
"""99""";24/04/2013;"""6""";"""NILEDUTCH""";"""Institucional""";"""30/04/2013 a 15/05/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Motion Markers.be""";"""Bélgica""";"""Estrangeira""";"""RJ/SC/SP"""
"""100""";24/04/2013;"""1""";"""JULGAMENTO/ASTRONAUTA/BEBE""";"""Publicitária""";"""23/04/2013 a 30/04/2013""";"""Goritzia Filmes Ltda""";"""RJ""";""" -""";""" -""";"""Brasileira""";"""SP"""
"""101""";26/04/2013;"""1""";"""DEATH - A SERIES ABOUT LIFE""";"""Documentário""";"""25/04/2013 a 29/04/2013""";"""ID AV - Identidade Audiovisual Ltda""";"""SP""";"""Flimmer Film AS""";"""Noruega""";"""Estrangeira""";"""SP"""
"""102""";26/04/2013;"""2""";"""FOOTBALL MADE IN BRAZIL""";"""Documentário""";"""15/05/2013 a 10/10/2013""";"""André Vilela D'Elia (Cinedelia Produções Artísticas)""";"""SP""";"""Take Five""";"""Bélgica""";"""Estrangeira""";"""AP/AM/BA/CE/DF/MG/PA/PE/RJ/
RN/RS/SC/SP"""
"""103""";26/04/2013;"""3""";"""HODO TOKUSHU - ECONOMIA BRASILEIRA EM CRESCIMENTO - REGIÃO DO CERRADO BRASILEIRO""";"""Documentário""";"""10/05/2013 a 19/05/2013""";"""BDT Planejamento e Comunicação Ltda.""";"""SP""";"""Tokyo Broadcasting System Television, Inc""";"""Japão""";"""Estrangeira""";"""DF/GO/MT/RJ/SP"""
"""104""";26/04/2013;"""1""";"""SOLARPROJECTS IN BRAZIL AND RIO DE JANEIRO - ONE YEAR BEFORE SOCCER WORLD CUP""";"""Documentário""";"""17/05/2013 a 26/05/2013""";"""Sol Entertainment Ltda.""";"""RJ""";"""Deutsche Welle""";"""Alemanha""";"""Estrangeira""";"""RJ/SC"""
"""105""";02/05/2013;"""3""";"""BOUNCE""";"""Documentário""";"""11/05/2013 a 16/05/2013""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""World of Wonder Productions. Inc""";"""EUA""";"""Estrangeira""";"""SP"""
