"""Listagem de Autorizações de Produções Audiovisuais no Brasil com Participação de Profissionais Estrangeiros - 2013""";;;;;;;;;;;
;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)"""
"""1""";07/01/2013;"""5""";"""WILD VAN DIEREN""";"""Documentário""";"""18/01/2013 a 28/01/2013""";"""Provocador Produções Artísticas""";"""RJ""";"""TvBastards Operatie KoeKoek""";"""Bélgica""";"""Estrangeira""";"""MG/RJ"""
"""2""";07/01/2013;"""2""";"""SKY MANSÃO""";"""Publicitária""";"""10/01/2013 a 10/02/2013""";"""O2 Produções Artísticas e Cinematográficas Ltda.""";"""SP""";""" -""";""" -""";"""Brasileira""";"""SP"""
"""3""";07/01/2013;"""2""";"""WILD BRAZIL""";"""Documentário""";"""15/01/2013 a 15/01/2015""";"""Light & Shadow Films Ltda.""";"""RJ""";"""Light & Shadow Films GmbH""";"""Alemanha""";"""Estrangeira""";"""AM/BA/GO/MG/MS/MA/PR/PE/PI/RJ/RS/RR"""
"""4""";08/01/2013;"""4""";"""ÓLEO REPARAÇÃO""";"""Publicitária""";"""10/01/2013 a 30/01/2013""";"""Zohar Cinema e Comunicação Ltda.""";"""RJ""";""" -""";""" -""";"""Brasileira""";"""RJ"""
"""5""";09/01/2013;"""2""";"""ZOMBIE ANTS""";"""Documentário""";"""24/01/2013 a 30/01/2013""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""Canadian Broadcasting Corporation""";"""Canadá""";"""Estrangeira""";"""MG"""
"""6""";11/01/2013;"""5""";"""ADIDAS""";"""Publicitária""";"""16/01/2013 a 31/01/2013""";"""Zohar Cinema e Comunicação Ltda.""";"""RJ""";"""Park Pictures NY""";"""EUA""";"""Estrangeira""";"""RJ"""
"""7""";11/01/2013;"""4""";"""FOOD UNWRAPPED 2""";"""Documentário""";"""20/01/2013 a 31/01/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Ricochet Ltd.""";"""Reino Unido""";"""Estrangeira""";"""SP"""
"""8""";11/01/2013;"""1""";"""BULDING BRAZIL PART II""";"""Documentário""";"""14/01/2013 a 14/02/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Blink Entertainment Limited""";"""Reino Unido""";"""Estrangeira""";"""AM/RJ/SP"""
"""9""";11/01/2013;"""2""";"""CERRADO BRASIL""";"""Documentário""";"""26/01/2013 a 09/02/2013""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""Ortus""";"""Japão""";"""Estrangeira""";"""DF/MG/MS"""
"""10""";11/01/2013;"""7""";"""FUJITSU BRASIL INSTITUCIONAL""";"""Institucional""";"""04/02/2013 a 08/02/2013""";"""Southside Produções Ltda.""";"""SP""";"""Fiction Films GmbH""";"""Alemanha""";"""Estrangeira""";"""SP"""
"""11""";11/01/2013;"""2""";"""MOCHILEIROS""";"""Publicitária""";"""21/01/2013 a 06/03/2013""";"""Sentimental Filme Ltda.""";"""SP""";""" -""";""" -""";"""Brasileira""";"""MG/RJ/SP"""
"""12""";11/01/2013;"""5""";"""ANOTHER SKY""";"""Documentário""";"""03/02/2013 a 11/02/2013""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""Boom Up Inc.""";"""Japão""";"""Estrangeira""";"""BA/RJ"""
"""13""";15/01/2013;"""3""";"""WELCOME TO RIO PART 2""";"""Documentário""";"""20/01/2013 a 28/02/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Keo Films""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""14""";15/01/2013;"""10""";"""THIS IS BRAZIL""";"""Documentário""";"""05/02/2013 a 09/05/2013""";"""Neon Rio Ltda.""";"""RJ""";"""SBS Corporation""";"""Austrália""";"""Estrangeira""";"""AM/BA/CE/DF/MS/MG/PR/PE/RJ/RN/RS/SP"""
"""15""";16/01/2013;"""6""";"""POWER OF TRIP""";"""Documentário""";"""05/02/2013 a 25/02/2013""";"""Sango Productions Ltda.""";"""SP""";"""Nihon Denpa News Co. Ltd.""";"""Japão""";"""Estrangeira""";"""RJ/SP"""
"""16""";17/01/2013;"""3""";"""CARNAVAL 2013""";"""Documentário""";"""29/01/2013 a 17/02/2013""";"""Sol Entertainment Ltda.""";"""RJ""";"""Prosieben Sat 1""";"""Alemanha""";"""Estrangeira""";"""RJ"""
"""17""";18/01/2013;"""9""";"""BASE""";"""Ficção""";"""09/02/2013 a 21/02/2013""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""Base Movie Limited""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""18""";18/01/2013;"""3""";"""SEARCH AND GO! TREASURED WORLD HERITAGE""";"""Documentário""";"""28/01/2013 a 16/02/2013""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""Telecom Staff Inc.""";"""Japão""";"""Estrangeira""";"""PE"""
