Listagem de Filmes Brasileiros e Estrangeiros Lançados - 2009 a 2019;;;;;;;;;;;;
;;;;;;;;;;;;
Ano de Lançamento;Título da obra;CPB/ROE;Gênero;País(es) produtor(es) da obra;Nacionalidade da obra;Data de lançamento;Empresa distribuidora;Origem da empresa distribuidora;Salas no Lançamento;Máximo de Salas Ocupadas;Público acumulado;Renda (R$) acumulada
2009;Hotel Atlântico;B0901117100000;Ficção;Brasil;Brasileira;13/11/2009;Espaço Filmes;Distribuição Nacional;22;22;6.516;45.119,50
2009;Jean Charles;B0901020100000;Ficção;Brasil;Brasileira;26/06/2009;Imagem;Distribuição Nacional;167;167;294.231;2.454.006,02
2009;KFZ-1348;B0800830200000;Documentário;Brasil;Brasileira;15/05/2009;Rec Produtores;Distribuição Nacional;1;1;736;2.616,00
2009;Loki - Arnaldo Baptista;B0901025700000;Documentário;Brasil;Brasileira;19/06/2009;Canal Brasil;Distribuição Nacional;18;18;15.588;141.466,68
2009;Manhã Transfigurada;B0800855600000;Ficção;Brasil;Brasileira;10/07/2009;Pandora Filmes;Distribuição Nacional;1;3;1.708;10.722,50
2009;Mesa de Bar Onde Tudo Acontece;B0901082400000;Ficção;Brasil;Brasileira;23/10/2009;Mirasul;Distribuição Nacional;3;3;104;1.061,00
2009;Mistéryos;B0800888700000;Ficção;Brasil;Brasileira;20/11/2009;Panda Filmes;Distribuição Nacional;1;1;155;558
2009;Moscou;B0901041200000;Documentário;Brasil;Brasileira;07/08/2009;Videofilmes;Distribuição Nacional;8;9;7.993;59.762,00
2009;Nada Vai nos Separar;B0901057200000;Documentário;Brasil;Brasileira;21/08/2009;G7 Cinema;Distribuição Nacional;3;5;5.407;47.118,24
2009;Naufrágio - Mistério e Morte na Catástrofe do Príncipe de Astúrias;B1101495000000;Documentário;Brasil;Brasileira;25/12/2009;Master Shot Produções;Distribuição Nacional;ND;0;ND;ND
2009;No meu Lugar;B0901027100000;Ficção;Brasil;Brasileira;13/11/2009;Downtown/Videofilmes;Distribuição Nacional;12;14;5.447;32.280,36
