Listagem de Complexos de Exibição por Município e UF - 2017;;;;;;;
;;;;;;;
#;UF;Município;População*;Nome Complexo ;Grupo ANCINE;Registro Ancine do Complexo;Número de Salas
66;CE;ITAPIPOCA;127.465;Cine Clacita;INDEPENDENTE;28053;1
67;CE;JUAZEIRO DO NORTE;270.383;Orient Cariri Garden Shopping;ORIENT;27981;6
68;CE;LIMOEIRO DO NORTE;58.915;Pinheiro Cinema Francisco Lucena;PINHEIRO;27568;2
69;CE;MARACANAÚ;224.804;Centerplex North Shopping Maracanaú;CENTERPLEX;16969;4
70;CE;MARANGUAPE;126.486;Centerplex Maranguape Shopping;CENTERPLEX;35978;2
71;CE;QUIXADÁ;86.605;Pinheiro Cinema Quixadá;PINHEIRO;17606;2
72;CE;SOBRAL;205.529;Multicine North Shopping Sobral;MULTICINE;31088;5
73;CE;SOBRAL;205.529;Pinheiro Cinema Renato Aragão;PINHEIRO;34139;3
74;CE;TIANGUÁ;74.719;Movieplex Cine Ibiapaba;INDEPENDENTE;36107;2
75;DF;BRASÍLIA;3.039.444;Arcoplex Águas Claras;ARCOPLEX;24036;4
76;DF;BRASÍLIA;3.039.444;Cine Brasília;INDEPENDENTE;36651;1
77;DF;BRASÍLIA;3.039.444;Cine Cultura Liberty Mall;INDEPENDENTE;20963;4
78;DF;BRASÍLIA;3.039.444;Cine Drive In;INDEPENDENTE;6715;1
79;DF;BRASÍLIA;3.039.444;Cine Premier Sobradinho;PREMIER;19457;3
80;DF;BRASÍLIA;3.039.444;Cineflix JK Shopping;CINEFLIX;24535;6
81;DF;BRASÍLIA;3.039.444;Cinemark Iguatemi Brasília;CINEMARK;17609;6
82;DF;BRASÍLIA;3.039.444;Cinemark Pier 21;CINEMARK;2535;13
83;DF;BRASÍLIA;3.039.444;Cinemark Taguatinga Shopping;CINEMARK;2534;9
84;DF;BRASÍLIA;3.039.444;Espaço Itaú de Cinema - Brasília;ESPAÇO;20590;9
85;DF;BRASÍLIA;3.039.444;KINOPLEX Cinema Terraço Shopping;KINOPLEX;2411;5
86;DF;BRASÍLIA;3.039.444;KINOPLEXBoulevard;KINOPLEX;16402;4
87;DF;BRASÍLIA;3.039.444;KINOPLEXCinema Pátio Brasil;KINOPLEX;2412;6
88;DF;BRASÍLIA;3.039.444;KINOPLEXPark Shopping;KINOPLEX;2415;11
