Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição com Valores Captados através de Mecanismos de Incentivo e Fundo Setorial do Audiovisual - 1995 a 2019;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF;Distribuidora;Máximo de Salas;Público;Renda (R$);Projeto de incentivo aprovado?;Art. 18;Art. 25;Art. 1º;Art. 1 º A;Art. 3º;Art. 3º A;Conversão da dívida;Art. 39;Funcines;FSA;Outras Fontes;Valor Total Captado/ Contratados(R$)
1996;B0700789100000;Fica Comigo;Tizuka Yamasaki;Ficção;Ponto Filmes/Quanta-Rio/Scena Filmes/Skylight;RJ/RJ/RJ/RJ; -; -;RioFilme;ND;2.866;13.000,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1996;B0500298800000;Jenipapo;Monique Gardenberg;Ficção;Dueto Filmes;RJ; -; -;RioFilme;ND;72.133;350.000,00;Sim; - ; - ;745.979,00; - ; - ; - ; - ; - ; - ; -; -;745.979,00
1996;Sem CPB;Mil e Uma;Suzana de Moraes;Ficção;1001 Filmes;RJ; -; -;RioFilme;ND;2.403;12.000,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1996;B0600547500000;O Cego que Gritava Luz;João Batista de Andrade;Ficção;Raiz Produções;SP; -; -;RioFilme;ND;1.647;8.500,00;Sim;195.476,60; - ;162.624,00; - ; - ; - ; - ; - ; - ; -; -;358.100,60
1996;B0500255000000;O Corpo;José Antônio Garcia;Ficção;Olympus Filme;SP; -; -;RioFilme;ND;26.984;120.000,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1996;B0400090100000;O Guarani;Norma Bengell;Ficção;NB Produções;RJ; -; -;RioFilme;ND;26.190;120.000,00;Sim;2.055.000,00; - ;943.824,00; - ; - ; - ; - ; - ; - ; -; -;2.998.824,00
1996;B0400102700000;O Judeu;Jom Tob Azulay;Ficção;AEB Produçôes/Tatu Filmes;RJ/SP; -; -;RioFilme;1;11.817;62.630,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1996;B0700798500000;O Monge e a Filha do Carrasco;Walter Lima Junior;Ficção;JBR Filmes;RJ; -; -;RioFilme;9;16.824;72.173,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1996;B0500444400000;Quem Matou Pixote?;José Joffily;Ficção;Coevo Filmes;RJ; -; -;RioFilme;57;32.220;148.534,00;Sim;338.813,72; - ; - ; - ;700.509,00; - ; - ; - ; - ; -; -;1.039.322,72
1996;B0500274700000;Sombras de Julho;Marco Altberg;Ficção;M. Altberg Cinema e Vídeo;RJ; -; -;RioFilme;ND;767;5.000,00;Sim; - ; - ;274.171,00; - ; - ; - ; - ; - ; - ; -; -;274.171,00
