Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição com Valores Captados através de Mecanismos de Incentivo e Fundo Setorial do Audiovisual - 1995 a 2019;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF;Distribuidora;Máximo de Salas;Público;Renda (R$);Projeto de incentivo aprovado?;Art. 18;Art. 25;Art. 1º;Art. 1 º A;Art. 3º;Art. 3º A;Conversão da dívida;Art. 39;Funcines;FSA;Outras Fontes;Valor Total Captado/ Contratados(R$)
2004;B0400121700000;Irmãos de Fé;Moacyr Góes;Ficção;Diler & Associados;RJ; -; -;Columbia;294;966.021;5.652.025,00;Sim;100.000,00; - ;1.258.962,00; - ;2.804.247,40; - ; - ;195.752,60; - ; -; -;4.358.962,00
2004;B0400085500000;Justiça;Maria Augusta Ramos;Documentário;Limite Produções;RJ; -; -;Mais Filmes;3;28.635;138.770,00;Sim;135.000,00; - ; - ; - ; - ; - ; - ; - ; - ; -; -;135.000,00
2004;B0400098900000;Língua - Vidas em Português;Victor Lopes;Documentário;Sambascope Produções/TV Zero Produções;RJ/RJ; -; -;RioFilme;5;11.943;26.545,00;Sim;56.000,00; - ;472.000,00; - ; - ; - ; - ; - ; - ; -; -;528.000,00
2004;B0300001800000;Lost Zweig;Sylvio Back;Ficção;Usina de Kyno;RJ; -; -;RioFilme;1;2.398;20.214,00;Sim;400.000,00; - ;1.842.240,00; - ;50.000,00; - ; - ; - ; - ; -; -;2.292.240,00
2004;B0400170600000;Meu Tio Matou um Cara;Jorge Furtado;Ficção;Casa de Cinema de Porto Alegre;RS; -; -;Fox;121;591.120;4.095.008,00;Sim;950.000,00; - ; - ; - ;3.000.000,00; - ; - ; - ; - ; -; -;3.950.000,00
2004;B0500408600000;Motoboys - Vida Loca;Caito Ortiz;Ficção;Prodigo Films;SP; -; -;Mais Filmes;ND;ND;ND;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2004;B0300005800000;Narradores de Javé;Eliane Caffé;Ficção;Bananeira Filmes/Gullane;RJ/SP; -; -;Lumière;29;67.004;456.307,00;Sim;1.620.000,00; - ;784.336,00; - ;530.000,00; - ; - ; - ; - ; -; -;2.934.336,00
2004;B0400052300000;Nina;Heitor Dhalia;Ficção;Gullane;SP; -; -;Columbia;10;25.268;178.834,00;Sim;900.000,00; - ;1.139.614,00; - ; - ; - ; - ; - ; - ; -; -;2.039.614,00
2004;B0400063000000;Noite de São João;Sérgio Silva;Ficção;Producers - NGM Produções;RS; -; -;NGM Produções;5;5.355;25.704,00;Sim; - ; - ;415.300,00; - ; - ; - ; - ; - ; - ; -; -;415.300,00
2004;B0400054400000;O Outro Lado da Rua;Marcos Bernstein;Ficção;Neanderthal MB Cinema;RJ; -; -;Columbia;37;92.165;661.465,00;Sim; - ; - ;1.499.999,00; - ;1.500.000,00; - ; - ; - ; - ; -; -;2.999.999,00
2004;B0400050200000;O Prisioneiro da Grade de Ferro;Paulo Sacramento;Documentário;Olhos de Cão;SP; -; -;Imovision;13;27.848;156.931,00;Sim;160.000,00; - ;370.000,00; - ;124.149,49; - ; - ; - ; - ; -; -;654.149,49
2004;B0300040900000;O Vestido;Paulo Thiago;Ficção;Vitória Produções;RJ; -; -;Columbia;41;30.683;220.274,00;Sim;2.130.000,00; - ;2.750.000,00; - ; - ; - ; - ; - ; - ; -; -;4.880.000,00
2004;B0400097900000;Olga;Jayme Monjardim;Ficção;Nexus Cinema;SP; -; -;Lumière;339;3.078.030;20.375.397,00;Sim;650.000,00; - ;3.000.000,00; - ;2.999.216,81; - ; - ; - ; - ; -; -;6.649.216,81
2004;B0300040400000;Onde Anda Você;Sergio Rezende;Ficção;Morena Filmes;RJ; -; -;UIP;40;50.958;411.530,00;Sim;1.513.000,00; - ;1.072.681,00; - ;423.448,55; - ; - ; - ; - ; -; -;3.009.129,55
2004;B0400100300000;Pelé Eterno;Anibal Massaini Neto;Documentário;Anima Produções Audiovisuais/Cinearte Produções Cinematográficas ;SP/SP; -; -;UIP;150;257.932;1.851.866,00;Sim;624.000,00; - ;1.931.000,00; - ;1.915.963,99; - ; - ;78.563,62; - ; -; -;4.549.527,61
2004;B0400138600000;Peões;Eduardo Coutinho;Documentário;Videofilmes;RJ; -; -;Videofilmes;7;17.960;142.211,00;Sim;125.000,00; - ;915.000,00; - ; - ; - ; - ; - ; - ; -; -;1.040.000,00
2004;B0400100100000;Procuradas;José Frazão/Zeca Pires;Ficção;Mundo Imaginário Produções Cinematográficas;SC;Teleimage Productions;SP;Imagem;10;2.920;19.720,00;Sim;224.000,00; - ; - ; - ;150.000,00; - ; - ; - ; - ; -; -;374.000,00
2004;B0300003400000;Querido Estranho;Ricardo Pinto e Silva;Ficção;Lereby/Tele Image/Veredas Comunicação e Arte;RJ/SP/SP; -; -;Imagem;27;18.103;122.520,00;Sim; - ; - ;1.091.489,00; - ;453.152,85; - ; - ; - ; - ; -; -;1.544.641,85
2004;B0400062800000;Raízes do Brasil;Nelson Pereira dos Santos;Documentário;Regina Filmes/RioFilme/Videofilmes;RJ/RJ/RJ; -; -;RioFilme;5;19.420;120.366,00;Sim;761.784,40; - ;169.100,00; - ; - ; - ; - ; - ; - ; -; -;930.884,40
2004;B0400126400000;Redentor;Cláudio Torres;Ficção;Conspiração Filmes/Estudios Mega/Estudios Quanta/Globo Filmes/Lereby;RJ/RJ/SP/RJ/RJ; -; -;Warner;81;247.893;1.880.401,00;Sim; - ; - ;2.997.115,00; - ;1.770.000,00; - ; - ; - ; - ; -; -;4.767.115,00
2004;B0300046200000;Rio de Jano;Anna Azevedo/Eduardo Souza Lima/Renata Baldi;Documentário;Hy Brazil Filmes;RJ; -; -;RioFilme;3;8.284;55.948,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2004;B0500293500000;Samba Riachão;Jorge Alfredo;Documentário;Truque;BA; -; -;Pandora;3;1.330;7.418,00;Sim;150.000,00; - ; - ; - ; - ; - ; - ; - ; - ; -; -;150.000,00
2004;B0400050100000;Sexo, Amor e Traição;Jorge Fernando;Ficção;Total Entertainment;RJ; -; -;Fox;157;2.219.423;15.775.132,00;Sim; - ; - ;2.130.000,00; - ;1.489.761,04; - ; - ; - ; - ; -; -;3.619.761,04
2004;B0300050000000;Um Show de Verão;Moacyr Góes;Ficção;Diler & Associados;RJ; -; -;Warner;111;137.507;741.047,00;Sim;150.000,00; - ;1.099.731,00; - ;1.800.000,00; - ; - ; - ; - ; -; -;3.049.731,00
2004;B0300026000000;Viva Sapato!;Luiz Carlos Lacerda;Ficção;Europa Filmes/Terra Brasilis;SP/RJ; -; -;Europa/MAM;8;3.507;24.187,00;Sim;950.000,00; - ;464.760,00; - ;400.000,00; - ; - ; - ; - ; -; -;1.814.760,00
2004;B0300007100000;Viva Voz;Paulo Morelli;Ficção;O2 Filmes;SP; -; -;Buena Vista;79;206.568;1.522.763,00;Sim; - ; - ;1.312.442,00; - ;790.000,00; - ; - ; - ; - ; -; -;2.102.442,00
2004;B0400154400000;Xuxa e o Tesouro da Cidade Perdida;Moacyr Góes;Ficção;Diler & Associados;RJ; -; -;Warner;300;1.331.652;7.108.730,00;Sim; - ; - ;357.096,00; - ;2.999.999,80; - ; - ; - ; - ; -; -;3.357.095,80
2005;B0500302600000;2 Filhos de Francisco: a História de Zezé Di Camargo e Luciano;Breno Silveira;Ficção;Conspiração Filmes/Globo Filmes/Lereby/Z.C.L. Comércio Promoções e Produções;RJ/RJ/RJ/SP; -; -;Columbia;329;5.319.677;36.728.278,00;Sim;100.000,00; - ;2.721.000,00; - ;2.925.000,00; - ; - ; - ; - ; -; -;5.746.000,00
2005;B0400131700000;A Pessoa é para o que nasce;Roberto Berliner;Documentário;TV Zero Produções;RJ; -; -;Copacabana Filmes/RioFilme;8;24.475;152.261,00;Sim;70.000,00; - ;509.214,00; - ; - ; - ; - ; - ; - ; -; -;579.214,00
2005;B0500199900000;As Vidas de Maria;Renato Barbieri;Ficção;Gaia Filmes;DF; -; -;Pandora;10;2.746;17.530,00;Sim;430.000,00; - ; - ; - ; - ; - ; - ; - ; - ; -; -;430.000,00
2005;B0400129700000;Bendito Fruto;Sergio Goldenberg;Ficção;RioFilme/Trópicos Arte e Comunicação;RJ/RJ; -; -;Paris/RioFilme;14;52.022;453.503,00;Sim; - ; - ;429.609,00; - ; - ; - ; - ; - ; - ; -; -;429.609,00
2005;B0500251200000;Bens Confiscados;Carlos Reichenbach;Ficção;Dezenove Som e Imagens;SP; -; -;Imovision/RioFilme;3;4.669;26.754,00;Sim;250.000,00; - ;585.476,00; - ; - ; - ; - ; - ; - ; -; -;835.476,00
2005;B0400131400000;Cabra-Cega;Toni Venturi;Ficção;Olhar Imaginário;SP; -; -;Europa/MAM;9;28.620;220.339,00;Sim;160.000,00; - ;569.100,00; - ;120.900,00; - ; - ; - ;32.000,00; -; -;882.000,00
2005;B0500250700000;Casa de Areia;Andrucha Waddington;Ficção;Conspiração Filmes/Filmes do Equador;RJ/RJ; -; -;Columbia;35;187.296;1.557.698,00;Sim;2.200.000,00; - ;1.752.600,00; - ;3.000.000,00; - ; - ; - ; - ; -; -;6.952.600,00
2005;B0300008200000;Celeste & Estrela;Betse de Paula;Ficção;Aurora Cinematográfica;RJ; -; -;BPP Produções Audiovisuais;1;4.965;24.175,00;Sim; - ; - ;215.000,00; - ; - ; - ; - ; - ; - ; -; -;215.000,00
2005;B0500265000000;Cidade Baixa;Sérgio Machado;Ficção;Videofilmes;RJ; -; -;Videofilmes/Lumière;31;128.134;1.021.626,00;Sim;926.129,98; - ;1.822.000,00; - ;290.452,75; - ; - ; - ; - ; -; -;3.038.582,73
2005;B0500255500000;Cinema, Aspirinas e Urubus;Marcelo Gomes;Ficção;Rec Produtores Associados;PE;Dezenove Som e Imagens;SP;Imovision;17;105.526;882.373,00;Sim;580.000,00; - ;790.568,00; - ;56.000,00; - ; - ; - ; - ; -; -;1.426.568,00
2005;B0500281700000;Coisa de Mulher;Eliana Fonseca;Ficção;Diler & Associados;RJ; -; -;Warner;100;98.963;714.666,00;Sim;110.000,00; - ;721.000,00; - ;2.000.000,00; - ; - ; - ; - ; -; -;2.831.000,00
2005;B0500277500000;Coisa Mais Linda;Paulo Thiago;Documentário;Vitória Produções;RJ;Tele Image;SP;Columbia;11;35.861;319.251,00;Sim;1.000.000,00; - ;694.319,00; - ;350.000,00; - ; - ; - ; - ; -; -;2.044.319,00
2005;B0500241100000;Confronto Final;Alonso Gonçalves;Ficção;Karina Filmes;MG; -; -;Polifilmes;5;2.081;12.278,00;Sim; - ; - ;332.400,00; - ; - ; - ; - ; - ; - ; -; -;332.400,00
2005;B0500294600000;Diário de um Novo Mundo;Paulo Nascimento;Ficção;Accorde Filmes/Linha de Produção Cinema Comunicação e Imagem/Panda Filmes;RS/RS/RS; -; -;Casablanca;7;12.685;67.809,00;Sim; - ; - ;787.300,00; - ; - ; - ; - ; - ; - ; -; -;787.300,00
2005;B0500282100000;Doutores da Alegria;Mara Mourão;Documentário;Grifa Filmes/Mamo Filmes;SP/SP; -; -;Imovision;20;26.294;212.313,00;Sim;890.520,15; - ;500.000,00; - ; - ; - ; - ;222.723,00; - ; -; -;1.613.243,15
2005;B0400158100000;Eliana em o Segredo dos Golfinhos;Eliana Fonseca;Ficção;Canal Azul/Teleimage Productions;SP/SP;Intercross Imóveis e Participações/Emb Promotora e Controladora;SP/SP;Fox;106;330.742;2.022.729,00;Sim; - ; - ;341.200,00; - ;2.550.000,00; - ; - ; - ; - ; -; -;2.891.200,00
2005;B0400142200000;Extremo Sul;Monica Schmiedt/Sylvestre Campe;Documentário;Europa Filmes/M. Schmiedt Produções;SP/RS; -; -;Europa/MAM;5;13.571;92.149,00;Sim; - ; - ;1.269.000,00; - ;151.223,66; - ; - ; - ; - ; -; -;1.420.223,66
2005;B0400165500000;Feminices;Domingos de Oliveira;Ficção;Teatro Ilustre Produções Artísticas;RJ;Afinal Filmes/Antenna Produtora;RJ/RJ;Copacabana Filmes;3;7.091;63.556,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2005;B0400123500000;Filhas do Vento;Joel Zito Araújo;Ficção;Asacine Produções/Casa de Criação Cinema;RJ/DF; -; -;RioFilme;15;16.578;117.448,00;Sim;660.500,00; - ; - ; - ; - ; - ; - ; - ; - ; -; -;660.500,00
2005;B0500222600000;Gaijin Ama - Me Como Sou;Tizuka Yamasaki;Ficção;Scena Filmes;RJ;Art Films/RioFilme;RJ/RJ;Art Filmes;101;52.898;388.800,00;Sim;1.121.977,03; - ;5.851.000,00; - ;709.607,45; - ; - ; - ; - ; -; -;7.682.584,48
2005;B0300046600000;Garrincha, Estrela Solitária;Milton Alencar Jr;Ficção;Fam Produções;MG; -; -;Polifilmes;20;7.877;54.977,00;Sim;600.000,00; - ;1.130.000,00; - ; - ; - ; - ; - ; - ; -; -;1.730.000,00
2005;B0300041300000;Harmada;Maurice Capovilla;Ficção;Saturna Produções;RJ;Estudios Quanta;SP;RioFilme;2;1.261;8.499,00;Sim;185.000,00; - ;50.000,00; - ; - ; - ; - ; - ; - ; -; -;235.000,00
2005;B0400129600000;Jogo Subterrâneo - Underground Games;Roberto Gervitz;Ficção;Columbia Tristar Filmes do Brasil/Estudios Mega/Locall/Ramalho Filmes/Vagalume;SP/RJ/SP/SP/SP; -; -;Buena Vista;31;20.928;163.781,00;Sim;370.000,00; - ;3.000.000,00; - ;1.500.000,00; - ; - ; - ; - ; -; -;4.870.000,00
2005;B0500220600000;Mais uma Vez Amor;Rosane Svartman;Ficção;Raccord Produções/Total Entertainment;RJ/RJ;Warner;SP;Warner;144;228.567;1.662.516,00;Sim; - ; - ;1.262.055,00; - ;2.000.000,00; - ; - ; - ; - ; -; -;3.262.055,00
2005;B0500216600000;Mensageiras da Luz - Parteiras da Amazônia;Evaldo Mocarzel;Documentário;Casa Azul Produções/SP Filmes de São Paulo;SP/SP; -; -;SP Filmes;1;135;1.287,00;Sim; - ; - ;200.000,00; - ; - ; - ; - ; - ; - ; -; -;200.000,00
2005;B0600575000000;Moro no Brasil;Mika Kaurismaki;Documentário;Magnatel;RJ; -; -;Pandora;2;2.680;11.911,00;Sim;50.000,00; - ;657.535,00; - ; - ; - ; - ; - ; - ; -; -;707.535,00
2005;B0500365600000;Morro da Conceição;Cristiana Grumbach;Documentário;Crisis Produtivas;RJ;V. Filmes & Comunicação;RJ;Pipa;7;4.943;40.124,00;Sim; - ; - ;457.000,00; - ; - ; - ; - ; - ; - ; -; -;457.000,00
2005;B0400106000000;O Cárcere e a Rua;Liliana Sulzbach;Documentário;Zeppelin Filmes ;RS; -; -;Pandora;17;7.792;37.424,00;Sim;90.000,00; - ;220.450,00; - ; - ; - ; - ; - ; - ; -; -;310.450,00
2005;B0400168800000;O Casamento de Romeu e Julieta;Bruno Barreto;Ficção;Filmes do Equador;RJ; -; -;Buena Vista;215;969.278;7.303.657,00;Sim;750.000,00; - ;3.000.000,00; - ;3.000.000,00; - ; - ; - ; - ; -; -;6.750.000,00
2005;B0500370500000;O Coronel e o Lobisomem;Maurício Farias;Ficção;Uns Produções e Filmes;RJ;Brasil Filmes/Digital 21/Megacolor;SP/SP/SP;Fox;166;654.983;4.678.543,00;Sim;1.300.000,00; - ;2.315.000,00; - ;2.979.119,28; - ; - ; - ;1.000.000,00; -; -;7.594.119,28
2005;B0400129500000;O Diabo a Quatro;Alice de Andrade;Ficção;Tambellini Filmes;RJ; -; -;RioFilme;4;7.247;52.512,00;Sim;700.000,00; - ;1.059.405,00; - ; - ; - ; - ; - ; - ; -; -;1.759.405,00
2005;B0500378800000;O Fim e o Princípio;Eduardo Coutinho;Documentário;Videofilmes;RJ; -; -;Videofilmes;3;9.674;81.146,00;Sim;892.650,00; - ; - ; - ; - ; - ; - ; - ; - ; -; -;892.650,00
2005;B0300039300000;O Signo do Caos;Rogério Sganzerla;Ficção;Mercúrio Produções;SP; -; -;RioFilme;3;1.255;9.130,00;Sim;80.000,00; - ; - ; - ; - ; - ; - ; - ; - ; -; -;80.000,00
2005;B0500279400000;Preto e Branco;Carlos Nader;Documentário;Iucatan Produções/Já Filmes;SP/SP; -; -;Polifilmes;ND;ND;ND;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2005;B0500247600000;Preto no Branco;Ronaldo German;Ficção;Daron Cine Video;RJ; -; -;Distribuição Própria;1;65;ND;Sim; - ; - ;257.000,00; - ; - ; - ; - ; - ; - ; -; -;257.000,00
2005;B0500238500000;Quanto Vale ou é por Quilo ?;Sérgio Bianchi;Ficção;Agravo Produções Cinematográficas;SP; -; -;RioFilme;8;32.863;195.672,00;Sim;292.000,00; - ;2.235.000,00; - ; - ; - ; - ; - ; - ; -; -;2.527.000,00
2005;B0400102900000;Quase Dois Irmãos;Lucia Murat;Ficção;Taiga Filmes e Vídeo;RJ; -; -;Imovision;23;58.928;460.087,00;Sim;400.000,00; - ;1.100.000,00; - ; - ; - ; - ; - ; - ; -; -;1.500.000,00
2005;B0500334900000;Sal de Prata;Carlos Gerbase;Ficção;Casa de Cinema de Porto Alegre;RS;Quanta-Rio;RJ;Columbia;41;17.289;124.880,00;Sim; - ; - ;883.580,00; - ;1.139.423,80; - ; - ; - ; - ; -; -;2.023.003,80
2005;B0400148300000;Soldado de Deus;Sérgio Sanz;Documentário;J.Sanz Produção Audiovisual;RJ; -; -;RioFilme;2;2.528;18.919,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2005;B0500280100000;Sou Feia mas tô na Moda;Denise Garcia;Documentário;Toscographics;RJ; -; -;Imovision;4;5.575;44.447,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2005;B0400129900000;Tainá 2 - a Aventura Continua;Mauro Lima;Ficção;Sony Pictures/Tietê Produções;SP/RJ; -; -;Columbia;164;788.442;4.612.264,00;Sim;1.737.500,00; - ;3.000.000,00; - ;1.800.000,00; - ; - ; - ; - ; -; -;6.537.500,00
2005;B0400171000000;Vida de Menina;Helena Solberg;Ficção;Radiante Filmes;RJ; -; -;Europa/MAM;8;27.648;210.049,00;Sim;1.140.000,00; - ;1.263.042,00; - ;60.000,00; - ; - ; - ; - ; -; -;2.463.042,00
2005;B0500293600000;Vinícius;Miguel Faria Jr.;Documentário;1001 Filmes;RJ; -; -;UIP;32;271.979;2.378.985,00;Sim;1.200.000,00; - ;500.000,00; - ;400.000,00; - ; - ; - ; - ; -; -;2.100.000,00
2005;B0500340300000;Vlado: 30 Anos Depois;João Batista de Andrade;Documentário;Oeste Filmes/Tao Produções;SP/SP;João Batista de Andrade; -;Oeste Filmes Brasileiros;2;3.283;24.902,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2005;B0500385000000;Vocação do Poder;Eduardo Escorel/José Joffily;Documentário;Cinefilmes/Coevo Filmes;RJ/RJ; -; -;Videofilmes;3;1.995;14.914,00;Sim;535.384,78; - ;237.021,00; - ; - ; - ; - ; - ; - ; -; -;772.405,78
2005;B0500433700000;Xuxinha e Guto contra os monstros do espaço;Clewerson Saremba/Moacyr Góes;Animação;Diler & Associados;RJ; -; -;Warner;52;596.218;4.259.097,00;Sim;31.250,00; - ;2.108.544,00;391.219,50;3.000.000,00; - ; - ; - ; - ; -; -;5.531.013,50
2006;B0600599800000;1972;José Emílio Rondeau;Ficção;Grupo Novo de Cinema e TV/LaboCine;RJ/RJ; -; -;Buena Vista;21;6.756;57.994,00;Sim;630.000,00; - ;1.190.000,00; - ;1.500.000,00; - ; - ; - ; - ; -; -;3.320.000,00
2006;B0500440400000;A Concepção;José Eduardo Belmonte;Ficção;Olhos de Cão;SP;34 Filmes/Risco Filmes/Estudios Quanta/Brasil Filmes/Megacolor/Matheus Nachtergaele;DF/SP/SP/SP/SP/-;Imovision;15;20.827;145.883,00;Sim;200.000,00; - ; - ; - ; - ; - ; - ; - ; - ; -; -;200.000,00
2006;B0400128700000;A Conspiração do Silêncio;Ronaldo Duque;Ficção;Asacine Produções/Ronaldo Duque & Associados;DF/GO; -; -;Polifilmes;6;5.676;38.784,00;Sim;622.723,43; - ;559.810,00; - ; - ; - ; - ; - ; - ; -; -;1.182.533,43
2006;B0600500500000;A Festa de Margarette;Renato Falcão;Ficção;Filmik;RS; -; -;Accorde Audiovisuais;2;9.486;ND;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2006;B0600494700000;A Ilha do Terrível Rapaterra;Ariane Porto;Ficção;Raiz Produções;SP; -; -;Califórnia;37;5.240;37.729,00;Sim; - ; - ;1.858.664,00; - ;67.150,94; - ; - ; - ; - ; -; -;1.925.814,94
2006;B0500377400000;A Máquina;João Falcão;Ficção;Diler & Associados;RJ; -; -;Buena Vista;70;56.088;440.711,00;Sim;250.000,00; - ;1.744.449,00; - ;3.000.000,00; - ; - ; - ; - ; -; -;4.994.449,00
2006;B0500321500000;A Mochila do Mascate;Antonia Ratto/Gabriela Greeb;Documentário;Tibet Filme;RJ; -; -;Copacabana Filmes;4;2.191;6.892,00;Sim;599.827,87; - ;200.000,00; - ; - ; - ; - ; - ; - ; -; -;799.827,87
2006;B0600476000000;A Odisséia Musical de Gilberto Mendes;Carlos de Moura Ribeiro Mendes;Documentário;Berço Esplêndido Produções Cinematográficas;SP; -; -;Berço Esplêndido;ND;ND;ND;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2006;B0400119600000;A Oitava Cor do Arco-Íris;Amauri Tangará;Ficção;Cia D'Artes do Brasil;MT; -; -;Polifilmes;2;274;2.292,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2006;B0500323500000;Achados e Perdidos;José Joffily;Ficção;Coevo Filmes;RJ; -; -;Imagem;20;14.328;109.076,00;Sim;700.000,00; - ;328.506,00; - ;579.740,30; - ; - ; - ; - ; -; -;1.608.246,30
2006;B0600459600000;Acredite, Um espírito baixou em mim;Jorge Moreno;Ficção;Fam Produções;MG; -; -;Fam Filmes;6;30.458;211.042,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2006;B0600461400000;Anjos do Sol;Rudi Lagemann;Ficção;CaradeCão Filmes;RJ; -; -;Downtown;44;79.800;623.063,00;Sim;150.000,00; - ; - ; - ; - ; - ; - ; - ; - ; -; -;150.000,00
2006;B0500388300000;Árido Movie;Lírio Ferreira;Ficção;Cinema Brasil Digital;RJ; -; -;Europa/MAM;4;21.729;285.246,00;Sim;200.000,00; - ;400.000,00; - ;140.000,00; - ; - ; - ; - ; -; -;740.000,00
2006;B0600475100000;Boleiros 2;Ugo Giorgetti;Ficção;SP Filmes de São Paulo;SP;Maria Luisa Cardoso de Oliveira;SP;Mais Filmes;22;10.316;93.786,00;Sim;1.200.000,00; - ;1.529.000,00; - ; - ; - ; - ; - ; - ; -; -;2.729.000,00
2006;B0600490100000;Brasília 18%;Nelson Pereira dos Santos;Ficção;Regina Filmes/Videofilmes;RJ/RJ;Chin Produções Artísticas;RJ;Sony;46;15.587;136.947,00;Sim;1.000.000,00; - ;401.100,00; - ;2.881.000,00; - ; - ;118.952,02; - ; -; -;4.401.052,02
2006;B0500222300000;Brilhante;Conceição Senna;Documentário;MP2 Produções;RJ; -; -;MP2;3;1.581;9.720,00;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2006;B0400163200000;Cafundó;Clóvis Bueno/Paulo Betti;Ficção;Prole de Adão Produção Artísticas;RJ;Laz Audiovisual;PR;Laz;7;33.534;185.707,00;Sim;1.272.700,00; - ;2.647.868,00; - ; - ; - ; - ; - ; - ; -; -;3.920.568,00
2006;B0500431600000;Cafuné;Bruno Vianna;Ficção;Raccord Produções;RJ; -; -;Filmes do Estação;1;4.236;33.727,00;Sim;150.000,00; - ; - ; - ; - ; - ; - ; - ; - ; -; -;150.000,00
2006;B0600509100000;Canta Maria;Francisco Ramalho Jr.;Ficção;Ramalho Filmes;SP; -; -;Califórnia;34;7.949;57.359,00;Sim;1.395.000,00; - ;2.522.000,00;50.000,00;237.438,95; - ; - ; - ; - ; -; -;4.204.438,95
2006;B0600466700000;Carnaval, Bexiga, Funk e Sombrinha;Marcus Vinícius Faustini;Documentário;KL Produções;RJ; -; -;KL Produções;ND;6.955;59.041,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2006;B0600555800000;Casseta e Planeta - seus Problemas Acabaram;José Lavigne;Ficção;Globo Filmes;RJ; -; -;Europa/MAM;180;596.624;4.262.366,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2006;B0500440200000;Cerro do Jarau;Beto Souza;Ficção;Imagem B;RS;Walper Ruas Produções;RS;Europa/MAM;3;6.252;19.195,00;Sim; - ; - ;1.540.330,00; - ; - ; - ; - ; - ; - ; -; -;1.540.330,00
2006;B0500324300000;Crime Delicado;Beto Brant;Ficção;Drama Filmes;SP;Ricca Produções/Megacolor/Brasil Filmes/Locall;SP/SP/SP/SP;Downtown;4;21.891;181.460,00;Sim;640.000,00; - ;1.101.100,00; - ;300.000,00; - ; - ; - ; - ; -; -;2.041.100,00
2006;B0600467200000;Depois daquele Baile;Roberto Bomtempo;Ficção;Movimento Carioca Produções Artísticas;RJ; -; -;Mais Filmes;22;28.869;247.791,00;Sim;1.357.418,64; - ; - ; - ; - ; - ; - ; - ; - ; -; -;1.357.418,64
2006;B0600481600000;Dia de Festa;Toni Venturi;Documentário;Olhar Imaginário;SP; -; -;Pandora;2;1.620;9.975,00;Sim;100.000,00; - ; - ; - ; - ; - ; - ; - ; - ; -; -;100.000,00
2006;B0500444600000;Didi, o Caçador de Tesouros;Marcus Figueiredo;Ficção;Diler & Associados;RJ; -; -;Buena Vista;199;1.024.732;6.220.016,00;Sim;55.000,00; - ;46.106,00; - ;2.914.458,62; - ; - ;85.541,28; - ; -; -;3.101.105,90
2006;B0500286600000;Do Luto à Luta;Evaldo Mocarzel;Documentário;Casa Azul Produções;SP; -; -;Mais Filmes;5;3.107;26.991,00;Sim;100.000,00; - ; - ; - ; - ; - ; - ; - ; - ; -; -;100.000,00
2006;B1101450100000;Do Outro Lado do Rio;Lucas Bambozzi;Documentário;Illud Tempus;SP; -; -;Distribuição Própria;ND;ND;ND;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2006;B0500376500000;Dom Helder Camara - o Santo Rebelde;Erika Bauer;Documentário;Cor Filmes;DF; -; -;Pandora;2;3.592;23.410,00;Sim; - ; - ;505.307,00; - ; - ; - ; - ; - ; - ; -; -;505.307,00
2006;B0500209900000;Estamira;Marcos Prado;Documentário;Zazen Produções;RJ; -; -;RioFilme;8;40.992;317.423,00;Sim;300.000,00; - ;280.000,00; - ; - ; - ; - ; - ; - ; -; -;580.000,00
2006;B0500441200000;Eu me Lembro;Edgard Navarro;Ficção;Truque;BA; -; -;Pandora;5;15.094;124.394,00;Sim; - ; - ;400.000,00; - ; - ; - ; - ; - ; - ; -; -;400.000,00
2006;B0400127500000;Família Alcântara;Daniel Solá Santiago/Lilian Solá Santiago;Documentário;Daniel Solá Santiago Produções;SP; -; -;Daniel Solá Santiago;1;307;2.345,00;Sim; - ; - ;428.628,00; - ; - ; - ; - ; - ; - ; -; -;428.628,00
2006;B0600566800000;Fica Comigo esta Noite;João Falcão;Ficção;Diler & Associados;RJ; -; -;Buena Vista;80;249.248;1.925.083,00;Sim; - ; - ;1.009.050,00; - ;3.000.000,00; - ; - ; - ; - ; -; -;4.009.050,00
